"CHARGE","compartmentCode","cyId","derivedUnits","EC Number","exponent","FORMULA","GENE_ASSOCIATION","kind","kineticLaw","label","math","metaId","multiplier","name","reversible","sbml compartment","sbml id","sbml type","sbml type ext","scale","selected","shared name","SUBSYSTEM","units","unitSid","value"
"0","3","_577880","substance",,,"C10H13N5O5",,,,"Guanosine",,"_577880",,"Guanosine",,"p","M_gsn_p","species","species",,"false","Guanosine",,,,
,,"_580287","mmol_per_gDW_per_hr","3.1.3.15",,,"b2022",,"R_HISTP_FLUX_VALUE","histidinol-phosphatase",,"_580287",,"histidinol-phosphatase","false",,"R_HISTP","reaction","reaction irreversible",,"false","histidinol-phosphatase","Histidine Metabolism",,,
"-1","1","_574235","substance",,,"C58H83CoN16O14P",,,,"Adenosyl cobinamide phosphate",,"_574235",,"Adenosyl cobinamide phosphate",,"c","M_adocbip_c","species","species",,"false","Adenosyl cobinamide phosphate",,,,
"-2","3","_577881","substance",,,"C20H30N6O12S2",,,,"Oxidized glutathione",,"_577881",,"Oxidized glutathione",,"p","M_gthox_p","species","species",,"false","Oxidized glutathione",,,,
,,"_581841","mmol_per_gDW_per_hr","",,,"(b1857 and b1859 and b1858)",,"R_ZNabcpp_FLUX_VALUE","zinc (Zn+2) transport via ABC system (periplasm)",,"_581841",,"zinc (Zn+2) transport via ABC system (periplasm)","false",,"R_ZNabcpp","reaction","reaction irreversible",,"false","zinc (Zn+2) transport via ABC system (periplasm)","Inorganic Ion Transport and Metabolism",,,
,,"_579553","mmol_per_gDW_per_hr","4.1.2.21",,,"b4477",,"R_DDPGALA_FLUX_VALUE","2-dehydro-3-deoxy-6-phosphogalactonate aldolase",,"_579553",,"2-dehydro-3-deoxy-6-phosphogalactonate aldolase","true",,"R_DDPGALA","reaction","reaction reversible",,"false","2-dehydro-3-deoxy-6-phosphogalactonate aldolase","Alternate Carbon Metabolism",,,
"0","1","_574237","substance",,,"C72H100CoN18O17P",,,,"Adenosylcobalamin",,"_574237",,"Adenosylcobalamin",,"c","M_adocbl_c","species","species",,"false","Adenosylcobalamin",,,,
,,"_578379","mmol_per_gDW_per_hr","",,,"",,"R_EX_fe2_LPAREN_e_RPAREN__FLUX_VALUE","Fe2+ exchange",,"_578379",,"Fe2+ exchange","true",,"R_EX_fe2_LPAREN_e_RPAREN_","reaction","reaction reversible",,"false","Fe2+ exchange","",,,
"-1","3","_577883","substance",,,"C10H16N3O6S",,,,"Reduced glutathione",,"_577883",,"Reduced glutathione",,"p","M_gthrd_p","species","species",,"false","Reduced glutathione",,,,
,,"_581639","mmol_per_gDW_per_hr","",,,"(b0894 and b0895 and b0896)",,"R_TMAOR2_FLUX_VALUE","Trimethylamine N-oxide reductase (demethylmenaquinol 8)",,"_581639",,"Trimethylamine N-oxide reductase (demethylmenaquinol 8)","false",,"R_TMAOR2","reaction","reaction irreversible",,"false","Trimethylamine N-oxide reductase (demethylmenaquinol 8)","Oxidative Phosphorylation",,,
"-3","1","_574239","substance",,,"C10H12N5O10P2",,,,"ADP",,"_574239",,"ADP",,"c","M_adp_c","species","species",,"false","ADP",,,,
,,"_581441","mmol_per_gDW_per_hr","5.1.3.1",,,"(b4301 or b3386)",,"R_RPE_FLUX_VALUE","ribulose 5-phosphate 3-epimerase",,"_581441",,"ribulose 5-phosphate 3-epimerase","true",,"R_RPE","reaction","reaction reversible",,"false","ribulose 5-phosphate 3-epimerase","Pentose Phosphate Pathway",,,
"-4","3","_577884","substance",,,"C10H12N5O14P3",,,,"GTP",,"_577884",,"GTP",,"p","M_gtp_p","species","species",,"false","GTP",,,,
"-2","1","_574241","substance",,,"C16H23N5O15P2",,,,"ADPglucose",,"_574241",,"ADPglucose",,"c","M_adpglc_c","species","species",,"false","ADPglucose",,,,
"0","3","_577886","substance",,,"C5H5N5O",,,,"Guanine",,"_577886",,"Guanine",,"p","M_gua_p","species","species",,"false","Guanine",,,,
"-2","1","_574243","substance",,,"C17H25N5O16P2",,,,"ADP-D-glycero-D-manno-heptose",,"_574243",,"ADP-D-glycero-D-manno-heptose",,"c","M_adphep_DASH_DD_c","species","species",,"false","ADP-D-glycero-D-manno-heptose",,,,
,,"_581046","mmol_per_gDW_per_hr","3.1.4.17",,,"b1489",,"R_PDE4_FLUX_VALUE","3',5'-cyclic-nucleotide phosphodiesterase",,"_581046",,"3',5'-cyclic-nucleotide phosphodiesterase","false",,"R_PDE4","reaction","reaction irreversible",,"false","3',5'-cyclic-nucleotide phosphodiesterase","Nucleotide Salvage Pathway",,,
,,"_578621","mmol_per_gDW_per_hr","",,,"",,"R_EX_slnt_LPAREN_e_RPAREN__FLUX_VALUE","selenite exchange",,"_578621",,"selenite exchange","true",,"R_EX_slnt_LPAREN_e_RPAREN_","reaction","reaction reversible",,"false","selenite exchange","",,,
,,"_579772","mmol_per_gDW_per_hr","1.3.1.10",,,"b1288",,"R_EPMEACPR_FLUX_VALUE","Enoylpimeloyl-[ACP] methyl ester reductase",,"_579772",,"Enoylpimeloyl-[ACP] methyl ester reductase","false",,"R_EPMEACPR","reaction","reaction irreversible",,"false","Enoylpimeloyl-[ACP] methyl ester reductase","Cofactor and Prosthetic Group Biosynthesis",,,
"1","3","_577887","substance",,,"H",,,,"H+",,"_577887",,"H+",,"p","M_h_p","species","species",,"false","H+",,,,
,,"_579198","mmol_per_gDW_per_hr","",,,"(b0241 or b0929 or b1377 or b2215)",,"R_ARBtex_FLUX_VALUE","L-arabinose transport via diffusion (extracellular to periplasm)",,"_579198",,"L-arabinose transport via diffusion (extracellular to periplasm)","true",,"R_ARBtex","reaction","reaction reversible",,"false","L-arabinose transport via diffusion (extracellular to periplasm)","Transport, Outer Membrane Porin",,,
"-2","1","_574245","substance",,,"C17H25N5O16P2",,,,"ADP-L-glycero-D-manno-heptose",,"_574245",,"ADP-L-glycero-D-manno-heptose",,"c","M_adphep_DASH_LD_c","species","species",,"false","ADP-L-glycero-D-manno-heptose",,,,
,,"_579375","mmol_per_gDW_per_hr","",,,"(b0155 or b1592)",,"R_CLt3_2pp_FLUX_VALUE","chloride transport out via proton antiport (2:1) (periplasm)",,"_579375",,"chloride transport out via proton antiport (2:1) (periplasm)","false",,"R_CLt3_2pp","reaction","reaction irreversible",,"false","chloride transport out via proton antiport (2:1) (periplasm)","Inorganic Ion Transport and Metabolism",,,
,,"_580470","mmol_per_gDW_per_hr","3.1.1.5",,,"b0494",,"R_LPLIPAL1A140pp_FLUX_VALUE","Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:0) (periplasm)",,"_580470",,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:0) (periplasm)","false",,"R_LPLIPAL1A140pp","reaction","reaction irreversible",,"false","Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:0) (periplasm)","Glycerophospholipid Metabolism",,,
,,"_579947","mmol_per_gDW_per_hr","",,,"(b0241 or b0929 or b1377 or b2215)",,"R_FRUURtex_FLUX_VALUE","D-fructuronate transport via diffusion (extracellular)",,"_579947",,"D-fructuronate transport via diffusion (extracellular)","true",,"R_FRUURtex","reaction","reaction reversible",,"false","D-fructuronate transport via diffusion (extracellular)","Transport, Outer Membrane Porin",,,
,,"_581240","mmol_per_gDW_per_hr","",,,"",,"R_PPALtpp_FLUX_VALUE","propanal transport via channel (periplasm)",,"_581240",,"propanal transport via channel (periplasm)","true",,"R_PPALtpp","reaction","reaction reversible",,"false","propanal transport via channel (periplasm)","Transport, Inner Membrane",,,
"0","3","_577889","substance",,,"H2",,,,"H2",,"_577889",,"H2",,"p","M_h2_p","species","species",,"false","H2",,,,
,,"_580853","mmol_per_gDW_per_hr","",,,"s0001",,"R_NOVBCNtex_FLUX_VALUE","Novobiocin transport via diffusion (extracellular to periplasm)",,"_580853",,"Novobiocin transport via diffusion (extracellular to periplasm)","true",,"R_NOVBCNtex","reaction","reaction reversible",,"false","Novobiocin transport via diffusion (extracellular to periplasm)","Transport, Outer Membrane",,,
"-2","1","_574247","substance",,,"C15H21N5O14P2",,,,"ADPribose",,"_574247",,"ADPribose",,"c","M_adprib_c","species","species",,"false","ADPribose",,,,
,,"_579019","mmol_per_gDW_per_hr","",,,"b1993",,"R_ADOCBIK_FLUX_VALUE","Adenosyl cobinamide kinase",,"_579019",,"Adenosyl cobinamide kinase","false",,"R_ADOCBIK","reaction","reaction irreversible",,"false","Adenosyl cobinamide kinase","Cofactor and Prosthetic Group Biosynthesis",,,
"0","3","_577890","substance",,,"H2O",,,,"H2O",,"_577890",,"H2O",,"p","M_h2o_p","species","species",,"false","H2O",,,,
"1","1","_574249","substance",,,"Ag",,,,"silver",,"_574249",,"silver",,"c","M_ag_c","species","species",,"false","silver",,,,
"0","3","_577892","substance",,,"H2O2",,,,"Hydrogen peroxide",,"_577892",,"Hydrogen peroxide",,"p","M_h2o2_p","species","species",,"false","Hydrogen peroxide",,,,
"-1","1","_574251","substance",,,"C68H95CoN21O21P2",,,,"Adenosine-GDP-cobinamide",,"_574251",,"Adenosine-GDP-cobinamide",,"c","M_agdpcbi_c","species","species",,"false","Adenosine-GDP-cobinamide",,,,
"0","3","_577893","substance",,,"H2S",,,,"Hydrogen sulfide",,"_577893",,"Hydrogen sulfide",,"p","M_h2s_p","species","species",,"false","Hydrogen sulfide",,,,
,,"_580103","mmol_per_gDW_per_hr","",,,"b1210",,"R_GLUTRR_FLUX_VALUE","glutamyl-tRNA reductase",,"_580103",,"glutamyl-tRNA reductase","false",,"R_GLUTRR","reaction","reaction irreversible",,"false","glutamyl-tRNA reductase","Cofactor and Prosthetic Group Biosynthesis",,,
"2","1","_574253","substance",,,"C5H16N4",,,,"Agmatine",,"_574253",,"Agmatine",,"c","M_agm_c","species","species",,"false","Agmatine",,,,
,,"_578839","mmol_per_gDW_per_hr","1.1.1.100",,,"b1093",,"R_3OAR80_FLUX_VALUE","3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)",,"_578839",,"3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)","true",,"R_3OAR80","reaction","reaction reversible",,"false","3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)","Cell Envelope Biosynthesis",,,
"-1","3","_577895","substance",,,"C16H31O2",,,,"Hexadecanoate (n-C16:0)",,"_577895",,"Hexadecanoate (n-C16:0)",,"p","M_hdca_p","species","species",,"false","Hexadecanoate (n-C16:0)",,,,
,,"_580289","mmol_per_gDW_per_hr","6.1.1.21",,,"b2514",,"R_HISTRS_FLUX_VALUE","Histidyl-tRNA synthetase",,"_580289",,"Histidyl-tRNA synthetase","false",,"R_HISTRS","reaction","reaction irreversible",,"false","Histidyl-tRNA synthetase","tRNA Charging",,,
,,"_578381","mmol_per_gDW_per_hr","",,,"",,"R_EX_fe3_LPAREN_e_RPAREN__FLUX_VALUE","Fe3+ exchange",,"_578381",,"Fe3+ exchange","true",,"R_EX_fe3_LPAREN_e_RPAREN_","reaction","reaction reversible",,"false","Fe3+ exchange","",,,
,,"_580656","mmol_per_gDW_per_hr","",,,"(b0241 or b0929 or b1377 or b2215)",,"R_METSOX1tex_FLUX_VALUE","L-methionine S-oxide diffusion (extracellular)",,"_580656",,"L-methionine S-oxide diffusion (extracellular)","true",,"R_METSOX1tex","reaction","reaction reversible",,"false","L-methionine S-oxide diffusion (extracellular)","Transport, Outer Membrane Porin",,,
"0","1","_574255","substance",,,"C14H20N6O5S",,,,"S-Adenosyl-L-homocysteine",,"_574255",,"S-Adenosyl-L-homocysteine",,"c","M_ahcys_c","species","species",,"false","S-Adenosyl-L-homocysteine",,,,
,,"_579555","mmol_per_gDW_per_hr","2.7.4.8",,,"b3648",,"R_DGK1_FLUX_VALUE","deoxyguanylate kinase (dGMP:ATP)",,"_579555",,"deoxyguanylate kinase (dGMP:ATP)","true",,"R_DGK1","reaction","reaction reversible",,"false","deoxyguanylate kinase (dGMP:ATP)","Nucleotide Salvage Pathway",,,
"-1","3","_577896","substance",,,"C16H29O2",,,,"Hexadecenoate (n-C16:1)",,"_577896",,"Hexadecenoate (n-C16:1)",,"p","M_hdcea_p","species","species",,"false","Hexadecenoate (n-C16:1)",,,,
"-4","1","_574257","substance",,,"C9H12N5O13P3",,,,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate",,"_574257",,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate",,"c","M_ahdt_c","species","species",,"false","2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate",,,,
"2","3","_577898","substance",,,"Hg",,,,"Hg2+",,"_577898",,"Hg2+",,"p","M_hg2_p","species","species",,"false","Hg2+",,,,
,,"_581442","mmol_per_gDW_per_hr","5.3.1.6",,,"(b2914 or b4090)",,"R_RPI_FLUX_VALUE","ribose-5-phosphate isomerase",,"_581442",,"ribose-5-phosphate isomerase","true",,"R_RPI","reaction","reaction reversible",,"false","ribose-5-phosphate isomerase","Pentose Phosphate Pathway",,,
"-2","1","_574259","substance",,,"C9H13N4O8P",,,,"5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide",,"_574259",,"5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide",,"c","M_aicar_c","species","species",,"false","5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide",,,,
,,"_581640","mmol_per_gDW_per_hr","",,,"((b0996 and b0997) or (b1872 and b1873))",,"R_TMAOR2pp_FLUX_VALUE","Trimethylamine N-oxide reductase (demethylmenaquinol 8) (periplasm)",,"_581640",,"Trimethylamine N-oxide reductase (demethylmenaquinol 8) (periplasm)","false",,"R_TMAOR2pp","reaction","reaction irreversible",,"false","Trimethylamine N-oxide reductase (demethylmenaquinol 8) (periplasm)","Oxidative Phosphorylation",,,
"0","3","_577899","substance",,,"C6H9N3O2",,,,"L-Histidine",,"_577899",,"L-Histidine",,"p","M_his_DASH_L_p","species","species",,"false","L-Histidine",,,,
,,"_578622","mmol_per_gDW_per_hr","",,,"",,"R_EX_so2_LPAREN_e_RPAREN__FLUX_VALUE","sulfur dioxide exchange",,"_578622",,"sulfur dioxide exchange","true",,"R_EX_so2_LPAREN_e_RPAREN_","reaction","reaction reversible",,"false","sulfur dioxide exchange","",,,
"-2","1","_574261","substance",,,"C8H12N3O7P",,,,"5-amino-1-(5-phospho-D-ribosyl)imidazole",,"_574261",,"5-amino-1-(5-phospho-D-ribosyl)imidazole",,"c","M_air_c","species","species",,"false","5-amino-1-(5-phospho-D-ribosyl)imidazole",,,,
,,"_581843","mmol_per_gDW_per_hr","",,,"(b0241 or b0929 or b1377 or b2215)",,"R_Zn2tex_FLUX_VALUE","zinc (Zn+2) transport via diffusion (extracellular to periplasm)",,"_581843",,"zinc (Zn+2) transport via diffusion (extracellular to periplasm)","true",,"R_Zn2tex","reaction","reaction reversible",,"false","zinc (Zn+2) transport via diffusion (extracellular to periplasm)","Transport, Outer Membrane Porin",,,
"0","3","_577901","substance",,,"C4H9NO3",,,,"L-Homoserine",,"_577901",,"L-Homoserine",,"p","M_hom_DASH_L_p","species","species",,"false","L-Homoserine",,,,
,,"_579199","mmol_per_gDW_per_hr","",,,"b4115",,"R_ARGAGMt7pp_FLUX_VALUE","Arginine/agmatine antiport (periplasm)",,"_579199",,"Arginine/agmatine antiport (periplasm)","true",,"R_ARGAGMt7pp","reaction","reaction reversible",,"false","Arginine/agmatine antiport (periplasm)","Transport, Inner Membrane",,,
"-2","1","_574263","substance",,,"C5H4O5",,,,"2-Oxoglutarate",,"_574263",,"2-Oxoglutarate",,"c","M_akg_c","species","species",,"false","2-Oxoglutarate",,,,
,,"_581048","mmol_per_gDW_per_hr","",,,"(b0114 and b0115 and b0116)",,"R_PDH_FLUX_VALUE","pyruvate dehydrogenase",,"_581048",,"pyruvate dehydrogenase","false",,"R_PDH","reaction","reaction irreversible",,"false","pyruvate dehydrogenase","Glycolysis/Gluconeogenesis",,,
,,"_579948","mmol_per_gDW_per_hr","",,,"(b1817 and b1818 and b1819 and b2415 and b2416)",,"R_FRUpts2pp_FLUX_VALUE","Fructose transport via PEP:Pyr PTS (f6p generating) (periplasm)",,"_579948",,"Fructose transport via PEP:Pyr PTS (f6p generating) (periplasm)","false",,"R_FRUpts2pp","reaction","reaction irreversible",,"false","Fructose transport via PEP:Pyr PTS (f6p generating) (periplasm)","Transport, Inner Membrane",,,
"-1","3","_577902","substance",,,"C6H11O2",,,,"Hexanoate (n-C6:0)",,"_577902",,"Hexanoate (n-C6:0)",,"p","M_hxa_p","species","species",,"false","Hexanoate (n-C6:0)",,,,
,,"_580854","mmol_per_gDW_per_hr","",,,"((b0463 and b0462 and b3035) or (b0463 and b2470 and b3035))",,"R_NOVBCNtpp_FLUX_VALUE","Novobiocin transport via TolC system",,"_580854",,"Novobiocin transport via TolC system","false",,"R_NOVBCNtpp","reaction","reaction irreversible",,"false","Novobiocin transport via TolC system","Transport, Outer Membrane",,,
,,"_579773","mmol_per_gDW_per_hr","4.3.1.7",,,"(b2440 and b2441)",,"R_ETHAAL_FLUX_VALUE","Ethanolamine ammonia-lyase",,"_579773",,"Ethanolamine ammonia-lyase","false",,"R_ETHAAL","reaction","reaction irreversible",,"false","Ethanolamine ammonia-lyase","Cell Envelope Biosynthesis",,,
"0","1","_574265","substance",,,"C3H7NO2",,,,"beta-Alanine",,"_574265",,"beta-Alanine",,"c","M_ala_DASH_B_c","species","species",,"false","beta-Alanine",,,,
,,"_581241","mmol_per_gDW_per_hr","",,,"b1015",,"R_PPAt4pp_FLUX_VALUE","Na+/Propionate symporter (periplasm)",,"_581241",,"Na+/Propionate symporter (periplasm)","false",,"R_PPAt4pp","reaction","reaction irreversible",,"false","Na+/Propionate symporter (periplasm)","Transport, Inner Membrane",,,
,,"_579377","mmol_per_gDW_per_hr","",,,"(b0241 or b0929 or b1377 or b2215)",,"R_CLtex_FLUX_VALUE","chloride (Cl-1) transport via diffusion (extracellular to periplasm)",,"_579377",,"chloride (Cl-1) transport via diffusion (extracellular to periplasm)","true",,"R_CLtex","reaction","reaction reversible",,"false","chloride (Cl-1) transport via diffusion (extracellular to periplasm)","Transport, Outer Membrane Porin",,,
,,"_580472","mmol_per_gDW_per_hr","3.1.1.5",,,"b0494",,"R_LPLIPAL1A141pp_FLUX_VALUE","Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:1) (periplasm)",,"_580472",,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:1) (periplasm)","false",,"R_LPLIPAL1A141pp","reaction","reaction irreversible",,"false","Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:1) (periplasm)","Glycerophospholipid Metabolism",,,
"0","3","_577904","substance",,,"C5H4N4O",,,,"Hypoxanthine",,"_577904",,"Hypoxanthine",,"p","M_hxan_p","species","species",,"false","Hypoxanthine",,,,
"0","1","_574267","substance",,,"C3H7NO2",,,,"D-Alanine",,"_574267",,"D-Alanine",,"c","M_ala_DASH_D_c","species","species",,"false","D-Alanine",,,,
"-1","3","_577905","substance",,,"C6H11O7",,,,"L-Idonate",,"_577905",,"L-Idonate",,"p","M_idon_DASH_L_p","species","species",,"false","L-Idonate",,,,
,,"_579021","mmol_per_gDW_per_hr","",,,"b1992",,"R_ADOCBLS_FLUX_VALUE","Adenosylcobalamin 5'-phosphate synthase",,"_579021",,"Adenosylcobalamin 5'-phosphate synthase","false",,"R_ADOCBLS","reaction","reaction irreversible",,"false","Adenosylcobalamin 5'-phosphate synthase","Cofactor and Prosthetic Group Biosynthesis",,,
"0","1","_574269","substance",,,"C3H7NO2",,,,"L-Alanine",,"_574269",,"L-Alanine",,"c","M_ala_DASH_L_c","species","species",,"false","L-Alanine",,,,
"0","3","_577907","substance",,,"C6H13NO2",,,,"L-Isoleucine",,"_577907",,"L-Isoleucine",,"p","M_ile_DASH_L_p","species","species",,"false","L-Isoleucine",,,,
"0","1","_574271","substance",,,"C6H12N2O3",,,,"D-Alanyl-D-alanine",,"_574271",,"D-Alanyl-D-alanine",,"c","M_alaala_c","species","species",,"false","D-Alanyl-D-alanine",,,,
,,"_578382","mmol_per_gDW_per_hr","",,,"",,"R_EX_fe3dcit_LPAREN_e_RPAREN__FLUX_VALUE","Fe(III)dicitrate exchange",,"_578382",,"Fe(III)dicitrate exchange","true",,"R_EX_fe3dcit_LPAREN_e_RPAREN_","reaction","reaction reversible",,"false","Fe(III)dicitrate exchange","",,,
"-2","3","_577908","substance",,,"C10H11N4O8P",,,,"IMP",,"_577908",,"IMP",,"p","M_imp_p","species","species",,"false","IMP",,,,
,,"_580657","mmol_per_gDW_per_hr","",,,"",,"R_METSOX2abcpp_FLUX_VALUE","L-methionine R-oxide transport via ABC system (periplasm)",,"_580657",,"L-methionine R-oxide transport via ABC system (periplasm)","false",,"R_METSOX2abcpp","reaction","reaction irreversible",,"false","L-methionine R-oxide transport via ABC system (periplasm)","Transport, Inner Membrane",,,
"-1","1","_574273","substance",,,"C5H7O4",,,,"(S)-2-Acetolactate",,"_574273",,"(S)-2-Acetolactate",,"c","M_alac_DASH_S_c","species","species",,"false","(S)-2-Acetolactate",,,,
,,"_578841","mmol_per_gDW_per_hr","2.3.1.41",,,"(b2323 or b1095)",,"R_3OAS100_FLUX_VALUE","3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)",,"_578841",,"3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)","false",,"R_3OAS100","reaction","reaction irreversible",,"false","3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)","Cell Envelope Biosynthesis",,,
"0","3","_577910","substance",,,"C8H7N",,,,"Indole",,"_577910",,"Indole",,"p","M_indole_p","species","species",,"false","Indole",,,,
,,"_580104","mmol_per_gDW_per_hr","6.1.1.17",,,"b2400",,"R_GLUTRS_FLUX_VALUE","Glutamyl-tRNA synthetase",,"_580104",,"Glutamyl-tRNA synthetase","false",,"R_GLUTRS","reaction","reaction irreversible",,"false","Glutamyl-tRNA synthetase","Cofactor and Prosthetic Group Biosynthesis",,,
"1","1","_574275","substance",,,"C3H6NOR",,,,"L-Alanyl-tRNA(Ala)",,"_574275",,"L-Alanyl-tRNA(Ala)",,"c","M_alatrna_c","species","species",,"false","L-Alanyl-tRNA(Ala)",,,,
,,"_581444","mmol_per_gDW_per_hr","",,,"b0638",,"R_RZ5PP_FLUX_VALUE","alpha-ribazole 5-phosphate phosphatase",,"_581444",,"alpha-ribazole 5-phosphate phosphatase","false",,"R_RZ5PP","reaction","reaction irreversible",,"false","alpha-ribazole 5-phosphate phosphatase","Cofactor and Prosthetic Group Biosynthesis",,,
,,"_579556","mmol_per_gDW_per_hr","",,,"(b0241 or b0929 or b1377 or b2215)",,"R_DGMPtex_FLUX_VALUE","dGMP transport via diffusion (extracellular to periplasm)",,"_579556",,"dGMP transport via diffusion (extracellular to periplasm)","true",,"R_DGMPtex","reaction","reaction reversible",,"false","dGMP transport via diffusion (extracellular to periplasm)","Transport, Outer Membrane Porin",,,
"0","3","_577911","substance",,,"C6H12O6",,,,"myo-Inositol",,"_577911",,"myo-Inositol",,"p","M_inost_p","species","species",,"false","myo-Inositol",,,,
,,"_580290","mmol_per_gDW_per_hr","",,,"(b2309 and b2307 and b2306 and b2308)",,"R_HISabcpp_FLUX_VALUE","L-histidine transport via ABC system (periplasm)",,"_580290",,"L-histidine transport via ABC system (periplasm)","false",,"R_HISabcpp","reaction","reaction irreversible",,"false","L-histidine transport via ABC system (periplasm)","Transport, Inner Membrane",,,
"0","1","_574277","substance",,,"C6H12O6",,,,"D-Allose",,"_574277",,"D-Allose",,"c","M_all_DASH_D_c","species","species",,"false","D-Allose",,,,
,,"_578624","mmol_per_gDW_per_hr","",,,"",,"R_EX_so3_LPAREN_e_RPAREN__FLUX_VALUE","Sulfite exchange",,"_578624",,"Sulfite exchange","true",,"R_EX_so3_LPAREN_e_RPAREN_","reaction","reaction reversible",,"false","Sulfite exchange","",,,
"0","3","_577913","substance",,,"C10H12N4O5",,,,"Inosine",,"_577913",,"Inosine",,"p","M_ins_p","species","species",,"false","Inosine",,,,
"-2","1","_574279","substance",,,"C6H11O9P",,,,"D-Allose 6-phosphate",,"_574279",,"D-Allose 6-phosphate",,"c","M_all6p_c","species","species",,"false","D-Allose 6-phosphate",,,,
"-1","3","_577914","substance",,,"C2H5O4S",,,,"Isethionic acid",,"_577914",,"Isethionic acid",,"p","M_isetac_p","species","species",,"false","Isethionic acid",,,,
"0","1","_574281","substance",,,"C4H6N4O3",,,,"Allantoin",,"_574281",,"Allantoin",,"c","M_alltn_c","species","species",,"false","Allantoin",,,,
"1","3","_577916","substance",,,"K",,,,"potassium",,"_577916",,"potassium",,"p","M_k_p","species","species",,"false","potassium",,,,
,,"_581642","mmol_per_gDW_per_hr","",,,"(b0241 or b0929 or b1377 or b2215)",,"R_TMAOtex_FLUX_VALUE","Trimethylamine N-oxide transport via diffusion (extracellular to periplasm)",,"_581642",,"Trimethylamine N-oxide transport via diffusion (extracellular to periplasm)","true",,"R_TMAOtex","reaction","reaction reversible",,"false","Trimethylamine N-oxide transport via diffusion (extracellular to periplasm)","Transport, Outer Membrane Porin",,,
,,"_579201","mmol_per_gDW_per_hr","4.1.1.19",,,"b4117",,"R_ARGDC_FLUX_VALUE","arginine decarboxylase",,"_579201",,"arginine decarboxylase","false",,"R_ARGDC","reaction","reaction irreversible",,"false","arginine decarboxylase","Arginine and Proline Metabolism",,,
"-1","1","_574283","substance",,,"C4H7N4O4",,,,"Allantoate",,"_574283",,"Allantoate",,"c","M_alltt_c","species","species",,"false","Allantoate",,,,
,,"_579378","mmol_per_gDW_per_hr","3.2.2.10",,,"",,"R_CMPN_FLUX_VALUE","CMP nucleosidase",,"_579378",,"CMP nucleosidase","false",,"R_CMPN","reaction","reaction irreversible",,"false","CMP nucleosidase","Nucleotide Salvage Pathway",,,
,,"_579949","mmol_per_gDW_per_hr","",,,"(b2167 and b2169 and b2415 and b2416)",,"R_FRUptspp_FLUX_VALUE","D-fructose transport via PEP:Pyr PTS (periplasm)",,"_579949",,"D-fructose transport via PEP:Pyr PTS (periplasm)","false",,"R_FRUptspp","reaction","reaction irreversible",,"false","D-fructose transport via PEP:Pyr PTS (periplasm)","Transport, Inner Membrane",,,
,,"_579775","mmol_per_gDW_per_hr","",,,"",,"R_ETHAt2pp_FLUX_VALUE","ethanolamine transport in via proton symport",,"_579775",,"ethanolamine transport in via proton symport","false",,"R_ETHAt2pp","reaction","reaction irreversible",,"false","ethanolamine transport in via proton symport","Transport, Inner Membrane",,,
"-6","3","_577917","substance",,,"C84H148N2O37P2",,,,"KDO(2)-lipid IV(A)",,"_577917",,"KDO(2)-lipid IV(A)",,"p","M_kdo2lipid4_p","species","species",,"false","KDO(2)-lipid IV(A)",,,,
,,"_580855","mmol_per_gDW_per_hr","",,,"(b0241 or b0929 or b1377 or b2215)",,"R_NOtex_FLUX_VALUE","nitric oxide transport via diffusion (extracellular to periplasm)",,"_580855",,"nitric oxide transport via diffusion (extracellular to periplasm)","true",,"R_NOtex","reaction","reaction reversible",,"false","nitric oxide transport via diffusion (extracellular to periplasm)","Transport, Outer Membrane Porin",,,
"-2","1","_574285","substance",,,"C6H11O9P",,,,"Allulose 6-phosphate",,"_574285",,"Allulose 6-phosphate",,"c","M_allul6p_c","species","species",,"false","Allulose 6-phosphate",,,,
,,"_581243","mmol_per_gDW_per_hr","",,,"(b1377 or b0929 or b2215 or b0241)",,"R_PPAtex_FLUX_VALUE","propionate transport via diffusion",,"_581243",,"propionate transport via diffusion","true",,"R_PPAtex","reaction","reaction reversible",,"false","propionate transport via diffusion","Transport, Outer Membrane Porin",,,
