"network","drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","mean.min.bet","mean.max.bet","mean.mean.bet","Drug1","Drug2","drugdrug","code_3letter1","code_3letter2","drug_cat","drug_category1","drug_category2","categorycategory","targ","targeted_cellular_process1","targeted_cellular_process2","processprocess","us","use1","use2","useuse","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g","SR_ebw_D1","SR_ecr_D1","SR_stm_D1","SR_seo_D1","SR_pae_D1","SR_pau_D1","SR_ebw_D2","SR_ecr_D2","SR_stm_D2","SR_seo_D2","SR_pae_D2","SR_pau_D2","SR_ebw","SR_ecr","SR_stm","SR_seo","SR_pae","SR_pau","SR_score_ebw","SR_score_ecr","SR_score_stm","SR_score_seo","SR_score_pae","SR_score_pau","SR_score_total","HDC_ebw_D1","HDC_ecr_D1","HDC_stm_D1","HDC_seo_D1","HDC_pae_D1","HDC_pau_D1","LF_ebw_D1","LF_ecr_D1","LF_stm_D1","LF_seo_D1","LF_pae_D1","LF_pau_D1","HDC_ebw_D2","HDC_ecr_D2","HDC_stm_D2","HDC_seo_D2","HDC_pae_D2","HDC_pau_D2","LF_ebw_D2","LF_ecr_D2","LF_stm_D2","LF_seo_D2","LF_pae_D2","LF_pau_D2","clusters","sigma.rate","type","connection_onoff"
"EN:allnetworks","Cefaclor_Mecillinam",1.8,50.2,50.2,75,62.6,"1",2995.1221,5225.4359,4110.279,"Cefaclor","Mecillinam","Cefaclor-Mecillinam","CEC","MEC",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.20308159,-0.207187862,-0.510073655,-0.614446299,0.041077697,-0.035142123,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","S","S","R","R","S","S","S","S","R","R","SS","SS","SS","SS","RR","RR",-1,-1,-1,-1,1,1,-2,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,14,0.00784670396122041,"Additivity-Synergy","connected"
"Co-occurence of prot. domains","Cefaclor_Meropenem",Inf,0.3333,1,2.3333,1.6667,"1",0,0,0,"Cefaclor","Meropenem","Cefaclor-Meropenem","CEC","MEM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.210192993,-0.121529073,-0.678603064,-0.154458054,0.045858466,-0.047589679,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,14,0.00784670396122041,"Additivity-Synergy","connected"
"Similar phylogenetic profiles","Cefaclor_Meropenem",5.8333,1,1.1667,2.3333,1.75,"0",0,872,436,"Cefaclor","Meropenem","Cefaclor-Meropenem","CEC","MEM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.210192993,-0.121529073,-0.678603064,-0.154458054,0.045858466,-0.047589679,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,14,0.00784670396122041,"Additivity-Synergy","connected"
"Small/medium-scale PPI","Cefaclor_Meropenem",2.8,1.6,2,7.2,4.6,"1",207.8068,865.8203,536.8135,"Cefaclor","Meropenem","Cefaclor-Meropenem","CEC","MEM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.210192993,-0.121529073,-0.678603064,-0.154458054,0.045858466,-0.047589679,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,14,0.00784670396122041,"Additivity-Synergy","connected"
"High-throughput PPI","Cefaclor_Meropenem",3.5333,6.8667,6.9333,32.4,19.6667,"0",2645.0598,37472.5534,20058.8066,"Cefaclor","Meropenem","Cefaclor-Meropenem","CEC","MEM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.210192993,-0.121529073,-0.678603064,-0.154458054,0.045858466,-0.047589679,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,14,0.00784670396122041,"Additivity-Synergy","connected"
"Co-expression","Cefaclor_Meropenem",3.4,9.5333,9.5333,42.1333,25.8333,"0",772.6031,5365.136,3068.8695,"Cefaclor","Meropenem","Cefaclor-Meropenem","CEC","MEM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.210192993,-0.121529073,-0.678603064,-0.154458054,0.045858466,-0.047589679,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,14,0.00784670396122041,"Additivity-Synergy","connected"
"Similar genomic context","Cefaclor_Meropenem",3.0667,13.1333,13.1333,25.5333,19.3333,"0",2944.0459,13562.154,8253.0999,"Cefaclor","Meropenem","Cefaclor-Meropenem","CEC","MEM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.210192993,-0.121529073,-0.678603064,-0.154458054,0.045858466,-0.047589679,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,14,0.00784670396122041,"Additivity-Synergy","connected"
"Co-functional(EcoCyc)","Cefaclor_Meropenem",1,15,15,15,15,"1",0,0,0,"Cefaclor","Meropenem","Cefaclor-Meropenem","CEC","MEM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.210192993,-0.121529073,-0.678603064,-0.154458054,0.045858466,-0.047589679,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,14,0.00784670396122041,"Additivity-Synergy","connected"
"Co-functional (GO-BP)","Cefaclor_Meropenem",1.2,38.0667,39.6667,57.6667,48.6667,"1",6550.9088,17636.6732,12093.791,"Cefaclor","Meropenem","Cefaclor-Meropenem","CEC","MEM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.210192993,-0.121529073,-0.678603064,-0.154458054,0.045858466,-0.047589679,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,14,0.00784670396122041,"Additivity-Synergy","connected"
"Co-functional (EcoCyc/GO-BP)","Cefaclor_Meropenem",1.0667,43.6667,45,62.6667,53.8333,"1",11165.3689,28714.3712,19939.8701,"Cefaclor","Meropenem","Cefaclor-Meropenem","CEC","MEM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.210192993,-0.121529073,-0.678603064,-0.154458054,0.045858466,-0.047589679,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,14,0.00784670396122041,"Additivity-Synergy","connected"
"EN:allnetworks","Cefaclor_Meropenem",1.4667,48.4667,48.4667,85.5333,67,"1",2751.5058,5860.5012,4306.0035,"Cefaclor","Meropenem","Cefaclor-Meropenem","CEC","MEM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.210192993,-0.121529073,-0.678603064,-0.154458054,0.045858466,-0.047589679,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,14,0.00784670396122041,"Additivity-Synergy","connected"
"Co-citation","Cefaclor_Meropenem",1.4,69.5,69.5,153.3,111.4,"1",1357.6787,9049.1332,5203.406,"Cefaclor","Meropenem","Cefaclor-Meropenem","CEC","MEM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.210192993,-0.121529073,-0.678603064,-0.154458054,0.045858466,-0.047589679,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,14,0.00784670396122041,"Additivity-Synergy","connected"
"Co-functional (EcoCyc/GO-BP)","Cefaclor_Metformin",Inf,0,6,53.8333,29.9167,"0",0,19939.8701,9969.935,"Cefaclor","Metformin","Cefaclor-Metformin","CEC","MF",0,"beta-lactam","human drug","beta-lactam-human drug",0,"cell wall","human","cell wall-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.135305245,0.061734082,0.646215292,0.462285284,0.033465329,-0.038916479,"Additivity","Additivity","Antagonism","Additivity","Additivity","Additivity",0,0,1,0,0,0,1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,1,0.00354172479112979,"Additivity-Antagonism","disconnected"
"Co-functional(EcoCyc)","Cefaclor_Metformin",Inf,0,6,15,10.5,"0",0,0,0,"Cefaclor","Metformin","Cefaclor-Metformin","CEC","MF",0,"beta-lactam","human drug","beta-lactam-human drug",0,"cell wall","human","cell wall-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.135305245,0.061734082,0.646215292,0.462285284,0.033465329,-0.038916479,"Additivity","Additivity","Antagonism","Additivity","Additivity","Additivity",0,0,1,0,0,0,1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,1,0.00354172479112979,"Additivity-Antagonism","disconnected"
"Co-occurence of prot. domains","Cefaclor_Metformin",Inf,0,1.6667,4,2.8333,"0",0,0,0,"Cefaclor","Metformin","Cefaclor-Metformin","CEC","MF",0,"beta-lactam","human drug","beta-lactam-human drug",0,"cell wall","human","cell wall-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.135305245,0.061734082,0.646215292,0.462285284,0.033465329,-0.038916479,"Additivity","Additivity","Antagonism","Additivity","Additivity","Additivity",0,0,1,0,0,0,1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,1,0.00354172479112979,"Additivity-Antagonism","disconnected"
"Small/medium-scale PPI","Cefaclor_Metformin",6,1,1,4.6,2.8,"0",0,536.8135,268.4068,"Cefaclor","Metformin","Cefaclor-Metformin","CEC","MF",0,"beta-lactam","human drug","beta-lactam-human drug",0,"cell wall","human","cell wall-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.135305245,0.061734082,0.646215292,0.462285284,0.033465329,-0.038916479,"Additivity","Additivity","Antagonism","Additivity","Additivity","Additivity",0,0,1,0,0,0,1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,1,0.00354172479112979,"Additivity-Antagonism","connected"
"Similar phylogenetic profiles","Cefaclor_Metformin",5.5,1.25,1.5,2.25,1.875,"0",0,436,218,"Cefaclor","Metformin","Cefaclor-Metformin","CEC","MF",0,"beta-lactam","human drug","beta-lactam-human drug",0,"cell wall","human","cell wall-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.135305245,0.061734082,0.646215292,0.462285284,0.033465329,-0.038916479,"Additivity","Additivity","Antagonism","Additivity","Additivity","Additivity",0,0,1,0,0,0,1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,1,0.00354172479112979,"Additivity-Antagonism","connected"
"High-throughput PPI","Cefaclor_Metformin",3,12,12.1667,40.5,26.3333,"0",7964.5319,40300.8552,24132.6935,"Cefaclor","Metformin","Cefaclor-Metformin","CEC","MF",0,"beta-lactam","human drug","beta-lactam-human drug",0,"cell wall","human","cell wall-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.135305245,0.061734082,0.646215292,0.462285284,0.033465329,-0.038916479,"Additivity","Additivity","Antagonism","Additivity","Additivity","Additivity",0,0,1,0,0,0,1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,1,0.00354172479112979,"Additivity-Antagonism","connected"
"Similar genomic context","Cefaclor_Metformin",3.3333,14.8333,14.8333,23.5,19.1667,"0",4502.7084,12518.852,8510.7802,"Cefaclor","Metformin","Cefaclor-Metformin","CEC","MF",0,"beta-lactam","human drug","beta-lactam-human drug",0,"cell wall","human","cell wall-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.135305245,0.061734082,0.646215292,0.462285284,0.033465329,-0.038916479,"Additivity","Additivity","Antagonism","Additivity","Additivity","Additivity",0,0,1,0,0,0,1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,1,0.00354172479112979,"Additivity-Antagonism","connected"
"Co-expression","Cefaclor_Metformin",3.1667,15.3333,15.3333,43.5,29.4167,"0",867.886,4163.5313,2515.7087,"Cefaclor","Metformin","Cefaclor-Metformin","CEC","MF",0,"beta-lactam","human drug","beta-lactam-human drug",0,"cell wall","human","cell wall-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.135305245,0.061734082,0.646215292,0.462285284,0.033465329,-0.038916479,"Additivity","Additivity","Antagonism","Additivity","Additivity","Additivity",0,0,1,0,0,0,1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,1,0.00354172479112979,"Additivity-Antagonism","connected"
"EN:allnetworks","Cefaclor_Metformin",2.8333,45.3333,45.3333,69.6667,57.5,"0",3009.6199,4881.1017,3945.3608,"Cefaclor","Metformin","Cefaclor-Metformin","CEC","MF",0,"beta-lactam","human drug","beta-lactam-human drug",0,"cell wall","human","cell wall-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.135305245,0.061734082,0.646215292,0.462285284,0.033465329,-0.038916479,"Additivity","Additivity","Antagonism","Additivity","Additivity","Additivity",0,0,1,0,0,0,1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,1,0.00354172479112979,"Additivity-Antagonism","connected"
"Similar phylogenetic profiles","Cefaclor_Moxifloxacin",5.4375,1.5,1.75,8.25,5,"0",6.8705,456.6114,231.7409,"Cefaclor","Moxifloxacin","Cefaclor-Moxifloxacin","CEC","MXF",0,"beta-lactam","quinolones","beta-lactam-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.070060583,0.10837818,0.173153328,0.129586912,-0.025358289,-0.08509036,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","R","S","SS","SS","SS","SS","RR","RS",-1,-1,-1,-1,1,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,10,0.00168415933113605,"Additivity","connected"
"Small/medium-scale PPI","Cefaclor_Moxifloxacin",5.15,1.55,1.9,6.45,4.175,"0",134.2034,1769.75,951.9767,"Cefaclor","Moxifloxacin","Cefaclor-Moxifloxacin","CEC","MXF",0,"beta-lactam","quinolones","beta-lactam-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.070060583,0.10837818,0.173153328,0.129586912,-0.025358289,-0.08509036,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","R","S","SS","SS","SS","SS","RR","RS",-1,-1,-1,-1,1,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,10,0.00168415933113605,"Additivity","connected"
"High-throughput PPI","Cefaclor_Moxifloxacin",3,11.3333,11.5833,37.5833,24.5833,"0",8520.6499,43609.023,26064.8364,"Cefaclor","Moxifloxacin","Cefaclor-Moxifloxacin","CEC","MXF",0,"beta-lactam","quinolones","beta-lactam-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.070060583,0.10837818,0.173153328,0.129586912,-0.025358289,-0.08509036,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","R","S","SS","SS","SS","SS","RR","RS",-1,-1,-1,-1,1,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,10,0.00168415933113605,"Additivity","connected"
"Co-functional (EcoCyc/GO-BP)","Cefaclor_Moxifloxacin",2.0833,13,13,53.8333,33.4167,"1",861.4398,19939.8701,10400.6549,"Cefaclor","Moxifloxacin","Cefaclor-Moxifloxacin","CEC","MXF",0,"beta-lactam","quinolones","beta-lactam-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.070060583,0.10837818,0.173153328,0.129586912,-0.025358289,-0.08509036,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","R","S","SS","SS","SS","SS","RR","RS",-1,-1,-1,-1,1,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,10,0.00168415933113605,"Additivity","connected"
"Co-functional (GO-BP)","Cefaclor_Moxifloxacin",2.0833,13,13,48.6667,30.8333,"1",730.4401,12093.791,6412.1156,"Cefaclor","Moxifloxacin","Cefaclor-Moxifloxacin","CEC","MXF",0,"beta-lactam","quinolones","beta-lactam-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.070060583,0.10837818,0.173153328,0.129586912,-0.025358289,-0.08509036,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","R","S","SS","SS","SS","SS","RR","RS",-1,-1,-1,-1,1,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,10,0.00168415933113605,"Additivity","connected"
"Co-expression","Cefaclor_Moxifloxacin",2.875,14.5833,14.5833,43.5,29.0417,"0",1525.3577,6163.473,3844.4153,"Cefaclor","Moxifloxacin","Cefaclor-Moxifloxacin","CEC","MXF",0,"beta-lactam","quinolones","beta-lactam-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.070060583,0.10837818,0.173153328,0.129586912,-0.025358289,-0.08509036,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","R","S","SS","SS","SS","SS","RR","RS",-1,-1,-1,-1,1,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,10,0.00168415933113605,"Additivity","connected"
"Similar genomic context","Cefaclor_Moxifloxacin",2.5833,17.8333,17.8333,27.75,22.7917,"1",6548.0405,17282.4461,11915.2433,"Cefaclor","Moxifloxacin","Cefaclor-Moxifloxacin","CEC","MXF",0,"beta-lactam","quinolones","beta-lactam-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.070060583,0.10837818,0.173153328,0.129586912,-0.025358289,-0.08509036,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","R","S","SS","SS","SS","SS","RR","RS",-1,-1,-1,-1,1,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,10,0.00168415933113605,"Additivity","connected"
"EN:allnetworks","Cefaclor_Moxifloxacin",2,46.1667,46.1667,72.0833,59.125,"1",3302.3954,5630.4038,4466.3996,"Cefaclor","Moxifloxacin","Cefaclor-Moxifloxacin","CEC","MXF",0,"beta-lactam","quinolones","beta-lactam-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.070060583,0.10837818,0.173153328,0.129586912,-0.025358289,-0.08509036,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","R","S","SS","SS","SS","SS","RR","RS",-1,-1,-1,-1,1,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,10,0.00168415933113605,"Additivity","connected"
"Similar phylogenetic profiles","Cefaclor_Novobiocin",5.5,1.5,1.75,8,4.875,"0",5.6284,452.8853,229.2569,"Cefaclor","Novobiocin","Cefaclor-Novobiocin","CEC","NVB",0,"beta-lactam","quinolones","beta-lactam-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.166210005,-0.066473401,-0.059592156,-0.042793507,-0.025846536,-0.024146088,"Antagonism","Additivity","Additivity","Additivity","Additivity","Additivity",1,0,0,0,0,0,1,"S","S","S","S","R","R","S","S","R","S","R","R","SS","SS","SR","SS","RR","RR",-1,-1,0,-1,1,1,-1,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,9,0.000821135662615308,"Additivity-Antagonism","connected"
"Small/medium-scale PPI","Cefaclor_Novobiocin",5.5,2.1,2.8,8.3,5.55,"0",268.4068,3002.6864,1635.5466,"Cefaclor","Novobiocin","Cefaclor-Novobiocin","CEC","NVB",0,"beta-lactam","quinolones","beta-lactam-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.166210005,-0.066473401,-0.059592156,-0.042793507,-0.025846536,-0.024146088,"Antagonism","Additivity","Additivity","Additivity","Additivity","Additivity",1,0,0,0,0,0,1,"S","S","S","S","R","R","S","S","R","S","R","R","SS","SS","SR","SS","RR","RR",-1,-1,0,-1,1,1,-1,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,9,0.000821135662615308,"Additivity-Antagonism","connected"
