"network","drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","Drug1","Drug2","code_3letter1","code_3letter2","drug_category1","drug_category2","targeted_cellular_process1","targeted_cellular_process2","use1","use2","processprocess","us","useuse","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_pae","int_sign_pau","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g","SR_ebw_D1","SR_ecr_D1","SR_stm_D1","SR_seo_D1","SR_pae_D1","SR_pau_D1","SR_ebw_D2","SR_ecr_D2","SR_stm_D2","SR_seo_D2","SR_pae_D2","SR_pau_D2","SR_ebw","SR_ecr","SR_stm","SR_seo","SR_pae","SR_pau","SR_score_ebw","SR_score_ecr","SR_score_stm","SR_score_seo","SR_score_pae","SR_score_pau","SR_score_total","HDC_ebw_D1","HDC_ecr_D1","HDC_stm_D1","HDC_seo_D1","HDC_pae_D1","HDC_pau_D1","LF_ebw_D1","LF_ecr_D1","LF_stm_D1","LF_seo_D1","LF_pae_D1","LF_pau_D1","HDC_ebw_D2","HDC_ecr_D2","HDC_stm_D2","HDC_seo_D2","HDC_pae_D2","HDC_pau_D2","connection_onoff"
"Co-functional (EcoCyc/GO-BP)","Fusidic acid_Novobiocin",5,1,1,20,10.5,"0","Fusidic acid","Novobiocin","FUS","NVB","other protein synthesis inhibitor","quinolones","protein synthesis inhibitor","DNA","antibiotic","antibiotic","DNA-protein synthesis inhibitor",1,"antibiotic-antibiotic",-0.323897,-0.2231819,0.09273217,-0.03417049,0.04815108,-0.04082844,"Additivity","Additivity","Additivity",0,-1,1,0,0,0,0,"S","S","R","R","R","R","S","S","R","S","R","R","SS","SS","RR","RS","RR","RR",-1,-1,1,0,1,1,1,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,20,20,20,20,20,20,"connected"
"Co-functional (EcoCyc/GO-BP)","Fusidic acid_Penicillin G",4.5,1,1,53.8333,27.4167,"0","Fusidic acid","Penicillin G","FUS","PEN","other protein synthesis inhibitor","beta-lactam","protein synthesis inhibitor","cell wall","antibiotic","antibiotic","cell wall-protein synthesis inhibitor",1,"antibiotic-antibiotic",0.03784002,-0.1249065,0.07747842,0.05449369,-0.07469997,-0.03304469,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","S","S","S","R","R","SR","SS","RS","RS","RR","RR",0,-1,0,0,1,1,1,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,5,5,1.25,1.25,10,10,"connected"
"Co-functional (EcoCyc/GO-BP)","Fusidic acid_Piperacillin",4.5,1,1,53.8333,27.4167,"0","Fusidic acid","Piperacillin","FUS","PIP","other protein synthesis inhibitor","beta-lactam","protein synthesis inhibitor","cell wall","antibiotic","antibiotic","cell wall-protein synthesis inhibitor",1,"antibiotic-antibiotic",-0.1058936,-0.2119994,-0.07037301,-0.09135168,0.06592041,-0.04604547,"Additivity","Additivity","Additivity",0,-1,0,0,0,0,-1,"S","S","R","R","R","R","R","S","S","S","S","S","SR","SS","RS","RS","RS","RS",0,-1,0,0,0,0,-1,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,0.3,0.3,1,1,2,3,"connected"
"Co-functional (EcoCyc/GO-BP)","Fusidic acid_Sulfamonomethoxine",5,1,1,21,11,"0","Fusidic acid","Sulfamonomethoxine","FUS","SMM","other protein synthesis inhibitor","folic acid biosynthesis","protein synthesis inhibitor","DNA","antibiotic","antibiotic","DNA-protein synthesis inhibitor",1,"antibiotic-antibiotic",0.03737057,-0.09953237,0.05041137,0.05258064,-0.0676182,0.03152258,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,50,50,50,50,100,100,"connected"
"Co-functional (EcoCyc/GO-BP)","Fusidic acid_Triclosan",6,1,1,17,9,"0","Fusidic acid","Triclosan","FUS","TRI","other protein synthesis inhibitor","other membrane","protein synthesis inhibitor","membrane","antibiotic","anti-infective","membrane-protein synthesis inhibitor",0,"anti-infective-antibiotic",0.03008651,-0.06352766,-0.09296829,-0.06696317,-0.019831,0.03619992,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,0.04,0.04,0.04,0.04,0.04,0.04,"connected"
"Co-functional (EcoCyc/GO-BP)","Fusidic acid_Trimethoprim",5,1,1,32,16.5,"0","Fusidic acid","Trimethoprim","FUS","TMP","other protein synthesis inhibitor","folic acid biosynthesis","protein synthesis inhibitor","DNA","antibiotic","antibiotic","DNA-protein synthesis inhibitor",1,"antibiotic-antibiotic",0.1565236,0.08222232,0.1328109,0.06120362,0.03411445,-0.04851666,"Antagonism","Additivity","Additivity",1,0,0,0,0,0,1,"S","S","R","R","R","R","S","S","S","S","R","R","SS","SS","RS","RS","RR","RR",-1,-1,0,0,1,1,0,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,0.5,0.5,0.5,0.5,1,1,"connected"
"Co-functional (EcoCyc/GO-BP)","Imipenem_Levofloxacin",2.0833,13,13,53.8333,33.4167,"1","Imipenem","Levofloxacin","IPM","LCX","beta-lactam","DNA gyrase","cell wall","DNA","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",0.030146338,0.0596189,0.109153579,0.050599162,0.032635269,0,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,0.04,0.04,0.08,0.08,2,0.5,"connected"
"Co-functional (EcoCyc/GO-BP)","Imipenem_Mecillinam",1,49.4,50.2,72,61.1,"1","Imipenem","Mecillinam","IPM","MEC","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic","cell wall-cell wall",1,"antibiotic-antibiotic",-0.161474879,-0.054811945,-0.193798007,-0.039099214,0.065690681,0.046164391,"Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","S","S","S","S","S","S","S","S","R","R","SS","SS","SS","SS","SR","SR",-1,-1,-1,-1,0,0,-4,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,0.06,0.06,0.06,0.06,2,2,"connected"
"Co-functional (EcoCyc/GO-BP)","Imipenem_Meropenem",1.0667,43.6667,45,62.6667,53.8333,"1","Imipenem","Meropenem","IPM","MEM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic","cell wall-cell wall",1,"antibiotic-antibiotic",0.043372087,-0.18696158,-0.449210376,-0.150327204,0.091958374,0.0144448,"Additivity","Antagonism","Additivity",0,0,-1,0,1,0,0,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,0.08,0.04,0.08,0.04,1,0.25,"connected"
"Co-functional (EcoCyc/GO-BP)","Imipenem_Metformin",Inf,0,6,53.8333,29.9167,"0","Imipenem","Metformin","IPM","MF","beta-lactam","human drug","cell wall","human","antibiotic","human-targeted drug","cell wall-human",0,"antibiotic-human-targeted drug",0.069277269,0.056932163,0.073458803,0.032644056,-0.167607629,0.162494337,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,12916,12916,38748,38748,25832,25832,"disconnected"
"Co-functional (EcoCyc/GO-BP)","Imipenem_Moxifloxacin",2.0833,13,13,53.8333,33.4167,"1","Imipenem","Moxifloxacin","IPM","MXF","beta-lactam","quinolones","cell wall","DNA","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",0.143071364,0.096001253,0.217666629,0.049052104,-0.077299728,-0.069209125,"Additivity","Additivity","Additivity",0,0,1,0,0,0,1,"S","S","S","S","S","S","S","S","S","S","R","S","SS","SS","SS","SS","SR","SS",-1,-1,-1,-1,0,-1,-5,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,0.08,0.08,0.08,0.08,0.5,0.5,"connected"
"Co-functional (EcoCyc/GO-BP)","Imipenem_Novobiocin",1.5,20,20,53.8333,36.9167,"1","Imipenem","Novobiocin","IPM","NVB","beta-lactam","quinolones","cell wall","DNA","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",-0.046204166,-0.082309638,-0.084773034,-0.05519997,-0.083904471,-0.021116997,"Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","S","S","S","S","S","S","R","S","R","R","SS","SS","SR","SS","SR","SR",-1,-1,0,-1,0,0,-3,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,20,20,20,20,20,20,"connected"
"Co-functional (EcoCyc/GO-BP)","Imipenem_Penicillin G",1.0667,43.6667,45,62.6667,53.8333,"1","Imipenem","Penicillin G","IPM","PEN","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic","cell wall-cell wall",1,"antibiotic-antibiotic",0.044969829,-0.028232779,-0.08263196,-0.083342967,-0.040171339,0.074942716,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","R","S","S","S","R","R","SR","SS","SS","SS","SR","SR",0,-1,-1,-1,0,0,-3,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,5,5,1.25,1.25,10,10,"connected"
"Co-functional (EcoCyc/GO-BP)","Imipenem_Piperacillin",1.0667,43.6667,45,62.6667,53.8333,"1","Imipenem","Piperacillin","IPM","PIP","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic","cell wall-cell wall",1,"antibiotic-antibiotic",0.036917094,-0.101216412,-0.144504898,-0.0625373,0.568022711,-0.063515816,"Additivity","Antagonism","Additivity",0,0,0,0,1,0,1,"S","S","S","S","S","S","R","S","S","S","S","S","SR","SS","SS","SS","SS","SS",0,-1,-1,-1,-1,-1,-5,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,0.3,0.3,1,1,2,3,"connected"
"Co-functional (EcoCyc/GO-BP)","Imipenem_Sulfamonomethoxine",1.5,21,21,53.8333,37.4167,"1","Imipenem","Sulfamonomethoxine","IPM","SMM","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",0.056073715,-0.077024387,-0.071210632,-0.064659168,0.027881695,0.030955533,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","R","R","R","R","R","R","SR","SR","SR","SR","SR","SR",0,0,0,0,0,0,0,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,50,50,50,50,100,100,"connected"
"Co-functional (EcoCyc/GO-BP)","Imipenem_Triclosan",2.5,17,17,53.8333,35.4167,"0","Imipenem","Triclosan","IPM","TRI","beta-lactam","other membrane","cell wall","membrane","antibiotic","anti-infective","cell wall-membrane",0,"anti-infective-antibiotic",0.022938866,-0.105416764,-0.024960561,-0.02091495,-0.251783446,-0.036194732,"Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","S","S","S","S","R","R","R","R","R","R","SR","SR","SR","SR","SR","SR",0,0,0,0,0,0,0,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,"connected"
"Co-functional (EcoCyc/GO-BP)","Imipenem_Trimethoprim",1.5,31.6667,32,53.8333,42.9167,"1","Imipenem","Trimethoprim","IPM","TMP","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",-0.209926531,-0.066841182,0.165331485,0.139693916,-0.026139103,0.045790427,"Synergy","Additivity","Additivity",-1,0,0,0,0,0,-1,"S","S","S","S","S","S","S","S","S","S","R","R","SS","SS","SS","SS","SR","SR",-1,-1,-1,-1,0,0,-4,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,0.5,0.5,0.5,0.5,1,1,"connected"
"Co-functional (EcoCyc/GO-BP)","Levofloxacin_Mecillinam",1.75,13,13,72,42.5,"1","Levofloxacin","Mecillinam","LCX","MEC","DNA gyrase","beta-lactam","DNA","cell wall","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",-0.049779365,0,0.140771768,0.067850078,0.055945681,0.042825499,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","R","R","SS","SS","SS","SS","SR","SR",-1,-1,-1,-1,0,0,-4,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,0.06,0.06,0.06,0.06,2,2,"connected"
"Co-functional (EcoCyc/GO-BP)","Levofloxacin_Meropenem",2.0833,13,13,53.8333,33.4167,"1","Levofloxacin","Meropenem","LCX","MEM","DNA gyrase","beta-lactam","DNA","cell wall","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",-0.03874657,-0.07739846,0.01994657,-0.1047273,0.05039994,0.2067581,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,0.08,0.04,0.08,0.04,1,0.25,"connected"
"Co-functional (EcoCyc/GO-BP)","Levofloxacin_Metformin",Inf,0,5.25,13.75,9.5,"0","Levofloxacin","Metformin","LCX","MF","DNA gyrase","human drug","DNA","human","antibiotic","human-targeted drug","DNA-human",0,"antibiotic-human-targeted drug",0.08759769,0.0400032,0.002896218,-0.4011808,-0.324084,0.06612628,"Additivity","Synergy","Additivity",0,0,0,-1,-1,0,-2,"S","S","S","S","S","S","S","S","S","S","S","S","SS","SS","SS","SS","SS","SS",-1,-1,-1,-1,-1,-1,-6,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,12916,12916,38748,38748,25832,25832,"disconnected"
"Co-functional (EcoCyc/GO-BP)","Levofloxacin_Moxifloxacin",1.3333,7.8333,7.8333,18.1667,13,"1","Levofloxacin","Moxifloxacin","LCX","MXF","DNA gyrase","quinolones","DNA","DNA","antibiotic","antibiotic","DNA-DNA",1,"antibiotic-antibiotic",-0.05373369,-0.06115637,-0.00533784,-0.1423914,0.05068765,-0.258577,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","S","S","R","S","SS","SS","SS","SS","SR","SS",-1,-1,-1,-1,0,-1,-5,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,0.08,0.08,0.08,0.08,0.5,0.5,"connected"
"Co-functional (EcoCyc/GO-BP)","Levofloxacin_Novobiocin",1.4,8.8,8.8,20,14.4,"1","Levofloxacin","Novobiocin","LCX","NVB","DNA gyrase","quinolones","DNA","DNA","antibiotic","antibiotic","DNA-DNA",1,"antibiotic-antibiotic",0.184754575,0.104059785,-0.037085722,0,-0.061202629,0.065111027,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","R","S","R","R","SS","SS","SR","SS","SR","SR",-1,-1,0,-1,0,0,-3,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,20,20,20,20,20,20,"connected"
"Co-functional (EcoCyc/GO-BP)","Levofloxacin_Penicillin G",2.0833,13,13,53.8333,33.4167,"1","Levofloxacin","Penicillin G","LCX","PEN","DNA gyrase","beta-lactam","DNA","cell wall","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",0.021623619,0.040352782,0.072296982,0.118854798,0.029297659,0,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","R","S","S","S","R","R","SR","SS","SS","SS","SR","SR",0,-1,-1,-1,0,0,-3,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,5,5,1.25,1.25,10,10,"connected"
"Co-functional (EcoCyc/GO-BP)","Levofloxacin_Piperacillin",2.0833,13,13,53.8333,33.4167,"1","Levofloxacin","Piperacillin","LCX","PIP","DNA gyrase","beta-lactam","DNA","cell wall","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",-0.063863291,-0.080036674,0.090987323,0.009692382,-0.106885105,0,"Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"S","S","S","S","S","S","R","S","S","S","S","S","SR","SS","SS","SS","SS","SS",0,-1,-1,-1,-1,-1,-5,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,0.3,0.3,1,1,2,3,"connected"
"Co-functional (EcoCyc/GO-BP)","Levofloxacin_Sulfamonomethoxine",1.75,13,13,21,17,"1","Levofloxacin","Sulfamonomethoxine","LCX","SMM","DNA gyrase","folic acid biosynthesis","DNA","DNA","antibiotic","antibiotic","DNA-DNA",1,"antibiotic-antibiotic",-0.035786666,-0.003777611,0.054128867,0.029093889,-0.059760189,0,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","R","R","R","R","R","R","SR","SR","SR","SR","SR","SR",0,0,0,0,0,0,0,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,50,50,50,50,100,100,"connected"
"Co-functional (EcoCyc/GO-BP)","Levofloxacin_Triclosan",2.75,11.5,11.5,18.5,15,"0","Levofloxacin","Triclosan","LCX","TRI","DNA gyrase","other membrane","DNA","membrane","antibiotic","anti-infective","DNA-membrane",0,"anti-infective-antibiotic",-0.05642379,-0.07337362,0.07620771,0.09448318,-0.04167584,-0.05752064,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","R","R","R","R","R","R","SR","SR","SR","SR","SR","SR",0,0,0,0,0,0,0,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,"connected"
"Co-functional (EcoCyc/GO-BP)","Levofloxacin_Trimethoprim",1.75,13,13,32,22.5,"1","Levofloxacin","Trimethoprim","LCX","TMP","DNA gyrase","folic acid biosynthesis","DNA","DNA","antibiotic","antibiotic","DNA-DNA",1,"antibiotic-antibiotic",0.105275988,0.123952775,0.087911122,0,-0.046188333,0,"Additivity","Additivity","Additivity",0,1,0,0,0,0,1,"S","S","S","S","S","S","S","S","S","S","R","R","SS","SS","SS","SS","SR","SR",-1,-1,-1,-1,0,0,-4,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,1,1,"connected"
"Co-functional (EcoCyc/GO-BP)","Mecillinam_Meropenem",1,49.4,50.2,72,61.1,"1","Mecillinam","Meropenem","MEC","MEM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic","cell wall-cell wall",1,"antibiotic-antibiotic",-0.180678916,-0.059210868,-0.52230441,-0.158482509,0.029351836,-0.045894793,"Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.08,0.04,0.08,0.04,1,0.25,"connected"
"Co-functional (EcoCyc/GO-BP)","Mecillinam_Metformin",Inf,0,6,72,39,"0","Mecillinam","Metformin","MEC","MF","beta-lactam","human drug","cell wall","human","antibiotic","human-targeted drug","cell wall-human",0,"antibiotic-human-targeted drug",0.414384026,0.140236468,0.254120239,0.674525954,0.02924525,-0.036205742,"Antagonism","Additivity","Additivity",1,0,1,0,0,0,2,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,12916,12916,38748,38748,25832,25832,"disconnected"
"Co-functional (EcoCyc/GO-BP)","Mecillinam_Moxifloxacin",1.75,13,13,72,42.5,"1","Mecillinam","Moxifloxacin","MEC","MXF","beta-lactam","quinolones","cell wall","DNA","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",0.156986703,0.1889792,0.19202335,0.046432186,-0.040441659,0.035043559,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","R","S","SS","SS","SS","SS","RR","RS",-1,-1,-1,-1,1,0,-3,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.08,0.08,0.08,0.08,0.5,0.5,"connected"
"Co-functional (EcoCyc/GO-BP)","Mecillinam_Novobiocin",1,20,20,72,46,"1","Mecillinam","Novobiocin","MEC","NVB","beta-lactam","quinolones","cell wall","DNA","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",-0.093088639,-0.008681683,-0.164884467,-0.041625843,0.027314775,0.031522084,"Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","S","S","R","R","S","S","R","S","R","R","SS","SS","SR","SS","RR","RR",-1,-1,0,-1,1,1,-1,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,20,20,20,20,20,20,"connected"
"Co-functional (EcoCyc/GO-BP)","Mecillinam_Penicillin G",1,49.4,50.2,72,61.1,"1","Mecillinam","Penicillin G","MEC","PEN","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic","cell wall-cell wall",1,"antibiotic-antibiotic",-0.090896389,-0.15440365,-0.248523125,-0.137932539,-0.031293357,0.030800272,"Additivity","Additivity","Additivity",0,0,-1,-1,0,0,-2,"S","S","S","S","R","R","R","S","S","S","R","R","SR","SS","SS","SS","RR","RR",0,-1,-1,-1,1,1,-1,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,5,5,1.25,1.25,10,10,"connected"
"Co-functional (EcoCyc/GO-BP)","Mecillinam_Piperacillin",1,49.4,50.2,72,61.1,"1","Mecillinam","Piperacillin","MEC","PIP","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic","cell wall-cell wall",1,"antibiotic-antibiotic",-0.0792574,-0.076516716,-0.454982791,-0.632539187,0.065026932,0.026155963,"Additivity","Additivity","Additivity",0,0,-1,-1,0,0,-2,"S","S","S","S","R","R","R","S","S","S","S","S","SR","SS","SS","SS","RS","RS",0,-1,-1,-1,0,0,-3,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.3,0.3,1,1,2,3,"connected"
"Co-functional (EcoCyc/GO-BP)","Mecillinam_Sulfamonomethoxine",1,21,21,72,46.5,"1","Mecillinam","Sulfamonomethoxine","MEC","SMM","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",-0.115221769,-0.05037104,0.068151067,-0.06126872,0.037195599,-0.038624628,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,50,50,50,50,100,100,"connected"
"Co-functional (EcoCyc/GO-BP)","Mecillinam_Triclosan",2,17,17,72,44.5,"0","Mecillinam","Triclosan","MEC","TRI","beta-lactam","other membrane","cell wall","membrane","antibiotic","anti-infective","cell wall-membrane",0,"anti-infective-antibiotic",-0.08638066,-0.08577841,-0.037504893,-0.029923796,-0.038245059,0.039273208,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.04,0.04,0.04,0.04,0.04,0.04,"connected"
"Co-functional (EcoCyc/GO-BP)","Mecillinam_Trimethoprim",1,32,32,72,52,"1","Mecillinam","Trimethoprim","MEC","TMP","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",-0.228821859,0.091123237,0.130445933,0.12762232,-0.046041549,-0.034668575,"Synergy","Additivity","Additivity",-1,0,0,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","R","R","SS","SS","SS","SS","RR","RR",-1,-1,-1,-1,1,1,-2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.5,0.5,0.5,0.5,1,1,"connected"
"Co-functional (EcoCyc/GO-BP)","Meropenem_Novobiocin",1.5,20,20,53.8333,36.9167,"1","Meropenem","Novobiocin","MEM","NVB","beta-lactam","quinolones","cell wall","DNA","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",-0.07408943,-0.1000427,-0.1620225,-0.02512526,0.04914106,-0.0358273,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","R","S","R","R","SS","SS","SR","SS","SR","SR",-1,-1,0,-1,0,0,-3,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,20,20,20,20,20,20,"connected"
"Co-functional (EcoCyc/GO-BP)","Meropenem_Penicillin G",1.0667,43.6667,45,62.6667,53.8333,"1","Meropenem","Penicillin G","MEM","PEN","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic","cell wall-cell wall",1,"antibiotic-antibiotic",-0.02239098,-0.111268,-0.32836,-0.2719915,-0.04916367,0.02580409,"Additivity","Additivity","Additivity",0,0,-1,0,0,0,-1,"S","S","S","S","S","S","R","S","S","S","R","R","SR","SS","SS","SS","SR","SR",0,-1,-1,-1,0,0,-3,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,5,5,1.25,1.25,10,10,"connected"
"Co-functional (EcoCyc/GO-BP)","Meropenem_Piperacillin",1.0667,43.6667,45,62.6667,53.8333,"1","Meropenem","Piperacillin","MEM","PIP","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic","cell wall-cell wall",1,"antibiotic-antibiotic",-0.07309792,-0.1615542,-0.4427424,-0.2964755,0.0294608,-0.08408914,"Additivity","Additivity","Additivity",0,-1,-1,0,0,0,-2,"S","S","S","S","S","S","R","S","S","S","S","S","SR","SS","SS","SS","SS","SS",0,-1,-1,-1,-1,-1,-5,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,0.3,0.3,1,1,2,3,"connected"
"Co-functional (EcoCyc/GO-BP)","Meropenem_Sulfamonomethoxine",1.5,21,21,53.8333,37.4167,"1","Meropenem","Sulfamonomethoxine","MEM","SMM","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic","cell wall-DNA",1,"antibiotic-antibiotic",-0.02821452,-0.1054175,0.01590144,-0.04012708,-0.06565548,0.04681254,"Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","R","R","R","R","R","R","SR","SR","SR","SR","SR","SR",0,0,0,0,0,0,0,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,50,50,50,50,100,100,"connected"
