"boundaryCondition","chebi","compartmentCode","constant","cyId","derivedUnits","ec-code","exponent","fast","go","iJO1366","isbn","kegg.compound","kegg.genes","kind","kineticLaw","label","math","metaId","multiplier","name","reversible","sbml compartment","sbml id","sbml initial concentration","sbml type","sbml type ext","sbo","scale","selected","shared name","size","uniprot","units","unitSid","value"
,"CHEBI:53664","1",,"meta_s_0738","substance",,,,,"M_dhgly_c",,"C15809",,,,"dehydroglycine",,"meta_s_0738",,"dehydroglycine",,"cell","s_0738","0.1","species","species","SBO:0000247",,"false","dehydroglycine",,,,,"0.1"
,"CHEBI:17847","1",,"meta_s_1407","substance",,,,,"M_4crsol_c",,"C01468",,,,"p-Cresol",,"meta_s_1407",,"p-Cresol",,"cell","s_1407","0.1","species","species","SBO:0000247",,"false","p-Cresol",,,,,"0.1"
"true",,"1","true","meta_e_1251","substance",,,,,,,,"eco:b3991",,,"thiG",,"meta_e_1251",,"thiG",,"cell","e_1251","0.001","species","species","SBO:0000252",,"false","thiG",,"P30139",,,"0.001"
,,,,"meta_r_0066","invalid","4.2.1.33",,"false",,,,,,,"cell*r_0066_Vmax*(s_0266-s_0217/r_0066_Keq)/r_0066_Km0266/((1+s_0266/r_0066_Km0266+1+s_0217/r_0066_Km0217)-1)","2-isopropylmalate hydratase",,"meta_r_0066",,"2-isopropylmalate hydratase","true",,"r_0066",,"reaction","reaction reversible","SBO:0000176",,"false","2-isopropylmalate hydratase",,,,,
,"CHEBI:58085","1",,"meta_s_0217","substance",,,,,"M_2ippm_c",,"C02631",,,,"2-Isopropylmaleate",,"meta_s_0217",,"2-Isopropylmaleate",,"cell","s_0217","0.1","species","species","SBO:0000247",,"false","2-Isopropylmaleate",,,,,"0.1"
"true",,"1","true","meta_e_0031","substance",,,,,,,,"eco:b0072",,,"leuC",,"meta_e_0031",,"leuC",,"cell","e_0031","0.001","species","species","SBO:0000252",,"false","leuC",,"P0A6A6",,,"0.001"
"true",,"1","true","meta_e_0030","substance",,,,,,,,"eco:b0071",,,"leuD",,"meta_e_0030",,"leuD",,"cell","e_0030","0.001","species","species","SBO:0000252",,"false","leuD",,"P30126",,,"0.001"
,,,,"meta_r_0683","invalid","6.3.1.2",,"false",,,,,,,"cell*r_0683_Vmax*(s_0467*s_1095*s_0451-s_0421*s_1101*s_1430/r_0683_Keq)/(r_0683_Km0467*r_0683_Km1095*r_0683_Km0451)/(((1+s_0467/r_0683_Km0467)*(1+s_1095/r_0683_Km1095)*(1+s_0451/r_0683_Km0451)+(1+s_0421/r_0683_Km0421)*(1+s_1101/r_0683_Km1101)*(1+s_1430/r_0683_Km1430))-1)","glutamine synthetase",,"meta_r_0683",,"glutamine synthetase","true",,"r_0683",,"reaction","reaction reversible","SBO:0000176",,"false","glutamine synthetase",,,,,
"true",,"1","true","meta_e_0439","substance",,,,,,,,"eco:b1297",,,"puuA",,"meta_e_0439",,"puuA",,"cell","e_0439","0.001","species","species","SBO:0000252",,"false","puuA",,"P78061",,,"0.001"
"true",,"1","true","meta_e_1210","substance",,,,,,,,"eco:b3870",,,"glnA",,"meta_e_1210",,"glnA",,"cell","e_1210","0.001","species","species","SBO:0000252",,"false","glnA",,"P0A9C5",,,"0.001"
,,,,"meta_r_0445","invalid",,,"false",,,,,,,"cell*r_0445_Vmax*(s_0945-s_0585*s_0783/r_0445_Keq)/r_0445_Km0945/((1+s_0945/r_0445_Km0945+(1+s_0585/r_0445_Km0585)*(1+s_0783/r_0445_Km0783))-1)","cyclic pyranopterin monophosphate synthase",,"meta_r_0445",,"cyclic pyranopterin monophosphate synthase","true",,"r_0445",,"reaction","reaction reversible","SBO:0000176",,"false","cyclic pyranopterin monophosphate synthase",,,,,
"true",,"1","true","meta_e_0279","substance",,,,,,,,"eco:b0781",,,"moaA",,"meta_e_0279",,"moaA",,"cell","e_0279","0.001","species","species","SBO:0000252",,"false","moaA",,"P30745",,,"0.001"
"true",,"1","true","meta_e_0280","substance",,,,,,,,"eco:b0783",,,"moaC",,"meta_e_0280",,"moaC",,"cell","e_0280","0.001","species","species","SBO:0000252",,"false","moaC",,"P0A738",,,"0.001"
,,,,"meta_r_1337","invalid","2.7.1.130",,"false",,,,,,,"cell*r_1337_Vmax*(s_0467*s_1204-s_0421*s_0147/r_1337_Keq)/(r_1337_Km0467*r_1337_Km1204)/(((1+s_0467/r_1337_Km0467)*(1+s_1204/r_1337_Km1204)+(1+s_0421/r_1337_Km0421)*(1+s_0147/r_1337_Km0147))-1)","Tetraacyldisaccharide 4'kinase",,"meta_r_1337",,"Tetraacyldisaccharide 4'kinase","true",,"r_1337",,"reaction","reaction reversible","SBO:0000176",,"false","Tetraacyldisaccharide 4'kinase",,,,,
,"CHEBI:58466","1",,"meta_s_1204","substance",,,,,"M_lipidAds_c",,"C04932",,,,"Lipid A Disaccharide",,"meta_s_1204",,"Lipid A Disaccharide",,"cell","s_1204","0.1","species","species","SBO:0000247",,"false","Lipid A Disaccharide",,,,,"0.1"
,,"1",,"_32798a35_9253_48c7_acad_e1bb6a88db1a","substance",,,,,"M_lipidA_c",,,,,,"2,3,2'3'-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate",,"_32798a35_9253_48c7_acad_e1bb6a88db1a",,"2,3,2'3'-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate",,"cell","s_0147","0.1","species","species","SBO:0000247",,"false","2,3,2'3'-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate",,,,,"0.1"
"true",,"1","true","meta_e_0330","substance",,,,,,,,"eco:b0915",,,"lpxK",,"meta_e_0330",,"lpxK",,"cell","e_0330","0.001","species","species","SBO:0000252",,"false","lpxK",,"P27300",,,"0.001"
,,,,"meta_r_0123","invalid","4.2.1.17",,"false",,,,,,,"cell*r_0123_Vmax*(s_0046-s_1674/r_0123_Keq)/r_0123_Km0046/((1+s_0046/r_0123_Km0046+1+s_1674/r_0123_Km1674)-1)","3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)",,"meta_r_0123",,"3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)","true",,"r_0123",,"reaction","reaction reversible","SBO:0000176",,"false","3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)",,,,,
,"CHEBI:62613","1",,"meta_s_0046","substance",,,,,"M_3hhdcoa_c",,"C05258",,,,"(S)-3-Hydroxyhexadecanoyl-CoA",,"meta_s_0046",,"(S)-3-Hydroxyhexadecanoyl-CoA",,"cell","s_0046","0.1","species","species","SBO:0000247",,"false","(S)-3-Hydroxyhexadecanoyl-CoA",,,,,"0.1"
,"CHEBI:61526","1",,"meta_s_1674","substance",,,,,"M_hdd2coa_c",,"C05272",,,,"trans-Hexadec-2-enoyl-CoA",,"meta_s_1674",,"trans-Hexadec-2-enoyl-CoA",,"cell","s_1674","0.1","species","species","SBO:0000247",,"false","trans-Hexadec-2-enoyl-CoA",,,,,"0.1"
,,,,"meta_r_0148","invalid","4.2.1.59",,"false",,,,,,,"cell*r_0148_Vmax*(s_0277-s_0813/r_0148_Keq)/r_0148_Km0277/((1+s_0277/r_0148_Km0277+1+s_0813/r_0148_Km0813)-1)","3-Oxo-pimeloyl-[ACP] methyl ester dehydratase",,"meta_r_0148",,"3-Oxo-pimeloyl-[ACP] methyl ester dehydratase","true",,"r_0148",,"reaction","reaction reversible","SBO:0000176",,"false","3-Oxo-pimeloyl-[ACP] methyl ester dehydratase",,,,,
,,"1",,"_41211e8c_dde0_4e9e_90af_43b45975e2b8","substance",,,,,"M_epmeACP_c",,,,,,"Enoylpimeloyl-[acyl-carrier protein] methyl ester",,"_41211e8c_dde0_4e9e_90af_43b45975e2b8",,"Enoylpimeloyl-[acyl-carrier protein] methyl ester",,"cell","s_0813","0.1","species","species","SBO:0000247",,"false","Enoylpimeloyl-[acyl-carrier protein] methyl ester",,,,,"0.1"
"true",,"1","true","meta_e_0082","substance",,,,,,,,"eco:b0180",,,"fabZ",,"meta_e_0082",,"fabZ",,"cell","e_0082","0.001","species","species","SBO:0000252",,"false","fabZ",,"P0A6Q6",,,"0.001"
,,,,"_8d6106cf_bcfc_42d4_87bc_1764a0f8f20b","invalid",,,"false",,,,,,,"cell*r_0581_Vmax*(s_0979-s_0555*s_0976/r_0581_Keq)/r_0581_Km0979/((1+s_0979/r_0581_Km0979+(1+s_0555/r_0581_Km0555)*(1+s_0976/r_0581_Km0976))-1)","fatty-acid-CoA thioesterase (hexadecenoate)",,"_8d6106cf_bcfc_42d4_87bc_1764a0f8f20b",,"fatty-acid-CoA thioesterase (hexadecenoate)","true",,"r_0581",,"reaction","reaction reversible","SBO:0000176",,"false","fatty-acid-CoA thioesterase (hexadecenoate)",,,,,
,"CHEBI:32372","1",,"meta_s_0976","substance",,,,,"M_hdcea_c",,"C08362",,,,"Hexadecenoate (n-C16:1)",,"meta_s_0976",,"Hexadecenoate (n-C16:1)",,"cell","s_0976","0.1","species","species","SBO:0000247",,"false","Hexadecenoate (n-C16:1)",,,,,"0.1"
,"CHEBI:61526","1",,"meta_s_0979","substance",,,,,"M_hdcoa_c",,"C05272",,,,"Hexadecenoyl-CoA (n-C16:1CoA)",,"meta_s_0979",,"Hexadecenoyl-CoA (n-C16:1CoA)",,"cell","s_0979","0.1","species","species","SBO:0000247",,"false","Hexadecenoyl-CoA (n-C16:1CoA)",,,,,"0.1"
"true",,"1","true","meta_e_0162","substance",,,,,,,,"eco:b0452",,,"tesB",,"meta_e_0162",,"tesB",,"cell","e_0162","0.001","species","species","SBO:0000252",,"false","tesB",,"P0AGG2",,,"0.001"
,,,,"meta_r_1230","invalid","1.3.3.4",,"false",,,,,,,"cell*r_1230_Vmax*(s_1372*s_1512-s_1511/r_1230_Keq)/(r_1230_Km1372*r_1230_Km1512)/(((1+s_1372/r_1230_Km1372)*(1+s_1512/r_1230_Km1512)+1+s_1511/r_1230_Km1511)-1)","protoporphyrinogen oxidase (aerobic)",,"meta_r_1230",,"protoporphyrinogen oxidase (aerobic)","true",,"r_1230",,"reaction","reaction reversible","SBO:0000176",,"false","protoporphyrinogen oxidase (aerobic)",,,,,
"true",,"1","true","meta_e_1205","substance",,,,,,,,"eco:b3850",,,"hemG",,"meta_e_1205",,"hemG",,"cell","e_1205","0.001","species","species","SBO:0000252",,"false","hemG",,"P0ACB4",,,"0.001"
,"CHEBI:57307","1",,"meta_s_1512","substance",,,,,"M_pppg9_c",,"C01079",,,,"Protoporphyrinogen IX",,"meta_s_1512",,"Protoporphyrinogen IX",,"cell","s_1512","0.1","species","species","SBO:0000247",,"false","Protoporphyrinogen IX",,,,,"0.1"
,,,,"_6cbd6302_c5d7_41cd_b7ec_16bc03221916","invalid",,,"false",,,,,,,"cell*r_1279_Vmax*(s_0861^2*s_1792-s_0810*s_0862^2/r_1279_Keq)/(r_1279_Km0861^2*r_1279_Km1792)/(((1+s_0861/r_1279_Km0861)^2*(1+s_1792/r_1279_Km1792)+(1+s_0810/r_1279_Km0810)*(1+s_0862/r_1279_Km0862)^2)-1)","ribonucleoside-triphosphate reductase (UTP) (flavodoxin)",,"_6cbd6302_c5d7_41cd_b7ec_16bc03221916",,"ribonucleoside-triphosphate reductase (UTP) (flavodoxin)","true",,"r_1279",,"reaction","reaction reversible","SBO:0000176",,"false","ribonucleoside-triphosphate reductase (UTP) (flavodoxin)",,,,,
,"CHEBI:61555","1",,"meta_s_0810","substance",,,,,"M_dutp_c",,"C00460",,,,"dUTP",,"meta_s_0810",,"dUTP",,"cell","s_0810","0.1","species","species","SBO:0000247",,"false","dUTP",,,,,"0.1"
"true",,"1","true","meta_e_1227","substance",,,,,,,,"eco:b3924",,,"fpr",,"meta_e_1227",,"fpr",,"cell","e_1227","0.001","species","species","SBO:0000252",,"false","fpr",,"P28861",,,"0.001"
"true",,"1","true","meta_e_1334","substance",,,,,,,,"eco:b4237",,,"nrdG",,"meta_e_1334",,"nrdG",,"cell","e_1334","0.001","species","species","SBO:0000252",,"false","nrdG",,"P0A9N8",,,"0.001"
"true",,"1","true","meta_e_1335","substance",,,,,,,,"eco:b4238",,,"nrdD",,"meta_e_1335",,"nrdD",,"cell","e_1335","0.001","species","species","SBO:0000252",,"false","nrdD",,"P28903",,,"0.001"
,,,,"meta_r_0371","invalid","1.2.1.11",,"false",,,,,,,"cell*r_0371_Vmax*(s_0332*s_1336-s_1075*s_1335*s_1430/r_0371_Keq)/(r_0371_Km0332*r_0371_Km1336)/(((1+s_0332/r_0371_Km0332)*(1+s_1336/r_0371_Km1336)+(1+s_1075/r_0371_Km1075)*(1+s_1335/r_0371_Km1335)*(1+s_1430/r_0371_Km1430))-1)","aspartate-semialdehyde dehydrogenase",,"meta_r_0371",,"aspartate-semialdehyde dehydrogenase","true",,"r_0371",,"reaction","reaction reversible","SBO:0000176",,"false","aspartate-semialdehyde dehydrogenase",,,,,
,"CHEBI:18051","1",,"meta_s_1075","substance",,,,,"M_aspsa_c",,"C00441",,,,"L-Aspartate 4-semialdehyde",,"meta_s_1075",,"L-Aspartate 4-semialdehyde",,"cell","s_1075","0.1","species","species","SBO:0000247",,"false","L-Aspartate 4-semialdehyde",,,,,"0.1"
,"CHEBI:57535","1",,"meta_s_0332","substance",,,,,"M_4pasp_c",,"C03082",,,,"4-Phospho-L-aspartate",,"meta_s_0332",,"4-Phospho-L-aspartate",,"cell","s_0332","0.1","species","species","SBO:0000247",,"false","4-Phospho-L-aspartate",,,,,"0.1"
"true",,"1","true","meta_e_1045","substance",,,,,,,,"eco:b3433",,,"asd",,"meta_e_1045",,"asd",,"cell","e_1045","0.001","species","species","SBO:0000252",,"false","asd",,"P0A9Q9",,,"0.001"
,,,,"_7af983e8_2ab5_462c_ad8e_053070325912","invalid",,,"false",,,,,,,"cell*r_0784_Vmax*(s_1101*s_0341-s_0343*s_0620*s_1095/r_0784_Keq)/(r_0784_Km1101*r_0784_Km0341)/(((1+s_1101/r_0784_Km1101)*(1+s_0341/r_0784_Km0341)+(1+s_0343/r_0784_Km0343)*(1+s_0620/r_0784_Km0620)*(1+s_1095/r_0784_Km1095))-1)","Imidazole-glycerol-3-phosphate synthase",,"_7af983e8_2ab5_462c_ad8e_053070325912",,"Imidazole-glycerol-3-phosphate synthase","true",,"r_0784",,"reaction","reaction reversible","SBO:0000176",,"false","Imidazole-glycerol-3-phosphate synthase",,,,,
,"CHEBI:58525","1",,"meta_s_0341","substance",,,,,"M_prlp_c",,"C04916",,,,"5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide",,"meta_s_0341",,"5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide",,"cell","s_0341","0.1","species","species","SBO:0000247",,"false","5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide",,,,,"0.1"
"true",,"1","true","meta_e_0609","substance",,,,,,,,"eco:b2023",,,"hisH",,"meta_e_0609",,"hisH",,"cell","e_0609","0.001","species","species","SBO:0000252",,"false","hisH",,"P60595",,,"0.001"
"true",,"1","true","meta_e_0611","substance",,,,,,,,"eco:b2025",,,"hisF",,"meta_e_0611",,"hisF",,"cell","e_0611","0.001","species","species","SBO:0000252",,"false","hisF",,"P60664",,,"0.001"
,,,,"meta_r_0812","invalid","1.1.1.86",,"false",,,,,,,"cell*r_0812_Vmax*(s_0041*s_1336-s_0018*s_1335/r_0812_Keq)/(r_0812_Km0041*r_0812_Km1336)/(((1+s_0041/r_0812_Km0041)*(1+s_1336/r_0812_Km1336)+(1+s_0018/r_0812_Km0018)*(1+s_1335/r_0812_Km1335))-1)","ketol-acid reductoisomerase (2-Acetolactate)",,"meta_r_0812",,"ketol-acid reductoisomerase (2-Acetolactate)","true",,"r_0812",,"reaction","reaction reversible","SBO:0000176",,"false","ketol-acid reductoisomerase (2-Acetolactate)",,,,,
,"CHEBI:49258","1",,"meta_s_0018","substance",,,,,"M_23dhmp_c",,"C06007",,,,"(R)-2,3-Dihydroxy-3-methylpentanoate",,"meta_s_0018",,"(R)-2,3-Dihydroxy-3-methylpentanoate",,"cell","s_0018","0.1","species","species","SBO:0000247",,"false","(R)-2,3-Dihydroxy-3-methylpentanoate",,,,,"0.1"
,"CHEBI:49256","1",,"meta_s_0041","substance",,,,,"M_2ahbut_c",,"C06006",,,,"(S)-2-Aceto-2-hydroxybutanoate",,"meta_s_0041",,"(S)-2-Aceto-2-hydroxybutanoate",,"cell","s_0041","0.1","species","species","SBO:0000247",,"false","(S)-2-Aceto-2-hydroxybutanoate",,,,,"0.1"
"true",,"1","true","meta_e_1170","substance",,,,,,,,"eco:b3774",,,"ilvC",,"meta_e_1170",,"ilvC",,"cell","e_1170","0.001","species","species","SBO:0000252",,"false","ilvC",,"P05793",,,"0.001"
,,,,"meta_r_1130","invalid","2.7.8.8",,"false",,,,,,,"cell*r_1130_Vmax*(s_0513*s_1170-s_0539*s_1477/r_1130_Keq)/(r_1130_Km0513*r_1130_Km1170)/(((1+s_0513/r_1130_Km0513)*(1+s_1170/r_1130_Km1170)+(1+s_0539/r_1130_Km0539)*(1+s_1477/r_1130_Km1477))-1)","Phosphatidylserine syntase (n-C16:0)",,"meta_r_1130",,"Phosphatidylserine syntase (n-C16:0)","true",,"r_1130",,"reaction","reaction reversible","SBO:0000176",,"false","Phosphatidylserine syntase (n-C16:0)",,,,,
,"CHEBI:57262","1",,"meta_s_1477","substance",,,,,"M_ps160_c",,"C02737",,,,"phosphatidylserine (dihexadecanoyl, n-C16:0)",,"meta_s_1477",,"phosphatidylserine (dihexadecanoyl, n-C16:0)",,"cell","s_1477","0.1","species","species","SBO:0000247",,"false","phosphatidylserine (dihexadecanoyl, n-C16:0)",,,,,"0.1"
,"CHEBI:58332","1",,"meta_s_0513","substance",,,,,"M_cdpdhdecg_c",,"C00269",,,,"CDP-1,2-dihexadecanoylglycerol",,"meta_s_0513",,"CDP-1,2-dihexadecanoylglycerol",,"cell","s_0513","0.1","species","species","SBO:0000247",,"false","CDP-1,2-dihexadecanoylglycerol",,,,,"0.1"
,,,,"meta_r_0218","invalid","3.1.1.31",,"false",,,,,,,"cell*r_0218_Vmax*(s_0370-s_0369/r_0218_Keq)/r_0218_Km0370/((1+s_0370/r_0218_Km0370+1+s_0369/r_0218_Km0369)-1)","6-phosphogluconolactonase",,"meta_r_0218",,"6-phosphogluconolactonase","true",,"r_0218",,"reaction","reaction reversible","SBO:0000176",,"false","6-phosphogluconolactonase",,,,,
,"CHEBI:57955","1",,"meta_s_0370","substance",,,,,"M_6pgl_c",,"C01236",,,,"6-phospho-D-glucono-1,5-lactone",,"meta_s_0370",,"6-phospho-D-glucono-1,5-lactone",,"cell","s_0370","0.1","species","species","SBO:0000247",,"false","6-phospho-D-glucono-1,5-lactone",,,,,"0.1"
,"CHEBI:58759","1",,"meta_s_0369","substance",,,,,"M_6pgc_c",,"C00345",,,,"6-Phospho-D-gluconate",,"meta_s_0369",,"6-Phospho-D-gluconate",,"cell","s_0369","0.1","species","species","SBO:0000247",,"false","6-Phospho-D-gluconate",,,,,"0.1"
"true",,"1","true","meta_e_0273","substance",,,,,,,,"eco:b0767",,,"pgl",,"meta_e_0273",,"pgl",,"cell","e_0273","0.001","species","species","SBO:0000252",,"false","pgl",,"P52697",,,"0.001"
,,,,"meta_r_0739","invalid","4.1.1.47",,"false",,,"1555810845",,,,"cell*r_0739_Vmax*(s_0941^2-s_0214*s_0543/r_0739_Keq)/r_0739_Km0941^2/(((1+s_0941/r_0739_Km0941)^2+(1+s_0214/r_0739_Km0214)*(1+s_0543/r_0739_Km0543))-1)","glyoxalate carboligase",,"meta_r_0739",,"glyoxalate carboligase","true",,"r_0739",,"reaction","reaction reversible","SBO:0000176",,"false","glyoxalate carboligase",,,,,
,"CHEBI:36655","1",,"meta_s_0941","substance",,,,,"M_glx_c",,"C00048",,,,"Glyoxylate",,"meta_s_0941",,"Glyoxylate",,"cell","s_0941","0.1","species","species","SBO:0000247",,"false","Glyoxylate",,,,,"0.1"
,"CHEBI:57978","1",,"meta_s_0214","substance",,,,,"M_2h3oppan_c",,"C01146",,,,"2-Hydroxy-3-oxopropanoate",,"meta_s_0214",,"2-Hydroxy-3-oxopropanoate",,"cell","s_0214","0.1","species","species","SBO:0000247",,"false","2-Hydroxy-3-oxopropanoate",,,,,"0.1"
"true",,"1","true","meta_e_0175","substance",,,,,,,,"eco:b0507",,,"gcl",,"meta_e_0175",,"gcl",,"cell","e_0175","0.001","species","species","SBO:0000252",,"false","gcl",,"P0AEP7",,,"0.001"
,,,,"meta_r_0963","invalid",,,"false",,,,,,,"cell*r_0963_Vmax*(s_1018*s_1258*s_1334-s_0454*s_1017*s_1260*s_1333/r_0963_Keq)/(r_0963_Km1018*r_0963_Km1258*r_0963_Km1334)/(((1+s_1018/r_0963_Km1018)*(1+s_1258/r_0963_Km1258)*(1+s_1334/r_0963_Km1334)+(1+s_0454/r_0963_Km0454)*(1+s_1017/r_0963_Km1017)*(1+s_1260/r_0963_Km1260)*(1+s_1333/r_0963_Km1333))-1)","MoaD sulfuration (nadh, assumed)",,"meta_r_0963",,"MoaD sulfuration (nadh, assumed)","true",,"r_0963",,"reaction","reaction reversible","SBO:0000176",,"false","MoaD sulfuration (nadh, assumed)",,,,,
,,"1",,"edd21929_f69d_4273_8a91_78ab1c083f85","substance",,,,,"M_iscs_c",,,,,,"IscS sulfur acceptor protein",,"edd21929_f69d_4273_8a91_78ab1c083f85",,"IscS sulfur acceptor protein",,"cell","s_1017","0.1","species","species","SBO:0000247",,"false","IscS sulfur acceptor protein",,,,,"0.1"
,,"1",,"_77ba00f9_6770_433e_ac48_633ea5879bf6","substance",,,,,"M_iscssh_c",,,,,,"IscS with bound sulfur",,"_77ba00f9_6770_433e_ac48_633ea5879bf6",,"IscS with bound sulfur",,"cell","s_1018","0.1","species","species","SBO:0000247",,"false","IscS with bound sulfur",,,,,"0.1"
"true",,"1","true","meta_e_0805","substance",,,,,,,,"eco:b2530",,,"iscS",,"meta_e_0805",,"iscS",,"cell","e_0805","0.001","species","species","SBO:0000252",,"false","iscS",,"P0A6B7",,,"0.001"
,,"1",,"_609dbdbc_7218_4e5a_9417_5ec3a808fd22","substance",,,,,"M_moadamp_c",,,,,,"MoaD Protein with bound AMP",,"_609dbdbc_7218_4e5a_9417_5ec3a808fd22",,"MoaD Protein with bound AMP",,"cell","s_1258","0.1","species","species","SBO:0000247",,"false","MoaD Protein with bound AMP",,,,,"0.1"
,,,,"meta_r_1045","invalid","2.7.4.6",,"false",,,,,,,"cell*r_1045_Vmax*(s_0467*s_0896-s_0421*s_0945/r_1045_Keq)/(r_1045_Km0467*r_1045_Km0896)/(((1+s_0467/r_1045_Km0467)*(1+s_0896/r_1045_Km0896)+(1+s_0421/r_1045_Km0421)*(1+s_0945/r_1045_Km0945))-1)","nucleoside-diphosphate kinase (ATP:GDP)",,"meta_r_1045",,"nucleoside-diphosphate kinase (ATP:GDP)","true",,"r_1045",,"reaction","reaction reversible","SBO:0000176",,"false","nucleoside-diphosphate kinase (ATP:GDP)",,,,,
,,,,"meta_r_0507","invalid","4.1.2.25",,"false",,,,,,,"cell*r_0507_Vmax*(s_0765-s_0367*s_0936/r_0507_Keq)/r_0507_Km0765/((1+s_0765/r_0507_Km0765+(1+s_0367/r_0507_Km0367)*(1+s_0936/r_0507_Km0936))-1)","dihydroneopterin aldolase reversible",,"meta_r_0507",,"dihydroneopterin aldolase reversible","true",,"r_0507",,"reaction","reaction reversible","SBO:0000176",,"false","dihydroneopterin aldolase reversible",,,,,
,"CHEBI:17071","1",,"meta_s_0936","substance",,,,,"M_gcald_c",,"C00266",,,,"Glycolaldehyde",,"meta_s_0936",,"Glycolaldehyde",,"cell","s_0936","0.1","species","species","SBO:0000247",,"false","Glycolaldehyde",,,,,"0.1"
,"CHEBI:17001","1",,"meta_s_0765","substance",,,,,"M_dhnpt_c",,"C04874",,,,"Dihydroneopterin",,"meta_s_0765",,"Dihydroneopterin",,"cell","s_0765","0.1","species","species","SBO:0000247",,"false","Dihydroneopterin",,,,,"0.1"
"true",,"1","true","meta_e_0964","substance",,,,,,,,"eco:b3058",,,"folB",,"meta_e_0964",,"folB",,"cell","e_0964","0.001","species","species","SBO:0000252",,"false","folB",,"P0AC16",,,"0.001"
,,"1",,"bd1297d0_d7aa_4599_b841_5ae957d20330","substance",,,,,"M_6hmhpt_c",,,,,,"6-hydroxymethyl dihydropterin",,"bd1297d0_d7aa_4599_b841_5ae957d20330",,"6-hydroxymethyl dihydropterin",,"cell","s_0367","0.1","species","species","SBO:0000247",,"false","6-hydroxymethyl dihydropterin",,,,,"0.1"
,,,,"meta_r_0245","invalid","2.6.1.11",,"false",,,,,,,"cell*r_0245_Vmax*(s_1303*s_1095-s_1321*s_0233/r_0245_Keq)/(r_0245_Km1303*r_0245_Km1095)/(((1+s_1303/r_0245_Km1303)*(1+s_1095/r_0245_Km1095)+(1+s_1321/r_0245_Km1321)*(1+s_0233/r_0245_Km0233))-1)","acetylornithine transaminase",,"meta_r_0245",,"acetylornithine transaminase","true",,"r_0245",,"reaction","reaction reversible","SBO:0000176",,"false","acetylornithine transaminase",,,,,
,"CHEBI:16543","1",,"meta_s_1321","substance",,,,,"M_acorn_c",,"C00437",,,,"N2-Acetyl-L-ornithine",,"meta_s_1321",,"N2-Acetyl-L-ornithine",,"cell","s_1321","0.1","species","species","SBO:0000247",,"false","N2-Acetyl-L-ornithine",,,,,"0.1"
"true",,"1","true","meta_e_0559","substance",,,,,,,,"eco:b1748",,,"astC",,"meta_e_0559",,"astC",,"cell","e_0559","0.001","species","species","SBO:0000252",,"false","astC",,"P77581",,,"0.001"
,"CHEBI:29123","1",,"meta_s_1303","substance",,,,,"M_acg5sa_c",,"C01250",,,,"N-Acetyl-L-glutamate 5-semialdehyde",,"meta_s_1303",,"N-Acetyl-L-glutamate 5-semialdehyde",,"cell","s_1303","0.1","species","species","SBO:0000247",,"false","N-Acetyl-L-glutamate 5-semialdehyde",,,,,"0.1"
"true",,"1","true","meta_e_1014","substance",,,,,,,,"eco:b3359",,,"argD",,"meta_e_1014",,"argD",,"cell","e_1014","0.001","species","species","SBO:0000252",,"false","argD",,"P18335",,,"0.001"
,,,,"meta_r_0301","invalid","2.7.4.3",,"false",,,,,,,"cell*r_0301_Vmax*(s_0454*s_0467-s_0421^2/r_0301_Keq)/(r_0301_Km0454*r_0301_Km0467)/(((1+s_0454/r_0301_Km0454)*(1+s_0467/r_0301_Km0467)+(1+s_0421/r_0301_Km0421)^2)-1)","adenylate kinase",,"meta_r_0301",,"adenylate kinase","true",,"r_0301",,"reaction","reaction reversible","SBO:0000176",,"false","adenylate kinase",,,,,
,,,,"meta_r_1402","invalid",,,"false",,,,,,,"cell*r_1402_Vmax*(s_1734-s_0149*s_1762/r_1402_Keq)/r_1402_Km1734/((1+s_1734/r_1402_Km1734+(1+s_0149/r_1402_Km0149)*(1+s_1762/r_1402_Km1762))-1)","UDP-sugar hydrolase",,"meta_r_1402",,"UDP-sugar hydrolase","true",,"r_1402",,"reaction","reaction reversible","SBO:0000176",,"false","UDP-sugar hydrolase",,,,,
"true",,"1","true","meta_e_0186","substance",,,,,,,,"eco:b0524",,,"lpxH",,"meta_e_0186",,"lpxH",,"cell","e_0186","0.001","species","species","SBO:0000252",,"false","lpxH",,"P43341",,,"0.001"
