"network";"DRUG_ID";"mean.path.length";"mean.k.edge";"mean.min.degree";"mean.max.degree";"mean.mean.degree";"max.adjacency";"mean.min.bet";"mean.max.bet";"mean.mean.bet";"mean.min.EVC";"mean.max.EVC";"mean.mean.EVC";"mean.sigma_all";"mean.sigma_set";"drug_pair";"Drug1";"Drug2";"drugdrug";"code_3letter1";"code_3letter2";"drug_cat";"drug_category1";"drug_category2";"categorycategory";"targ";"targeted_cellular_process1";"targeted_cellular_process2";"processprocess";"us";"use1";"use2";"useuse";"ebw";"ecr";"seo";"stm";"pae";"pau";"int_sign_ebw";"int_sign_ecr";"int_sign_seo";"int_sign_stm";"int_sign_pae";"int_sign_pau";"ebw_g";"ecr_g";"seo_g";"stm_g";"pae_g";"pau_g";"sum_g";"SR_ebw_D1";"SR_ecr_D1";"SR_stm_D1";"SR_seo_D1";"SR_pae_D1";"SR_pau_D1";"SR_ebw_D2";"SR_ecr_D2";"SR_stm_D2";"SR_seo_D2";"SR_pae_D2";"SR_pau_D2";"SR_ebw";"SR_ecr";"SR_stm";"SR_seo";"SR_pae";"SR_pau";"SR_score_ebw";"SR_score_ecr";"SR_score_stm";"SR_score_seo";"SR_score_pae";"SR_score_pau";"SR_score_total";"HDC_ebw_D1";"HDC_ecr_D1";"HDC_stm_D1";"HDC_seo_D1";"HDC_pae_D1";"HDC_pau_D1";"LF_ebw_D1";"LF_ecr_D1";"LF_stm_D1";"LF_seo_D1";"LF_pae_D1";"LF_pau_D1";"HDC_ebw_D2";"HDC_ecr_D2";"HDC_stm_D2";"HDC_seo_D2";"HDC_pae_D2";"HDC_pau_D2";"LF_ebw_D2";"LF_ecr_D2";"LF_stm_D2";"LF_seo_D2";"LF_pae_D2";"LF_pau_D2";"clusters_all";"sigma.rate_all";"type";"clusters_set";"sigma.rate_set";"SET";"connection_onoff"
"Small/medium-scale PPI";"Aztreonam-Triclosan";"4,400";"1,000";"1,000";"4,600";"2,800";"0";"0,000";"536,814";"268,407";"0,060";"0,060";"0,060";"0,001";NA;"Aztreonam_Triclosan";"Aztreonam";"Triclosan";"Aztreonam-Triclosan";"ATM";"TRI";"0";"beta-lactam";"other membrane";"beta-lactam-other membrane";"0";"cell wall";"membrane";"cell wall-membrane";"0";"antibiotic";"anti-infective";"anti-infective-antibiotic";"-0,044586976";"0,028322768";"-0,029074005";"-0,070143999";"-0,055022251";"0,021354330";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"S";"S";"R";"R";"R";"R";"R";"R";"SR";"SR";"SR";"SR";"SR";"SR";"0";"0";"0";"0";"0";"0";"0";"0,050";"0,050";"0,050";"0,050";"3,00";"5,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,040";"0,040";"0,040";"0,040";"0,04";"0,04";"1,00";"1,00";"0,98";"1,00";"0,97";"0,99";"8";"0,001";"Additivity";NA;NA;"FALSE";"connected"
"Co-functional (EcoCyc/GO-BP)";"Aztreonam-Triclosan";"2,500";"17,000";"17,000";"53,833";"35,417";"0";"1764,640";"19939,870";"10852,255";"0,018";"0,018";"0,018";"0,001";NA;"Aztreonam_Triclosan";"Aztreonam";"Triclosan";"Aztreonam-Triclosan";"ATM";"TRI";"0";"beta-lactam";"other membrane";"beta-lactam-other membrane";"0";"cell wall";"membrane";"cell wall-membrane";"0";"antibiotic";"anti-infective";"anti-infective-antibiotic";"-0,044586976";"0,028322768";"-0,029074005";"-0,070143999";"-0,055022251";"0,021354330";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"S";"S";"R";"R";"R";"R";"R";"R";"SR";"SR";"SR";"SR";"SR";"SR";"0";"0";"0";"0";"0";"0";"0";"0,050";"0,050";"0,050";"0,050";"3,00";"5,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,040";"0,040";"0,040";"0,040";"0,04";"0,04";"1,00";"1,00";"0,98";"1,00";"0,97";"0,99";"8";"0,001";"Additivity";NA;NA;"FALSE";"connected"
"Co-functional(EcoCyc)";"Aztreonam-Trimethoprim";"Inf";"0,000";"14,000";"15,000";"14,500";"0";"0,000";"142,670";"71,335";"0,020";"0,020";"0,020";"0,004";"0,003";"Aztreonam_Trimethoprim";"Aztreonam";"Trimethoprim";"Aztreonam-Trimethoprim";"ATM";"TMP";"0";"beta-lactam";"folic acid biosynthesis";"beta-lactam-folic acid biosynthesis";"0";"cell wall";"DNA";"cell wall-DNA";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,110201345";"0,240060197";"0,125510127";"0,071394699";"0,067658294";"0,100730660";"Additivity";"Antagonism";"Antagonism";"Additivity";"Additivity";"Additivity";"0";"1";"1";"0";"0";"0";"2";"S";"S";"S";"S";"S";"S";"S";"S";"S";"S";"R";"R";"SS";"SS";"SS";"SS";"SR";"SR";"-1";"-1";"-1";"-1";"0";"0";"-4";"0,050";"0,050";"0,050";"0,050";"3,00";"5,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,500";"0,500";"0,500";"0,500";"1,00";"1,00";"0,49";"0,46";"0,53";"0,46";"0,83";"0,85";"1";"0,004";"Additivity-Antagonism";"1";"0,003";"TRUE";"disconnected"
"Co-functional (EcoCyc/GO-BP)";"Aztreonam-Trimethoprim";"1,500";"31,667";"32,000";"53,833";"42,917";"1";"14652,642";"29975,078";"22313,860";"0,040";"0,040";"0,040";"0,004";"0,003";"Aztreonam_Trimethoprim";"Aztreonam";"Trimethoprim";"Aztreonam-Trimethoprim";"ATM";"TMP";"0";"beta-lactam";"folic acid biosynthesis";"beta-lactam-folic acid biosynthesis";"0";"cell wall";"DNA";"cell wall-DNA";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,110201345";"0,240060197";"0,125510127";"0,071394699";"0,067658294";"0,100730660";"Additivity";"Antagonism";"Antagonism";"Additivity";"Additivity";"Additivity";"0";"1";"1";"0";"0";"0";"2";"S";"S";"S";"S";"S";"S";"S";"S";"S";"S";"R";"R";"SS";"SS";"SS";"SS";"SR";"SR";"-1";"-1";"-1";"-1";"0";"0";"-4";"0,050";"0,050";"0,050";"0,050";"3,00";"5,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,500";"0,500";"0,500";"0,500";"1,00";"1,00";"0,49";"0,46";"0,53";"0,46";"0,83";"0,85";"1";"0,004";"Additivity-Antagonism";"1";"0,003";"TRUE";"connected"
"Small/medium-scale PPI";"Cefaclor-Cefotaxime";"2,800";"1,600";"2,000";"7,200";"4,600";"1";"207,807";"865,821";"536,814";"0,047";"0,047";"0,047";"0,008";"0,003";"Cefaclor_Cefotaxime";"Cefaclor";"Cefotaxime";"Cefaclor-Cefotaxime";"CEC";"CTX";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,091854508";"-0,205169976";"-0,209889693";"-0,095470830";"-0,062511121";"-0,072831418";"Additivity";"Synergy";"Synergy";"Additivity";"Additivity";"Additivity";"0";"-1";"-1";"0";"0";"0";"-2";"S";"S";"S";"S";"R";"R";"S";"S";"R";"R";"S";"R";"SS";"SS";"SR";"SR";"RS";"RR";"-1";"-1";"0";"0";"0";"1";"-1";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"0,010";"0,010";"0,010";"0,010";"5,00";"5,00";"0,57";"0,39";"0,71";"0,79";"0,00";"0,76";"14";"0,008";"Additivity-Synergy";"2";"0,003";"TRUE";"connected"
"Co-functional(EcoCyc)";"Cefaclor-Cefotaxime";"1,000";"15,000";"15,000";"15,000";"15,000";"1";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,008";"0,003";"Cefaclor_Cefotaxime";"Cefaclor";"Cefotaxime";"Cefaclor-Cefotaxime";"CEC";"CTX";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,091854508";"-0,205169976";"-0,209889693";"-0,095470830";"-0,062511121";"-0,072831418";"Additivity";"Synergy";"Synergy";"Additivity";"Additivity";"Additivity";"0";"-1";"-1";"0";"0";"0";"-2";"S";"S";"S";"S";"R";"R";"S";"S";"R";"R";"S";"R";"SS";"SS";"SR";"SR";"RS";"RR";"-1";"-1";"0";"0";"0";"1";"-1";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"0,010";"0,010";"0,010";"0,010";"5,00";"5,00";"0,57";"0,39";"0,71";"0,79";"0,00";"0,76";"14";"0,008";"Additivity-Synergy";"2";"0,003";"TRUE";"connected"
"Co-functional (EcoCyc/GO-BP)";"Cefaclor-Cefotaxime";"1,067";"43,667";"45,000";"62,667";"53,833";"1";"11165,367";"28714,373";"19939,870";"0,026";"0,026";"0,026";"0,008";"0,003";"Cefaclor_Cefotaxime";"Cefaclor";"Cefotaxime";"Cefaclor-Cefotaxime";"CEC";"CTX";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,091854508";"-0,205169976";"-0,209889693";"-0,095470830";"-0,062511121";"-0,072831418";"Additivity";"Synergy";"Synergy";"Additivity";"Additivity";"Additivity";"0";"-1";"-1";"0";"0";"0";"-2";"S";"S";"S";"S";"R";"R";"S";"S";"R";"R";"S";"R";"SS";"SS";"SR";"SR";"RS";"RR";"-1";"-1";"0";"0";"0";"1";"-1";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"0,010";"0,010";"0,010";"0,010";"5,00";"5,00";"0,57";"0,39";"0,71";"0,79";"0,00";"0,76";"14";"0,008";"Additivity-Synergy";"2";"0,003";"TRUE";"connected"
"Small/medium-scale PPI";"Cefaclor-Cephalexin";"2,800";"1,600";"2,000";"7,200";"4,600";"1";"207,807";"865,821";"536,814";"0,047";"0,047";"0,047";"0,001";NA;"Cefaclor_Cephalexin";"Cefaclor";"Cephalexin";"Cefaclor-Cephalexin";"CEC";"LEX";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,066321953";"-0,029873516";"-0,097987431";"-0,043807158";"-0,044749550";"0,021518299";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"R";"R";"R";"R";"R";"R";"R";"SR";"SR";"SR";"SR";"RR";"RR";"0";"0";"0";"0";"1";"1";"2";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"9";"0,001";"Additivity";NA;NA;"FALSE";"connected"
"Co-functional(EcoCyc)";"Cefaclor-Cephalexin";"1,000";"15,000";"15,000";"15,000";"15,000";"1";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,001";NA;"Cefaclor_Cephalexin";"Cefaclor";"Cephalexin";"Cefaclor-Cephalexin";"CEC";"LEX";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,066321953";"-0,029873516";"-0,097987431";"-0,043807158";"-0,044749550";"0,021518299";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"R";"R";"R";"R";"R";"R";"R";"SR";"SR";"SR";"SR";"RR";"RR";"0";"0";"0";"0";"1";"1";"2";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"9";"0,001";"Additivity";NA;NA;"FALSE";"connected"
"Co-functional (EcoCyc/GO-BP)";"Cefaclor-Cephalexin";"1,067";"43,667";"45,000";"62,667";"53,833";"1";"11165,367";"28714,373";"19939,870";"0,026";"0,026";"0,026";"0,001";NA;"Cefaclor_Cephalexin";"Cefaclor";"Cephalexin";"Cefaclor-Cephalexin";"CEC";"LEX";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,066321953";"-0,029873516";"-0,097987431";"-0,043807158";"-0,044749550";"0,021518299";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"R";"R";"R";"R";"R";"R";"R";"SR";"SR";"SR";"SR";"RR";"RR";"0";"0";"0";"0";"1";"1";"2";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"9";"0,001";"Additivity";NA;NA;"FALSE";"connected"
"Small/medium-scale PPI";"Cefaclor-Ciprofloxacin";"5,500";"2,100";"2,800";"8,300";"5,550";"0";"268,407";"3002,687";"1635,547";"0,051";"0,051";"0,051";"0,003";"0,003";"Cefaclor_Ciprofloxacin";"Cefaclor";"Ciprofloxacin";"Cefaclor-Ciprofloxacin";"CEC";"CIP";"0";"beta-lactam";"quinolones";"beta-lactam-quinolones";"0";"cell wall";"DNA";"cell wall-DNA";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,112092337";"0,085287411";"0,071590053";"-0,042770643";"-0,048608423";"-0,068671038";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"R";"S";"S";"S";"S";"S";"S";"SS";"SS";"SS";"SS";"RS";"RS";"-1";"-1";"-1";"-1";"0";"0";"-4";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"0,010";"0,010";"0,015";"0,015";"1,25";"0,08";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"12";"0,003";"Additivity";"3";"0,003";"TRUE";"connected"
"Co-functional (EcoCyc/GO-BP)";"Cefaclor-Ciprofloxacin";"1,500";"20,000";"20,000";"53,833";"36,917";"1";"1165,260";"19939,870";"10552,565";"0,023";"0,023";"0,023";"0,003";"0,003";"Cefaclor_Ciprofloxacin";"Cefaclor";"Ciprofloxacin";"Cefaclor-Ciprofloxacin";"CEC";"CIP";"0";"beta-lactam";"quinolones";"beta-lactam-quinolones";"0";"cell wall";"DNA";"cell wall-DNA";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,112092337";"0,085287411";"0,071590053";"-0,042770643";"-0,048608423";"-0,068671038";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"R";"S";"S";"S";"S";"S";"S";"SS";"SS";"SS";"SS";"RS";"RS";"-1";"-1";"-1";"-1";"0";"0";"-4";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"0,010";"0,010";"0,015";"0,015";"1,25";"0,08";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"12";"0,003";"Additivity";"3";"0,003";"TRUE";"connected"
"Small/medium-scale PPI";"Cefaclor-Clindamycin";"4,400";"1,600";"1,600";"5,000";"3,300";"0";"220,938";"684,106";"452,522";"0,044";"0,044";"0,044";"0,001";"0,003";"Cefaclor_Clindamycin";"Cefaclor";"Clindamycin";"Cefaclor-Clindamycin";"CEC";"CLI";"0";"beta-lactam";"other protein synthesis inhibitor";"beta-lactam-other protein synthesis inhibitor";"0";"cell wall";"protein synthesis inhibitor";"cell wall-protein synthesis inhibitor";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,046321413";"-0,053127118";"0,054480617";"0,085484566";"0,034362743";"-0,027718244";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"R";"R";"R";"S";"S";"R";"R";"SR";"SR";"SS";"SS";"RR";"RR";"0";"0";"-1";"-1";"1";"1";"0";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"2,000";"2,000";"2,000";"2,000";"2,00";"2,00";"0,78";"0,76";"0,60";"0,64";"0,87";"0,90";"11";"0,001";"Additivity";"6";"0,003";"TRUE";"connected"
"Small/medium-scale PPI";"Cefaclor-Doxycycline";"4,000";"1,300";"1,600";"5,000";"3,300";"0";"237,882";"750,807";"494,345";"0,059";"0,059";"0,059";"0,001";"0,003";"Cefaclor_Doxycycline";"Cefaclor";"Doxycycline";"Cefaclor-Doxycycline";"CEC";"DOX";"0";"beta-lactam";"tetracycline";"beta-lactam-tetracycline";"0";"cell wall";"protein synthesis inhibitor";"cell wall-protein synthesis inhibitor";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,069637616";"-0,077987088";"-0,066622094";"0,029364431";"0,037633366";"-0,052863909";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"R";"S";"S";"S";"S";"R";"S";"SS";"SS";"SS";"SS";"RR";"RS";"-1";"-1";"-1";"-1";"1";"0";"-3";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"0,500";"0,500";"1,000";"1,000";"4,00";"4,00";"0,42";"0,00";"0,55";"0,40";"0,85";"0,50";"5";"0,001";"Additivity";"2";"0,003";"TRUE";"connected"
"Co-functional (EcoCyc/GO-BP)";"Cefaclor-Doxycycline";"3,500";"12,000";"13,000";"53,833";"33,417";"0";"6233,610";"19939,870";"13086,740";"0,020";"0,020";"0,020";"0,001";"0,003";"Cefaclor_Doxycycline";"Cefaclor";"Doxycycline";"Cefaclor-Doxycycline";"CEC";"DOX";"0";"beta-lactam";"tetracycline";"beta-lactam-tetracycline";"0";"cell wall";"protein synthesis inhibitor";"cell wall-protein synthesis inhibitor";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,069637616";"-0,077987088";"-0,066622094";"0,029364431";"0,037633366";"-0,052863909";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"R";"S";"S";"S";"S";"R";"S";"SS";"SS";"SS";"SS";"RR";"RS";"-1";"-1";"-1";"-1";"1";"0";"-3";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"0,500";"0,500";"1,000";"1,000";"4,00";"4,00";"0,42";"0,00";"0,55";"0,40";"0,85";"0,50";"5";"0,001";"Additivity";"2";"0,003";"TRUE";"connected"
"Co-functional(EcoCyc)";"Cefaclor-Fosfomycin";"1,000";"15,000";"15,000";"15,000";"15,000";"1";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,001";"0,003";"Cefaclor_Fosfomycin";"Cefaclor";"Fosfomycin";"Cefaclor-Fosfomycin";"CEC";"FOF";"0";"beta-lactam";"other cell wall";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,187394668";"-0,073616533";"-0,039214735";"-0,107407435";"0,034616527";"-0,055164853";"Additivity";"Additivity";"Additivity";"Synergy";"Additivity";"Additivity";"0";"0";"0";"-1";"0";"0";"-1";"S";"S";"S";"S";"R";"R";"S";"S";"S";"R";"S";"S";"SS";"SS";"SS";"SR";"RS";"RS";"-1";"-1";"-1";"0";"0";"0";"-3";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"0,100";"0,100";"0,050";"0,050";"15,00";"5,00";"0,39";"0,49";"0,65";"0,77";"0,00";"0,00";"9";"0,001";"Additivity-Synergy";"2";"0,003";"TRUE";"connected"
"Co-functional (EcoCyc/GO-BP)";"Cefaclor-Fosfomycin";"1,167";"27,000";"27,000";"53,833";"40,417";"1";"77,140";"19939,870";"10008,505";"0,022";"0,022";"0,022";"0,001";"0,003";"Cefaclor_Fosfomycin";"Cefaclor";"Fosfomycin";"Cefaclor-Fosfomycin";"CEC";"FOF";"0";"beta-lactam";"other cell wall";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"0,187394668";"-0,073616533";"-0,039214735";"-0,107407435";"0,034616527";"-0,055164853";"Additivity";"Additivity";"Additivity";"Synergy";"Additivity";"Additivity";"0";"0";"0";"-1";"0";"0";"-1";"S";"S";"S";"S";"R";"R";"S";"S";"S";"R";"S";"S";"SS";"SS";"SS";"SR";"RS";"RS";"-1";"-1";"-1";"0";"0";"0";"-3";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"0,100";"0,100";"0,050";"0,050";"15,00";"5,00";"0,39";"0,49";"0,65";"0,77";"0,00";"0,00";"9";"0,001";"Additivity-Synergy";"2";"0,003";"TRUE";"connected"
"Co-functional (EcoCyc/GO-BP)";"Cefaclor-Fusidic acid";"4,500";"1,000";"1,000";"53,833";"27,417";"0";"0,000";"19939,870";"9969,935";"0,025";"0,025";"0,025";"0,001";"0,003";"Cefaclor_Fusidic acid";"Cefaclor";"Fusidic acid";"Cefaclor-Fusidic acid";"CEC";"FUS";"0";"beta-lactam";"other protein synthesis inhibitor";"beta-lactam-other protein synthesis inhibitor";"0";"cell wall";"protein synthesis inhibitor";"cell wall-protein synthesis inhibitor";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,081119226";"-0,108432543";"0,042461131";"0,065444451";"-0,041424774";"-0,049054090";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"R";"S";"S";"R";"R";"R";"R";"SS";"SS";"SR";"SR";"RR";"RR";"-1";"-1";"0";"0";"1";"1";"0";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"100,000";"100,000";"100,000";"100,000";"100,00";"100,00";"0,56";"0,43";"0,86";"0,73";"0,83";"0,84";"5";"0,001";"Additivity";"4";"0,003";"TRUE";"connected"
"Small/medium-scale PPI";"Cefaclor-Imipenem";"2,800";"1,600";"2,000";"7,200";"4,600";"1";"207,807";"865,821";"536,814";"0,047";"0,047";"0,047";"0,008";"0,003";"Cefaclor_Imipenem";"Cefaclor";"Imipenem";"Cefaclor-Imipenem";"CEC";"IPM";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,134147079";"-0,104391079";"-0,331819959";"-0,214308066";"-0,078322077";"-0,037352070";"Additivity";"Additivity";"Synergy";"Synergy";"Additivity";"Additivity";"0";"0";"-1";"-1";"0";"0";"-2";"S";"S";"S";"S";"R";"R";"S";"S";"S";"S";"S";"S";"SS";"SS";"SS";"SS";"RS";"RS";"-1";"-1";"-1";"-1";"0";"0";"-4";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"0,125";"0,125";"0,125";"0,125";"3,00";"0,75";"0,28";"0,44";"0,07";"0,00";"0,00";"0,00";"14";"0,008";"Additivity-Synergy";"2";"0,003";"TRUE";"connected"
"Co-functional(EcoCyc)";"Cefaclor-Imipenem";"1,000";"15,000";"15,000";"15,000";"15,000";"1";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,008";"0,003";"Cefaclor_Imipenem";"Cefaclor";"Imipenem";"Cefaclor-Imipenem";"CEC";"IPM";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,134147079";"-0,104391079";"-0,331819959";"-0,214308066";"-0,078322077";"-0,037352070";"Additivity";"Additivity";"Synergy";"Synergy";"Additivity";"Additivity";"0";"0";"-1";"-1";"0";"0";"-2";"S";"S";"S";"S";"R";"R";"S";"S";"S";"S";"S";"S";"SS";"SS";"SS";"SS";"RS";"RS";"-1";"-1";"-1";"-1";"0";"0";"-4";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"0,125";"0,125";"0,125";"0,125";"3,00";"0,75";"0,28";"0,44";"0,07";"0,00";"0,00";"0,00";"14";"0,008";"Additivity-Synergy";"2";"0,003";"TRUE";"connected"
"Co-functional (EcoCyc/GO-BP)";"Cefaclor-Imipenem";"1,067";"43,667";"45,000";"62,667";"53,833";"1";"11165,367";"28714,373";"19939,870";"0,026";"0,026";"0,026";"0,008";"0,003";"Cefaclor_Imipenem";"Cefaclor";"Imipenem";"Cefaclor-Imipenem";"CEC";"IPM";"1";"beta-lactam";"beta-lactam";"beta-lactam-beta-lactam";"1";"cell wall";"cell wall";"cell wall-cell wall";"1";"antibiotic";"antibiotic";"antibiotic-antibiotic";"-0,134147079";"-0,104391079";"-0,331819959";"-0,214308066";"-0,078322077";"-0,037352070";"Additivity";"Additivity";"Synergy";"Synergy";"Additivity";"Additivity";"0";"0";"-1";"-1";"0";"0";"-2";"S";"S";"S";"S";"R";"R";"S";"S";"S";"S";"S";"S";"SS";"SS";"SS";"SS";"RS";"RS";"-1";"-1";"-1";"-1";"0";"0";"-4";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"0,125";"0,125";"0,125";"0,125";"3,00";"0,75";"0,28";"0,44";"0,07";"0,00";"0,00";"0,00";"14";"0,008";"Additivity-Synergy";"2";"0,003";"TRUE";"connected"
