"network","drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","Drug1","Drug2","drugdrug","code_3letter1","code_3letter2","drug_cat","drug_category1","drug_category2","categorycategory","targ","targeted_cellular_process1","targeted_cellular_process2","processprocess","us","use1","use2","useuse","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g","SR_ebw_D1","SR_ecr_D1","SR_stm_D1","SR_seo_D1","SR_pae_D1","SR_pau_D1","SR_ebw_D2","SR_ecr_D2","SR_stm_D2","SR_seo_D2","SR_pae_D2","SR_pau_D2","SR_ebw","SR_ecr","SR_stm","SR_seo","SR_pae","SR_pau","SR_score_ebw","SR_score_ecr","SR_score_stm","SR_score_seo","SR_score_pae","SR_score_pau","SR_score_total","HDC_ebw_D1","HDC_ecr_D1","HDC_stm_D1","HDC_seo_D1","HDC_pae_D1","HDC_pau_D1","LF_ebw_D1","LF_ecr_D1","LF_stm_D1","LF_seo_D1","LF_pae_D1","LF_pau_D1","HDC_ebw_D2","HDC_ecr_D2","HDC_stm_D2","HDC_seo_D2","HDC_pae_D2","HDC_pau_D2","LF_ebw_D2","LF_ecr_D2","LF_stm_D2","LF_seo_D2","LF_pae_D2","LF_pau_D2","clusters","sigma.rate","type","connection_onoff"
"Co-functional (GO-BP)","Cefaclor_Ciprofloxacin",1.5,20,20,48.6667,34.3333,"1","Cefaclor","Ciprofloxacin","Cefaclor-Ciprofloxacin","CEC","CIP",0,"beta-lactam","quinolones","beta-lactam-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.112092337,0.085287411,0.071590053,-0.042770643,-0.048608423,-0.068671038,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,3,0.00301397308867962,"Additivity","connected"
"Co-expression","Cefaclor_Ciprofloxacin",2.5833,22.25,22.25,58.5833,40.4167,"0","Cefaclor","Ciprofloxacin","Cefaclor-Ciprofloxacin","CEC","CIP",0,"beta-lactam","quinolones","beta-lactam-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.112092337,0.085287411,0.071590053,-0.042770643,-0.048608423,-0.068671038,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,3,0.00301397308867962,"Additivity","connected"
"EN:allnetworks","Cefaclor_Ciprofloxacin",1.9167,49.9167,49.9167,75.0833,62.5,"1","Cefaclor","Ciprofloxacin","Cefaclor-Ciprofloxacin","CEC","CIP",0,"beta-lactam","quinolones","beta-lactam-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.112092337,0.085287411,0.071590053,-0.042770643,-0.048608423,-0.068671038,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","S","S","SS","SS","SS","SS","RS","RS",-1,-1,-1,-1,0,0,-4,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,3,0.00301397308867962,"Additivity","connected"
"Similar phylogenetic profiles","Cefaclor_Clindamycin",4.75,1.5,1.75,18,9.875,"0","Cefaclor","Clindamycin","Cefaclor-Clindamycin","CEC","CLI",0,"beta-lactam","other protein synthesis inhibitor","beta-lactam-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.046321413,-0.053127118,0.054480617,0.085484566,0.034362743,-0.027718244,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","S","S","R","R","SR","SR","SS","SS","RR","RR",0,0,-1,-1,1,1,0,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,6,0.00328001976602635,"Additivity","connected"
"Small/medium-scale PPI","Cefaclor_Clindamycin",4.4,1.6,1.6,5,3.3,"0","Cefaclor","Clindamycin","Cefaclor-Clindamycin","CEC","CLI",0,"beta-lactam","other protein synthesis inhibitor","beta-lactam-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.046321413,-0.053127118,0.054480617,0.085484566,0.034362743,-0.027718244,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","S","S","R","R","SR","SR","SS","SS","RR","RR",0,0,-1,-1,1,1,0,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,6,0.00328001976602635,"Additivity","connected"
"Similar genomic context","Cefaclor_Clindamycin",3.5,11,11,20.3333,15.6667,"0","Cefaclor","Clindamycin","Cefaclor-Clindamycin","CEC","CLI",0,"beta-lactam","other protein synthesis inhibitor","beta-lactam-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.046321413,-0.053127118,0.054480617,0.085484566,0.034362743,-0.027718244,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","S","S","R","R","SR","SR","SS","SS","RR","RR",0,0,-1,-1,1,1,0,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,6,0.00328001976602635,"Additivity","connected"
"High-throughput PPI","Cefaclor_Clindamycin",2.5,19.5,19.6667,81,50.3333,"1","Cefaclor","Clindamycin","Cefaclor-Clindamycin","CEC","CLI",0,"beta-lactam","other protein synthesis inhibitor","beta-lactam-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.046321413,-0.053127118,0.054480617,0.085484566,0.034362743,-0.027718244,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","S","S","R","R","SR","SR","SS","SS","RR","RR",0,0,-1,-1,1,1,0,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,6,0.00328001976602635,"Additivity","connected"
"Co-expression","Cefaclor_Clindamycin",2.6667,25.8333,25.8333,135,80.4167,"0","Cefaclor","Clindamycin","Cefaclor-Clindamycin","CEC","CLI",0,"beta-lactam","other protein synthesis inhibitor","beta-lactam-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.046321413,-0.053127118,0.054480617,0.085484566,0.034362743,-0.027718244,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","S","S","R","R","SR","SR","SS","SS","RR","RR",0,0,-1,-1,1,1,0,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,6,0.00328001976602635,"Additivity","connected"
"EN:allnetworks","Cefaclor_Clindamycin",2.1667,67,67,148,107.5,"0","Cefaclor","Clindamycin","Cefaclor-Clindamycin","CEC","CLI",0,"beta-lactam","other protein synthesis inhibitor","beta-lactam-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.046321413,-0.053127118,0.054480617,0.085484566,0.034362743,-0.027718244,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","S","S","R","R","SR","SR","SS","SS","RR","RR",0,0,-1,-1,1,1,0,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,6,0.00328001976602635,"Additivity","connected"
"Co-citation","Cefaclor_Clindamycin",2,93.2,93.2,146.2,119.7,"0","Cefaclor","Clindamycin","Cefaclor-Clindamycin","CEC","CLI",0,"beta-lactam","other protein synthesis inhibitor","beta-lactam-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.046321413,-0.053127118,0.054480617,0.085484566,0.034362743,-0.027718244,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","S","S","R","R","SR","SR","SS","SS","RR","RR",0,0,-1,-1,1,1,0,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,6,0.00328001976602635,"Additivity","connected"
"Co-occurence of prot. domains","Cefaclor_Doxycycline",Inf,0,1.3333,2.3333,1.8333,"0","Cefaclor","Doxycycline","Cefaclor-Doxycycline","CEC","DOX",0,"beta-lactam","tetracycline","beta-lactam-tetracycline",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.069637616,-0.077987088,-0.066622094,0.029364431,0.037633366,-0.052863909,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","R","S","SS","SS","SS","SS","RR","RS",-1,-1,-1,-1,1,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,2,0.00314893046588041,"Additivity","disconnected"
"Small/medium-scale PPI","Cefaclor_Doxycycline",4,1.3,1.6,5,3.3,"0","Cefaclor","Doxycycline","Cefaclor-Doxycycline","CEC","DOX",0,"beta-lactam","tetracycline","beta-lactam-tetracycline",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.069637616,-0.077987088,-0.066622094,0.029364431,0.037633366,-0.052863909,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","R","S","SS","SS","SS","SS","RR","RS",-1,-1,-1,-1,1,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,2,0.00314893046588041,"Additivity","connected"
"Co-functional (GO-BP)","Cefaclor_Doxycycline",3.5,9,13,48.6667,30.8333,"0","Cefaclor","Doxycycline","Cefaclor-Doxycycline","CEC","DOX",0,"beta-lactam","tetracycline","beta-lactam-tetracycline",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.069637616,-0.077987088,-0.066622094,0.029364431,0.037633366,-0.052863909,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","R","S","SS","SS","SS","SS","RR","RS",-1,-1,-1,-1,1,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,2,0.00314893046588041,"Additivity","connected"
"Co-functional (EcoCyc/GO-BP)","Cefaclor_Doxycycline",3.5,12,13,53.8333,33.4167,"0","Cefaclor","Doxycycline","Cefaclor-Doxycycline","CEC","DOX",0,"beta-lactam","tetracycline","beta-lactam-tetracycline",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.069637616,-0.077987088,-0.066622094,0.029364431,0.037633366,-0.052863909,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","R","S","SS","SS","SS","SS","RR","RS",-1,-1,-1,-1,1,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,2,0.00314893046588041,"Additivity","connected"
"Similar genomic context","Cefaclor_Doxycycline",3,17.25,17.25,26.5833,21.9167,"0","Cefaclor","Doxycycline","Cefaclor-Doxycycline","CEC","DOX",0,"beta-lactam","tetracycline","beta-lactam-tetracycline",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.069637616,-0.077987088,-0.066622094,0.029364431,0.037633366,-0.052863909,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","R","S","SS","SS","SS","SS","RR","RS",-1,-1,-1,-1,1,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,2,0.00314893046588041,"Additivity","connected"
"High-throughput PPI","Cefaclor_Doxycycline",2.4167,19.5,19.6667,140,79.8333,"1","Cefaclor","Doxycycline","Cefaclor-Doxycycline","CEC","DOX",0,"beta-lactam","tetracycline","beta-lactam-tetracycline",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.069637616,-0.077987088,-0.066622094,0.029364431,0.037633366,-0.052863909,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","R","S","SS","SS","SS","SS","RR","RS",-1,-1,-1,-1,1,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,2,0.00314893046588041,"Additivity","connected"
"Co-expression","Cefaclor_Doxycycline",2.75,25.8333,25.8333,151.5,88.6667,"0","Cefaclor","Doxycycline","Cefaclor-Doxycycline","CEC","DOX",0,"beta-lactam","tetracycline","beta-lactam-tetracycline",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.069637616,-0.077987088,-0.066622094,0.029364431,0.037633366,-0.052863909,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","R","S","SS","SS","SS","SS","RR","RS",-1,-1,-1,-1,1,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,2,0.00314893046588041,"Additivity","connected"
"EN:allnetworks","Cefaclor_Doxycycline",1.9167,67,67,269.5,168.25,"1","Cefaclor","Doxycycline","Cefaclor-Doxycycline","CEC","DOX",0,"beta-lactam","tetracycline","beta-lactam-tetracycline",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.069637616,-0.077987088,-0.066622094,0.029364431,0.037633366,-0.052863909,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","R","S","SS","SS","SS","SS","RR","RS",-1,-1,-1,-1,1,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,2,0.00314893046588041,"Additivity","connected"
"Co-citation","Cefaclor_Doxycycline",1.8,111.4,111.4,254.5,182.95,"1","Cefaclor","Doxycycline","Cefaclor-Doxycycline","CEC","DOX",0,"beta-lactam","tetracycline","beta-lactam-tetracycline",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.069637616,-0.077987088,-0.066622094,0.029364431,0.037633366,-0.052863909,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","S","S","R","S","SS","SS","SS","SS","RR","RS",-1,-1,-1,-1,1,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,2,0.00314893046588041,"Additivity","connected"
"High-throughput PPI","Cefaclor_Fosfomycin",3.1667,8.3333,8.5,22.1667,15.3333,"0","Cefaclor","Fosfomycin","Cefaclor-Fosfomycin","CEC","FOF",0,"beta-lactam","other cell wall","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.187394668,-0.073616533,-0.039214735,-0.107407435,0.034616527,-0.055164853,"Additivity","Additivity","Additivity","Synergy","Additivity","Additivity",0,0,0,-1,0,0,-1,"S","S","S","S","R","R","S","S","S","R","S","S","SS","SS","SS","SR","RS","RS",-1,-1,-1,0,0,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-functional(EcoCyc)","Cefaclor_Fosfomycin",1,15,15,15,15,"1","Cefaclor","Fosfomycin","Cefaclor-Fosfomycin","CEC","FOF",0,"beta-lactam","other cell wall","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.187394668,-0.073616533,-0.039214735,-0.107407435,0.034616527,-0.055164853,"Additivity","Additivity","Additivity","Synergy","Additivity","Additivity",0,0,0,-1,0,0,-1,"S","S","S","S","R","R","S","S","S","R","S","S","SS","SS","SS","SR","RS","RS",-1,-1,-1,0,0,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-expression","Cefaclor_Fosfomycin",2.5,19,19,50.8333,34.9167,"0","Cefaclor","Fosfomycin","Cefaclor-Fosfomycin","CEC","FOF",0,"beta-lactam","other cell wall","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.187394668,-0.073616533,-0.039214735,-0.107407435,0.034616527,-0.055164853,"Additivity","Additivity","Additivity","Synergy","Additivity","Additivity",0,0,0,-1,0,0,-1,"S","S","S","S","R","R","S","S","S","R","S","S","SS","SS","SS","SR","RS","RS",-1,-1,-1,0,0,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-functional (GO-BP)","Cefaclor_Fosfomycin",1.3333,19,19,48.6667,33.8333,"1","Cefaclor","Fosfomycin","Cefaclor-Fosfomycin","CEC","FOF",0,"beta-lactam","other cell wall","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.187394668,-0.073616533,-0.039214735,-0.107407435,0.034616527,-0.055164853,"Additivity","Additivity","Additivity","Synergy","Additivity","Additivity",0,0,0,-1,0,0,-1,"S","S","S","S","R","R","S","S","S","R","S","S","SS","SS","SS","SR","RS","RS",-1,-1,-1,0,0,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Similar genomic context","Cefaclor_Fosfomycin",2.5,19.1667,19.3333,46,32.6667,"0","Cefaclor","Fosfomycin","Cefaclor-Fosfomycin","CEC","FOF",0,"beta-lactam","other cell wall","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.187394668,-0.073616533,-0.039214735,-0.107407435,0.034616527,-0.055164853,"Additivity","Additivity","Additivity","Synergy","Additivity","Additivity",0,0,0,-1,0,0,-1,"S","S","S","S","R","R","S","S","S","R","S","S","SS","SS","SS","SR","RS","RS",-1,-1,-1,0,0,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-functional (EcoCyc/GO-BP)","Cefaclor_Fosfomycin",1.1667,27,27,53.8333,40.4167,"1","Cefaclor","Fosfomycin","Cefaclor-Fosfomycin","CEC","FOF",0,"beta-lactam","other cell wall","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.187394668,-0.073616533,-0.039214735,-0.107407435,0.034616527,-0.055164853,"Additivity","Additivity","Additivity","Synergy","Additivity","Additivity",0,0,0,-1,0,0,-1,"S","S","S","S","R","R","S","S","S","R","S","S","SS","SS","SS","SR","RS","RS",-1,-1,-1,0,0,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"EN:allnetworks","Cefaclor_Fosfomycin",2,55.1667,55.1667,78.8333,67,"0","Cefaclor","Fosfomycin","Cefaclor-Fosfomycin","CEC","FOF",0,"beta-lactam","other cell wall","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.187394668,-0.073616533,-0.039214735,-0.107407435,0.034616527,-0.055164853,"Additivity","Additivity","Additivity","Synergy","Additivity","Additivity",0,0,0,-1,0,0,-1,"S","S","S","S","R","R","S","S","S","R","S","S","SS","SS","SS","SR","RS","RS",-1,-1,-1,0,0,0,-3,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-functional (EcoCyc/GO-BP)","Cefaclor_Fusidic acid",4.5,1,1,53.8333,27.4167,"0","Cefaclor","Fusidic acid","Cefaclor-Fusidic acid","CEC","FUS",0,"beta-lactam","other protein synthesis inhibitor","beta-lactam-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.081119226,-0.108432543,0.042461131,0.065444451,-0.041424774,-0.04905409,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","R","R","R","R","SS","SS","SR","SR","RR","RR",-1,-1,0,0,1,1,0,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,4,0.00315435733476808,"Additivity","connected"
"Co-functional (GO-BP)","Cefaclor_Fusidic acid",4.5,1,1,48.6667,24.8333,"0","Cefaclor","Fusidic acid","Cefaclor-Fusidic acid","CEC","FUS",0,"beta-lactam","other protein synthesis inhibitor","beta-lactam-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.081119226,-0.108432543,0.042461131,0.065444451,-0.041424774,-0.04905409,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","R","R","R","R","SS","SS","SR","SR","RR","RR",-1,-1,0,0,1,1,0,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,4,0.00315435733476808,"Additivity","connected"
"Co-expression","Cefaclor_Fusidic acid",4,4,4,25.8333,14.9167,"0","Cefaclor","Fusidic acid","Cefaclor-Fusidic acid","CEC","FUS",0,"beta-lactam","other protein synthesis inhibitor","beta-lactam-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.081119226,-0.108432543,0.042461131,0.065444451,-0.041424774,-0.04905409,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","R","R","R","R","SS","SS","SR","SR","RR","RR",-1,-1,0,0,1,1,0,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,4,0.00315435733476808,"Additivity","connected"
"High-throughput PPI","Cefaclor_Fusidic acid",3.8333,4.8333,4.8333,19.8333,12.3333,"0","Cefaclor","Fusidic acid","Cefaclor-Fusidic acid","CEC","FUS",0,"beta-lactam","other protein synthesis inhibitor","beta-lactam-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.081119226,-0.108432543,0.042461131,0.065444451,-0.041424774,-0.04905409,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","R","R","R","R","SS","SS","SR","SR","RR","RR",-1,-1,0,0,1,1,0,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,4,0.00315435733476808,"Additivity","connected"
"Similar genomic context","Cefaclor_Fusidic acid",3.1667,19,19,30.3333,24.6667,"0","Cefaclor","Fusidic acid","Cefaclor-Fusidic acid","CEC","FUS",0,"beta-lactam","other protein synthesis inhibitor","beta-lactam-other protein synthesis inhibitor",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.081119226,-0.108432543,0.042461131,0.065444451,-0.041424774,-0.04905409,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","S","S","R","R","R","R","SS","SS","SR","SR","RR","RR",-1,-1,0,0,1,1,0,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,100,100,100,100,100,100,0.56,0.43,0.86,0.73,0.83,0.84,4,0.00315435733476808,"Additivity","connected"
