"drug_pair","Drug1","Drug2","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","network","code_3letter1","code_3letter2","drug_category1","drug_category2","targeted_cellular_process1","targeted_cellular_process2","use1","use2","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","drug_category","targeted_process","use","drugdrug","categorycategory","processprocess","useuse","HDC_D1_ebw","HDC_D1_ecr","HDC_D1_stm","HDC_D1_seo","HDC_D1_pae","HDC_D1_pau","LF_D1_ebw","LF_D1_ecr","LF_D1_stm","LF_D1_seo","LF_D1_pae","LF_D1_pau","SR_D1_ebw","SR_D1_ecr","SR_D1_stm","SR_D1_seo","SR_D1_pae","SR_D1_pau","HDC_D2_ebw","HDC_D2_ecr","HDC_D2_stm","HDC_D2_seo","HDC_D2_pae","HDC_D2_pau","LF_D2_ebw","LF_D2_ecr","LF_D2_stm","LF_D2_seo","LF_D2_pae","LF_D2_pau","SR_D2_ebw","SR_D2_ecr","SR_D2_stm","SR_D2_seo","SR_D2_pae","SR_D2_pau","clusters","sigma.rate","type","connection_onoff","drug_cat","targ","us","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g"
"Moxifloxacin_Novobiocin","Moxifloxacin","Novobiocin",1,44,44,61,53,"1","EN:allnetworks","MXF","NVB","quinolones","quinolones","DNA","DNA","antibiotic","antibiotic",-0.212664607,0.199170693,0.094108653,-0.039329857,0.027280283,-0.04635133,"Additivity","Antagonism","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Moxifloxacin-Novobiocin","quinolones-quinolones","DNA-DNA","antibiotic-antibiotic",0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,"S","S","S","S","R","S",20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,"S","S","R","S","R","R",4,0.00125176157439658,"Additivity-Antagonism","connected",1,1,1,0,1,0,0,0,0,1
"Moxifloxacin_Penicillin G","Moxifloxacin","Penicillin G",2,46,46,72,59,"1","EN:allnetworks","MXF","PEN","quinolones","beta-lactam","DNA","cell wall","antibiotic","antibiotic",0.081331455,0.055527984,0.092938382,0.058714032,-0.215559434,0.036104615,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity","Different","Different","Same","Moxifloxacin-Penicillin G","beta-lactam-quinolones","cell wall-DNA","antibiotic-antibiotic",0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,"S","S","S","S","R","S",5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,"R","S","S","S","R","R",1,0.000629838166986853,"Additivity-Synergy","connected",0,0,1,0,0,0,0,-1,0,-1
"Moxifloxacin_Piperacillin","Moxifloxacin","Piperacillin",2,46,46,72,59,"1","EN:allnetworks","MXF","PIP","quinolones","beta-lactam","DNA","cell wall","antibiotic","antibiotic",-0.113802043,0.042681352,0.124006445,0.068160395,0.062404758,0.133086355,"Additivity","Additivity","Antagonism","Additivity","Additivity","Additivity","Different","Different","Same","Moxifloxacin-Piperacillin","beta-lactam-quinolones","cell wall-DNA","antibiotic-antibiotic",0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,"S","S","S","S","R","S",0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,"R","S","S","S","S","S",8,0.00192460283307052,"Additivity-Antagonism","connected",0,0,1,0,0,1,0,0,0,1
"Moxifloxacin_Rifampicin","Moxifloxacin","Rifampicin",2,51,51,92,72,"0","EN:allnetworks","MXF","RIF","quinolones","RNA polymerase","DNA","DNA","antibiotic","antibiotic",0.250197239,0.07967937,0.042604888,0.085499486,0.062326765,0.091712431,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Same","Same","Moxifloxacin-Rifampicin","quinolones-RNA polymerase","DNA-DNA","antibiotic-antibiotic",0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,"S","S","S","S","R","S",8,8,8,8,16,20,0.41,0,0.17,0,0,0.87,"S","S","S","S","S","R",2,0.00359381023086882,"Additivity","connected",0,1,1,0,0,0,0,0,0,0
"Moxifloxacin_Sulfamonomethoxine","Moxifloxacin","Sulfamonomethoxine",2,48,48,62,55,"1","EN:allnetworks","MXF","SMM","quinolones","folic acid biosynthesis","DNA","DNA","antibiotic","antibiotic",-0.030760588,0.037674029,0.062737431,0.039016156,0.02936024,-0.061806287,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Same","Same","Moxifloxacin-Sulfamonomethoxine","folic acid biosynthesis-quinolones","DNA-DNA","antibiotic-antibiotic",0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,"S","S","S","S","R","S",50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,"R","R","R","R","R","R",8,0.00192460283307052,"Additivity","connected",0,1,1,0,0,0,0,0,0,0
"Moxifloxacin_Trimethoprim","Moxifloxacin","Trimethoprim",2,51,51,71,61,"0","EN:allnetworks","MXF","TMP","quinolones","folic acid biosynthesis","DNA","DNA","antibiotic","antibiotic",0.14698121,0.12904342,0.079749467,-0.027710303,-0.01633751,-0.05219951,"Additivity","Antagonism","Additivity","Additivity","Additivity","Additivity","Different","Same","Same","Moxifloxacin-Trimethoprim","folic acid biosynthesis-quinolones","DNA-DNA","antibiotic-antibiotic",0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,"S","S","S","S","R","S",0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,"S","S","S","S","R","R",12,0.00305847806406641,"Additivity-Antagonism","connected",0,1,1,0,1,0,0,0,0,1
"Novobiocin_Penicillin G","Novobiocin","Penicillin G",2,50,50,75,62,"1","EN:allnetworks","NVB","PEN","quinolones","beta-lactam","DNA","cell wall","antibiotic","antibiotic",-0.03745407,0.027633383,0.044083906,-0.041259192,-0.083605694,-0.029289325,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Novobiocin-Penicillin G","beta-lactam-quinolones","cell wall-DNA","antibiotic-antibiotic",20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,"S","S","R","S","R","R",5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,"R","S","S","S","R","R",5,0.00305904974808657,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Novobiocin_Piperacillin","Novobiocin","Piperacillin",2,50,50,75,62,"1","EN:allnetworks","NVB","PIP","quinolones","beta-lactam","DNA","cell wall","antibiotic","antibiotic",-0.065526063,-0.092736608,-0.082676808,-0.037692327,-0.054464223,-0.035052801,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Novobiocin-Piperacillin","beta-lactam-quinolones","cell wall-DNA","antibiotic-antibiotic",20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,"S","S","R","S","R","R",0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,"R","S","S","S","S","S",3,0.00164627036677758,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Novobiocin_Rifampicin","Novobiocin","Rifampicin",2,58,58,92,75,"0","EN:allnetworks","NVB","RIF","quinolones","RNA polymerase","DNA","DNA","antibiotic","antibiotic",0.140183451,-0.10857574,0.175236921,-0.130045183,-0.033497087,-0.036506249,"Antagonism","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Same","Same","Novobiocin-Rifampicin","quinolones-RNA polymerase","DNA-DNA","antibiotic-antibiotic",20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,"S","S","R","S","R","R",8,8,8,8,16,20,0.41,0,0.17,0,0,0.87,"S","S","S","S","S","R",10,0.00194983040453027,"Additivity-Antagonism","connected",0,1,1,1,0,0,0,0,0,1
"Novobiocin_Sulfamonomethoxine","Novobiocin","Sulfamonomethoxine",2,52,52,64,58,"0","EN:allnetworks","NVB","SMM","quinolones","folic acid biosynthesis","DNA","DNA","antibiotic","antibiotic",-0.066328647,0.038095469,0.082967085,0.049561465,0.039456728,-0.035011491,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Same","Same","Novobiocin-Sulfamonomethoxine","folic acid biosynthesis-quinolones","DNA-DNA","antibiotic-antibiotic",20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,"S","S","R","S","R","R",50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,"R","R","R","R","R","R",8,0.00192460283307052,"Additivity","connected",0,1,1,0,0,0,0,0,0,0
"Novobiocin_Triclosan","Novobiocin","Triclosan",2,58,58,78,68,"0","EN:allnetworks","NVB","TRI","quinolones","other membrane","DNA","membrane","antibiotic","anti-infective",0.056867496,-0.072267537,-0.174185559,0.071407499,0.027329343,0.056102306,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Novobiocin-Triclosan","other membrane-quinolones","DNA-membrane","anti-infective-antibiotic",20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,"S","S","R","S","R","R",0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,"R","R","R","R","R","R",6,0.00234813801488896,"Additivity","connected",0,0,0,0,0,0,0,0,0,0
"Novobiocin_Trimethoprim","Novobiocin","Trimethoprim",2,58,58,71,64,"0","EN:allnetworks","NVB","TMP","quinolones","folic acid biosynthesis","DNA","DNA","antibiotic","antibiotic",0.087234887,0.140252539,0.077579694,-0.081899442,0.03274008,0.028000642,"Additivity","Antagonism","Additivity","Additivity","Additivity","Additivity","Different","Same","Same","Novobiocin-Trimethoprim","folic acid biosynthesis-quinolones","DNA-DNA","antibiotic-antibiotic",20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,"S","S","R","S","R","R",0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,"S","S","S","S","R","R",12,0.00305847806406641,"Additivity-Antagonism","connected",0,1,1,0,1,0,0,0,0,1
"Penicillin G_Piperacillin","Penicillin G","Piperacillin",1,48,48,86,67,"1","EN:allnetworks","PEN","PIP","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.044091277,-0.137293835,0.074192917,-0.061017442,0.083031273,0.03624487,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Penicillin G-Piperacillin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,"R","S","S","S","R","R",0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,"R","S","S","S","S","S",5,0.00305904974808657,"Additivity-Synergy","connected",1,1,1,0,-1,0,0,0,0,-1
"Penicillin G_Rifampicin","Penicillin G","Rifampicin",2,61,61,98,80,"0","EN:allnetworks","PEN","RIF","beta-lactam","RNA polymerase","cell wall","DNA","antibiotic","antibiotic",-0.04077101,0.104780232,0.056680908,0.097064846,-0.059158196,0.022936913,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Penicillin G-Rifampicin","beta-lactam-RNA polymerase","cell wall-DNA","antibiotic-antibiotic",5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,"R","S","S","S","R","R",8,8,8,8,16,20,0.41,0,0.17,0,0,0.87,"S","S","S","S","S","R",8,0.00192460283307052,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Penicillin G_Sulfamonomethoxine","Penicillin G","Sulfamonomethoxine",2,52,52,74,63,"1","EN:allnetworks","PEN","SMM","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",0.035618895,-0.030967843,0.038458864,-0.072433899,-0.046694612,0.019693989,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Penicillin G-Sulfamonomethoxine","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,"R","S","S","S","R","R",50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,"R","R","R","R","R","R",10,0.00194983040453027,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Penicillin G_Triclosan","Penicillin G","Triclosan",2,59,59,86,72,"0","EN:allnetworks","PEN","TRI","beta-lactam","other membrane","cell wall","membrane","antibiotic","anti-infective",-0.022481861,-0.043846011,0.051027743,-0.092179744,-0.216956192,-0.054836854,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Penicillin G-Triclosan","beta-lactam-other membrane","cell wall-membrane","anti-infective-antibiotic",5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,"R","S","S","S","R","R",0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,"R","R","R","R","R","R",3,0.00164627036677758,"Additivity","connected",0,0,0,0,0,0,0,0,0,0
"Penicillin G_Trimethoprim","Penicillin G","Trimethoprim",2,56,56,82,69,"0","EN:allnetworks","PEN","TMP","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",-0.075644948,0.10892675,0.10066855,-0.054725617,-0.066753153,0.032539234,"Additivity","Antagonism","Antagonism","Additivity","Additivity","Additivity","Different","Different","Same","Penicillin G-Trimethoprim","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,"R","S","S","S","R","R",0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,"S","S","S","S","R","R",5,0.00305904974808657,"Additivity-Antagonism","connected",0,0,1,0,1,1,0,0,0,2
"Piperacillin_Rifampicin","Piperacillin","Rifampicin",2,61,61,98,80,"0","EN:allnetworks","PIP","RIF","beta-lactam","RNA polymerase","cell wall","DNA","antibiotic","antibiotic",-0.04629637,-0.043268464,-0.10700676,0.088262684,0.042554169,0.044306579,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Piperacillin-Rifampicin","beta-lactam-RNA polymerase","cell wall-DNA","antibiotic-antibiotic",0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,"R","S","S","S","S","S",8,8,8,8,16,20,0.41,0,0.17,0,0,0.87,"S","S","S","S","S","R",4,0.00125176157439658,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Piperacillin_Sulfamonomethoxine","Piperacillin","Sulfamonomethoxine",2,52,52,74,63,"1","EN:allnetworks","PIP","SMM","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",-0.052301078,-0.090997928,0.041127167,0.058950166,-0.062381801,0.055110438,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Piperacillin-Sulfamonomethoxine","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,"R","S","S","S","S","S",50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,"R","R","R","R","R","R",4,0.00125176157439658,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Piperacillin_Triclosan","Piperacillin","Triclosan",2,59,59,86,72,"0","EN:allnetworks","PIP","TRI","beta-lactam","other membrane","cell wall","membrane","antibiotic","anti-infective",-0.011028118,-0.073949513,-0.041461355,-0.095879483,-0.067792908,0.033648972,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Piperacillin-Triclosan","beta-lactam-other membrane","cell wall-membrane","anti-infective-antibiotic",0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,"R","S","S","S","S","S",0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,"R","R","R","R","R","R",3,0.00164627036677758,"Additivity","connected",0,0,0,0,0,0,0,0,0,0
"Piperacillin_Trimethoprim","Piperacillin","Trimethoprim",2,56,56,82,69,"0","EN:allnetworks","PIP","TMP","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",0.082761594,0.115617685,0.180282662,0.126745567,0.028767429,0.074772315,"Additivity","Additivity","Antagonism","Antagonism","Additivity","Additivity","Different","Different","Same","Piperacillin-Trimethoprim","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,"R","S","S","S","S","S",0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,"S","S","S","S","R","R",2,0.00359381023086882,"Additivity-Antagonism","connected",0,0,1,0,0,1,1,0,0,2
"Rifampicin_Sulfamonomethoxine","Rifampicin","Sulfamonomethoxine",2,59,59,92,76,"0","EN:allnetworks","RIF","SMM","RNA polymerase","folic acid biosynthesis","DNA","DNA","antibiotic","antibiotic",-0.166935419,-0.11132964,0.029679918,-0.064421154,-0.094867374,0.057344029,"Synergy","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Same","Same","Rifampicin-Sulfamonomethoxine","folic acid biosynthesis-RNA polymerase","DNA-DNA","antibiotic-antibiotic",8,8,8,8,16,20,0.41,0,0.17,0,0,0.87,"S","S","S","S","S","R",50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,"R","R","R","R","R","R",5,0.00305904974808657,"Additivity-Synergy","connected",0,1,1,-1,0,0,0,0,0,-1
"Rifampicin_Triclosan","Rifampicin","Triclosan",2,78,78,92,85,"0","EN:allnetworks","RIF","TRI","RNA polymerase","other membrane","DNA","membrane","antibiotic","anti-infective",0.04912331,-0.088564652,0.059825685,0.039101588,-0.05560506,0.033723707,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Rifampicin-Triclosan","other membrane-RNA polymerase","DNA-membrane","anti-infective-antibiotic",8,8,8,8,16,20,0.41,0,0.17,0,0,0.87,"S","S","S","S","S","R",0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,"R","R","R","R","R","R",9,0.00113943233689505,"Additivity","connected",0,0,0,0,0,0,0,0,0,0
"Rifampicin_Trimethoprim","Rifampicin","Trimethoprim",2,71,71,92,82,"0","EN:allnetworks","RIF","TMP","RNA polymerase","folic acid biosynthesis","DNA","DNA","antibiotic","antibiotic",-0.100343238,0.086510085,-0.082656192,0.059395663,0.021436908,0.064482895,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Same","Same","Rifampicin-Trimethoprim","folic acid biosynthesis-RNA polymerase","DNA-DNA","antibiotic-antibiotic",8,8,8,8,16,20,0.41,0,0.17,0,0,0.87,"S","S","S","S","S","R",0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,"S","S","S","S","R","R",8,0.00192460283307052,"Additivity","connected",0,1,1,0,0,0,0,0,0,0
"Sulfamonomethoxine_Triclosan","Sulfamonomethoxine","Triclosan",2,59,59,78,68,"0","EN:allnetworks","SMM","TRI","folic acid biosynthesis","other membrane","DNA","membrane","antibiotic","anti-infective",-0.071679527,-0.060223017,-0.045918376,-0.059112924,-0.029888988,0.021011915,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Sulfamonomethoxine-Triclosan","folic acid biosynthesis-other membrane","DNA-membrane","anti-infective-antibiotic",50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,"R","R","R","R","R","R",0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,"R","R","R","R","R","R",3,0.00164627036677758,"Additivity","connected",0,0,0,0,0,0,0,0,0,0
"Sulfamonomethoxine_Trimethoprim","Sulfamonomethoxine","Trimethoprim",1,59,59,71,65,"1","EN:allnetworks","SMM","TMP","folic acid biosynthesis","folic acid biosynthesis","DNA","DNA","antibiotic","antibiotic",-0.50044048,-0.341886375,-0.117187188,-0.182298983,0.045077741,0.051212223,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity","Same","Same","Same","Sulfamonomethoxine-Trimethoprim","folic acid biosynthesis-folic acid biosynthesis","DNA-DNA","antibiotic-antibiotic",50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,"R","R","R","R","R","R",0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,"S","S","S","S","R","R",13,0.00728211401611587,"Additivity-Synergy","connected",1,1,1,-1,-1,-1,-1,0,0,-4
"Triclosan_Trimethoprim","Triclosan","Trimethoprim",2,71,71,78,74,"0","EN:allnetworks","TRI","TMP","other membrane","folic acid biosynthesis","membrane","DNA","anti-infective","antibiotic",-0.082411394,0.023316536,-0.096538436,0.058824527,0.017541479,0.07104337,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Triclosan-Trimethoprim","folic acid biosynthesis-other membrane","DNA-membrane","anti-infective-antibiotic",0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,"R","R","R","R","R","R",0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,"S","S","S","S","R","R",8,0.00192460283307052,"Additivity","connected",0,0,0,0,0,0,0,0,0,0
"A22_Amoxicillin","A22","Amoxicillin",2,17,17,26,22,"1","Similar genomic context","A22","AMX","other cell wall","beta-lactam","cell wall","cell wall","research used drug","antibiotic",-0.144406458,-0.107771087,-0.122702154,-0.089881073,0.047542801,-0.13341336,"Synergy","Additivity","Additivity","Additivity","Additivity","Synergy","Different","Same","Different","A22-Amoxicillin","beta-lactam-other cell wall","cell wall-cell wall","antibiotic-research used drug",1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,"S","S","S","S","R","S",2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,"S","S","R","R","R","R",13,0.00728211401611587,"Additivity-Synergy","connected",0,1,0,-1,0,0,0,0,-1,-2
"A22_Aztreonam","A22","Aztreonam",2,17,17,26,22,"1","Similar genomic context","A22","ATM","other cell wall","beta-lactam","cell wall","cell wall","research used drug","antibiotic",-0.116819962,-0.239493987,-0.131668911,-0.072461879,0.040283817,-0.069617853,"Additivity","Synergy","Additivity","Additivity","Additivity","Synergy","Different","Same","Different","A22-Aztreonam","beta-lactam-other cell wall","cell wall-cell wall","antibiotic-research used drug",1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,"S","S","S","S","R","S",0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,"S","S","S","S","S","S",13,0.00728211401611587,"Additivity-Synergy","connected",0,1,0,0,-1,0,0,0,-1,-2
"A22_Cefaclor","A22","Cefaclor",2,17,17,26,22,"1","Similar genomic context","A22","CEC","other cell wall","beta-lactam","cell wall","cell wall","research used drug","antibiotic",-0.160561269,-0.110830537,-0.260404099,-0.25570745,-0.031969583,-0.053619229,"Synergy","Additivity","Synergy","Additivity","Additivity","Additivity","Different","Same","Different","A22-Cefaclor","beta-lactam-other cell wall","cell wall-cell wall","antibiotic-research used drug",1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,"S","S","S","S","R","S",1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,"S","S","S","S","R","R",13,0.00728211401611587,"Additivity-Synergy","connected",0,1,0,-1,0,-1,0,0,0,-2
"A22_Cefotaxime","A22","Cefotaxime",2,17,17,26,22,"1","Similar genomic context","A22","CTX","other cell wall","beta-lactam","cell wall","cell wall","research used drug","antibiotic",-0.142714926,-0.179266974,-0.245271572,-0.165740597,-0.073620896,-0.133296097,"Additivity","Synergy","Synergy","Synergy","Additivity","Synergy","Different","Same","Different","A22-Cefotaxime","beta-lactam-other cell wall","cell wall-cell wall","antibiotic-research used drug",1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,"S","S","S","S","R","S",0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,"S","S","R","R","S","R",13,0.00728211401611587,"Additivity-Synergy","connected",0,1,0,0,-1,-1,-1,0,-1,-4
"A22_Cephalexin","A22","Cephalexin",2,17,17,26,22,"1","Similar genomic context","A22","LEX","other cell wall","beta-lactam","cell wall","cell wall","research used drug","antibiotic",-0.075399183,0.056095773,0.048970106,0.061262897,0.025841836,-0.076524942,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Same","Different","A22-Cephalexin","beta-lactam-other cell wall","cell wall-cell wall","antibiotic-research used drug",1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,"S","S","S","S","R","S",10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9,"R","R","R","R","R","R",8,0.00192460283307052,"Additivity","connected",0,1,0,0,0,0,0,0,0,0
"A22_Ciprofloxacin","A22","Ciprofloxacin",3,22,22,26,24,"0","Similar genomic context","A22","CIP","other cell wall","quinolones","cell wall","DNA","research used drug","antibiotic",-0.12955829,0.064624682,0.127928206,0.066171374,-0.055650542,-0.037127789,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","A22-Ciprofloxacin","other cell wall-quinolones","cell wall-DNA","antibiotic-research used drug",1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,"S","S","S","S","R","S",0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,"S","S","S","S","S","S",8,0.00192460283307052,"Additivity","connected",0,0,0,0,0,0,0,0,0,0
"A22_Clindamycin","A22","Clindamycin",3,12,12,24,18,"0","Similar genomic context","A22","CLI","other cell wall","other protein synthesis inhibitor","cell wall","protein synthesis inhibitor","research used drug","antibiotic",-0.113529022,-0.070666997,0.045759274,-0.061557467,0.036672493,-0.042277618,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","A22-Clindamycin","other cell wall-other protein synthesis inhibitor","cell wall-protein synthesis inhibitor","antibiotic-research used drug",1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,"S","S","S","S","R","S",2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,"R","R","S","S","R","R",5,0.00305904974808657,"Additivity","connected",0,0,0,0,0,0,0,0,0,0
"A22_Doxycycline","A22","Doxycycline",2,23,23,26,24,"0","Similar genomic context","A22","DOX","other cell wall","tetracycline","cell wall","protein synthesis inhibitor","research used drug","antibiotic",0.145314474,-0.046015076,0.092081999,0.054741609,-0.031449653,0.136296957,"Antagonism","Additivity","Additivity","Additivity","Additivity","Antagonism","Different","Different","Different","A22-Doxycycline","other cell wall-tetracycline","cell wall-protein synthesis inhibitor","antibiotic-research used drug",1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,"S","S","S","S","R","S",0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,"S","S","S","S","R","S",9,0.00113943233689505,"Additivity-Antagonism","connected",0,0,0,1,0,0,0,0,1,2
"A22_Fosfomycin","A22","Fosfomycin",2,24,24,46,35,"0","Similar genomic context","A22","FOF","other cell wall","other cell wall","cell wall","cell wall","research used drug","antibiotic",0.138097314,0.180647729,0.060819247,-0.08367303,0.04973499,-0.591744658,"Additivity","Antagonism","Additivity","Additivity","Additivity","Synergy","Same","Same","Different","A22-Fosfomycin","other cell wall-other cell wall","cell wall-cell wall","antibiotic-research used drug",1.2,1.2,1.2,1.2,10,3,0,0.31,0.55,0.51,0.85,0.52,"S","S","S","S","R","S",0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,"S","S","S","R","S","S",5,0.00305904974808657,"Additivity-Antagonism-Synergy","connected",1,1,0,0,1,0,0,0,-1,0
