"drug_pair","Drug1","Drug2","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","network"
"Cefotaxime_Doxycycline","Cefotaxime","Doxycycline",3,17,17,27,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Flucytosine","Cefotaxime","Flucytosine",3,11,12,27,19,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Fosfomycin","Cefotaxime","Fosfomycin",2,19,19,46,33,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Fusidic acid","Cefotaxime","Fusidic acid",3,19,19,30,25,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Imipenem","Cefotaxime","Imipenem",3,13,13,26,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Levofloxacin","Cefotaxime","Levofloxacin",3,18,18,28,23,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Mecillinam","Cefotaxime","Mecillinam",3,12,12,22,17,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Meropenem","Cefotaxime","Meropenem",3,13,13,26,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Metformin","Cefotaxime","Metformin",3,15,15,24,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Moxifloxacin","Cefotaxime","Moxifloxacin",3,18,18,28,23,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Novobiocin","Cefotaxime","Novobiocin",3,17,17,26,22,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Penicillin G","Cefotaxime","Penicillin G",3,13,13,26,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Piperacillin","Cefotaxime","Piperacillin",3,13,13,26,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Pseudomonic acid","Cefotaxime","Pseudomonic acid",3,10,10,20,15,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Rifampicin","Cefotaxime","Rifampicin",3,16,16,25,20,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Sulfamonomethoxine","Cefotaxime","Sulfamonomethoxine",3,14,14,22,18,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Triclosan","Cefotaxime","Triclosan",3,17,17,26,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cefotaxime_Trimethoprim","Cefotaxime","Trimethoprim",3,10,10,20,15,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Ciprofloxacin","Cephalexin","Ciprofloxacin",3,17,17,26,22,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Clindamycin","Cephalexin","Clindamycin",4,11,11,20,16,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Doxycycline","Cephalexin","Doxycycline",3,17,17,27,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Flucytosine","Cephalexin","Flucytosine",3,11,12,27,19,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Fosfomycin","Cephalexin","Fosfomycin",2,19,19,46,33,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Fusidic acid","Cephalexin","Fusidic acid",3,19,19,30,25,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Imipenem","Cephalexin","Imipenem",3,13,13,26,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Levofloxacin","Cephalexin","Levofloxacin",3,18,18,28,23,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Mecillinam","Cephalexin","Mecillinam",3,12,12,22,17,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Meropenem","Cephalexin","Meropenem",3,13,13,26,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Metformin","Cephalexin","Metformin",3,15,15,24,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Moxifloxacin","Cephalexin","Moxifloxacin",3,18,18,28,23,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Novobiocin","Cephalexin","Novobiocin",3,17,17,26,22,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Penicillin G","Cephalexin","Penicillin G",3,13,13,26,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Piperacillin","Cephalexin","Piperacillin",3,13,13,26,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Pseudomonic acid","Cephalexin","Pseudomonic acid",3,10,10,20,15,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Rifampicin","Cephalexin","Rifampicin",3,16,16,25,20,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Sulfamonomethoxine","Cephalexin","Sulfamonomethoxine",3,14,14,22,18,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Triclosan","Cephalexin","Triclosan",3,17,17,26,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Cephalexin_Trimethoprim","Cephalexin","Trimethoprim",3,10,10,20,15,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Clindamycin","Ciprofloxacin","Clindamycin",2,12,12,24,18,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Doxycycline","Ciprofloxacin","Doxycycline",3,23,23,26,24,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Flucytosine","Ciprofloxacin","Flucytosine",3,14,14,30,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Fosfomycin","Ciprofloxacin","Fosfomycin",3,24,24,46,35,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Fusidic acid","Ciprofloxacin","Fusidic acid",3,24,24,30,27,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Imipenem","Ciprofloxacin","Imipenem",3,17,17,26,22,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Levofloxacin","Ciprofloxacin","Levofloxacin",1,23,23,28,26,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Mecillinam","Ciprofloxacin","Mecillinam",3,14,14,24,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Meropenem","Ciprofloxacin","Meropenem",3,17,17,26,22,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Metformin","Ciprofloxacin","Metformin",2,19,19,24,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Moxifloxacin","Ciprofloxacin","Moxifloxacin",1,23,23,28,26,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Novobiocin","Ciprofloxacin","Novobiocin",1,21,21,27,24,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Penicillin G","Ciprofloxacin","Penicillin G",3,17,17,26,22,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Piperacillin","Ciprofloxacin","Piperacillin",3,17,17,26,22,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Pseudomonic acid","Ciprofloxacin","Pseudomonic acid",3,11,11,24,18,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Rifampicin","Ciprofloxacin","Rifampicin",2,20,20,25,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Sulfamonomethoxine","Ciprofloxacin","Sulfamonomethoxine",2,17,17,24,20,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Triclosan","Ciprofloxacin","Triclosan",3,22,22,26,24,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Ciprofloxacin_Trimethoprim","Ciprofloxacin","Trimethoprim",2,11,11,24,18,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Doxycycline","Clindamycin","Doxycycline",2,12,12,24,18,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Flucytosine","Clindamycin","Flucytosine",4,8,8,24,16,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Fosfomycin","Clindamycin","Fosfomycin",4,12,12,46,29,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Fusidic acid","Clindamycin","Fusidic acid",4,12,12,30,21,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Imipenem","Clindamycin","Imipenem",4,11,11,20,16,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Levofloxacin","Clindamycin","Levofloxacin",3,12,12,26,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Mecillinam","Clindamycin","Mecillinam",4,12,12,14,13,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Meropenem","Clindamycin","Meropenem",4,11,11,20,16,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Metformin","Clindamycin","Metformin",4,12,12,19,16,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Moxifloxacin","Clindamycin","Moxifloxacin",3,12,12,26,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Novobiocin","Clindamycin","Novobiocin",2,12,12,24,18,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Penicillin G","Clindamycin","Penicillin G",4,11,11,20,16,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Piperacillin","Clindamycin","Piperacillin",4,11,11,20,16,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Pseudomonic acid","Clindamycin","Pseudomonic acid",4,11,11,12,12,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Rifampicin","Clindamycin","Rifampicin",2,12,12,21,16,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Sulfamonomethoxine","Clindamycin","Sulfamonomethoxine",3,12,12,17,14,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Triclosan","Clindamycin","Triclosan",4,12,12,24,18,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Clindamycin_Trimethoprim","Clindamycin","Trimethoprim",3,11,11,12,12,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Flucytosine","Doxycycline","Flucytosine",3,14,14,30,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Fosfomycin","Doxycycline","Fosfomycin",2,24,24,46,35,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Fusidic acid","Doxycycline","Fusidic acid",4,24,24,30,27,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Imipenem","Doxycycline","Imipenem",3,17,17,27,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Levofloxacin","Doxycycline","Levofloxacin",3,24,24,27,25,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Mecillinam","Doxycycline","Mecillinam",4,14,14,24,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Meropenem","Doxycycline","Meropenem",3,17,17,27,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Metformin","Doxycycline","Metformin",4,19,19,24,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Moxifloxacin","Doxycycline","Moxifloxacin",3,24,24,27,25,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Novobiocin","Doxycycline","Novobiocin",3,23,23,26,24,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Penicillin G","Doxycycline","Penicillin G",3,17,17,27,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Piperacillin","Doxycycline","Piperacillin",3,17,17,27,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Pseudomonic acid","Doxycycline","Pseudomonic acid",4,11,11,24,18,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Rifampicin","Doxycycline","Rifampicin",2,20,20,25,23,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Sulfamonomethoxine","Doxycycline","Sulfamonomethoxine",2,17,17,24,21,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Triclosan","Doxycycline","Triclosan",3,23,23,26,24,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Doxycycline_Trimethoprim","Doxycycline","Trimethoprim",4,11,11,24,18,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Fosfomycin","Flucytosine","Fosfomycin",2,19,20,46,33,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Fusidic acid","Flucytosine","Fusidic acid",4,16,17,32,25,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Imipenem","Flucytosine","Imipenem",3,11,12,27,19,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Levofloxacin","Flucytosine","Levofloxacin",3,15,15,31,23,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Mecillinam","Flucytosine","Mecillinam",4,8,9,24,17,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Meropenem","Flucytosine","Meropenem",3,11,12,27,19,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Metformin","Flucytosine","Metformin",3,11,12,27,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Moxifloxacin","Flucytosine","Moxifloxacin",3,15,15,31,23,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Novobiocin","Flucytosine","Novobiocin",3,14,14,30,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Penicillin G","Flucytosine","Penicillin G",3,11,12,27,19,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Piperacillin","Flucytosine","Piperacillin",3,11,12,27,19,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Pseudomonic acid","Flucytosine","Pseudomonic acid",2,7,8,23,15,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Rifampicin","Flucytosine","Rifampicin",4,12,12,28,20,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Sulfamonomethoxine","Flucytosine","Sulfamonomethoxine",2,10,10,26,18,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Triclosan","Flucytosine","Triclosan",3,14,14,30,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Flucytosine_Trimethoprim","Flucytosine","Trimethoprim",2,7,8,23,15,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Fusidic acid","Fosfomycin","Fusidic acid",3,30,30,46,38,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Imipenem","Fosfomycin","Imipenem",2,19,19,46,33,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Levofloxacin","Fosfomycin","Levofloxacin",3,26,26,46,36,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Mecillinam","Fosfomycin","Mecillinam",2,14,14,46,30,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Meropenem","Fosfomycin","Meropenem",2,19,19,46,33,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Metformin","Fosfomycin","Metformin",4,19,19,46,32,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Moxifloxacin","Fosfomycin","Moxifloxacin",3,26,26,46,36,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Novobiocin","Fosfomycin","Novobiocin",3,24,24,46,35,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Penicillin G","Fosfomycin","Penicillin G",2,19,19,46,33,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Piperacillin","Fosfomycin","Piperacillin",2,19,19,46,33,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Pseudomonic acid","Fosfomycin","Pseudomonic acid",3,11,11,46,28,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Rifampicin","Fosfomycin","Rifampicin",3,21,21,46,34,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Sulfamonomethoxine","Fosfomycin","Sulfamonomethoxine",3,17,17,46,32,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Triclosan","Fosfomycin","Triclosan",3,24,24,46,35,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fosfomycin_Trimethoprim","Fosfomycin","Trimethoprim",3,11,11,46,28,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fusidic acid_Imipenem","Fusidic acid","Imipenem",3,19,19,30,25,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fusidic acid_Levofloxacin","Fusidic acid","Levofloxacin",3,26,26,30,28,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fusidic acid_Mecillinam","Fusidic acid","Mecillinam",3,14,14,30,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fusidic acid_Meropenem","Fusidic acid","Meropenem",3,19,19,30,25,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fusidic acid_Metformin","Fusidic acid","Metformin",4,19,19,30,24,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fusidic acid_Moxifloxacin","Fusidic acid","Moxifloxacin",3,26,26,30,28,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fusidic acid_Novobiocin","Fusidic acid","Novobiocin",3,24,24,30,27,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fusidic acid_Penicillin G","Fusidic acid","Penicillin G",3,19,19,30,25,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fusidic acid_Piperacillin","Fusidic acid","Piperacillin",3,19,19,30,25,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fusidic acid_Pseudomonic acid","Fusidic acid","Pseudomonic acid",3,11,11,30,20,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fusidic acid_Rifampicin","Fusidic acid","Rifampicin",4,21,21,30,26,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fusidic acid_Sulfamonomethoxine","Fusidic acid","Sulfamonomethoxine",2,17,17,30,24,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fusidic acid_Triclosan","Fusidic acid","Triclosan",2,24,24,30,27,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Fusidic acid_Trimethoprim","Fusidic acid","Trimethoprim",3,11,11,30,20,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Imipenem_Levofloxacin","Imipenem","Levofloxacin",3,18,18,28,23,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Imipenem_Mecillinam","Imipenem","Mecillinam",3,12,12,22,17,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Imipenem_Meropenem","Imipenem","Meropenem",3,13,13,26,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Imipenem_Metformin","Imipenem","Metformin",3,15,15,24,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Imipenem_Moxifloxacin","Imipenem","Moxifloxacin",3,18,18,28,23,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Imipenem_Novobiocin","Imipenem","Novobiocin",3,17,17,26,22,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Imipenem_Penicillin G","Imipenem","Penicillin G",3,13,13,26,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Imipenem_Piperacillin","Imipenem","Piperacillin",3,13,13,26,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Imipenem_Pseudomonic acid","Imipenem","Pseudomonic acid",3,10,10,20,15,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Imipenem_Rifampicin","Imipenem","Rifampicin",3,16,16,25,20,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Imipenem_Sulfamonomethoxine","Imipenem","Sulfamonomethoxine",3,14,14,22,18,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Imipenem_Triclosan","Imipenem","Triclosan",3,17,17,26,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Imipenem_Trimethoprim","Imipenem","Trimethoprim",3,10,10,20,15,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Levofloxacin_Mecillinam","Levofloxacin","Mecillinam",3,14,14,26,20,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Levofloxacin_Meropenem","Levofloxacin","Meropenem",3,18,18,28,23,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Levofloxacin_Metformin","Levofloxacin","Metformin",2,19,19,26,23,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Levofloxacin_Moxifloxacin","Levofloxacin","Moxifloxacin",1,24,24,28,26,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Levofloxacin_Novobiocin","Levofloxacin","Novobiocin",1,23,23,28,26,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Levofloxacin_Penicillin G","Levofloxacin","Penicillin G",3,18,18,28,23,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Levofloxacin_Piperacillin","Levofloxacin","Piperacillin",3,18,18,28,23,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Levofloxacin_Pseudomonic acid","Levofloxacin","Pseudomonic acid",3,11,11,26,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Levofloxacin_Rifampicin","Levofloxacin","Rifampicin",3,21,21,27,24,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Levofloxacin_Sulfamonomethoxine","Levofloxacin","Sulfamonomethoxine",2,17,17,26,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Levofloxacin_Triclosan","Levofloxacin","Triclosan",3,23,23,27,25,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Levofloxacin_Trimethoprim","Levofloxacin","Trimethoprim",3,11,11,26,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Mecillinam_Meropenem","Mecillinam","Meropenem",3,12,12,22,17,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Mecillinam_Metformin","Mecillinam","Metformin",3,14,14,19,16,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Mecillinam_Moxifloxacin","Mecillinam","Moxifloxacin",3,14,14,26,20,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Mecillinam_Novobiocin","Mecillinam","Novobiocin",3,14,14,24,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Mecillinam_Penicillin G","Mecillinam","Penicillin G",3,12,12,22,17,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Mecillinam_Piperacillin","Mecillinam","Piperacillin",3,12,12,22,17,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Mecillinam_Pseudomonic acid","Mecillinam","Pseudomonic acid",4,11,11,14,12,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Mecillinam_Rifampicin","Mecillinam","Rifampicin",4,14,14,21,18,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Mecillinam_Sulfamonomethoxine","Mecillinam","Sulfamonomethoxine",4,14,14,17,16,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Mecillinam_Triclosan","Mecillinam","Triclosan",3,14,14,24,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Mecillinam_Trimethoprim","Mecillinam","Trimethoprim",3,11,11,14,12,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Meropenem_Metformin","Meropenem","Metformin",3,15,15,24,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Meropenem_Moxifloxacin","Meropenem","Moxifloxacin",3,18,18,28,23,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Meropenem_Novobiocin","Meropenem","Novobiocin",3,17,17,26,22,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Meropenem_Penicillin G","Meropenem","Penicillin G",3,13,13,26,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Meropenem_Piperacillin","Meropenem","Piperacillin",3,13,13,26,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Meropenem_Pseudomonic acid","Meropenem","Pseudomonic acid",3,10,10,20,15,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Meropenem_Rifampicin","Meropenem","Rifampicin",3,16,16,25,20,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Meropenem_Sulfamonomethoxine","Meropenem","Sulfamonomethoxine",3,14,14,22,18,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Meropenem_Triclosan","Meropenem","Triclosan",3,17,17,26,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Meropenem_Trimethoprim","Meropenem","Trimethoprim",3,10,10,20,15,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Metformin_Moxifloxacin","Metformin","Moxifloxacin",2,19,19,26,23,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Metformin_Novobiocin","Metformin","Novobiocin",2,19,19,24,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Metformin_Penicillin G","Metformin","Penicillin G",3,15,15,24,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Metformin_Piperacillin","Metformin","Piperacillin",3,15,15,24,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Metformin_Pseudomonic acid","Metformin","Pseudomonic acid",3,11,11,19,15,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Metformin_Rifampicin","Metformin","Rifampicin",4,18,18,22,20,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Metformin_Sulfamonomethoxine","Metformin","Sulfamonomethoxine",2,17,17,19,18,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Metformin_Triclosan","Metformin","Triclosan",3,19,19,24,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Metformin_Trimethoprim","Metformin","Trimethoprim",4,11,11,19,15,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Moxifloxacin_Novobiocin","Moxifloxacin","Novobiocin",1,23,23,28,26,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Moxifloxacin_Penicillin G","Moxifloxacin","Penicillin G",3,18,18,28,23,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Moxifloxacin_Piperacillin","Moxifloxacin","Piperacillin",3,18,18,28,23,1,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Moxifloxacin_Pseudomonic acid","Moxifloxacin","Pseudomonic acid",3,11,11,26,19,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Moxifloxacin_Rifampicin","Moxifloxacin","Rifampicin",3,21,21,27,24,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
"Moxifloxacin_Sulfamonomethoxine","Moxifloxacin","Sulfamonomethoxine",2,17,17,26,22,0,"GN.INT.EcoliNet.3568gene.23439link.txt"
