"drug_pair","Drug1","Drug2","drugdrug.x","code_3letter1","code_3letter2","drug_cat","drug_category1","drug_category2","categorycategory","targ","targeted_cellular_process1","targeted_cellular_process2","processprocess","us","use1","use2","useuse","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g","SR_ebw_D1","SR_ecr_D1","SR_stm_D1","SR_seo_D1","SR_pae_D1","SR_pau_D1","SR_ebw_D2","SR_ecr_D2","SR_stm_D2","SR_seo_D2","SR_pae_D2","SR_pau_D2","SR_ebw","SR_ecr","SR_stm","SR_seo","SR_pae","SR_pau","SR_score_ebw","SR_score_ecr","SR_score_stm","SR_score_seo","SR_score_pae","SR_score_pau","SR_score_total","HDC_ebw_D1","HDC_ecr_D1","HDC_stm_D1","HDC_seo_D1","HDC_pae_D1","HDC_pau_D1","LF_ebw_D1","LF_ecr_D1","LF_stm_D1","LF_seo_D1","LF_pae_D1","LF_pau_D1","HDC_ebw_D2","HDC_ecr_D2","HDC_stm_D2","HDC_seo_D2","HDC_pae_D2","HDC_pau_D2","LF_ebw_D2","LF_ecr_D2","LF_stm_D2","LF_seo_D2","LF_pae_D2","LF_pau_D2","drugdrug.y","clusters","sigma.rate"
"Bacitracin_Erythromycin","Bacitracin","Erythromycin","Bacitracin-Erythromycin","BAC","ERI",0,"other cell wall","macrolide","macrolide-other cell wall",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.059479388,0.060976152,0.055416045,-0.040624742,-0.038277111,-0.058414861,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","S","S","S","S","S","S","RS","RS","RS","RS","RS","RS",0,0,0,0,0,0,0,300,300,300,300,300,300,0.73,0.79,0.83,0.78,0.9,0.91,15,15,32,32,32,32,0.54,0.65,0.52,0.49,0.61,0.59,"Bacitracin-Erythromycin",7,0.00254252495318575
"Bacitracin_Clarithromycin","Bacitracin","Clarithromycin","Bacitracin-Clarithromycin","BAC","CLR",0,"other cell wall","macrolide","macrolide-other cell wall",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.067172498,-0.031387519,0.034598906,0.068032063,-0.049607488,-0.036407824,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","S","S","S","S","S","S","RS","RS","RS","RS","RS","RS",0,0,0,0,0,0,0,300,300,300,300,300,300,0.73,0.79,0.83,0.78,0.9,0.91,30,30,30,30,60,60,0.45,0.57,0.6,0.54,0.36,0.44,"Bacitracin-Clarithromycin",6,0.00181682055372977
"Bacitracin_Caffeine","Bacitracin","Caffeine","Bacitracin-Caffeine","BAC","CAF",0,"other cell wall","food additive","food additive-other cell wall",0,"cell wall","human","cell wall-human",0,"antibiotic","food additive","antibiotic-food additive",-0.06659339,-0.105758695,-0.03005796,0.048891051,0.030732633,-0.026436164,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity",0,-1,0,0,0,0,-1,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,300,300,300,300,300,300,0.73,0.79,0.83,0.78,0.9,0.91,200,200,200,200,200,200,0.85,0.88,0.84,0.86,0.85,0.85,"Bacitracin-Caffeine",3,0.000695499357720025
"Bacitracin_Reserpine","Bacitracin","Reserpine","Bacitracin-Reserpine","BAC","RSP",0,"other cell wall","human drug","human drug-other cell wall",0,"cell wall","human","cell wall-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",-0.032402185,0.039566135,0.074557786,0.120252581,0.047768509,-0.085783668,"Additivity","Additivity","Additivity","Antagonism","Additivity","Additivity",0,0,0,1,0,0,1,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,300,300,300,300,300,300,0.73,0.79,0.83,0.78,0.9,0.91,100,100,100,100,100,100,0.86,0.9,0.88,0.87,0.74,0.84,"Bacitracin-Reserpine",5,0.00124289159607791
"Bacitracin_Procaine","Bacitracin","Procaine","Bacitracin-Procaine","BAC","PRC",0,"other cell wall","human drug","human drug-other cell wall",0,"cell wall","human","cell wall-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.049217103,0.03667919,-0.053007439,0.07468603,-0.041794086,-0.037152161,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","S","S","S","S","S","S","RS","RS","RS","RS","RS","RS",0,0,0,0,0,0,0,300,300,300,300,300,300,0.73,0.79,0.83,0.78,0.9,0.91,10910.8,10910.8,10910.8,10910.8,10910.8,10910.8,0.42,0.5,0.4,0.26,0.2,0.38,"Bacitracin-Procaine",8,0.00215049609648241
"Bacitracin_Theophylline","Bacitracin","Theophylline","Bacitracin-Theophylline","BAC","TPH",0,"other cell wall","human drug","human drug-other cell wall",0,"cell wall","human","cell wall-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",-0.05517687,-0.088925471,0.049621971,-0.053317497,0.025909612,-0.040166392,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,300,300,300,300,300,300,0.73,0.79,0.83,0.78,0.9,0.91,10,10,10,10,20,20,0.87,0.9,0.87,0.87,0.89,0.91,"Bacitracin-Theophylline",2,0.00151654919727939
"Bacitracin_Verapamil","Bacitracin","Verapamil","Bacitracin-Verapamil","BAC","VPM",0,"other cell wall","human drug","human drug-other cell wall",0,"cell wall","human","cell wall-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",-0.029635521,0.029787463,-0.033648815,-0.079530374,-0.066994147,-0.030693098,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,300,300,300,300,300,300,0.73,0.79,0.83,0.78,0.9,0.91,500,500,500,500,500,500,0.87,0.8,0.85,0.86,0.78,0.83,"Bacitracin-Verapamil",6,0.00181682055372977
"Bacitracin_Meropenem","Bacitracin","Meropenem","Bacitracin-Meropenem","BAC","MEM",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.268038697,-0.107074697,-0.344254653,-0.157022769,-0.092847936,-0.038919516,"Synergy","Additivity","Additivity","Additivity","Additivity","Additivity",-1,0,0,0,0,0,-1,"R","R","R","R","R","R","S","S","S","S","S","S","RS","RS","RS","RS","RS","RS",0,0,0,0,0,0,0,300,300,300,300,300,300,0.73,0.79,0.83,0.78,0.9,0.91,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,"Bacitracin-Meropenem",2,0.00151654919727939
"Bacitracin_Triclosan","Bacitracin","Triclosan","Bacitracin-Triclosan","BAC","TRI",0,"other cell wall","other membrane","other cell wall-other membrane",0,"cell wall","membrane","cell wall-membrane",0,"antibiotic","anti-infective","anti-infective-antibiotic",-0.058126297,0.050780564,-0.033883978,-0.068851325,0.02973845,0.034903868,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,300,300,300,300,300,300,0.73,0.79,0.83,0.78,0.9,0.91,0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,"Bacitracin-Triclosan",2,0.00151654919727939
"Bacitracin_Gentamicin","Bacitracin","Gentamicin","Bacitracin-Gentamicin","BAC","GEN",0,"other cell wall","aminoglycoside","aminoglycoside-other cell wall",0,"cell wall","protein synthesis inhibitor","cell wall-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.041537121,-0.169045733,-0.073189867,-0.138015215,-0.379376091,-0.080893682,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity",0,0,0,0,-1,0,-1,"R","R","R","R","R","R","S","S","S","S","S","S","RS","RS","RS","RS","RS","RS",0,0,0,0,0,0,0,300,300,300,300,300,300,0.73,0.79,0.83,0.78,0.9,0.91,1,1,1.5,1.5,1.5,1.5,0.01,0.67,0,0.5,0,0,"Bacitracin-Gentamicin",6,0.00181682055372977
"Bacitracin_Berberine","Bacitracin","Berberine","Bacitracin-Berberine","BAC","BBR",0,"other cell wall","food additive","food additive-other cell wall",0,"cell wall","human","cell wall-human",0,"antibiotic","food additive","antibiotic-food additive",0.084332192,0.059834156,-0.04208099,0.064492537,-0.037261138,0.02714474,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,300,300,300,300,300,300,0.73,0.79,0.83,0.78,0.9,0.91,200,200,200,200,200,200,0.8,0.85,0.9,0.89,0.76,0.88,"Bacitracin-Berberine",8,0.00215049609648241
"Bacitracin_Metformin","Bacitracin","Metformin","Bacitracin-Metformin","BAC","MF",0,"other cell wall","human drug","human drug-other cell wall",0,"cell wall","human","cell wall-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.048305656,0.064433253,0.06294611,0.134516628,-0.032872421,-0.053123367,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","S","S","S","S","S","S","RS","RS","RS","RS","RS","RS",0,0,0,0,0,0,0,300,300,300,300,300,300,0.73,0.79,0.83,0.78,0.9,0.91,12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,"Bacitracin-Metformin",1,0.00161041532291776
"Bacitracin_Diclofenac","Bacitracin","Diclofenac","Bacitracin-Diclofenac","BAC","DIC",0,"other cell wall","human drug","human drug-other cell wall",0,"cell wall","human","cell wall-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.061463579,0.036411344,0.04570773,0.064689023,0.031651354,-0.027947799,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,300,300,300,300,300,300,0.73,0.79,0.83,0.78,0.9,0.91,100,100,100,100,100,100,0.97,0.97,0.97,0.99,0.96,0.99,"Bacitracin-Diclofenac",1,0.00161041532291776
"Metronidazole_Teicoplanin","Metronidazole","Teicoplanin","Metronidazole-Teicoplanin","MTZ","TEC",0,"other DNA","other cell wall","other cell wall-other DNA",0,"DNA","cell wall","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.026224218,-0.014777231,0.031145517,-0.037795422,-0.032281497,-0.032973432,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,1,1,1,1,20,20,0.81,0.86,0.85,0.85,0.86,0.85,0.3,0.3,0.3,0.3,5,5,0.88,0.88,0.85,0.87,0.82,0.83,"Metronidazole-Teicoplanin",6,0.00181682055372977
"Metronidazole_Mitomycin C","Metronidazole","Mitomycin C","Metronidazole-Mitomycin C","MTZ","MMC",1,"other DNA","other DNA","other DNA-other DNA",1,"DNA","DNA","DNA-DNA",0,"antibiotic","research used drug","antibiotic-research used drug",-0.090526141,-0.112586829,0.037630994,-0.115071455,-0.047453762,0.069381229,"Additivity","Synergy","Additivity","Synergy","Additivity","Additivity",0,-1,0,-1,0,0,-2,"R","R","R","R","R","R","S","S","S","S","S","S","RS","RS","RS","RS","RS","RS",0,0,0,0,0,0,0,1,1,1,1,20,20,0.81,0.86,0.85,0.85,0.86,0.85,0.5,0.5,0.25,0.25,1.5,0.2,0.34,0,0.33,0.54,0.4,0,"Metronidazole-Mitomycin C",2,0.00151654919727939
"Metronidazole_Sulfamonomethoxine","Metronidazole","Sulfamonomethoxine","Metronidazole-Sulfamonomethoxine","MTZ","SMM",0,"other DNA","folic acid biosynthesis","folic acid biosynthesis-other DNA",1,"DNA","DNA","DNA-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.063302644,-0.033966048,0.041592097,-0.040452239,0.032672754,0.039848809,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,1,1,1,1,20,20,0.81,0.86,0.85,0.85,0.86,0.85,50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,"Metronidazole-Sulfamonomethoxine",2,0.00151654919727939
"Metronidazole_Nisin","Metronidazole","Nisin","Metronidazole-Nisin","MTZ","NSN",0,"other DNA","PMF","other DNA-PMF",0,"DNA","PMF","DNA-PMF",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.051861051,0.034627643,0.033305881,-0.055820319,-0.028940253,0.028976549,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,1,1,1,1,20,20,0.81,0.86,0.85,0.85,0.86,0.85,25,25,25,25,20,20,0.83,0.92,0.85,0.87,0.84,0.88,"Metronidazole-Nisin",2,0.00151654919727939
"Metronidazole_Nonactin","Metronidazole","Nonactin","Metronidazole-Nonactin","MTZ","NON",0,"other DNA","PMF","other DNA-PMF",0,"DNA","PMF","DNA-PMF",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.054012433,0.031926789,0.034375682,0.06041886,-0.030362761,-0.039911819,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,1,1,1,1,20,20,0.81,0.86,0.85,0.85,0.86,0.85,1,1,1,1,2,2,0.88,0.89,0.93,0.91,0.81,0.83,"Metronidazole-Nonactin",1,0.00161041532291776
"Metronidazole_Paraquat","Metronidazole","Paraquat","Metronidazole-Paraquat","MTZ","PQ",0,"other DNA","oxidative stress","other DNA-oxidative stress",0,"DNA","oxidative stress","DNA-oxidative stress",0,"antibiotic","research used drug","antibiotic-research used drug",-0.099433415,-0.03268062,0.042440821,-0.064129128,0.027426206,0.03156329,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,1,1,1,1,20,20,0.81,0.86,0.85,0.85,0.86,0.85,5,5,10,10,10,10,0.76,0.75,0.82,0.83,0.87,0.86,"Metronidazole-Paraquat",2,0.00151654919727939
"Metronidazole_Tigecycline","Metronidazole","Tigecycline","Metronidazole-Tigecycline","MTZ","TGC",0,"other DNA","tetracycline","other DNA-tetracycline",0,"DNA","protein synthesis inhibitor","DNA-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.033542272,0.037845528,-0.037822222,-0.037788041,0.026842911,0.038406563,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,1,1,1,1,20,20,0.81,0.86,0.85,0.85,0.86,0.85,0.04,0.04,0.04,0.04,10,0.1,0.84,0.89,0.88,0.88,0.72,0.87,"Metronidazole-Tigecycline",2,0.00151654919727939
"Metronidazole_Spiramycin","Metronidazole","Spiramycin","Metronidazole-Spiramycin","MTZ","SPM",0,"other DNA","macrolide","macrolide-other DNA",0,"DNA","protein synthesis inhibitor","DNA-protein synthesis inhibitor",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.080075295,-0.04104455,0.045149057,-0.030053956,-0.024005305,0.054942228,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,1,1,1,1,20,20,0.81,0.86,0.85,0.85,0.86,0.85,20,20,20,20,20,20,0.73,0.79,0.8,0.84,0.86,0.88,"Metronidazole-Spiramycin",2,0.00151654919727939
"Metronidazole_Reserpine","Metronidazole","Reserpine","Metronidazole-Reserpine","MTZ","RSP",0,"other DNA","human drug","human drug-other DNA",0,"DNA","human","DNA-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.042533211,-0.042524351,-0.051939768,-0.041610394,-0.05501503,-0.050244237,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,1,1,1,1,20,20,0.81,0.86,0.85,0.85,0.86,0.85,100,100,100,100,100,100,0.86,0.9,0.88,0.87,0.74,0.84,"Metronidazole-Reserpine",4,0.00101849165039097
"Metronidazole_Procaine","Metronidazole","Procaine","Metronidazole-Procaine","MTZ","PRC",0,"other DNA","human drug","human drug-other DNA",0,"DNA","human","DNA-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",-0.055148252,-0.026286849,0.022596793,0.038107071,-0.062980547,0.040396179,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","S","S","S","S","S","S","RS","RS","RS","RS","RS","RS",0,0,0,0,0,0,0,1,1,1,1,20,20,0.81,0.86,0.85,0.85,0.86,0.85,10910.8,10910.8,10910.8,10910.8,10910.8,10910.8,0.42,0.5,0.4,0.26,0.2,0.38,"Metronidazole-Procaine",3,0.000695499357720025
"Metronidazole_Theophylline","Metronidazole","Theophylline","Metronidazole-Theophylline","MTZ","TPH",0,"other DNA","human drug","human drug-other DNA",0,"DNA","human","DNA-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.034739478,0.031083698,0.056382683,-0.049280849,0.015192367,0.042568929,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,1,1,1,1,20,20,0.81,0.86,0.85,0.85,0.86,0.85,10,10,10,10,20,20,0.87,0.9,0.87,0.87,0.89,0.91,"Metronidazole-Theophylline",7,0.00254252495318575
"Metronidazole_Verapamil","Metronidazole","Verapamil","Metronidazole-Verapamil","MTZ","VPM",0,"other DNA","human drug","human drug-other DNA",0,"DNA","human","DNA-human",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",-0.082152842,0.024535831,0.038411841,-0.032328041,0.041914713,0.061474691,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,1,1,1,1,20,20,0.81,0.86,0.85,0.85,0.86,0.85,500,500,500,500,500,500,0.87,0.8,0.85,0.86,0.78,0.83,"Metronidazole-Verapamil",2,0.00151654919727939
"Metronidazole_Triclosan","Metronidazole","Triclosan","Metronidazole-Triclosan","MTZ","TRI",0,"other DNA","other membrane","other DNA-other membrane",0,"DNA","membrane","DNA-membrane",0,"antibiotic","anti-infective","anti-infective-antibiotic",-0.026934065,-0.028193335,-0.065392907,-0.042493838,-0.028159456,0.03195919,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,1,1,1,1,20,20,0.81,0.86,0.85,0.85,0.86,0.85,0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,"Metronidazole-Triclosan",2,0.00151654919727939
"Clofazimine_Imipenem","Clofazimine","Imipenem","Clofazimine-Imipenem","CLO","IPM",0,"other DNA","beta-lactam","beta-lactam-other DNA",0,"DNA","cell wall","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.04093045,-0.047392218,0.046021952,-0.055940141,0.033284703,0.041071818,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","S","S","S","S","S","S","RS","RS","RS","RS","RS","RS",0,0,0,0,0,0,0,4,4,4,4,4,4,0.88,0.9,0.9,0.9,0.82,0.83,0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,"Clofazimine-Imipenem",2,0.00151654919727939
"Clofazimine_Teicoplanin","Clofazimine","Teicoplanin","Clofazimine-Teicoplanin","CLO","TEC",0,"other DNA","other cell wall","other cell wall-other DNA",0,"DNA","cell wall","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.030857516,0.035821519,0.055194653,0.034667462,-0.04114111,-0.046960909,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,4,4,4,4,4,4,0.88,0.9,0.9,0.9,0.82,0.83,0.3,0.3,0.3,0.3,5,5,0.88,0.88,0.85,0.87,0.82,0.83,"Clofazimine-Teicoplanin",5,0.00124289159607791
"Clofazimine_Metronidazole","Clofazimine","Metronidazole","Clofazimine-Metronidazole","CLO","MTZ",1,"other DNA","other DNA","other DNA-other DNA",1,"DNA","DNA","DNA-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.059413076,-0.052429071,-0.025530237,0.036648946,-0.038541038,0.045729377,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,4,4,4,4,4,4,0.88,0.9,0.9,0.9,0.82,0.83,1,1,1,1,20,20,0.81,0.86,0.85,0.85,0.86,0.85,"Clofazimine-Metronidazole",3,0.000695499357720025
"Clofazimine_Doxorubicin","Clofazimine","Doxorubicin","Clofazimine-Doxorubicin","CLO","DXR",1,"other DNA","other DNA","other DNA-other DNA",1,"DNA","DNA","DNA-DNA",0,"antibiotic","human-targeted drug","antibiotic-human-targeted drug",0.071582179,-0.063810101,0.06324616,0.048039049,-0.04243498,0.045109031,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,4,4,4,4,4,4,0.88,0.9,0.9,0.9,0.82,0.83,2.5,2.5,2.5,2.5,5,5,0.81,0.86,0.81,0.84,0.9,0.91,"Clofazimine-Doxorubicin",1,0.00161041532291776
"Clofazimine_Mitomycin C","Clofazimine","Mitomycin C","Clofazimine-Mitomycin C","CLO","MMC",1,"other DNA","other DNA","other DNA-other DNA",1,"DNA","DNA","DNA-DNA",0,"antibiotic","research used drug","antibiotic-research used drug",0.04948359,-0.125182812,0.049014278,0.046659359,-0.068156535,-0.207089099,"Additivity","Synergy","Additivity","Additivity","Additivity","Synergy",0,-1,0,0,0,-1,-2,"R","R","R","R","R","R","S","S","S","S","S","S","RS","RS","RS","RS","RS","RS",0,0,0,0,0,0,0,4,4,4,4,4,4,0.88,0.9,0.9,0.9,0.82,0.83,0.5,0.5,0.25,0.25,1.5,0.2,0.34,0,0.33,0.54,0.4,0,"Clofazimine-Mitomycin C",6,0.00181682055372977
"Clofazimine_Levofloxacin","Clofazimine","Levofloxacin","Clofazimine-Levofloxacin","CLO","LCX",0,"other DNA","DNA gyrase","DNA gyrase-other DNA",1,"DNA","DNA","DNA-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.029679631,-0.015733589,0.135565871,0.10939609,-0.037814681,0,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","S","S","S","S","S","S","RS","RS","RS","RS","RS","RS",0,0,0,0,0,0,0,4,4,4,4,4,4,0.88,0.9,0.9,0.9,0.82,0.83,0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,"Clofazimine-Levofloxacin",5,0.00124289159607791
"Clofazimine_Sulfamonomethoxine","Clofazimine","Sulfamonomethoxine","Clofazimine-Sulfamonomethoxine","CLO","SMM",0,"other DNA","folic acid biosynthesis","folic acid biosynthesis-other DNA",1,"DNA","DNA","DNA-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.035374204,0.030073499,0.0509578,0.047943511,0.042133974,0.048918277,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,4,4,4,4,4,4,0.88,0.9,0.9,0.9,0.82,0.83,50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,"Clofazimine-Sulfamonomethoxine",5,0.00124289159607791
"Clofazimine_Nisin","Clofazimine","Nisin","Clofazimine-Nisin","CLO","NSN",0,"other DNA","PMF","other DNA-PMF",0,"DNA","PMF","DNA-PMF",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.048476637,-0.043818637,0.045157556,0.04918604,0.03945216,-0.031473478,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,4,4,4,4,4,4,0.88,0.9,0.9,0.9,0.82,0.83,25,25,25,25,20,20,0.83,0.92,0.85,0.87,0.84,0.88,"Clofazimine-Nisin",3,0.000695499357720025
"Clofazimine_Daptomycin","Clofazimine","Daptomycin","Clofazimine-Daptomycin","CLO","DAP",0,"other DNA","PMF","other DNA-PMF",0,"DNA","PMF","DNA-PMF",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.041274452,-0.051696095,-0.022655562,0.041278444,-0.037340872,0.039945247,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,4,4,4,4,4,4,0.88,0.9,0.9,0.9,0.82,0.83,1,1,1,1,1,1,0.84,0.89,0.88,0.9,0.88,0.9,"Clofazimine-Daptomycin",8,0.00215049609648241
"Clofazimine_Nonactin","Clofazimine","Nonactin","Clofazimine-Nonactin","CLO","NON",0,"other DNA","PMF","other DNA-PMF",0,"DNA","PMF","DNA-PMF",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.031460612,-0.037251,-0.024240821,0.016902147,0.052092147,-0.077188735,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"R","R","R","R","R","R","R","R","R","R","R","R","RR","RR","RR","RR","RR","RR",1,1,1,1,1,1,6,4,4,4,4,4,4,0.88,0.9,0.9,0.9,0.82,0.83,1,1,1,1,2,2,0.88,0.89,0.93,0.91,0.81,0.83,"Clofazimine-Nonactin",1,0.00161041532291776
