Species,Antifungal,Compound
C. neoformans,Amphotericin B,Droperidol
C. neoformans,Amphotericin B,Emetine
C. neoformans,Amphotericin B,Emodin
C. neoformans,Amphotericin B,Entandrophragmin
C. neoformans,Amphotericin B,Epigallocatechin Gallate
C. neoformans,Amphotericin B,Ergocryptine-Alpha
C. neoformans,Amphotericin B,Erythromycin Estolate
C. neoformans,Amphotericin B,Estradiol Propionate
C. neoformans,Amphotericin B,Estrone Acetate
C. neoformans,Amphotericin B,Ethoxyquin
C. neoformans,Amphotericin B,Eugenol
C. neoformans,Amphotericin B,Euphol
C. neoformans,Amphotericin B,Euphorbiasteroid
C. neoformans,Amphotericin B,Fiduxosin Hydrochloride
C. neoformans,Amphotericin B,Filipin
C. neoformans,Amphotericin B,Flumethazone Pivalate
C. neoformans,Amphotericin B,Flunarizine Dihydrochloride
C. neoformans,Amphotericin B,Fluphenazine Dihydrochloride
C. neoformans,Amphotericin B,Flupirtine Maleate
C. neoformans,Amphotericin B,Fluspirilen
C. neoformans,Amphotericin B,Fumagillin
C. neoformans,Amphotericin B,Fumonisin B2
C. neoformans,Amphotericin B,Fusidic Acid
C. neoformans,Amphotericin B,Gambogic Acid
C. neoformans,Amphotericin B,Garcinolic Acid
C. neoformans,Amphotericin B,Gbr 12909 Dihydrochloride
C. neoformans,Amphotericin B,Gbr-12935 Dihydrochloride
C. neoformans,Amphotericin B,Gemifloxacin Mesylate
C. neoformans,Amphotericin B,Glimepiride
C. neoformans,Amphotericin B,Gliquidone
C. neoformans,Amphotericin B,Gossypol
C. neoformans,Amphotericin B,Gossypol-Acetic Acid Complex
C. neoformans,Amphotericin B,Gr 127935 Hydrochloride Hydrate
C. neoformans,Amphotericin B,Gw1929
C. neoformans,Amphotericin B,Gw2974
C. neoformans,Amphotericin B,Gw7647
C. neoformans,Amphotericin B,"Haematommic Acid, Ethyl Ester"
C. neoformans,Amphotericin B,Hederagenin
C. neoformans,Amphotericin B,Hieracin
C. neoformans,Amphotericin B,Homidium Bromide
C. neoformans,Amphotericin B,Hycanthone
C. neoformans,Amphotericin B,Hypericin
C. neoformans,Amphotericin B,I-Ome-Tyrphostin Ag 538
C. neoformans,Amphotericin B,Icariin
C. neoformans,Amphotericin B,"Ingenol 3,20-Dibenzoate"
C. neoformans,Amphotericin B,"Irigenin, 7-Benzyl Ether"
C. neoformans,Amphotericin B,Iriginol Hexaaceatate
C. neoformans,Amphotericin B,Isoreserpine
C. neoformans,Amphotericin B,Isotetrandrine
C. neoformans,Amphotericin B,Isotretinon
C. neoformans,Amphotericin B,Ivermectin
C. neoformans,Amphotericin B,Josamycin
C. neoformans,Amphotericin B,Khayanthone
C. neoformans,Amphotericin B,Khayasin C
C. neoformans,Amphotericin B,"L-162,313"
C. neoformans,Amphotericin B,"L-368,899 "
C. neoformans,Amphotericin B,"L-732,138"
C. neoformans,Amphotericin B,"L-765,314"
C. neoformans,Amphotericin B,Lanatoside C
C. neoformans,Amphotericin B,Larixol Acetate
C. neoformans,Amphotericin B,Lasalocid Sodium
C. neoformans,Amphotericin B,Levonordefrin
C. neoformans,Amphotericin B,Loperamide Hydrochloride
C. neoformans,Amphotericin B,Loratadine
C. neoformans,Amphotericin B,Lorglumide Sodium
C. neoformans,Amphotericin B,Lovastatin
C. neoformans,Amphotericin B,"Ly-367,265"
C. neoformans,Amphotericin B,Lysergol
C. neoformans,Amphotericin B,Madecassic Acid
C. neoformans,Amphotericin B,Meclozine Dihydrochloride
C. neoformans,Amphotericin B,Metergoline
C. neoformans,Amphotericin B,Methacycline Hydrochloride
C. neoformans,Amphotericin B,Methiothepin Mesylate
C. neoformans,Amphotericin B,Methoxy-6-Harmalan
C. neoformans,Amphotericin B,Mevastatin
C. neoformans,Amphotericin B,Mifepristone
C. neoformans,Amphotericin B,Minocycline Hydrochloride
C. neoformans,Amphotericin B,Mithramycin A
C. neoformans,Amphotericin B,Monensin Na
C. neoformans,Amphotericin B,Morin
C. neoformans,Amphotericin B,Mundulone
C. neoformans,Amphotericin B,N-Arachidonylglycine
C. neoformans,Amphotericin B,N-Oleoyldopamine
C. neoformans,Amphotericin B,Neohesperidin Dihydrochalcone
C. neoformans,Amphotericin B,Nerol
C. neoformans,Amphotericin B,Nicardipine Hydrochloride
C. neoformans,Amphotericin B,Niclosamide
C. neoformans,Amphotericin B,Nifedipine
C. neoformans,Amphotericin B,Nigericin Na 
C. neoformans,Amphotericin B,Nimodipine
C. neoformans,Amphotericin B,Nonactin
C. neoformans,Amphotericin B,Nordihydroguaiaretic Acid From Larrea Divaricata (Creosote Bush)
C. neoformans,Amphotericin B,Norstictic Acid
C. neoformans,Amphotericin B,Novobiocin Sodium
C. neoformans,Amphotericin B,Nystatine
C. neoformans,Amphotericin B,Oleanoic Acid
C. neoformans,Amphotericin B,Oligomycin A
C. neoformans,Amphotericin B,Oxethazaine
C. neoformans,Amphotericin B,Paclitaxel
C. neoformans,Amphotericin B,Panaxatriol
C. neoformans,Amphotericin B,Perhexiline Maleate
C. neoformans,Amphotericin B,Periciazine
C. neoformans,Amphotericin B,Perphenazine
C. neoformans,Amphotericin B,Phorbol 12-Myristate 13-Acetate
C. neoformans,Amphotericin B,Piceatannol
C. neoformans,Amphotericin B,Pimozide
C. neoformans,Amphotericin B,Piperacetazine
C. neoformans,Amphotericin B,Polymyxin B Sulfate
C. neoformans,Amphotericin B,Proadifen Hydrochloride
C. neoformans,Amphotericin B,Prochlorperazine Dimaleate
C. neoformans,Amphotericin B,Promethazine Hydrochloride
C. neoformans,Amphotericin B,Propionylpromazine Hydrochloride
C. neoformans,Amphotericin B,Pyrromycin
C. neoformans,Amphotericin B,Pyrvinium Pamoate
C. neoformans,Amphotericin B,Quercetin Pentamethyl Ether
C. neoformans,Amphotericin B,"Quercetin Tetramethyl (5,7,3',4') Ether"
C. neoformans,Amphotericin B,R(-) Apomorphine Hydrochloride Hemihydrate
C. neoformans,Amphotericin B,"R(-)-2,10,11-Trihydroxy-N-Propylnoraporphine Hydrobromide"
C. neoformans,Amphotericin B,R(-)-N-Allylnorapomorphine Hydrobromide
C. neoformans,Amphotericin B,R(-)-Propylnorapomorphine Hydrochloride
C. neoformans,Amphotericin B,R(+)-Uh-301 Hydrochloride
C. neoformans,Amphotericin B,Raloxifene Hydrochloride
C. neoformans,Amphotericin B,Ramelteon
C. neoformans,Amphotericin B,Rescinnamin
C. neoformans,Amphotericin B,Reserpine
C. neoformans,Amphotericin B,Retinoic Acid
C. neoformans,Amphotericin B,Retinoic Acid P-Hydroxyanilide
C. neoformans,Amphotericin B,Retinyl Acetate
C. neoformans,Amphotericin B,Rhamnetine
C. neoformans,Amphotericin B,Rifabutin
C. neoformans,Amphotericin B,Rifampicin
C. neoformans,Amphotericin B,Rifaximin
C. neoformans,Amphotericin B,Ritanserin
C. neoformans,Amphotericin B,"Rotenonic Acid, Methyl Ether"
C. neoformans,Amphotericin B,Salinomycin
C. neoformans,Amphotericin B,Salmeterol
C. neoformans,Amphotericin B,Salmeterol Xinafoate
C. neoformans,Amphotericin B,Saquinavir Mesylate
C. neoformans,Amphotericin B,Sb 222200
C. neoformans,Amphotericin B,Sb 224289 Hydrochloride
C. neoformans,Amphotericin B,Sb 228357
C. neoformans,Amphotericin B,Sclareol
C. neoformans,Amphotericin B,Selamectin
C. neoformans,Amphotericin B,Sennoside A
C. neoformans,Amphotericin B,Shikonin
C. neoformans,Amphotericin B,Silymarin
C. neoformans,Amphotericin B,Simvastatin
C. neoformans,Amphotericin B,Skf 83959 Hydrobromide
C. neoformans,Amphotericin B,Skf 95282 Dimaleate
C. neoformans,Amphotericin B,Sobuzoxane
C. neoformans,Amphotericin B,Spiperone
C. neoformans,Amphotericin B,Spiramycin
C. neoformans,Amphotericin B,Suloctidil
C. neoformans,Amphotericin B,Syrosingopine
C. neoformans,Amphotericin B,T-1032
C. neoformans,Amphotericin B,Tamoxifen Citrate
C. neoformans,Amphotericin B,Tanshinone Iia Sulfonate Sodium
C. neoformans,Amphotericin B,Telmisartan
C. neoformans,Amphotericin B,Teniposide
C. neoformans,Amphotericin B,Terfenadine
C. neoformans,Amphotericin B,Tetradecylthioacetic Acid
C. neoformans,Amphotericin B,Tetrahydrogambogic Acid
C. neoformans,Amphotericin B,Thapsigargin
C. neoformans,Amphotericin B,Theaflavin Digallate
C. neoformans,Amphotericin B,Theaflavin Monogallates
C. neoformans,Amphotericin B,Thiethylperazine Malate
C. neoformans,Amphotericin B,Thioproperazine Dimesylate
C. neoformans,Amphotericin B,Thioridazine Hydrochloride
C. neoformans,Amphotericin B,Thiostrepton
C. neoformans,Amphotericin B,Thonzonium Bromide
C. neoformans,Amphotericin B,Tomatine
C. neoformans,Amphotericin B,Trifluoperazine Dihydrochloride
C. neoformans,Amphotericin B,Triflupromazine Hydrochloride
C. neoformans,Amphotericin B,Trimethylcolchicinic Acid
C. neoformans,Amphotericin B,Troleandomycin
C. neoformans,Amphotericin B,Tyloxapol
C. neoformans,Amphotericin B,Tyrphostin A9
C. neoformans,Amphotericin B,Tyrphostin Ag 537
C. neoformans,Amphotericin B,Tyrphostin Ag 538
C. neoformans,Amphotericin B,U-62066
C. neoformans,Amphotericin B,U-75302
C. neoformans,Amphotericin B,Uridine 5'-Diphosphate Sodium
C. neoformans,Amphotericin B,Urosiol
C. neoformans,Amphotericin B,Ursolic Acid
C. neoformans,Amphotericin B,Valacyclovir Hydrochloride
C. neoformans,Amphotericin B,Verteporfin
C. neoformans,Amphotericin B,Vinblastine Sulfate
C. neoformans,Amphotericin B,Vitamin K2
C. neoformans,Amphotericin B,Xanthine Amine Congener
C. neoformans,Amphotericin B,Xylazine Hydrochloride
C. neoformans,Amphotericin B,Xylocarpus A
C. neoformans,Amphotericin B,Zonisamide Sodium
C. neoformans,Benomyl,Biochanin A
C. neoformans,Benomyl,Equilin
C. neoformans,Benomyl,N-Phenylanthranilic Acid
C. neoformans,Benomyl,Piperacetazine
C. neoformans,Benomyl,Prostaglandin J2
C. neoformans,Benomyl,Thonzonium Bromide
C. neoformans,Benomyl,Zearalenone
C. neoformans,Caspofungin,"Totarol-19-Carboxylic Acid, Methyl Ester"
C. neoformans,Cyprodinil,3-Tropanyl-Indole-3-Carboxylate Hydrochloride
C. neoformans,Cyprodinil,Alizarin
C. neoformans,Cyprodinil,Antimycin A
C. neoformans,Cyprodinil,Artemisinin
C. neoformans,Cyprodinil,Benzethonium Chloride
C. neoformans,Cyprodinil,Camptothecin
C. neoformans,Cyprodinil,Cyclosporin A
C. neoformans,Cyprodinil,Diphenyleneiodonium Chloride
C. neoformans,Cyprodinil,Emodin
C. neoformans,Cyprodinil,Fiduxosin Hydrochloride
C. neoformans,Cyprodinil,Hexylresorcinol
C. neoformans,Cyprodinil,Methoctramine Tetrahydrochloride
C. neoformans,Cyprodinil,Nsc 95397
C. neoformans,Cyprodinil,Oxibendazole
C. neoformans,Cyprodinil,Pararosaniline Pamoate
C. neoformans,Cyprodinil,Prostaglandin J2
C. neoformans,Cyprodinil,Suloctidil
C. neoformans,Cyprodinil,Tetradecylthioacetic Acid
C. neoformans,Cyprodinil,Thonzonium Bromide
C. neoformans,Cyprodinil,Yc-1
C. neoformans,Fluconazole,(_)-Threo-1-Phenyl-2-Decanoylamino-3-Morpholino-1-Propanol Hydrochloride
C. neoformans,Fluconazole,"18-Aminoabieta-8,11,13-Triene Sulfate"
C. neoformans,Fluconazole,Alfaxalone
C. neoformans,Fluconazole,Amiodarone Hydrochloride
C. neoformans,Fluconazole,Benzethonium Chloride
C. neoformans,Fluconazole,Cyclosporin A
C. neoformans,Fluconazole,Diphenyleneiodonium Chloride
C. neoformans,Fluconazole,Diphenylpyraline Hydrochloride
C. neoformans,Fluconazole,Eliprodil
C. neoformans,Fluconazole,Methiothepin Mesylate
C. neoformans,Fluconazole,Methoctramine Tetrahydrochloride
C. neoformans,Fluconazole,Niclosamide
C. neoformans,Fluconazole,Piperacetazine
C. neoformans,Fluconazole,Sertraline Hydrochloride
C. neoformans,Fluconazole,Suloctidil
C. neoformans,Fluconazole,Tamoxifen Citrate
C. neoformans,Fluconazole,Tetradecylthioacetic Acid
C. neoformans,Fluconazole,Thonzonium Bromide
C. neoformans,Fluconazole,Tomatidine
C. neoformans,Terbinafine,"( R)-(+)-Win 55,212-2 Mesylate"
C. neoformans,Terbinafine,"(-)-Trans-(1S,2S)-U-50488 Hydrochloride"
C. neoformans,Terbinafine,"3,6-Dimethoxyflavone"
C. neoformans,Terbinafine,4'-Methoxyflavone
C. neoformans,Terbinafine,Benzethonium Chloride
C. neoformans,Terbinafine,Bifonazole
C. neoformans,Terbinafine,Cefsulodin Sodium Salt
C. neoformans,Terbinafine,Cyclosporin A
C. neoformans,Terbinafine,Dehydroisoandosterone 3-Acetate
C. neoformans,Terbinafine,Diethylstilbestrol
C. neoformans,Terbinafine,Diphenyleneiodonium Chloride
C. neoformans,Terbinafine,Dl-Stearoylcarnitine Chloride
C. neoformans,Terbinafine,Eliprodil
C. neoformans,Terbinafine,Equilin
C. neoformans,Terbinafine,Estradiol Acetate
C. neoformans,Terbinafine,Estradiol Propionate
C. neoformans,Terbinafine,Felbinac
C. neoformans,Terbinafine,Fluorometholone
C. neoformans,Terbinafine,Gingerol
C. neoformans,Terbinafine,Glucosamine Hydrochloride
C. neoformans,Terbinafine,Hecogenin Acetate
C. neoformans,Terbinafine,Hexylresorcinol
C. neoformans,Terbinafine,Liquiritigenin Dimethyl Ether
C. neoformans,Terbinafine,"Metoprolol-(+,-) (+)-Tartrate Salt"
C. neoformans,Terbinafine,N-Acetyl-L-Leucine
C. neoformans,Terbinafine,N-Oleoyldopamine
C. neoformans,Terbinafine,Niclosamide
C. neoformans,Terbinafine,Paromomycin Sulfate
C. neoformans,Terbinafine,Phenazopyridine Hydrochloride
C. neoformans,Terbinafine,Quinic Acid
C. neoformans,Terbinafine,Roccellic Acid
C. neoformans,Terbinafine,Skf 95282 Dimaleate
C. neoformans,Terbinafine,Skf 96365
C. neoformans,Terbinafine,Solasodine
C. neoformans,Terbinafine,Stigmasterol
C. neoformans,Terbinafine,T-0156
C. neoformans,Terbinafine,Tamoxifen Citrate
C. neoformans,Terbinafine,Thonzonium Bromide
C. neoformans,Terbinafine,Tolmetin Sodium Salt Dihydrate
C. neoformans,Terbinafine,Trioxsalen
C. neoformans,Terbinafine,Tryptophan
C. neoformans,Terbinafine,U-75302
C. neoformans,Terbinafine,Vancomycin Hydrochloride From Streptomyces Orientalis
C. neoformans,Terbinafine,Vinblastine Sulfate
C. neoformans,Terbinafine,Zardaverine
S. cerevisiae,Amphotericin B,Aklavine Hydrochloride
S. cerevisiae,Amphotericin B,Alclometasone Dipropionate
S. cerevisiae,Amphotericin B,Aminothiazole
S. cerevisiae,Amphotericin B,Amiodarone Hydrochloride
S. cerevisiae,Amphotericin B,Antimycin A
S. cerevisiae,Amphotericin B,Asiatic Acid
S. cerevisiae,Amphotericin B,Avermectin B1
S. cerevisiae,Amphotericin B,Baccatin Iii
S. cerevisiae,Amphotericin B,Bacitracin
S. cerevisiae,Amphotericin B,Beclomethasone Dipropionate
S. cerevisiae,Amphotericin B,Benzethonium Chloride
S. cerevisiae,Amphotericin B,Beta-Carotene
S. cerevisiae,Amphotericin B,Bromocriptine Mesylate
S. cerevisiae,Amphotericin B,C2 Phytoceramide
S. cerevisiae,Amphotericin B,C6 Ceramide
S. cerevisiae,Amphotericin B,Carapin
S. cerevisiae,Amphotericin B,Carvedilol Tartrate
S. cerevisiae,Amphotericin B,Ceftibuten
S. cerevisiae,Amphotericin B,Chlorhexidine
S. cerevisiae,Amphotericin B,Choline Chloride
S. cerevisiae,Amphotericin B,Chromomycin A3
S. cerevisiae,Amphotericin B,Colchiceine
S. cerevisiae,Amphotericin B,Colforsin
S. cerevisiae,Amphotericin B,Coumermycin A1
S. cerevisiae,Amphotericin B,Cp55940
S. cerevisiae,Amphotericin B,Cyclosporin A
S. cerevisiae,Amphotericin B,Digitonin
S. cerevisiae,Amphotericin B,Echinocystic Acid
S. cerevisiae,Amphotericin B,Echinomycin
S. cerevisiae,Amphotericin B,Ergocryptine-Alpha
S. cerevisiae,Amphotericin B,Euphorbiasteroid
S. cerevisiae,Amphotericin B,Fiduxosin Hydrochloride
S. cerevisiae,Amphotericin B,Gambogic Acid
S. cerevisiae,Amphotericin B,Hypocrellin A
S. cerevisiae,Amphotericin B,"Ingenol 3,20-Dibenzoate"
S. cerevisiae,Amphotericin B,Isoreserpine
S. cerevisiae,Amphotericin B,Ivermectin
S. cerevisiae,Amphotericin B,"L-162,313"
S. cerevisiae,Amphotericin B,L-Phenylalaninol
S. cerevisiae,Amphotericin B,Lovastatin
S. cerevisiae,Amphotericin B,Madecassic Acid
S. cerevisiae,Amphotericin B,Methyl Benzethonium Chloride
S. cerevisiae,Amphotericin B,Mevastatin
S. cerevisiae,Amphotericin B,Mezerein
S. cerevisiae,Amphotericin B,Mithramycin A
S. cerevisiae,Amphotericin B,Mj33
S. cerevisiae,Amphotericin B,N-(P-Isothiocyanatophenethyl)Spiperone Hydrochloride
S. cerevisiae,Amphotericin B,N-Arachidonylglycine
S. cerevisiae,Amphotericin B,N-Oleoyldopamine
S. cerevisiae,Amphotericin B,N-Oleoylethanolamine
S. cerevisiae,Amphotericin B,Narasin
S. cerevisiae,Amphotericin B,Nigericin
S. cerevisiae,Amphotericin B,Oligomycin A
S. cerevisiae,Amphotericin B,Olmesartan Medoxomil
S. cerevisiae,Amphotericin B,Palmitoyl-Dl-Carnitine Chloride
S. cerevisiae,Amphotericin B,Pararosaniline Pamoate
S. cerevisiae,Amphotericin B,Phorbol 12-Myristate 13-Acetate
S. cerevisiae,Amphotericin B,"Phorbol 12-Myristate 13-Acetate, 4-Alpha -"
S. cerevisiae,Amphotericin B,"Phorbol 12,13-Dibutyrate, 4-Alpha-"
S. cerevisiae,Amphotericin B,Phytosphingosine
S. cerevisiae,Amphotericin B,Pivampicillin
S. cerevisiae,Amphotericin B,Prothionamide
S. cerevisiae,Amphotericin B,Rifabutin
S. cerevisiae,Amphotericin B,Rifampicin
S. cerevisiae,Amphotericin B,Rutilantinone
S. cerevisiae,Amphotericin B,Salinomycin
S. cerevisiae,Amphotericin B,Saquinavir Mesylate
S. cerevisiae,Amphotericin B,Sarafloxacin Hydrochloride
S. cerevisiae,Amphotericin B,"Schisandrin B, S(-)-"
S. cerevisiae,Amphotericin B,Simvastatin
S. cerevisiae,Amphotericin B,Syrosingopine
S. cerevisiae,Amphotericin B,Tamoxifen Citrate
S. cerevisiae,Amphotericin B,Thapsigargin
S. cerevisiae,Amphotericin B,Thiostrepton
S. cerevisiae,Amphotericin B,Tribenoside
S. cerevisiae,Amphotericin B,Trimethylcolchicinic Acid
S. cerevisiae,Amphotericin B,Tyloxapol
S. cerevisiae,Amphotericin B,Valeryl Salycilate
S. cerevisiae,Amphotericin B,Verteporfin
S. cerevisiae,Benomyl,"12-Hydroxy-4,4-Bisnor-4,8,11,13-Podocarpatetraen-3-One"
S. cerevisiae,Benomyl,2-Demethylapiolic Acid
S. cerevisiae,Benomyl,2-Mercaptobenzothiazole
S. cerevisiae,Benomyl,Acetarsol
S. cerevisiae,Benomyl,Acriflavinium Hydrochloride
S. cerevisiae,Benomyl,Aminohydroxybutyric Acid
S. cerevisiae,Benomyl,Angolensin (R)
S. cerevisiae,Benomyl,Benzethonium Chloride
S. cerevisiae,Benomyl,Bleomycin
S. cerevisiae,Benomyl,Catechin Pentaacetate
S. cerevisiae,Benomyl,Chlorhexidine
S. cerevisiae,Benomyl,Deacetylnomilin
S. cerevisiae,Benomyl,Digitonin
S. cerevisiae,Benomyl,Estradiol Cypionate
S. cerevisiae,Benomyl,Inosine
S. cerevisiae,Benomyl,L-Phenylalaninol
S. cerevisiae,Benomyl,Lanosterol
S. cerevisiae,Benomyl,Methoxyamine Hydrochloride
S. cerevisiae,Benomyl,"Methyl 3Beta,12-Dihydroxy-11-Ketoisoallospirostan-3-Hemisuccinate"
S. cerevisiae,Benomyl,Methyl Benzethonium Chloride
S. cerevisiae,Benomyl,Mundoserone
S. cerevisiae,Benomyl,Narasin
S. cerevisiae,Benomyl,Neriifolin
S. cerevisiae,Benomyl,Palmitoyl-Dl-Carnitine Chloride
S. cerevisiae,Benomyl,Pseudoephedrine Hydrochloride
S. cerevisiae,Benomyl,Ranitidine
S. cerevisiae,Benomyl,Sodium Fluoroacetate
S. cerevisiae,Benomyl,Sulfadimethoxine
S. cerevisiae,Benomyl,Thapsigargin
S. cerevisiae,Benomyl,Tomatidine
S. cerevisiae,Benomyl,Totarol
S. cerevisiae,Benomyl,Tyrphostin A9
S. cerevisiae,Benomyl,Z-L-Phe Chloromethyl Ketone
S. cerevisiae,Caspofungin,"( R)-(+)-Win 55,212-2 Mesylate"
S. cerevisiae,Caspofungin,2-Ethoxycarbonyl-2-Ethoxyoxaloyloxydihydrochrysin Dimethyl Ether
S. cerevisiae,Caspofungin,"2,6-Di-T-Butyl-4-Methylphenol"
S. cerevisiae,Caspofungin,3-Hydroxyflavone
S. cerevisiae,Caspofungin,3Alpha-Hydroxy-3-Deoxyangolensic Acid Methyl Ester
S. cerevisiae,Caspofungin,"7-Cyclopentyl-5-(4-Phenoxy)Phenyl-7H-Pyrrolo[2,3-D]Pyrimidin-4-Ylamine"
S. cerevisiae,Caspofungin,7-Deacetylkhivorin
S. cerevisiae,Caspofungin,7-Deshydroxypyrogallin-4-Carboxylic Acid
S. cerevisiae,Caspofungin,Alpha-Methyl-L-Tyrosine
S. cerevisiae,Caspofungin,Alpha-Toxicarol
S. cerevisiae,Caspofungin,Amentoflavone
S. cerevisiae,Caspofungin,Aminohydroxybutyric Acid
S. cerevisiae,Caspofungin,Aminothiazole
S. cerevisiae,Caspofungin,Amiodarone Hydrochloride
S. cerevisiae,Caspofungin,Amsacrine Hydrochloride
S. cerevisiae,Caspofungin,Anthothecol
S. cerevisiae,Caspofungin,Antibiotic A-23187
S. cerevisiae,Caspofungin,Asiatic Acid
S. cerevisiae,Caspofungin,Avermectin B1
S. cerevisiae,Caspofungin,Baccatin Iii
S. cerevisiae,Caspofungin,Bacitracin
S. cerevisiae,Caspofungin,Benzethonium Chloride
S. cerevisiae,Caspofungin,Bleomycin
S. cerevisiae,Caspofungin,Bromoacetyl Alprenolol Menthane
S. cerevisiae,Caspofungin,Bromocriptine Mesylate
S. cerevisiae,Caspofungin,C6 Ceramide
S. cerevisiae,Caspofungin,Carbetapentane Citrate
S. cerevisiae,Caspofungin,Ceftriaxone Sodium Trihydrate
S. cerevisiae,Caspofungin,Chaulmosulfone
S. cerevisiae,Caspofungin,Chlorhexidine
S. cerevisiae,Caspofungin,Chlorpromazine
S. cerevisiae,Caspofungin,Cholecalciferol
S. cerevisiae,Caspofungin,Choline Chloride
S. cerevisiae,Caspofungin,Chromomycin A3
S. cerevisiae,Caspofungin,Chrysophanol
S. cerevisiae,Caspofungin,Clemizole Hydrochloride
S. cerevisiae,Caspofungin,Clomiphene Citrate
S. cerevisiae,Caspofungin,Coenzyme Q10
S. cerevisiae,Caspofungin,Coumermycin A1
S. cerevisiae,Caspofungin,Cyclosporin A
S. cerevisiae,Caspofungin,Deacetylgedunin
S. cerevisiae,Caspofungin,Deacetylnomilin
S. cerevisiae,Caspofungin,Demecarium Bromide
S. cerevisiae,Caspofungin,Diacylglycerol Kinase Inhibitor Ii
S. cerevisiae,Caspofungin,Diallyl Sulfide
S. cerevisiae,Caspofungin,Dictamnine
S. cerevisiae,Caspofungin,Digitonin
S. cerevisiae,Caspofungin,Dihydrogedunin
S. cerevisiae,Caspofungin,"Dihydrogeduninic Acid, Methyl Ester"
S. cerevisiae,Caspofungin,Dimethyl Gambogate
S. cerevisiae,Caspofungin,Diphenylpyraline Hydrochloride
S. cerevisiae,Caspofungin,Echinomycin
S. cerevisiae,Caspofungin,Epicoprosterol
S. cerevisiae,Caspofungin,Ergocryptine-Alpha
S. cerevisiae,Caspofungin,Estradiol Diacetate
S. cerevisiae,Caspofungin,Eupatoriochromene
S. cerevisiae,Caspofungin,Euphorbiasteroid
S. cerevisiae,Caspofungin,Fiduxosin Hydrochloride
S. cerevisiae,Caspofungin,Flupentixol Dihydrochloride Cis-(Z)
S. cerevisiae,Caspofungin,Fraxidin Methyl Ether
S. cerevisiae,Caspofungin,Frequentin
S. cerevisiae,Caspofungin,Gambogic Acid Amide
S. cerevisiae,Caspofungin,Gbr 12909 Dihydrochloride
S. cerevisiae,Caspofungin,Glutathione
S. cerevisiae,Caspofungin,Gr 127935 Hydrochloride
S. cerevisiae,Caspofungin,"Haematoxylone, Tetramethyl-"
S. cerevisiae,Caspofungin,Hydrolysis Product Of Bussein
S. cerevisiae,Caspofungin,Hydroxyprogesterone Caproate
S. cerevisiae,Caspofungin,Hypocrellin A
S. cerevisiae,Caspofungin,"Ingenol 3,20-Dibenzoate"
S. cerevisiae,Caspofungin,Ipriflavone
S. cerevisiae,Caspofungin,Irigenin Trimethyl Ether
S. cerevisiae,Caspofungin,Isoreserpine
S. cerevisiae,Caspofungin,Ivermectin
S. cerevisiae,Caspofungin,Ketoconazole
S. cerevisiae,Caspofungin,Khayanthone
S. cerevisiae,Caspofungin,Khayasin
S. cerevisiae,Caspofungin,"L-368,899"
S. cerevisiae,Caspofungin,L-Alaninol
S. cerevisiae,Caspofungin,L-Phenylalaninol
S. cerevisiae,Caspofungin,Lidoflazine
S. cerevisiae,Caspofungin,Lynestrenol
S. cerevisiae,Caspofungin,Madecassic Acid
S. cerevisiae,Caspofungin,Meclozine Dihydrochloride
S. cerevisiae,Caspofungin,Medicarpin
S. cerevisiae,Caspofungin,Methoctramine Tetrahydrochloride
S. cerevisiae,Caspofungin,Methoxyamine Hydrochloride
S. cerevisiae,Caspofungin,"Methyl 3Beta,12-Dihydroxy-11-Ketoisoallospirostan-3-Hemisuccinate"
S. cerevisiae,Caspofungin,Methyl Benzethonium Chloride
S. cerevisiae,Caspofungin,Methyl Robustone
S. cerevisiae,Caspofungin,Mezerein
S. cerevisiae,Caspofungin,Mg 624
S. cerevisiae,Caspofungin,Mibefradil Dihydrochloride
S. cerevisiae,Caspofungin,Mundulone
S. cerevisiae,Caspofungin,N-(P-Isothiocyanatophenethyl)Spiperone Hydrochloride
S. cerevisiae,Caspofungin,N-Oleoylethanolamine
S. cerevisiae,Caspofungin,Narasin
S. cerevisiae,Caspofungin,Nicotine Ditartrate
S. cerevisiae,Caspofungin,Nigericin
S. cerevisiae,Caspofungin,Odoratone
S. cerevisiae,Caspofungin,Oligomycin A
S. cerevisiae,Caspofungin,Osajin
S. cerevisiae,Caspofungin,Oxyphencyclimine Hydrochloride
S. cerevisiae,Caspofungin,Palmitoyl-Dl-Carnitine Chloride
S. cerevisiae,Caspofungin,Pararosaniline Pamoate
S. cerevisiae,Caspofungin,Periciazine
S. cerevisiae,Caspofungin,Perillic Acid
S. cerevisiae,Caspofungin,Perphenazine
S. cerevisiae,Caspofungin,Phenylbutyric Acid
S. cerevisiae,Caspofungin,Phorbol 12-Myristate 13-Acetate
S. cerevisiae,Caspofungin,"Phorbol 12-Myristate 13-Acetate, 4-Alpha -"
S. cerevisiae,Caspofungin,"Phorbol 12,13-Dibutyrate, 4-Alpha-"
S. cerevisiae,Caspofungin,Phytosphingosine
S. cerevisiae,Caspofungin,Piperonylic Acid
S. cerevisiae,Caspofungin,Pivampicillin
S. cerevisiae,Caspofungin,Pyrromycin
S. cerevisiae,Caspofungin,Rac-2-Ethoxy-3-Octadecanamido-1-Propylphosphocholine
S. cerevisiae,Caspofungin,Raloxifene Hydrochloride
S. cerevisiae,Caspofungin,Ramelteon
S. cerevisiae,Caspofungin,Reserpine
S. cerevisiae,Caspofungin,Retusin 7-Methyl Ether
