Species,Plate,Row,Column,Compound Name,Average Relative Growth: DMSO + Compound,Average Relative Growth: AmpB + Compound,Average Relative Growth: Ben + Compound,Average Relative Growth: CF + Compound,Average Relative Growth: Cyp + Compound,Average Relative Growth: FL + Compound,Average Relative Growth: TB + Compound
C.albicans,97,B,16,BENZO[a]PYRENE,100.64,97.48,93.96,100.03,97.57,101.03,96.02
C.albicans,85,O,5,Benzocaine,101.73,104,108.79,99.75,101.94,110.36,101.14
C.albicans,97,E,9,BENZOCAINE,102.95,103.22,104.16,96.41,103.44,102.66,101.19
C.albicans,95,N,14,BENZOIC ACID,93.69,96.08,95.59,100.65,90.13,105.42,91.49
C.albicans,83,C,5,Benzonatate,101.44,99.07,93.52,85.29,102.44,103.4,100.02
C.albicans,96,H,11,BENZOXYQUINE,95.78,94.61,0.08,52.72,87,57.43,98.1
C.albicans,95,B,16,BENZOYL PEROXIDE,97.11,99.17,95.97,103.02,96.79,109.22,93.05
C.albicans,96,L,11,BENZOYLPAS,99.81,102.05,102.83,99.92,97.31,100.15,95.94
C.albicans,85,F,9,Benzthiazide,100.23,104.04,113.27,99.85,98.57,90.36,100.43
C.albicans,98,G,19,BENZTHIAZIDE,96.97,97.06,98.99,99.16,99.92,102.48,104.11
C.albicans,88,H,10,Benztropine mesylate,99.55,100.7,101.99,92.48,99.66,91.29,97.1
C.albicans,83,L,16,Benzydamine hydrochloride,99.33,100.8,110.01,102.11,100.69,80.32,102.49
C.albicans,96,N,16,BENZYDAMINE HYDROCHLORIDE,97.07,101.46,89.15,97.98,98.52,99.23,103.05
C.albicans,95,P,14,BENZYL BENZOATE,98.19,100.21,98.85,97.8,100.05,107.78,98.72
C.albicans,93,D,9,BENZYL ISOTHIOCYANATE,-4.23,-2.05,-0.41,9.22,-0.14,-10.32,0.27
C.albicans,86,G,18,Benzylpenicillin sodium,99.62,100.66,99.96,103.18,101.64,105.47,99.65
C.albicans,85,L,14,Bephenium hydroxynaphthoate,98.04,99.25,87.81,102.36,96.1,119.6,103.38
C.albicans,98,O,8,BEPHENIUM HYDROXYNAPTHOATE,90.98,92.71,99.82,94.14,95.92,95.93,94.33
C.albicans,88,N,6,Bepridil hydrochloride,104.49,97.43,97.18,98.84,101.19,97.38,102.87
C.albicans,98,E,21,BEPRIDIL HYDROCHLORIDE,96.73,90.06,98.06,12.4,100.42,104.48,104.75
C.albicans,84,I,17,Bepridil hydrochloride ,97.88,101.26,75.15,1.04,99.65,107.05,96.82
C.albicans,87,H,10,Berbamine 2HCl,99.73,98.23,98.92,92.24,97.01,95.8,99.39
C.albicans,93,O,20,BERBAMINE HYDROCHLORIDE,102.76,102.67,102.12,83.6,105.15,100.75,106.38
C.albicans,84,F,14,Berberine chloride,98.47,102.11,100.6,101.09,98.96,82.65,100.58
C.albicans,93,M,10,BERBERINE CHLORIDE,95.98,99.95,99.16,101.02,98.75,102.76,103.89
C.albicans,87,D,11,Berberine HCl ,101.59,99.05,98.71,98.18,99.06,95.5,99.61
C.albicans,87,N,22,Bergapten,94.51,97.38,92.18,101.71,92.75,108.66,97.73
C.albicans,93,M,9,BERGAPTEN,90.95,93.14,96.51,97.44,96.4,100.59,99.82
C.albicans,93,N,10,BERGAPTOL,87.36,89.02,95.41,100,91.3,100.99,100.7
C.albicans,87,D,13,Bergenin,101.7,103.51,99.4,99.28,99.58,100.32,102.92
C.albicans,93,C,12,BERGENIN,101.87,103.2,98.79,98.62,98.74,101.99,99.63
C.albicans,85,D,3,Bergenin monohydrate,103.87,103.24,104.57,99.75,100.36,109.35,102.77
C.albicans,88,L,10,Bestatin hydrochloride,99.84,97.04,99.96,104.94,97.78,95.69,99.06
C.albicans,85,I,5,beta- Belladonnine dichloroethylate,98.96,99.43,96.4,101.91,103.13,96.28,102.21
C.albicans,92,M,16,beta-AMYRIN,100.07,107.25,101.31,82.47,102.43,98.51,102.16
C.albicans,94,O,4,beta-CAROTENE,101.5,-1.56,102.27,106.19,96.96,107.94,104.21
C.albicans,93,G,7,beta-CARYOPHYLLENE ALCOHOL,97.12,100.03,99.02,102.15,99.92,99.29,102.78
C.albicans,89,E,21,beta-Chloro-L-alanine hydrochloride,98.92,103.88,101.8,102.03,100.21,100.83,105.53
C.albicans,92,I,18,beta-DIHYDROGEDUNOL,100.97,-1.31,98.56,1.36,103.15,104.04,99.19
C.albicans,85,G,13,Beta-Escin,97.99,11.5,99.8,92.77,96.32,116.8,99.96
C.albicans,93,N,17,beta-ESCIN,99.95,94.88,104.23,97.13,101.41,100.25,102.72
C.albicans,89,F,8,beta-Estradiol,95.37,92.99,92.83,95.09,93.51,107,89.8
C.albicans,95,N,3,BETAHISTINE HYDROCHLORIDE,101.64,94.14,100.15,101.36,100.06,92.43,104.09
C.albicans,84,N,7,Betahistine mesylate,100.64,100.52,96.9,101.8,100.5,95.86,102.54
C.albicans,88,F,6,Betaine aldehyde chloride,102.63,104.77,102.28,101.16,104.13,94.52,103.24
C.albicans,88,D,6,Betaine hydrochloride,100.49,100.05,99.13,100.42,99.96,116.85,98.5
C.albicans,94,D,5,BETAINE HYDROCHLORIDE,103.15,104.98,102.37,99.86,100.07,99.04,103.49
C.albicans,90,O,16,beta-Lapachone,97.95,73.3,97.16,83.58,96.58,114.41,97.69
C.albicans,84,I,5,Betamethasone,96.14,104.69,102.73,101.14,102.3,102.25,99.93
C.albicans,88,L,8,Betamethasone,102.79,101.95,104.15,102.85,97.13,107.28,99.63
C.albicans,95,L,22,"BETAMETHASONE 17,21-DIPROPIONATE",104,28.48,99.05,59.73,97.49,111.86,96.07
C.albicans,96,N,8,BETAMETHASONE ACETATE,102.74,100.84,98.25,103.11,100.71,91.58,101.33
C.albicans,97,G,9,BETAMETHASONE VALERATE,101.68,91,100.95,81.18,99.88,103.61,99.15
C.albicans,96,B,10,BETAMETHAZONE SODIUM PHOSPHATE,101.53,98.64,100.59,101.07,100.71,81.65,100.03
C.albicans,97,P,7,BETAMIPRON,97.28,96.93,101.32,97.99,98.6,98.4,99.66
C.albicans,96,I,3,BETA-PROPIOLACTONE,79.54,96.42,102.82,100.62,101.09,92.74,101.16
C.albicans,86,E,11,Beta-sistosterol,102.24,101.96,99.12,102.5,99.4,104.66,97.31
C.albicans,92,N,8,beta-SITOSTEROL,105.9,103.05,103.03,95.71,99.6,100.17,99.51
C.albicans,84,M,5,Betaxolol hydrochloride,100.25,101.11,107.86,100.35,96.03,98.12,103.74
C.albicans,88,H,8,Betaxolol hydrochloride,100.5,104.4,96.15,100.92,102.13,93.95,101.72
C.albicans,83,I,7,Betazole hydrochloride,99.43,100.62,98.87,101.61,97.7,95.32,105.15
C.albicans,86,G,8,Bethanechol chloride,99.35,102.91,100.94,102.93,101.27,93.74,101.82
C.albicans,89,M,9,Bethanechol chloride,101.81,100.4,101.38,103.32,104.96,94.45,102.02
C.albicans,97,I,9,BETHANECHOL CHLORIDE,102.01,101.87,105.14,101.86,105.94,101.68,102.69
C.albicans,85,A,17,Betonicine,100.19,97.98,97.45,100.3,100.97,99.51,94.53
C.albicans,86,E,21,Betulin,101.29,100.96,104.55,101.69,104.93,111.46,105.39
C.albicans,93,O,10,BETULIN,100.65,99.09,98.65,104.61,103.85,96.39,107.85
C.albicans,87,P,20,Betulin ,100.03,102.09,103.82,105.02,101.9,101.33,104.53
C.albicans,84,C,16,Betulinic acid,90.64,96.52,107.29,98.79,97.72,105.78,93.51
C.albicans,86,B,17,Betulinic acid,89.72,98.28,101.01,106.72,100.76,89.63,97.89
C.albicans,93,F,21,BETULINIC ACID,99.72,98.53,94.44,96.26,102.42,99.74,95.72
C.albicans,84,K,17,Bezafibrate,105.87,102.75,107.07,102.3,101.4,104.19,100.86
C.albicans,95,P,10,BEZAFIBRATE,97.42,98.02,100.2,95.59,100.3,101.91,101.03
C.albicans,91,C,16,BF-170 hydrochloride,100.37,101.58,101.08,73.82,98.89,92.94,97.93
C.albicans,88,D,16,B-HT 933 dihydrochloride,98.61,98.42,99.77,99.58,97.38,97,99.11
C.albicans,91,N,5,BIA 2-093,101.74,98.82,106.56,98.26,100.36,100.83,97.12
C.albicans,84,F,20,Bicuculline (+),94.08,99.29,98.69,102.15,99.96,95.16,101.51
C.albicans,93,E,12,BICUCULLINE (+),104.48,106.78,100.25,97.5,97.2,103.72,97.8
C.albicans,97,B,19,BICUCULLINE(-) METHIODIDE,100.92,101.93,102.65,100.77,97.59,98.95,104.19
C.albicans,87,J,8,"Bicuculline, (+)-",107.01,100.58,102.6,102.21,101.42,98.8,99.91
C.albicans,96,L,3,BIFONAZOLE,99.58,106.11,103.66,74.46,99.96,109.73,97.5
C.albicans,93,I,14,BILIRUBIN,99.64,99.48,99.37,102.1,96.21,104.74,98.6
C.albicans,86,B,19,Bilobalide,100.76,101.01,105.77,102.48,103.48,84.54,105.76
C.albicans,90,L,7,BIO,99.31,96.42,95.45,98.93,101.93,118.91,67.36
C.albicans,87,D,15,Biochanin A,76.53,87.52,74.15,83.5,86.17,96.01,87.59
C.albicans,94,C,11,BIOCHANIN A,78.13,81.59,76.34,83.92,88.51,80.71,84.53
C.albicans,84,C,18,Biotin,96.52,98.96,97.91,100.46,98.22,81.11,97.09
C.albicans,94,F,5,BIOTIN,100.97,101.55,100.97,98.25,99.6,101.19,99.02
C.albicans,96,H,17,BIPERIDEN,101.38,99.11,98.05,99.58,96.7,97.98,96.75
C.albicans,84,F,5,Biperiden hydrochloride,103.14,102.36,102.89,100.89,104.8,102.5,95.05
C.albicans,88,L,16,Biperiden hydrochloride,96.2,103.4,102.74,100.22,98.87,117.31,99.92
C.albicans,93,I,13,BISABOLOL,100.32,99.88,93.38,44.78,100.53,56.21,96.63
C.albicans,84,C,20,Bisacodyl,101.73,99.97,101.72,104.36,101.62,100.21,102.72
C.albicans,97,K,9,BISACODYL,100.07,101.11,103.1,102.8,102.53,108.75,101.2
C.albicans,92,J,6,BISANHYDRORUTILANTINONE,97.3,97.23,99.46,103.24,101.13,105.63,100.21
C.albicans,96,J,11,BISMUTH SUBSALICYLATE,99.91,96.16,83.27,99.72,100.91,89.49,99.61
C.albicans,84,A,21,Bisoprolol fumarate,101.77,103.36,106.85,101.83,100.67,98.78,104.43
C.albicans,96,H,6,BISOPROLOL FUMARATE,101.1,96.96,108.21,99.23,100.25,91.1,102.83
C.albicans,91,O,3,Bisoprolol hemifumarate salt,98.59,102.03,100.77,99.43,101.59,102.02,100.91
C.albicans,97,N,15,BISSALICYL FUMARATE,97.61,96.97,96.5,101.71,95.5,95.37,99.56
C.albicans,97,M,9,BITHIONATE SODIUM,-5.22,-3.75,0.52,0.87,0.15,14.87,6.05
C.albicans,94,E,11,BIXIN,99.75,97.61,96.24,106.53,99,105.78,100.49
C.albicans,97,B,11,BLASTICIDIN S,94.73,103.13,97.58,99.38,27.69,109.17,43.79
C.albicans,94,P,15,BLEOMYCIN (bleomycin B2 shown),101.72,102.73,94.95,99.69,100.58,99.98,56.6
C.albicans,88,J,14,BMY 7378 dihydrochloride,100.99,101.1,104.99,101.21,101.96,97.58,101.07
C.albicans,84,H,22,Boldine,97.05,96.2,86.29,99.64,98.57,103.82,96.07
C.albicans,87,C,22,Boldine,96.47,95.09,101.13,101.26,100.79,97,100.73
C.albicans,93,O,14,BOLDINE,101.36,98.59,101.45,101.64,99.91,99.53,100.29
C.albicans,98,A,12,BORNEOL,104.17,95.51,101.32,99.99,99.96,100.45,101.5
C.albicans,93,F,6,BOVINOCIDIN (3-nitropropionic acid),100.37,102.97,101.51,97.59,99.55,97.3,99.05
C.albicans,88,B,3,BP 897,104.93,100.62,100.21,100.82,101.32,92.23,100.63
C.albicans,87,P,9,Brassinin,100.11,99.22,97.79,99.74,104.11,95.05,99.52
C.albicans,86,B,21,Brefeldin A,91.82,96.32,98.3,92.38,104.03,99.07,56.84
C.albicans,88,A,21,Brefeldin A from Penicillium brefeldianum,99.75,98.38,97.96,100.07,99.7,94.09,99.72
C.albicans,85,N,6,Bretylium tosylate,101.44,102.83,99.34,100.9,101.47,96.69,102.21
C.albicans,88,N,10,Bretylium tosylate,95.73,100.83,99.96,103,99.6,99,100.22
C.albicans,84,I,11,Brinzolamide,100.06,96.26,94.31,98.63,94.33,113.27,97.84
C.albicans,88,F,12,BRL 15572,96.67,99.19,99.02,0.73,103.8,102.29,88.2
C.albicans,88,H,16,BRL 37344 sodium,98.56,95.37,99.84,99.23,99.76,107.34,102.28
C.albicans,88,P,10,BRL 50481 ,103.64,97.9,100.03,99.23,99.71,103.49,101.3
C.albicans,91,F,4,BRL 52537 hydrochloride,100.77,101.34,105.84,58.78,101.02,102.41,98.54
C.albicans,88,J,16,BRL 54443 maleate,103.69,94.42,101.75,100.72,104.31,106.94,104.42
C.albicans,95,P,18,BROMHEXINE HYDROCHLORIDE,100.45,102.08,98.55,102.03,100.2,100.81,97.8
C.albicans,96,N,11,BROMINDIONE,91.99,90.4,101.05,100.12,93.96,94.19,88.07
C.albicans,97,L,20,BROMO-3-HYDROXY-4-(SUCCIN-2-YL)-CARYOLANE gamma-LACTONE,97,97.89,98.74,99.98,96.36,110.14,96.05
C.albicans,88,L,12,Bromoacetyl alprenolol menthane,100.69,24,92.26,1.23,100.5,106.68,65.93
C.albicans,88,H,14,Bromoacetylcholine bromide,105.28,105.48,104.62,102.75,107.56,96.43,105.63
C.albicans,87,B,6,Bromocriptine mesylate,98.44,-3.07,104.74,0.13,95.85,107.91,101.47
C.albicans,97,O,9,BROMOCRIPTINE MESYLATE,103.43,4.66,104.04,2.31,107.02,99.55,102.37
C.albicans,83,I,4,Bromocryptine mesylate,96.43,-2.61,97.03,-0.1,99.89,105.14,97.97
C.albicans,88,N,21,Bromoenol lactone,92.14,96.79,72.89,99.48,91.74,107.62,73.07
C.albicans,87,P,12,"Bromolaudanosine, (±)-6'-",98.61,99.58,98.4,101.03,102.12,91.9,101.99
C.albicans,85,M,9,Bromopride,103.43,101.87,100.44,102.86,102.58,97.96,102.03
C.albicans,97,N,4,BROMOPRIDE,100.38,101.4,98.19,97.94,98.02,99.41,103.03
C.albicans,84,F,19,Bromperidol,98.14,97.95,108.92,99.99,99.96,95.39,86.82
C.albicans,96,H,16,BROMPERIDOL,99.4,96.16,101.16,97.43,99.75,103.77,97.77
C.albicans,84,O,12,Brompheniramine maleate,105.07,102.65,104.63,102.75,101.15,95.3,101.65
C.albicans,96,E,21,BROMPHENIRAMINE MALEATE,95.56,98.07,97.75,100.6,100.35,101.91,105.43
C.albicans,97,P,12,BROXYQUINOLINE,-4.89,-4.06,-0.32,1.27,0.26,-8.89,0.21
C.albicans,94,O,20,BRUCINE,101.52,103.01,101.13,103.92,102.53,101.9,106.53
C.albicans,86,J,6,Brucine n-oxide,98.16,100.01,101.69,100.55,102.78,78.91,104.99
C.albicans,88,N,14,BTCP hydrochloride,101.19,101.48,100.71,100.07,102.18,109.95,102.23
C.albicans,88,F,22,BTO-1,98.11,100.83,98.31,104.94,99.46,114.43,97.45
C.albicans,88,B,7,BU224 hydrochloride,102.93,98.2,98.13,100.72,96.36,73.15,97.28
C.albicans,90,E,15,BU99006,97.84,63.43,100.98,0.11,102.93,107.3,52.22
C.albicans,98,C,6,BUCETIN,100.72,98.62,98.77,99.21,99.88,98.24,100.53
C.albicans,98,C,17,BUCLADESINE,100.76,101.32,97.71,101.3,93.4,92.55,94.41
C.albicans,85,D,7,Bucladesine sodium salt,97.6,106.84,100.34,99.4,102.93,104.23,97.6
C.albicans,84,H,17,Budesonide,97.47,100.39,102.93,99.79,94.4,101.52,104.72
C.albicans,88,D,10,Budesonide,101.84,94.11,100.25,97.94,98.14,98.41,96.04
C.albicans,95,N,7,BUDESONIDE,100.4,95.7,100.14,98.04,102.56,95.41,101.84
C.albicans,86,J,4,Bufalin,100.03,104.27,102.51,100.5,99.89,146.54,98
C.albicans,83,B,8,Bufexamac,100.09,105.12,105.12,100.7,99.9,96.36,96.95
C.albicans,97,P,19,BUFEXAMAC,95.63,98.59,101.64,102.26,96.97,100.58,92.8
C.albicans,84,E,14,Buflomedil hydrochloride,97.32,99.47,104.47,101.75,98.17,100.3,99.23
C.albicans,87,D,17,Bulleyaconitine A,99.75,101.87,100.55,101.02,100,105.81,102.88
C.albicans,83,H,14,Bumetanide,99.23,97.18,94.09,100.55,94.72,105.31,100.44
C.albicans,88,A,17,Bumetanide,99.49,98.63,100.6,98.64,100.33,99.17,99.47
C.albicans,95,B,6,BUMETANIDE,99.86,102.04,101.05,100.56,103.66,98.2,101.95
C.albicans,96,G,17,BUPIVACAINE HYDROCHLORIDE,97.11,100.64,99.53,99.23,92.09,105.26,93.11
C.albicans,83,N,12,Bupivacaine hydrochloride ,108.48,103.85,102.75,99.35,99.75,94.87,96.81
C.albicans,96,O,4,BUPROPION,97.28,101.97,105.14,100.77,101.52,105.5,102.56
C.albicans,83,B,20,Bupropion hydrochloride,98.01,99.99,99.86,102.42,101.33,98.13,99.56
C.albicans,88,B,5,Bupropion hydrochloride,101.25,107.28,99.21,98.64,107.96,107.5,98.93
C.albicans,88,N,8,Buspirone hydrochloride,100.55,101.61,101.8,101.96,101.54,92.26,100.25
C.albicans,96,J,22,BUSPIRONE HYDROCHLORIDE,101.73,102.22,99.43,101.47,98.73,101.31,103.8
C.albicans,92,E,4,BUSSEIN,100.61,-1.65,98.69,-1.58,98.92,109.34,101.42
C.albicans,97,A,11,BUSULFAN,100.4,100.94,102.07,99.83,102.72,100.16,103.48
C.albicans,85,H,3,Butacaine,102.36,105.48,110.45,93.62,103.41,111.02,99.45
C.albicans,96,K,17,BUTACAINE,100.29,102.96,104.77,91.35,102.13,102.4,101.71
C.albicans,85,I,4,Butamben,98.31,103.06,99.43,92.31,96.15,129.76,93.79
C.albicans,95,P,5,BUTAMBEN,96.85,99.18,97.48,91.17,95.85,110.11,98.86
C.albicans,86,J,8,Butein,101.57,98.19,100.12,100.7,104.1,92.79,103.1
C.albicans,85,A,21,Butirosin disulfate salt,101.6,95.37,98.68,101.86,99.21,95.67,101.45
C.albicans,84,A,18,Butoconazole nitrate,-5.96,-1.72,-0.37,0.74,1.99,-6.92,-0.01
C.albicans,96,J,20,BUTYL PARABEN,92.31,92.19,97.27,93.55,88.57,102.36,95.1
C.albicans,85,D,10,Butylparaben,86.97,90.64,94.85,91.97,90,123.84,96.14
C.albicans,88,H,7,BW 284c51,99.1,101.91,99.32,97.84,98.04,85.98,103.81
C.albicans,88,J,6,BWB70C,100,98.94,100.25,96.51,101.73,136.83,103.72
C.albicans,87,D,4,C2 Phytoceramide,97.42,-4.87,85.49,94.7,97.8,118.88,89.78
C.albicans,86,D,3,C6 Ceramide,98.53,36.99,103.83,45.25,96.22,92.84,105.09
C.albicans,97,D,3,CACODYLIC ACID,103.29,101.42,99.11,103.1,104.17,107.89,103.55
C.albicans,93,H,3,CADAVERINE TARTRATE,104.64,103.51,102.71,99.95,101.03,104.78,100.05
C.albicans,93,C,7,CADIN-4-EN-10-OL,99.82,103.56,103.92,95.75,103.5,40.52,90.2
C.albicans,87,D,19,Cafestol,96.61,97.85,97.98,99.15,97.01,108.47,94.04
C.albicans,93,P,13,CAFESTOL,92.99,90.7,93.38,93.55,93.16,95.49,93.64
C.albicans,87,D,21,Cafestol acetate,105.36,100.48,102.88,102.01,103.32,92.16,99.65
C.albicans,98,I,4,CAFESTOL ACETATE,94.07,93.49,94.18,99.36,96.04,98.07,89.78
C.albicans,85,F,6,Caffeic acid,100.61,100.86,102.82,98.39,101.05,91.61,100.91
C.albicans,86,D,5,Caffeic Acid,103.42,102.53,111.85,101.24,100.17,103.43,104.19
C.albicans,88,J,18,Caffeic Acid,101.67,97.85,104.86,103.2,101.19,97.33,99.17
C.albicans,93,F,13,CAFFEIC ACID,101.84,99.98,98.38,100.71,97.91,103.89,102.83
C.albicans,89,E,19,Caffeic acid phenethyl ester,87.76,93.23,91.37,92.86,91.03,100.72,89.74
C.albicans,88,N,18,Caffeine,102.91,100.3,102.41,102.8,101.2,97.25,104.23
C.albicans,94,A,6,CAFFEINE,102.71,106.04,100.89,100.6,102.37,101.09,102.77
C.albicans,84,C,22,Calciferol,94.72,100,94.73,104.01,97.84,113.33,101.42
C.albicans,89,O,15,Calcimycin,-4.23,-3.65,0.57,1.28,81.73,-8.18,48.88
C.albicans,89,G,5,Calmidazolium chloride,-5.8,-3.85,-0.38,1.53,2.17,-8.61,0.26
C.albicans,84,H,12,Calycanthine,94.4,99.06,96.57,101.45,97.2,100.42,99
C.albicans,94,C,6,CAMPHOR (1R),98.8,100.79,102.11,98.44,99.78,96.37,99.95
C.albicans,86,D,7,Camptothecin,99.84,102.41,103.72,99.25,103.79,96.19,97.35
C.albicans,93,N,3,CAMPTOTHECIN,75.27,98.02,103.37,100.36,103.39,105.1,100.74
C.albicans,83,H,21,"Camptothecine (S,+)",98.68,101.19,103.27,102.06,96.66,74.28,99.05
C.albicans,98,C,8,CAMYLOFINE DIHYDROCHLORIDE,104.61,102.4,104.1,96.28,99.97,98.84,99.4
C.albicans,84,J,20,"Canavanine sulfate monohydrate (L,+)",100.53,101.75,97.04,103.25,102.91,102.74,98.35
C.albicans,96,M,10,CANDESARTAN CILEXTIL,99.49,-2.58,87.05,22.65,98.37,113.83,96.64
C.albicans,83,M,18,Canrenoic acid potassium salt,98.41,94.64,98.58,99.89,98.88,113.9,95.97
C.albicans,95,P,7,"CANRENOIC ACID, POTASSIUM SALT",98.27,96.52,99.01,95.54,100.45,115.84,98.9
C.albicans,96,A,22,CANRENONE,99.54,98.83,91.8,97.86,99.15,97.72,95.54
C.albicans,89,O,17,Cantharidic Acid,100.06,99.41,100.2,96.18,101.97,106.69,102.71
C.albicans,85,B,12,Cantharidin,91.68,93.99,96.89,95.08,91.73,121.79,95.29
C.albicans,86,D,9,Cantharidin,99.15,100.35,99.5,97.91,102.16,126.05,101.03
C.albicans,89,A,17,Cantharidin,100.09,96.58,99.49,98.08,96.89,107.13,99.41
C.albicans,94,F,13,CANTHARIDIN,97.59,96.21,96.57,96.87,98.24,101.69,102.51
C.albicans,86,D,11,CAPE,91.45,92.36,93.23,91.54,93.81,137.2,91.98
C.albicans,96,P,11,CAPOBENIC ACID,97.99,99.91,97.38,100.97,97.8,106.87,98.45
C.albicans,87,M,16,Capreomycin sulfate,99.13,101.23,104.84,99.37,100.11,101,101.81
C.albicans,94,E,6,CAPREOMYCIN SULFATE,100.37,98.01,101.74,97.99,100.28,98.77,103.94
C.albicans,85,P,19,Capsaicin,100.29,93.81,96.33,100.83,97.17,125.75,97.96
C.albicans,86,D,13,Capsaicin,93.42,90.83,96.33,94.58,93.22,131.12,101.08
C.albicans,94,O,22,CAPSAICIN,101.14,93.05,98.55,97.38,93.18,101.08,102.75
C.albicans,94,G,15,CAPSANTHIN,98.52,107.67,99.87,102.64,101.44,108.53,100.65
C.albicans,89,K,8,Capsazepine,107.56,0.39,100.28,98.86,104.13,114.27,100.1
C.albicans,83,C,19,Captopril,98.94,101.87,92.3,101.05,98.99,104.3,102.82
C.albicans,89,M,5,Captopril,102.49,100.68,102.61,97.13,99.06,97.24,100.99
C.albicans,95,D,5,CAPTOPRIL,101.84,102.96,100.63,98.54,100.16,76.64,102.7
C.albicans,92,G,4,CARAPIN,98.09,101.53,99.69,102.52,98.84,104.64,102.02
C.albicans,92,I,8,CARAPIN-8(9)-ENE,102.45,99.7,101.41,100,102.22,106.39,101.69
C.albicans,85,P,21,Carbachol,99.95,100.12,102.74,103.49,100.19,89.66,102.5
C.albicans,89,A,7,Carbachol,100.27,104.52,99.78,101.05,105.46,101.1,105.91
C.albicans,97,C,11,CARBACHOL,101.63,97.65,102.54,98.24,101.97,104.61,102.01
C.albicans,97,L,6,CARBADOX,100.95,103.83,101.71,101.46,99.36,101.51,104.94
C.albicans,83,K,5,Carbamazepine,104.27,106.9,97.95,100.36,107.45,103.09,102.17
C.albicans,89,K,5,Carbamazepine,108.15,101.77,99.41,100.2,102.71,118.35,98.77
C.albicans,97,E,11,CARBAMAZEPINE,100.87,98.24,100.23,98.54,100.08,99.74,102.74
C.albicans,84,C,8,Carbarsone,100.69,98.27,97.75,99.09,98.84,104.92,101.74
C.albicans,97,G,11,CARBENICILLIN DISODIUM,99.55,103.09,100.23,99.63,101.55,102.13,105.22
C.albicans,85,H,15,Carbenoxolone disodium salt,105.13,102.8,103.78,95.98,98.25,125.91,97.48
C.albicans,95,D,6,CARBENOXOLONE SODIUM,100.21,97.81,102.71,95.93,104.21,131.4,100.69
C.albicans,84,M,15,Carbetapentane citrate,7.24,16.08,3.5,-0.66,49.93,-1.69,5.85
C.albicans,89,O,7,Carbetapentane citrate,103.78,97.07,102.54,99.21,100.3,94.94,97.81
C.albicans,95,F,15,CARBETAPENTANE CITRATE,-5.18,92.59,97.41,102.81,100.25,99.69,96.38
C.albicans,95,B,14,CARBIDOPA,100.48,96.91,98.52,95.37,97.9,115.48,97.46
C.albicans,84,G,20,Carbimazole,96.35,99.41,97.84,102.25,95.44,99.78,96.4
C.albicans,97,L,15,CARBIMAZOLE,99.51,102.75,100.12,103.2,96.46,99.92,101.85
C.albicans,97,I,11,CARBINOXAMINE MALEATE,102.76,100.21,105,102.8,104.36,110.94,102.89
C.albicans,85,B,3,Carbinoxamine maleate salt,103.87,105.34,107.79,100.55,101.31,102.17,96.79
C.albicans,88,N,22,Carboplatin,103.84,101.33,102.98,104.04,106.8,105.42,101.76
C.albicans,95,F,12,CARBOPLATIN,100.63,103.25,98.4,98.34,99.5,80.38,97.23
C.albicans,84,E,6,Carcinine,101.83,101.72,96.74,100.19,99.91,103.04,101.42
C.albicans,84,E,8,Carisoprodol,105.49,101.1,95.26,98.24,100.78,100.67,98.4
C.albicans,89,O,19,Carisoprodol,99.21,100.7,97.65,102.13,101.04,108.59,102.06
C.albicans,97,K,11,CARISOPRODOL,103.66,98.74,104.18,100.57,103.54,110.26,101.3
C.albicans,87,A,5,Carminic acid,105.32,100.72,104.13,98.46,98.11,99.04,103.81
C.albicans,93,A,12,CARMINIC ACID,103.51,97.75,100.32,100.49,100.36,98.96,103.68
C.albicans,97,J,15,CARMOFUR,60.42,38.44,-0.51,87.38,-0.46,27.55,39.16
C.albicans,88,F,18,Carmustine,99.13,100.99,100.44,101.37,100.5,92.92,99.45
C.albicans,98,G,4,CARMUSTINE,99.2,101.46,99.79,100.46,99.26,100.6,103.4
C.albicans,93,E,4,CARNITINE (dl) HYDROCHLORIDE,104.08,103.27,104.56,99.03,102.87,95.72,103.27
C.albicans,87,M,18,"Carnitine Cl, (±)-",99.58,101.6,104.27,102.86,99.74,96.48,101.03
C.albicans,87,D,22,Carnosic acid,99.78,97.06,101.97,100.42,104.27,103.05,101.99
C.albicans,97,D,5,CARNOSIC ACID,98.56,91.38,99.18,96.55,100.28,102.58,96.59
C.albicans,93,M,18,CARNOSINE,98.38,102.08,107.32,104.82,99.62,98.52,99.39
C.albicans,95,F,6,CARPROFEN,94.53,96.57,96.96,98.59,99.95,129.2,93.15
C.albicans,84,I,14,Carteolol hydrochloride,102.07,102.64,104.12,101.45,99.8,98.17,99.65
C.albicans,89,E,16,Carvedilol,97.54,99.87,96.57,1.08,97.86,86.88,94.93
C.albicans,96,E,10,CARVEDILOL,100.19,98.55,100.7,55.15,100.05,94.1,94.47
C.albicans,93,I,12,CARYLOPHYLLENE OXIDE,97.56,90.49,99.67,47.05,100.78,103.39,99.02
C.albicans,93,A,14,CARYOPHYLLENE [t(-)],103.18,108.2,97.24,92,98.87,99.73,99.69
C.albicans,87,D,18,Caryophyllene oxide,98.33,99.16,100.13,102.26,102.21,106.54,99.62
C.albicans,86,D,15,Castanospermine,102.12,101.31,103.46,100,100.27,98.22,100.77
C.albicans,86,J,10,Catalpol,102.94,104.28,100.76,99.55,100.58,97.9,102.56
