,EC BW,EC BW,EC BW,EC iAi1,EC iAi1,EC iAi1,ST LT2,ST LT2,ST LT2,ST 14028s,ST 14028s,ST 14028s,PAO1,PAO1,PAO1,PA14,PA14,PA14
Fusidic acid_PMS,0.086982424,0.001254169,0.17742687,0.049213139,-0.034053065,0.106360075,0.008175687,-0.029267439,0.05570702,0.049278175,-0.010033769,0.13355682,-0.013776941,-0.040359147,0.019741296,-0.018619992,-0.065458702,0.011911679
Fusidic acid_Benzalkonium,0.081527896,0,0.17818777,0.009814312,0,0.082618242,-0.013445651,-0.063061194,0.023914111,-0.02032849,-0.048935264,0.023655574,-0.011955541,-0.157579112,0.011040911,-0.065498463,-0.21463267,-0.035020309
Fusidic acid_Cefaclor,0.006718211,-0.081119226,0.04992817,-0.011789838,-0.108432543,0.020672006,0.014101102,0,0.065444451,0,-0.003176265,0.042461131,0.002330199,-0.023311466,0.015048334,-0.019529982,-0.061559098,0.00856927
Fusidic acid_Cefsulodin,-0.03465246,-0.119207755,-0.003454662,-0.011986942,-0.086282745,0.030440846,0.01955603,-0.031720866,0.057194388,0.033671603,-0.004874207,0.056209107,0.019575954,-0.004297793,0.028771962,-0.011652045,-0.0324653,0.016321417
Fusidic acid_Clindamycin,-0.020552354,-0.075555043,0.032380977,-0.044356356,-0.093255097,-0.008605727,-0.01736513,-0.053480413,0.007729998,0.040952312,0.002391737,0.071404168,-0.039358987,-0.086587066,-0.007059886,-0.028635005,-0.11241749,-0.009242048
Fusidic acid_Spiramycin,-0.012060622,-0.030774867,0.016818078,-0.015014499,-0.035906423,0.039423133,0.007453399,-0.018868934,0.03844652,0.014905436,-0.00572987,0.048856096,-0.004716933,-0.029956251,0.019535371,-0.008721481,-0.046291677,0.030790054
Fusidic acid_Erythromycin,-0.052131213,-0.107469221,0.011692472,-0.02222483,-0.109244393,0.006241453,-0.017369281,-0.073430431,0.016405505,-0.011849479,-0.036214306,0.012542988,0.110214871,-0.011677954,0.199957366,-0.019913847,-0.055554241,0.0445066
Fusidic acid_Trimethoprim,0.082552614,0.046087722,0.156523573,0.016213319,-0.062602842,0.082222316,0.018160841,-0.021181178,0.061203615,0.052987347,0.001980758,0.132810932,-0.004129509,-0.13993292,0.057085122,0,-0.070194965,0.024592378
Fusidic acid_Sulfamonomethoxine,-0.00281466,-0.018592905,0.037370569,-0.040054128,-0.099532372,-0.009207661,0.032449074,-0.010239618,0.052580636,0.007297709,-0.031968257,0.050411369,-0.045143151,-0.074699971,-0.018390802,-0.008438043,-0.033044694,0.02042572
Fusidic acid_Paraquat,0.051188549,0.016800837,0.117914297,0.004857631,-0.030191731,0.097540279,-0.016478139,-0.048123043,0.025372645,0.059771355,0.01821178,0.104614975,0.016062663,0.003813381,0.031811694,-0.009306879,-0.030654765,0.009155572
Fusidic acid_Procaine,-0.023586334,-0.111297462,0.025088152,-0.259323496,-0.371444238,-0.124433108,-0.091598925,-0.447403092,-0.006839093,-0.074982018,-0.247094969,-0.010472552,-0.00727894,-0.026866435,0.014709012,-0.010232111,-0.04907316,0.027702671
Fusidic acid_Vanillin,0.052803186,0.007986641,0.093655595,0.05804566,0.01411642,0.153030238,0.022839953,-0.001296963,0.057334357,0.007883137,-0.036371543,0.042026804,0.026754053,-0.006356134,0.077241906,-0.005568549,-0.018659714,0.015340126
Fusidic acid_Verapamil,-0.059135043,-0.103290536,-0.020554899,-0.076864827,-0.219391527,-0.029397842,-0.040346476,-0.050482468,-0.005008207,-0.029850431,-0.078271139,-0.005266375,0.017581003,-0.009272258,0.042864184,-0.022177441,-0.064236481,0.009682166
Fusidic acid_Levofloxacin,0,-0.028102099,0,0,0,0,0,0,0.014199619,0,0,0.108365557,-0.01768467,-0.066638687,0.015567369,-0.023400258,-0.066280064,0.021058866
Fusidic acid_Piperacillin,-0.059481459,-0.105893627,0.005035926,-0.114228673,-0.211999367,-0.01716194,0.008405981,-0.091351684,0.034285771,0.0051501,-0.070373013,0.046815039,0.007290706,-0.011013127,0.023381501,-0.041492019,-0.074626531,-0.021583995
Fusidic acid_Nitrofurantoin,0.068366231,0.008294986,0.108532057,-0.097075667,-0.162405416,-0.017413821,0.009523521,-0.020809259,0.040268454,0.016182217,-0.029609862,0.062011253,-0.001320599,-0.02209772,0.013398209,-0.002963382,-0.036786191,0.042912254
Fusidic acid_CCCP,-0.034131265,-0.08833728,0.003386156,-0.049894699,-0.149643371,-0.007476311,0.000547279,-0.022715228,0.026958119,-0.078775513,-0.150812009,0.001387079,-0.025125076,-0.064024899,0,0,-0.017322575,0.025409411
Fusidic acid_Cephalexin,-0.007909128,-0.040396816,0.017302231,-0.002703059,-0.014775436,0.029489816,0.035618018,0.012870168,0.058066443,0.044989036,0.01413719,0.070216886,0.007744564,-0.030169441,0.028488133,-0.022936493,-0.044037026,0.02635922
Fusidic acid_Mecillinam,0.065239473,0.015095301,0.145957562,0,0,0.107305558,0,-0.094777567,0.006403186,0.007774663,-0.011878753,0.184966637,-0.006549606,-0.049217154,0.022778546,-0.005340135,-0.052184094,0.016642591
Fusidic acid_A22,0.038001842,0,0.099261731,-0.033614551,-0.150875992,0.004061765,-0.0110802,-0.061795543,0.031949989,-0.014210895,-0.04907706,0.042480372,-0.001085229,-0.032015672,0.014372772,-0.024020176,-0.040494346,0.010412751
Fusidic acid_Loperamide,0.00116815,-0.038123983,0.032778125,-0.014195136,-0.056295156,0.018337962,0.010279424,-0.015176866,0.047287967,0.057633158,0.024065726,0.078836163,0.013198669,-0.008824213,0.029407522,-0.018679555,-0.041424049,0.011609021
Fusidic acid_Minocycline,-0.030211553,-0.062572172,0.02345614,-0.020795606,-0.315365371,0.00974924,0.034227484,0.015943269,0.06920781,0.036322143,0.004539987,0.073379162,0.010706669,-0.013449583,0.024857855,-0.012476338,-0.042486021,0.027518571
Fusidic acid_Tobramycin,-0.049081939,-0.14948335,0,-0.006650257,-0.116296285,0.027969519,-0.016358191,-0.108289392,0,-0.060704245,-0.223147299,-0.023007334,0.000872914,-0.026660274,0.024029301,-0.006972537,-0.032497533,0.016140847
Fusidic acid_Teicoplanin,-0.014125943,-0.038345713,0.027126045,-0.002146674,-0.067439235,0.016607957,0.023465892,-0.000382237,0.057576638,0.00903348,-0.03180201,0.038226531,0.050590566,-0.00860437,0.109427,-0.006337172,-0.090834343,0.118491481
Fusidic acid_Chlorhexidine,0.020401456,-0.010438377,0.059044226,0.038542938,-0.016036411,0.091420606,-0.023828234,-0.310298225,0.025236955,-0.090819229,-0.501287953,0.012515389,0.019574004,-0.015270565,0.088220898,0,-0.021566144,0.012217876
Fusidic acid_Metronidazole,-0.00813618,-0.051521208,0.010685887,-0.021917762,-0.042214305,0.014362001,0.031316427,-0.006728096,0.057537045,-0.029661921,-0.061655694,0.002356499,0,-0.00260698,0.050232584,0,-0.068244711,0
Fusidic acid_Nisin,-0.013990471,-0.043689548,0.034607611,0.006961619,-0.008397377,0.020085969,0.008862797,-0.020330085,0.045069942,0.002926213,-0.011338699,0.039110695,-0.073545678,-0.127642221,-0.00833012,-0.068958582,-0.09746855,-0.036926461
Fusidic acid_EGCG,0.005973384,-0.017088811,0.041489824,-0.004053936,-0.014640838,0.033153056,-0.00567719,-0.060850568,0.027426864,0.001662157,-0.021997058,0.031023882,-0.020798881,-0.04845506,0.003383543,-0.010308967,-0.03871792,0
Fusidic acid_Rifampicin,0.02724039,-0.023900535,0.094285458,-0.023673721,-0.141105076,0.035690039,-0.026865322,-0.142640118,0.004172991,0.005443396,-0.01118376,0.089855894,0.019934696,-0.001450882,0.040253718,0.032629155,-0.000938241,0.045887251
Fusidic acid_Aztreonam,0,-0.051238902,0.056748802,0.000822345,-0.046392975,0.064252597,-0.001510157,-0.099093954,0.026711412,0,-0.016737291,0.041347251,-0.00976524,-0.034845503,0.017099554,0.003059357,-0.01583552,0.039143645
Fusidic acid_Penicillin G,-0.001864193,-0.034054602,0.03784002,-0.033844793,-0.124906517,0.002419195,0.008213846,-0.040749836,0.054493686,0.025144564,-0.00313637,0.077478417,-0.003488907,-0.038978197,0.013549799,0.008382455,-0.006923845,0.022416398
Fusidic acid_Theophylline,-0.016569746,-0.05543752,0.014964112,-0.013936946,-0.045936693,0.009642105,0.033970776,-0.025506043,0.058008502,0.037098946,0.015657963,0.070123515,0.003764683,-0.003406842,0.025533295,-0.032522237,-0.05476376,0.007302079
Fusidic acid_Clofazimine,0.012971926,-0.011473668,0.05458892,-0.035683444,-0.062496492,-0.016693515,0.035916333,-0.012591828,0.067285622,0.014505412,-0.032344184,0.074585738,-0.054642629,-0.115124686,-0.019240126,-0.024853187,-0.057888229,0.019401589
Fusidic acid_Clarithromycin,-0.032147683,-0.46682204,0.015405824,-0.175813854,-0.34172443,-0.076402449,-0.011239597,-0.058898018,0.024137477,-0.002394429,-0.065539638,0.024271235,-0.003763729,-0.038932288,0.009241401,-0.004375053,-0.016452666,0.015432268
Fusidic acid_Caffeine,-0.009703162,-0.034355334,0.073111692,-0.012820511,-0.054437818,0.020798015,-0.010453276,-0.039685124,0.028367594,0.009932714,-0.014557541,0.03273467,-0.00374724,-0.019830996,0.011483968,0.026071639,-0.002797903,0.036199919
Fusidic acid_Reserpine,-0.029839535,-0.075128876,-0.000654639,-0.018859887,-0.028437652,0.020258792,0.010681473,-0.012604556,0.060173502,0.008948716,-0.03662559,0.033744077,0.02131433,-0.009884495,0.050804539,0,-0.055731732,0
Fusidic acid_Puromycin,-0.073695581,-0.195058429,-0.019633196,-0.082451317,-0.210149378,0.00144448,-0.024779831,-0.04161424,0.014971888,-0.002831374,-0.04056819,0.024850723,0.010345928,-0.002394809,0.05204828,0.00333023,-0.012787662,0.019703116
Fusidic acid_Pyocyanin,0.03917516,-0.036000734,0.126755255,-0.017620814,-0.067656073,0.037710219,0.003455562,-0.024647466,0.033670708,0.065542245,0.039421019,0.088988114,0.017996113,0.005359354,0.038930579,0.036358616,0.01605676,0.108541271
Fusidic acid_Pseudomonic acid,0.035070301,0.009450182,0.08123523,0.003821157,-0.035813862,0.037033487,0.016224413,-0.031066737,0.041305198,0.023766355,-0.000491062,0.057840844,0,0,0.092494329,0,0,0.004000338
Fusidic acid_Nonactin,-0.004748138,-0.033392165,0.044690096,-0.009985911,-0.031071593,0.00912955,0.001255183,-0.027446052,0.051757725,-0.003155349,-0.029872199,0.00741211,-0.003746118,-0.022274685,0.040956731,-0.009142288,-0.027730739,0.010927145
Fusidic acid_Imipenem,0.058001461,-0.021615369,0.101281194,-0.017390332,-0.086039474,0.037600574,-0.00933188,-0.062798409,0.024753442,-0.006363572,-0.082671129,0.02609494,-0.216733619,-0.386561143,0,-0.085668107,-0.3337696,0
Fusidic acid_Bleomycin,-0.001240354,-0.084217953,0.076458714,-0.040311789,-0.115413623,0.015253401,0.014896394,-0.027324028,0.044877847,0.018452881,-0.010432436,0.038975298,0,-0.033559348,0.034357783,0,0,0.03321576
Fusidic acid_Linezolid,-0.033824697,-0.069849359,0.00877037,-0.024470127,-0.059074985,0.010080548,0.026682116,-0.001608137,0.059588929,0.003720576,-0.023167262,0.049953684,-0.000144865,-0.056552584,0.008693012,0,-0.041288097,0.032864393
Fusidic acid_Doxorubicin,0.001770812,-0.038280681,0.02916495,-0.028884291,-0.057644891,-0.010686285,0.038666935,0.003967999,0.06026048,0.004497327,-0.015449813,0.035081708,0,-0.06102104,0.015873461,-0.010315677,-0.168293703,0
Fusidic acid_Daptomycin,0.012335119,-0.020039347,0.052751722,0.000484363,-0.031504832,0.031446386,0.023853375,-0.002444989,0.054092338,-0.003789981,-0.0341964,0.030968961,0.00388669,-0.007505674,0.028726257,0,-0.008334044,0.029340552
Fusidic acid_Cerulenin,0.063024498,0.02129469,0.103580291,0.031712519,0.012206556,0.1056283,0.006238139,-0.011191848,0.037838263,0.007728012,-0.014701421,0.041330475,-0.011242613,-0.042738306,0,0.022289126,0,0.066118594
Fusidic acid_Tigecycline,-0.022849105,-0.062870421,0.003964599,0.003482365,-0.027202099,0.030676417,0.003967585,-0.01792747,0.03057247,-0.000649311,-0.019487984,0.026593104,0.123903034,0.06860556,0.286068639,0.076101558,0.00053147,0.205776365
Fusidic acid_Mitomycin C,-0.009732122,-0.104401955,0.032079953,0.084695484,0.028844948,0.123518702,0.02652777,-0.023520547,0.127224615,0.09379617,0.031684284,0.144975638,0,-0.026666973,0.022303981,0,-0.010839558,0.037957703
Fusidic acid_Meropenem,0.043355905,-0.007622394,0.09910028,0.068205388,0.000620372,0.119853676,0,-0.114139096,0.071536217,-0.010269887,-0.055947497,0,0.052994245,0.009988679,0.079426209,0.028503148,0,0.073733644
Fusidic acid_Colistin,-0.740556305,-0.820935346,-0.642872039,-0.724400332,-0.788643324,-0.633551856,-0.923879084,-0.934221985,-0.903178699,-0.860841053,-0.896055036,-0.839288485,0.004057468,-0.032584069,0.020168523,0.018615313,0,0.04963515
Fusidic acid_Metformin,-0.033033532,-0.112983311,0.018682397,0.00551782,-0.047151124,0.024497364,-0.381520128,-0.731163464,-0.287950794,-0.531202742,-0.635003713,-0.443226743,0.085552308,0.011692098,0.190137433,0.041733464,0.003546363,0.114197256
Fusidic acid_Phenformin,-0.003386108,-0.048029688,0.036098965,-0.027932328,-0.050485013,-0.015598567,0.014814055,-0.028013582,0.039889569,-0.059150945,-0.081225092,-0.017341601,0.0753184,0.003975059,0.147728928,0.0016557,-0.005955586,0.057646012
Fusidic acid_Azithromycin,-0.053422052,-0.100519636,-0.002719189,-0.044982809,-0.133133027,-0.015473971,-0.170749061,-0.315607416,-0.050422886,-0.043084614,-0.098001069,-0.009861539,0.062208183,0.009885848,0.08803111,0.049717086,0,0.080789988
Fusidic acid_Curcumin,0.120584764,0.077976614,0.190030376,-0.028173794,-0.071222414,0.02249377,0.012735704,-0.014002658,0.046470094,0.056932873,0.00970776,0.09649778,0,-0.043198955,0,0,0,0
Fusidic acid_Berberine,0.070721286,0.026063961,0.106494301,0.066364279,0.033051831,0.094394876,0.00810208,-0.019412818,0.055055676,-0.026495029,-0.10039009,0.001992259,-0.230046055,-0.410968786,0,-0.070574154,-0.368718009,0
Fusidic acid_Diclofenac,0.081642252,0.061523081,0.1017004,0.030449728,-0.021292743,0.040924594,0.01546783,-0.009519984,0.048888125,0.055673194,0.019825455,0.089770275,0.135719371,0.039057214,0.220651619,-0.001771635,-0.052537849,0.046019113
Fusidic acid_Acetylsalisylic acid,0.022623282,-0.023844811,0.073896062,-0.0191401,-0.071868158,0.02063557,-0.083723677,-0.134465154,-0.033568165,-0.039181667,-0.08570148,-0.000877394,0,-0.022890815,0.00992637,0.004423959,-0.007711736,0.044301949
Fusidic acid_Ciclopirox,0.127118138,0.041096241,0.165466312,0.012422279,-0.01315606,0.080041844,-0.01604825,-0.071968103,0.028433149,-0.010627813,-0.039040893,0.01032268,0.018540159,0,0.076309559,0,-0.028174547,0.063024873
Fusidic acid_Triclosan,0.007672804,-0.014325624,0.030086514,-0.029174758,-0.063527664,0.028379457,-0.032250053,-0.066963167,0.005773614,-0.048068153,-0.092968288,-0.030816055,0.050552978,0.008726648,0.092779003,0.048197333,0,0.113179943
Fusidic acid_CHIR-90,0,-0.31574394,0.213274737,-0.429622962,-0.585339671,0.01770351,-0.081262771,-0.82602969,0,-0.409745993,-0.574041365,-0.167707905,0,0,0.030386213,-0.03562765,-0.159489127,0
Fusidic acid_Phleomycin,-0.026116116,-0.130037472,0.050745535,0.052036992,-0.003357307,0.081392807,0.098015204,0,0.136016644,0.008415121,-0.019505966,0.022283357,0.011780363,-0.075037448,0.064873082,0.018279591,-0.026577657,0.072280837
Fusidic acid_Moxifloxacin,0,-0.072590506,0.029665269,0.093037044,0.02573398,0.141072673,-0.022449305,-0.045533459,0.034979833,0.036995868,0,0.094084911,0.118551678,0,0.299149553,0,0,0.122472689
Fusidic acid_Gentamicin,-0.004769777,-0.044588063,0.073851568,0.006762772,-0.06037487,0.03560906,-0.039390013,-0.115880734,0,-0.038809815,-0.280122521,0.007418133,0,-0.131323636,0,0,-0.05011387,0
Fusidic acid_Streptozotocin,0.014912493,-0.002050463,0.072818424,0.05940882,-0.007456744,0.10209355,-0.006203267,-0.046824426,0.074473625,0.066675553,0.01951258,0.123543059,0,-0.007671998,0.05439065,0,-0.021628862,0.017584184
Amikacin_Cefotaxime,-0.021304445,-0.078643842,0.035698657,-0.0630449,-0.109242416,-0.002919504,-0.020883459,-0.098015794,0.012733705,-0.03693042,-0.072277108,-0.00109242,0.078938787,0,0.173019952,0.053691152,0,0.169663972
Amikacin_PMS,0.095785341,0.051646861,0.4877713,0.003780903,-0.03883228,0.048965131,0.034629702,-0.021916509,0.160846419,-0.074825564,-0.111980891,-0.044463271,0.050919059,0.013592011,0.131646714,0.022960361,0,0.087552639
Amikacin_Benzalkonium,0.151233663,0.068114816,0.401124813,0.029634186,0,0.0822675,0.082197027,0.034249235,0.294531585,0.015026996,-0.009256643,0.04063564,0.019240804,0,0.0550533,0.023221223,0,0.122413294
Amikacin_Cefaclor,0,-0.033232795,0.056243741,-0.004781449,-0.060668873,0.024482045,-0.00389367,-0.114933135,0,-0.027726273,-0.164919759,0,0.057322921,0.019520696,0.142715052,0.018656896,0,0.08374581
Amikacin_Cefsulodin,0.034698535,-0.011224973,0.099339485,0.006115804,-0.031032881,0.032585356,0.007162887,-0.03941344,0.043498686,0.005175158,-0.031569878,0.038347927,0.052123498,0.006404872,0.116152709,0.007113347,-0.010332987,0.099986496
Amikacin_Clindamycin,0.037743152,-0.004985394,0.125893516,-0.012025279,-0.055997352,0.006780889,0.015552819,-0.023703309,0.066796117,-0.004739649,-0.041027733,0.025247572,0.061706213,0,0.152553905,0.041944609,0,0.084488401
Amikacin_Spiramycin,0.022506519,-0.000202149,0.103017958,-0.019408425,-0.047533459,0.010211601,0.006124868,-0.022999904,0.08710844,-0.009482878,-0.031749313,0.013808626,0,-0.321091415,0,-0.042687989,-0.503438305,0
Amikacin_Erythromycin,0.077940353,-0.004162486,0.200988162,0.013767748,-0.026222329,0.047723051,0.044436634,-0.00388832,0.159787759,-0.022104258,-0.035933519,0.016919002,0,-0.055007459,0.007206574,0.004195235,0,0.054250361
Amikacin_Trimethoprim,-0.006040635,-0.068242865,0.091316795,-0.089026304,-0.126658896,-0.054696439,0.016311202,-0.022148128,0.060630855,-0.030504624,-0.060101317,0.002667767,0,-0.019428097,0.005860292,0.024774465,0,0.124160935
Amikacin_Sulfamonomethoxine,-0.01474048,-0.06593062,0.001099907,-0.003240665,-0.038801334,0.044252426,0.005258587,-0.027563093,0.04796444,-0.038355003,-0.070921941,0.00197954,0,0,0.039593706,0,-0.017315871,0.028741556
Amikacin_Paraquat,0,-0.071721647,0.06736771,-0.035448626,-0.081044088,-0.011608243,-0.063236132,-0.118640575,-0.014321765,-0.023246141,-0.053036449,0.0166569,0.18381546,0.024544545,0.339824682,0.126158445,0.043538616,0.364678692
Amikacin_Procaine,0.138718041,0.048564101,0.472861747,0.035911056,0.009095921,0.059603383,0.068945686,0.026544358,0.197320092,0.04325232,0.018200621,0.076645285,0.024263109,0,0.055537528,0,-0.001024755,0.054633125
Amikacin_Vanillin,0.033091717,-0.025160295,0.115935609,-0.007255012,-0.045300939,0.041230382,-0.043777445,-0.220354626,0.009887143,0.001532017,-0.022411673,0.023992539,0.055961536,0,0.092674943,0,-0.029104742,0.017767031
Amikacin_Verapamil,0,-0.02561332,0.031734862,0.026620764,-0.011020726,0.044218214,-0.005314529,-0.040746614,0.021103463,0.012751479,-0.010341501,0.034156111,0,-0.002402332,0.103240484,0,-0.006738111,0.059983156
Amikacin_Levofloxacin,0,-0.044191329,0,0,-0.110033365,0,0,-0.0627618,0,-0.034762528,-0.128764581,0,0.010132649,0,0.048896566,0,-0.009430621,0.055324031
Amikacin_Piperacillin,0,-0.085401798,0.063934229,-0.047995921,-0.125840127,-0.02002254,-0.254401155,-0.400918564,-0.056314347,-0.066526132,-0.172323626,-0.019809853,0,-0.085187548,0.012358004,0,-0.000593731,0.003975856
Amikacin_Nitrofurantoin,-0.088633077,-0.214719193,-0.012135531,-0.07428893,-0.307839056,-0.029179327,-0.044747402,-0.186217906,0.010979478,-0.028261614,-0.10089354,0.010211832,0.017114926,0,0.073732168,0.051665506,0,0.136424226
Amikacin_CCCP,0.02695258,-0.00334921,0.087715065,0.006665716,-0.020679009,0.034580193,0.01612098,-0.015976065,0.057751287,-0.012399163,-0.047323028,0.026717455,0.03212385,0,0.086041413,0.013156249,0,0.10678136
Amikacin_Cephalexin,0,-0.038999383,0.044613003,-0.004829595,-0.033111695,0.024568734,0.024091228,-0.027259057,0.053442808,0.004293442,-0.03483157,0.037829582,0.008053017,-0.005505172,0.038140156,0,-0.009282774,0.034365888
Amikacin_Mecillinam,-0.007460265,-0.120800172,0.020556834,0,0,0,0,-0.063731643,0.024878285,0,-0.028809382,0.053577653,0.043152768,0,0.110821428,0.010205555,0,0.059815166
Amikacin_A22,-0.022169454,-0.113701504,0.004444279,-0.009643757,-0.059752289,0.022201719,0.035397043,-0.036714828,0.188060934,0.005292532,-0.045794391,0.049183404,0,-0.002571465,0.030703892,0,-0.022692229,0.020640978
Amikacin_Loperamide,0.052613679,-0.00854,0.101087809,0.012825813,-0.019101465,0.046361893,0.029792887,-0.009220995,0.10918541,0.011922756,-0.025503939,0.056214236,0.037740042,0,0.17666212,0.016571306,0,0.077170699
Amikacin_Minocycline,-0.003324959,-0.110868027,0.030907666,-0.000420633,-0.028858228,0.05978215,-0.001428128,-0.046113415,0.038281074,0.006073686,-0.048931009,0.041210595,0.000476584,0,0.062727025,0.063481391,-0.008344552,0.126167218
Amikacin_Tobramycin,-0.020694643,-0.130558941,0,-0.008305348,-0.042142765,0.013383751,-0.043535085,-0.313035504,0,-0.026192047,-0.100578825,-0.000615163,0,-0.092140097,0.018951652,0,-0.035746404,0.034775216
Amikacin_Teicoplanin,0,-0.053032077,0.047424671,0.013709442,-0.016175261,0.038435731,0.019687228,-0.018715136,0.07516679,-0.003559047,-0.030213248,0.01699637,0,0,0.226454847,0,0,0
Amikacin_Chlorhexidine,0.010118031,-0.031282758,0.088432666,-0.010331319,-0.038120862,0.034765316,0.086377867,0.028604318,0.149853516,0.012790017,-0.032595791,0.038476585,0.096156263,0.052906842,0.466008024,0.012554613,-0.01100382,0.05960483
Amikacin_Metronidazole,-0.001628823,-0.058296224,0.029227505,0.032035959,0.002762198,0.052466528,0.034781576,-0.019159736,0.058593232,0.010045215,-0.018860213,0.029702386,0,-0.005911049,0.001339541,0.018404684,0,0.076180003
Amikacin_Nisin,-0.009567239,-0.052054509,0.043026006,-0.00019283,-0.026175208,0.014725278,0.021412452,-0.039696473,0.076595011,0.003718614,-0.021709963,0.024519041,0.228630187,0.080533108,0.688772206,0.082015993,0.026126999,0.405026872
Amikacin_EGCG,0.080517223,0.008714116,0.134582899,0.010433928,-0.021417451,0.034852293,0.043015229,0.008483378,0.136350795,-0.004252407,-0.021666687,0.023458578,0.105917886,0.055409002,0.127309303,0,-0.041702148,0.029715262
Amikacin_Rifampicin,0.110716225,0.02794827,0.257778742,-0.027956794,-0.069498293,0.028588474,-0.012869442,-0.065045068,0.032703182,0.000119653,-0.041276295,0.068556328,0.140641818,0.042087202,0.323602645,0,-0.035393073,0.04703947
Amikacin_Aztreonam,0,-0.13757625,0.002298068,-0.01149876,-0.078286831,0.015012591,-0.081661954,-0.309910226,0,-0.002851447,-0.078217738,0.000847411,-0.041017573,-0.144035489,0,0,-0.079404006,0.027280848
Amikacin_Penicillin G,0.015256608,-0.034309892,0.05247189,-0.007410336,-0.078652165,0.028314137,-0.024811969,-0.066723143,0.006769776,-0.019277584,-0.052184396,0.001840159,0.139572287,0.042984408,0.400068123,0.033851702,0.002103164,0.070223262
Amikacin_Theophylline,0.004400489,-0.044903443,0.067833978,-0.026808263,-0.051774053,0.008073431,0.019134191,-0.022386363,0.066366521,0.016846765,-0.002093589,0.035177181,0.100919062,0.023554898,0.392377341,0.055964097,-0.001949821,0.111157594
Amikacin_Clofazimine,0.047630117,0.003794232,0.104491784,0.010993844,-0.025555703,0.050935796,-0.007294047,-0.058362045,0.047485246,0.001243317,-0.027346211,0.04354958,0,-0.027439023,0,0.030800366,0.004037655,0.079490302
Amikacin_Clarithromycin,0.073138967,0.006544638,0.191256728,-0.013643123,-0.05315478,0.034030347,0.050022257,0.005441989,0.147120969,-0.004047012,-0.048223459,0.026675226,0,-0.033900681,0.028261297,0,-0.003857494,0
Amikacin_Caffeine,-0.006095892,-0.063166095,0.033594763,-0.055014918,-0.084047065,-0.010258958,0.002851526,-0.018303747,0.054182893,0.002638221,-0.033998122,0.02692492,0.076594613,0.056697027,0.332205272,0.038032945,0.01898137,0.103944483
Amikacin_Reserpine,-0.00084303,-0.042260975,0.061704429,-0.01914891,-0.030174749,0.033150309,0.013288808,-0.023525279,0.057933907,-0.012356498,-0.049661344,0.006297,0,-0.015934026,0.00377654,0.003289085,-0.085754164,0.04417818
Amikacin_Puromycin,-0.174315054,-0.421167552,-0.041478504,-0.141018548,-0.26455189,-0.033523997,-0.052359707,-0.288674614,-0.008332598,-0.033195195,-0.099679067,-0.004474547,0,0,0,0,-0.047842251,0
Amikacin_Pyocyanin,0.06988956,0.016534429,0.33001429,-0.010229216,-0.048662705,0.009926756,0.052733225,0.006269561,0.243202887,-0.044000084,-0.087233521,-0.006511754,0.053499876,0.022766788,0.098778638,0.023561157,0.013665614,0.05910881
Amikacin_Pseudomonic acid,0.040045552,-5.25E-06,0.112367426,-0.028222905,-0.081683907,0.004829414,-0.019466,-0.0663218,0.022004435,0.000369039,-0.041528156,0.041146864,0,-0.15293178,0,0,-0.026514476,0.02285855
Amikacin_Nonactin,0.032141379,-0.001658788,0.063540835,-0.013186008,-0.046117809,0.008212086,-0.005395577,-0.039172485,0.033485752,0.003188584,-0.027317566,0.031556433,-0.015973217,-0.062511121,0.028456898,-0.024066328,-0.072831418,0.002767177
Amikacin_Imipenem,0,-0.06799467,0.056795425,-0.002234261,-0.039215925,0.030957799,-0.008729,-0.057295938,0.03019232,-0.008245772,-0.087073679,0.042329143,0,-0.003793461,0.022281419,-0.006864797,-0.064718094,0.017908609
Amikacin_Bleomycin,-0.019765421,-0.091256349,0.046042062,-0.05723225,-0.099641158,0.00277477,-0.024367958,-0.070771741,0.029648286,0.003661319,-0.025927182,0.039872484,0.002493819,-0.018505281,0.042497208,0.052952738,0.014473778,0.07244991
Amikacin_Linezolid,0.009274304,-0.010059499,0.056533748,0.001647312,-0.015097205,0.041049916,0.009600282,-0.037473495,0.036773531,0.0205763,-0.021134105,0.049911138,0.006194489,-0.017995415,0.091551397,0.005940332,-0.034405905,0.04053862
Amikacin_Doxorubicin,0,-0.032350638,0.042683704,-0.00858885,-0.037432455,0.034869622,0.011142984,-0.020886448,0.066235753,0.007449955,-0.011389501,0.037834325,-0.031439268,-0.098366762,0.000459529,0.027864136,0.010073931,0.046513975
Amikacin_Daptomycin,0.020865376,-0.030494611,0.074535447,0.011115901,-0.019107791,0.038741024,0.018677738,-0.012173662,0.050014428,0.016288843,-0.019387357,0.04477056,0,-0.019923359,0.039053724,0.032507788,0.009493156,0.049758576
Amikacin_Cerulenin,0.016922161,-0.014767368,0.071367807,-0.00143969,-0.08571108,0.037346716,-0.016110153,-0.101004974,0.029076233,-0.019052217,-0.066302102,0.01691085,0.016566487,-0.00276637,0.065533748,0.013958081,-0.005475371,0.033805804
Amikacin_Tigecycline,-0.000353845,-0.043754973,0.038813587,0.004651203,-0.012513229,0.025431884,0.018046385,-0.030132632,0.080603656,0.006634209,-0.025111239,0.031447203,-0.00114068,-0.045835383,0.102896552,0.012899997,-0.000460074,0.049140813
