drug_pair,Drug1,Drug2,clusters
Bacitracin_Tobramycin,Bacitracin,Tobramycin,4
Bacitracin_Triclosan,Bacitracin,Triclosan,11
Bacitracin_Trimethoprim,Bacitracin,Trimethoprim,13
Bacitracin_Vanillin,Bacitracin,Vanillin,2
Bacitracin_Verapamil,Bacitracin,Verapamil,11
Benzalkonium_Berberine,Benzalkonium,Berberine,2
Benzalkonium_Bleomycin,Benzalkonium,Bleomycin,2
Benzalkonium_Caffeine,Benzalkonium,Caffeine,10
Benzalkonium_CCCP,Benzalkonium,CCCP,13
Benzalkonium_Cefaclor,Benzalkonium,Cefaclor,6
Benzalkonium_Cefotaxime,Benzalkonium,Cefotaxime,1
Benzalkonium_Cefsulodin,Benzalkonium,Cefsulodin,12
Benzalkonium_Cephalexin,Benzalkonium,Cephalexin,7
Benzalkonium_Cerulenin,Benzalkonium,Cerulenin,12
Benzalkonium_CHIR-90,Benzalkonium,CHIR-90,2
Benzalkonium_Chloramphenicol,Benzalkonium,Chloramphenicol,11
Benzalkonium_Chlorhexidine,Benzalkonium,Chlorhexidine,13
Benzalkonium_Ciclopirox,Benzalkonium,Ciclopirox,3
Benzalkonium_Ciprofloxacin,Benzalkonium,Ciprofloxacin,2
Benzalkonium_Clarithromycin,Benzalkonium,Clarithromycin,2
Benzalkonium_Clindamycin,Benzalkonium,Clindamycin,2
Benzalkonium_Clofazimine,Benzalkonium,Clofazimine,11
Benzalkonium_Colistin,Benzalkonium,Colistin,13
Benzalkonium_Curcumin,Benzalkonium,Curcumin,2
Benzalkonium_Cycloserine D,Benzalkonium,Cycloserine D,12
Benzalkonium_Daptomycin,Benzalkonium,Daptomycin,12
Benzalkonium_Diclofenac,Benzalkonium,Diclofenac,2
Benzalkonium_Doxorubicin,Benzalkonium,Doxorubicin,12
Benzalkonium_Doxycycline,Benzalkonium,Doxycycline,13
Benzalkonium_EGCG,Benzalkonium,EGCG,8
Benzalkonium_Erythromycin,Benzalkonium,Erythromycin,2
Benzalkonium_Fosfomycin,Benzalkonium,Fosfomycin,2
Benzalkonium_Fusidic acid,Benzalkonium,Fusidic acid,7
Benzalkonium_Gentamicin,Benzalkonium,Gentamicin,2
Benzalkonium_Imipenem,Benzalkonium,Imipenem,10
Benzalkonium_Levofloxacin,Benzalkonium,Levofloxacin,2
Benzalkonium_Linezolid,Benzalkonium,Linezolid,2
Benzalkonium_Loperamide,Benzalkonium,Loperamide,3
Benzalkonium_Mecillinam,Benzalkonium,Mecillinam,2
Benzalkonium_Meropenem,Benzalkonium,Meropenem,12
Benzalkonium_Metformin,Benzalkonium,Metformin,10
Benzalkonium_Metronidazole,Benzalkonium,Metronidazole,11
Benzalkonium_Minocycline,Benzalkonium,Minocycline,8
Benzalkonium_Mitomycin C,Benzalkonium,Mitomycin C,11
Benzalkonium_Moxifloxacin,Benzalkonium,Moxifloxacin,5
Benzalkonium_Nisin,Benzalkonium,Nisin,5
Benzalkonium_Nitrofurantoin,Benzalkonium,Nitrofurantoin,5
Benzalkonium_Nonactin,Benzalkonium,Nonactin,7
Benzalkonium_Novobiocin,Benzalkonium,Novobiocin,10
Benzalkonium_Oxacillin,Benzalkonium,Oxacillin,1
Benzalkonium_Paraquat,Benzalkonium,Paraquat,5
Benzalkonium_Penicillin G,Benzalkonium,Penicillin G,1
Benzalkonium_Phenformin,Benzalkonium,Phenformin,3
Benzalkonium_Phleomycin,Benzalkonium,Phleomycin,2
Benzalkonium_Piperacillin,Benzalkonium,Piperacillin,2
Benzalkonium_Polymyxin B,Benzalkonium,Polymyxin B,13
Benzalkonium_Procaine,Benzalkonium,Procaine,13
Benzalkonium_Puromycin,Benzalkonium,Puromycin,9
Benzalkonium_Reserpine,Benzalkonium,Reserpine,8
Benzalkonium_Rifampicin,Benzalkonium,Rifampicin,11
Benzalkonium_Spectinomycin,Benzalkonium,Spectinomycin,1
Benzalkonium_Spiramycin,Benzalkonium,Spiramycin,6
Benzalkonium_Streptozotocin,Benzalkonium,Streptozotocin,2
Benzalkonium_Sulfamonomethoxine,Benzalkonium,Sulfamonomethoxine,5
Benzalkonium_Teicoplanin,Benzalkonium,Teicoplanin,3
Benzalkonium_Theophylline,Benzalkonium,Theophylline,10
Benzalkonium_Tigecycline,Benzalkonium,Tigecycline,7
Benzalkonium_Tobramycin,Benzalkonium,Tobramycin,1
Benzalkonium_Triclosan,Benzalkonium,Triclosan,4
Benzalkonium_Trimethoprim,Benzalkonium,Trimethoprim,6
Benzalkonium_Vanillin,Benzalkonium,Vanillin,5
Benzalkonium_Verapamil,Benzalkonium,Verapamil,13
Berberine_Bleomycin,Berberine,Bleomycin,12
Berberine_Caffeine,Berberine,Caffeine,1
Berberine_CCCP,Berberine,CCCP,9
Berberine_Cefaclor,Berberine,Cefaclor,10
Berberine_Cefotaxime,Berberine,Cefotaxime,2
Berberine_Cefsulodin,Berberine,Cefsulodin,2
Berberine_Cephalexin,Berberine,Cephalexin,7
Berberine_Cerulenin,Berberine,Cerulenin,1
Berberine_Chloramphenicol,Berberine,Chloramphenicol,2
Berberine_Chlorhexidine,Berberine,Chlorhexidine,2
Berberine_Ciprofloxacin,Berberine,Ciprofloxacin,2
Berberine_Clarithromycin,Berberine,Clarithromycin,12
Berberine_Clindamycin,Berberine,Clindamycin,6
Berberine_Clofazimine,Berberine,Clofazimine,6
Berberine_Cycloserine D,Berberine,Cycloserine D,12
Berberine_Daptomycin,Berberine,Daptomycin,6
Berberine_Doxorubicin,Berberine,Doxorubicin,2
Berberine_Doxycycline,Berberine,Doxycycline,7
Berberine_EGCG,Berberine,EGCG,7
Berberine_Erythromycin,Berberine,Erythromycin,12
Berberine_Fosfomycin,Berberine,Fosfomycin,2
Berberine_Fusidic acid,Berberine,Fusidic acid,6
Berberine_Imipenem,Berberine,Imipenem,1
Berberine_Levofloxacin,Berberine,Levofloxacin,2
Berberine_Linezolid,Berberine,Linezolid,3
Berberine_Loperamide,Berberine,Loperamide,9
Berberine_Mecillinam,Berberine,Mecillinam,2
Berberine_Metronidazole,Berberine,Metronidazole,6
Berberine_Minocycline,Berberine,Minocycline,3
Berberine_Mitomycin C,Berberine,Mitomycin C,7
Berberine_Nisin,Berberine,Nisin,6
Berberine_Nitrofurantoin,Berberine,Nitrofurantoin,2
Berberine_Nonactin,Berberine,Nonactin,3
Berberine_Novobiocin,Berberine,Novobiocin,8
Berberine_Oxacillin,Berberine,Oxacillin,6
Berberine_Paraquat,Berberine,Paraquat,1
Berberine_Penicillin G,Berberine,Penicillin G,1
Berberine_Piperacillin,Berberine,Piperacillin,2
Berberine_Polymyxin B,Berberine,Polymyxin B,6
Berberine_Procaine,Berberine,Procaine,3
Berberine_Puromycin,Berberine,Puromycin,11
Berberine_Reserpine,Berberine,Reserpine,10
Berberine_Rifampicin,Berberine,Rifampicin,4
Berberine_Spectinomycin,Berberine,Spectinomycin,10
Berberine_Spiramycin,Berberine,Spiramycin,7
Berberine_Sulfamonomethoxine,Berberine,Sulfamonomethoxine,7
Berberine_Teicoplanin,Berberine,Teicoplanin,5
Berberine_Theophylline,Berberine,Theophylline,6
Berberine_Tigecycline,Berberine,Tigecycline,1
Berberine_Tobramycin,Berberine,Tobramycin,2
Berberine_Trimethoprim,Berberine,Trimethoprim,2
Berberine_Vanillin,Berberine,Vanillin,6
Berberine_Verapamil,Berberine,Verapamil,9
Bleomycin_Caffeine,Bleomycin,Caffeine,6
Bleomycin_CCCP,Bleomycin,CCCP,9
Bleomycin_Cefaclor,Bleomycin,Cefaclor,13
Bleomycin_Cefotaxime,Bleomycin,Cefotaxime,10
Bleomycin_Cefsulodin,Bleomycin,Cefsulodin,4
Bleomycin_Cephalexin,Bleomycin,Cephalexin,6
Bleomycin_Cerulenin,Bleomycin,Cerulenin,9
Bleomycin_CHIR-90,Bleomycin,CHIR-90,13
Bleomycin_Chloramphenicol,Bleomycin,Chloramphenicol,2
Bleomycin_Chlorhexidine,Bleomycin,Chlorhexidine,7
Bleomycin_Ciclopirox,Bleomycin,Ciclopirox,11
Bleomycin_Ciprofloxacin,Bleomycin,Ciprofloxacin,3
Bleomycin_Clarithromycin,Bleomycin,Clarithromycin,2
Bleomycin_Clindamycin,Bleomycin,Clindamycin,1
Bleomycin_Clofazimine,Bleomycin,Clofazimine,2
Bleomycin_Colistin,Bleomycin,Colistin,13
Bleomycin_Curcumin,Bleomycin,Curcumin,10
Bleomycin_Cycloserine D,Bleomycin,Cycloserine D,7
Bleomycin_Daptomycin,Bleomycin,Daptomycin,1
Bleomycin_Diclofenac,Bleomycin,Diclofenac,11
Bleomycin_Doxorubicin,Bleomycin,Doxorubicin,4
Bleomycin_Doxycycline,Bleomycin,Doxycycline,2
Bleomycin_EGCG,Bleomycin,EGCG,1
Bleomycin_Erythromycin,Bleomycin,Erythromycin,2
Bleomycin_Fosfomycin,Bleomycin,Fosfomycin,12
Bleomycin_Fusidic acid,Bleomycin,Fusidic acid,4
Bleomycin_Gentamicin,Bleomycin,Gentamicin,5
Bleomycin_Imipenem,Bleomycin,Imipenem,4
Bleomycin_Levofloxacin,Bleomycin,Levofloxacin,5
Bleomycin_Linezolid,Bleomycin,Linezolid,1
Bleomycin_Loperamide,Bleomycin,Loperamide,2
Bleomycin_Mecillinam,Bleomycin,Mecillinam,3
Bleomycin_Meropenem,Bleomycin,Meropenem,3
Bleomycin_Metformin,Bleomycin,Metformin,2
Bleomycin_Metronidazole,Bleomycin,Metronidazole,4
Bleomycin_Minocycline,Bleomycin,Minocycline,6
Bleomycin_Mitomycin C,Bleomycin,Mitomycin C,8
Bleomycin_Moxifloxacin,Bleomycin,Moxifloxacin,3
Bleomycin_Nisin,Bleomycin,Nisin,4
Bleomycin_Nitrofurantoin,Bleomycin,Nitrofurantoin,13
Bleomycin_Nonactin,Bleomycin,Nonactin,1
Bleomycin_Novobiocin,Bleomycin,Novobiocin,13
Bleomycin_Oxacillin,Bleomycin,Oxacillin,8
Bleomycin_Paraquat,Bleomycin,Paraquat,1
Bleomycin_Penicillin G,Bleomycin,Penicillin G,1
Bleomycin_Phenformin,Bleomycin,Phenformin,4
Bleomycin_Phleomycin,Bleomycin,Phleomycin,5
Bleomycin_Piperacillin,Bleomycin,Piperacillin,2
Bleomycin_Polymyxin B,Bleomycin,Polymyxin B,10
Bleomycin_Procaine,Bleomycin,Procaine,13
Bleomycin_Puromycin,Bleomycin,Puromycin,4
Bleomycin_Reserpine,Bleomycin,Reserpine,6
Bleomycin_Rifampicin,Bleomycin,Rifampicin,2
Bleomycin_Spectinomycin,Bleomycin,Spectinomycin,2
Bleomycin_Spiramycin,Bleomycin,Spiramycin,1
Bleomycin_Streptozotocin,Bleomycin,Streptozotocin,13
Bleomycin_Sulfamonomethoxine,Bleomycin,Sulfamonomethoxine,4
Bleomycin_Teicoplanin,Bleomycin,Teicoplanin,6
Bleomycin_Theophylline,Bleomycin,Theophylline,1
Bleomycin_Tigecycline,Bleomycin,Tigecycline,6
Bleomycin_Tobramycin,Bleomycin,Tobramycin,8
Bleomycin_Triclosan,Bleomycin,Triclosan,3
Bleomycin_Trimethoprim,Bleomycin,Trimethoprim,10
Bleomycin_Vanillin,Bleomycin,Vanillin,7
Bleomycin_Verapamil,Bleomycin,Verapamil,3
Caffeine_CCCP,Caffeine,CCCP,9
Caffeine_Cefaclor,Caffeine,Cefaclor,2
Caffeine_Cefotaxime,Caffeine,Cefotaxime,9
Caffeine_Cefsulodin,Caffeine,Cefsulodin,4
Caffeine_Cephalexin,Caffeine,Cephalexin,3
Caffeine_Cerulenin,Caffeine,Cerulenin,1
Caffeine_CHIR-90,Caffeine,CHIR-90,2
Caffeine_Chloramphenicol,Caffeine,Chloramphenicol,6
Caffeine_Chlorhexidine,Caffeine,Chlorhexidine,4
Caffeine_Ciclopirox,Caffeine,Ciclopirox,3
Caffeine_Ciprofloxacin,Caffeine,Ciprofloxacin,2
Caffeine_Clarithromycin,Caffeine,Clarithromycin,4
Caffeine_Clindamycin,Caffeine,Clindamycin,5
Caffeine_Clofazimine,Caffeine,Clofazimine,10
Caffeine_Colistin,Caffeine,Colistin,10
Caffeine_Curcumin,Caffeine,Curcumin,3
Caffeine_Cycloserine D,Caffeine,Cycloserine D,3
Caffeine_Daptomycin,Caffeine,Daptomycin,9
Caffeine_Diclofenac,Caffeine,Diclofenac,7
Caffeine_Doxorubicin,Caffeine,Doxorubicin,2
Caffeine_Doxycycline,Caffeine,Doxycycline,1
Caffeine_EGCG,Caffeine,EGCG,4
Caffeine_Erythromycin,Caffeine,Erythromycin,4
Caffeine_Fosfomycin,Caffeine,Fosfomycin,5
Caffeine_Fusidic acid,Caffeine,Fusidic acid,10
Caffeine_Gentamicin,Caffeine,Gentamicin,2
Caffeine_Imipenem,Caffeine,Imipenem,8
Caffeine_Levofloxacin,Caffeine,Levofloxacin,6
Caffeine_Linezolid,Caffeine,Linezolid,9
Caffeine_Loperamide,Caffeine,Loperamide,12
Caffeine_Mecillinam,Caffeine,Mecillinam,11
Caffeine_Meropenem,Caffeine,Meropenem,3
Caffeine_Metformin,Caffeine,Metformin,2
Caffeine_Metronidazole,Caffeine,Metronidazole,12
Caffeine_Minocycline,Caffeine,Minocycline,8
Caffeine_Mitomycin C,Caffeine,Mitomycin C,13
Caffeine_Moxifloxacin,Caffeine,Moxifloxacin,2
Caffeine_Nisin,Caffeine,Nisin,9
Caffeine_Nitrofurantoin,Caffeine,Nitrofurantoin,5
Caffeine_Nonactin,Caffeine,Nonactin,6
Caffeine_Novobiocin,Caffeine,Novobiocin,2
Caffeine_Oxacillin,Caffeine,Oxacillin,4
Caffeine_Paraquat,Caffeine,Paraquat,3
Caffeine_Penicillin G,Caffeine,Penicillin G,5
Caffeine_Phenformin,Caffeine,Phenformin,10
Caffeine_Phleomycin,Caffeine,Phleomycin,3
Caffeine_Piperacillin,Caffeine,Piperacillin,6
Caffeine_Polymyxin B,Caffeine,Polymyxin B,4
Caffeine_Procaine,Caffeine,Procaine,9
Caffeine_Puromycin,Caffeine,Puromycin,2
Caffeine_Reserpine,Caffeine,Reserpine,4
Caffeine_Rifampicin,Caffeine,Rifampicin,11
Caffeine_Spectinomycin,Caffeine,Spectinomycin,4
Caffeine_Spiramycin,Caffeine,Spiramycin,5
Caffeine_Streptozotocin,Caffeine,Streptozotocin,11
Caffeine_Sulfamonomethoxine,Caffeine,Sulfamonomethoxine,3
Caffeine_Teicoplanin,Caffeine,Teicoplanin,8
Caffeine_Theophylline,Caffeine,Theophylline,10
Caffeine_Tigecycline,Caffeine,Tigecycline,8
Caffeine_Tobramycin,Caffeine,Tobramycin,2
Caffeine_Triclosan,Caffeine,Triclosan,6
Caffeine_Trimethoprim,Caffeine,Trimethoprim,5
Caffeine_Vanillin,Caffeine,Vanillin,4
Caffeine_Verapamil,Caffeine,Verapamil,12
CCCP_Cefaclor,CCCP,Cefaclor,9
CCCP_Cefotaxime,CCCP,Cefotaxime,6
CCCP_Cefsulodin,CCCP,Cefsulodin,2
CCCP_Cephalexin,CCCP,Cephalexin,10
CCCP_Cerulenin,CCCP,Cerulenin,8
CCCP_CHIR-90,CCCP,CHIR-90,7
CCCP_Chloramphenicol,CCCP,Chloramphenicol,3
CCCP_Chlorhexidine,CCCP,Chlorhexidine,13
CCCP_Ciclopirox,CCCP,Ciclopirox,3
CCCP_Ciprofloxacin,CCCP,Ciprofloxacin,10
CCCP_Clarithromycin,CCCP,Clarithromycin,10
CCCP_Clindamycin,CCCP,Clindamycin,4
CCCP_Clofazimine,CCCP,Clofazimine,4
CCCP_Colistin,CCCP,Colistin,13
CCCP_Curcumin,CCCP,Curcumin,3
CCCP_Cycloserine D,CCCP,Cycloserine D,10
CCCP_Daptomycin,CCCP,Daptomycin,4
CCCP_Diclofenac,CCCP,Diclofenac,6
CCCP_Doxorubicin,CCCP,Doxorubicin,9
CCCP_Doxycycline,CCCP,Doxycycline,6
CCCP_EGCG,CCCP,EGCG,5
CCCP_Erythromycin,CCCP,Erythromycin,6
CCCP_Fosfomycin,CCCP,Fosfomycin,12
CCCP_Fusidic acid,CCCP,Fusidic acid,4
CCCP_Gentamicin,CCCP,Gentamicin,5
CCCP_Imipenem,CCCP,Imipenem,9
CCCP_Levofloxacin,CCCP,Levofloxacin,7
CCCP_Linezolid,CCCP,Linezolid,10
CCCP_Loperamide,CCCP,Loperamide,13
CCCP_Mecillinam,CCCP,Mecillinam,3
CCCP_Meropenem,CCCP,Meropenem,3
CCCP_Metformin,CCCP,Metformin,4
CCCP_Metronidazole,CCCP,Metronidazole,8
CCCP_Minocycline,CCCP,Minocycline,6
CCCP_Mitomycin C,CCCP,Mitomycin C,11
CCCP_Moxifloxacin,CCCP,Moxifloxacin,12
CCCP_Nisin,CCCP,Nisin,8
CCCP_Nitrofurantoin,CCCP,Nitrofurantoin,4
CCCP_Nonactin,CCCP,Nonactin,6
CCCP_Novobiocin,CCCP,Novobiocin,4
CCCP_Oxacillin,CCCP,Oxacillin,6
CCCP_Paraquat,CCCP,Paraquat,4
CCCP_Penicillin G,CCCP,Penicillin G,6
CCCP_Phenformin,CCCP,Phenformin,7
CCCP_Phleomycin,CCCP,Phleomycin,4
CCCP_Piperacillin,CCCP,Piperacillin,10
CCCP_Polymyxin B,CCCP,Polymyxin B,13
CCCP_Procaine,CCCP,Procaine,2
CCCP_Puromycin,CCCP,Puromycin,3
CCCP_Reserpine,CCCP,Reserpine,6
CCCP_Rifampicin,CCCP,Rifampicin,3
CCCP_Spectinomycin,CCCP,Spectinomycin,6
CCCP_Spiramycin,CCCP,Spiramycin,6
CCCP_Streptozotocin,CCCP,Streptozotocin,12
CCCP_Sulfamonomethoxine,CCCP,Sulfamonomethoxine,9
CCCP_Teicoplanin,CCCP,Teicoplanin,9
CCCP_Theophylline,CCCP,Theophylline,9
CCCP_Tigecycline,CCCP,Tigecycline,4
CCCP_Tobramycin,CCCP,Tobramycin,10
CCCP_Triclosan,CCCP,Triclosan,10
CCCP_Trimethoprim,CCCP,Trimethoprim,6
CCCP_Vanillin,CCCP,Vanillin,2
CCCP_Verapamil,CCCP,Verapamil,13
Cefaclor_Cefotaxime,Cefaclor,Cefotaxime,13
Cefaclor_Cefsulodin,Cefaclor,Cefsulodin,13
Cefaclor_Cephalexin,Cefaclor,Cephalexin,10
Cefaclor_Cerulenin,Cefaclor,Cerulenin,4
Cefaclor_CHIR-90,Cefaclor,CHIR-90,5
Cefaclor_Chloramphenicol,Cefaclor,Chloramphenicol,9
Cefaclor_Chlorhexidine,Cefaclor,Chlorhexidine,2
Cefaclor_Ciclopirox,Cefaclor,Ciclopirox,5
Cefaclor_Ciprofloxacin,Cefaclor,Ciprofloxacin,12
Cefaclor_Clarithromycin,Cefaclor,Clarithromycin,4
Cefaclor_Clindamycin,Cefaclor,Clindamycin,9
Cefaclor_Clofazimine,Cefaclor,Clofazimine,2
Cefaclor_Colistin,Cefaclor,Colistin,2
Cefaclor_Curcumin,Cefaclor,Curcumin,10
Cefaclor_Cycloserine D,Cefaclor,Cycloserine D,13
Cefaclor_Daptomycin,Cefaclor,Daptomycin,2
Cefaclor_Diclofenac,Cefaclor,Diclofenac,10
Cefaclor_Doxorubicin,Cefaclor,Doxorubicin,9
Cefaclor_Doxycycline,Cefaclor,Doxycycline,4
Cefaclor_EGCG,Cefaclor,EGCG,4
Cefaclor_Erythromycin,Cefaclor,Erythromycin,9
Cefaclor_Fosfomycin,Cefaclor,Fosfomycin,10
Cefaclor_Fusidic acid,Cefaclor,Fusidic acid,4
Cefaclor_Gentamicin,Cefaclor,Gentamicin,1
Cefaclor_Imipenem,Cefaclor,Imipenem,13
Cefaclor_Levofloxacin,Cefaclor,Levofloxacin,9
Cefaclor_Linezolid,Cefaclor,Linezolid,1
Cefaclor_Loperamide,Cefaclor,Loperamide,9
Cefaclor_Mecillinam,Cefaclor,Mecillinam,13
Cefaclor_Meropenem,Cefaclor,Meropenem,13
Cefaclor_Metformin,Cefaclor,Metformin,2
Cefaclor_Metronidazole,Cefaclor,Metronidazole,7
Cefaclor_Minocycline,Cefaclor,Minocycline,6
Cefaclor_Mitomycin C,Cefaclor,Mitomycin C,9
Cefaclor_Moxifloxacin,Cefaclor,Moxifloxacin,8
Cefaclor_Nisin,Cefaclor,Nisin,4
Cefaclor_Nitrofurantoin,Cefaclor,Nitrofurantoin,12
Cefaclor_Nonactin,Cefaclor,Nonactin,9
Cefaclor_Novobiocin,Cefaclor,Novobiocin,10
Cefaclor_Oxacillin,Cefaclor,Oxacillin,13
Cefaclor_Paraquat,Cefaclor,Paraquat,10
Cefaclor_Penicillin G,Cefaclor,Penicillin G,13
Cefaclor_Phenformin,Cefaclor,Phenformin,11
Cefaclor_Phleomycin,Cefaclor,Phleomycin,5
Cefaclor_Piperacillin,Cefaclor,Piperacillin,13
Cefaclor_Polymyxin B,Cefaclor,Polymyxin B,2
Cefaclor_Procaine,Cefaclor,Procaine,2
Cefaclor_Puromycin,Cefaclor,Puromycin,9
Cefaclor_Reserpine,Cefaclor,Reserpine,4
Cefaclor_Rifampicin,Cefaclor,Rifampicin,5
Cefaclor_Spectinomycin,Cefaclor,Spectinomycin,6
Cefaclor_Spiramycin,Cefaclor,Spiramycin,12
Cefaclor_Streptozotocin,Cefaclor,Streptozotocin,12
Cefaclor_Sulfamonomethoxine,Cefaclor,Sulfamonomethoxine,9
Cefaclor_Teicoplanin,Cefaclor,Teicoplanin,12
Cefaclor_Theophylline,Cefaclor,Theophylline,9
Cefaclor_Tigecycline,Cefaclor,Tigecycline,2
Cefaclor_Tobramycin,Cefaclor,Tobramycin,10
Cefaclor_Triclosan,Cefaclor,Triclosan,3
Cefaclor_Trimethoprim,Cefaclor,Trimethoprim,4
Cefaclor_Vanillin,Cefaclor,Vanillin,2
Cefaclor_Verapamil,Cefaclor,Verapamil,6
Cefotaxime_Cefsulodin,Cefotaxime,Cefsulodin,13
Cefotaxime_Cephalexin,Cefotaxime,Cephalexin,7
Cefotaxime_Cerulenin,Cefotaxime,Cerulenin,6
Cefotaxime_CHIR-90,Cefotaxime,CHIR-90,13
Cefotaxime_Chloramphenicol,Cefotaxime,Chloramphenicol,4
Cefotaxime_Chlorhexidine,Cefotaxime,Chlorhexidine,8
Cefotaxime_Ciclopirox,Cefotaxime,Ciclopirox,2
Cefotaxime_Ciprofloxacin,Cefotaxime,Ciprofloxacin,3
Cefotaxime_Clarithromycin,Cefotaxime,Clarithromycin,6
Cefotaxime_Clindamycin,Cefotaxime,Clindamycin,2
Cefotaxime_Clofazimine,Cefotaxime,Clofazimine,9
Cefotaxime_Colistin,Cefotaxime,Colistin,12
Cefotaxime_Curcumin,Cefotaxime,Curcumin,2
Cefotaxime_Cycloserine D,Cefotaxime,Cycloserine D,4
Cefotaxime_Daptomycin,Cefotaxime,Daptomycin,2
Cefotaxime_Diclofenac,Cefotaxime,Diclofenac,1
Cefotaxime_Doxorubicin,Cefotaxime,Doxorubicin,9
Cefotaxime_Doxycycline,Cefotaxime,Doxycycline,13
Cefotaxime_EGCG,Cefotaxime,EGCG,6
Cefotaxime_Erythromycin,Cefotaxime,Erythromycin,6
Cefotaxime_Fosfomycin,Cefotaxime,Fosfomycin,3
Cefotaxime_Fusidic acid,Cefotaxime,Fusidic acid,10
Cefotaxime_Gentamicin,Cefotaxime,Gentamicin,11
Cefotaxime_Imipenem,Cefotaxime,Imipenem,4
Cefotaxime_Levofloxacin,Cefotaxime,Levofloxacin,4
Cefotaxime_Linezolid,Cefotaxime,Linezolid,2
Cefotaxime_Loperamide,Cefotaxime,Loperamide,2
Cefotaxime_Mecillinam,Cefotaxime,Mecillinam,13
Cefotaxime_Meropenem,Cefotaxime,Meropenem,13
Cefotaxime_Metformin,Cefotaxime,Metformin,5
Cefotaxime_Metronidazole,Cefotaxime,Metronidazole,10
Cefotaxime_Minocycline,Cefotaxime,Minocycline,1
Cefotaxime_Mitomycin C,Cefotaxime,Mitomycin C,9
Cefotaxime_Moxifloxacin,Cefotaxime,Moxifloxacin,3
Cefotaxime_Nisin,Cefotaxime,Nisin,10
Cefotaxime_Nitrofurantoin,Cefotaxime,Nitrofurantoin,10
Cefotaxime_Nonactin,Cefotaxime,Nonactin,2
Cefotaxime_Novobiocin,Cefotaxime,Novobiocin,7
Cefotaxime_Oxacillin,Cefotaxime,Oxacillin,13
Cefotaxime_Paraquat,Cefotaxime,Paraquat,10
Cefotaxime_Penicillin G,Cefotaxime,Penicillin G,4
Cefotaxime_Phenformin,Cefotaxime,Phenformin,3
Cefotaxime_Phleomycin,Cefotaxime,Phleomycin,8
Cefotaxime_Piperacillin,Cefotaxime,Piperacillin,13
Cefotaxime_Polymyxin B,Cefotaxime,Polymyxin B,9
Cefotaxime_Procaine,Cefotaxime,Procaine,2
Cefotaxime_Puromycin,Cefotaxime,Puromycin,2
Cefotaxime_Reserpine,Cefotaxime,Reserpine,2
Cefotaxime_Rifampicin,Cefotaxime,Rifampicin,7
Cefotaxime_Spectinomycin,Cefotaxime,Spectinomycin,6
Cefotaxime_Spiramycin,Cefotaxime,Spiramycin,8
Cefotaxime_Streptozotocin,Cefotaxime,Streptozotocin,7
Cefotaxime_Sulfamonomethoxine,Cefotaxime,Sulfamonomethoxine,3
Cefotaxime_Teicoplanin,Cefotaxime,Teicoplanin,5
Cefotaxime_Theophylline,Cefotaxime,Theophylline,4
Cefotaxime_Tigecycline,Cefotaxime,Tigecycline,6
Cefotaxime_Tobramycin,Cefotaxime,Tobramycin,3
Cefotaxime_Triclosan,Cefotaxime,Triclosan,3
Cefotaxime_Trimethoprim,Cefotaxime,Trimethoprim,6
Cefotaxime_Vanillin,Cefotaxime,Vanillin,2
Cefotaxime_Verapamil,Cefotaxime,Verapamil,3
Cefsulodin_Cephalexin,Cefsulodin,Cephalexin,12
Cefsulodin_Cerulenin,Cefsulodin,Cerulenin,10
Cefsulodin_CHIR-90,Cefsulodin,CHIR-90,3
Cefsulodin_Chloramphenicol,Cefsulodin,Chloramphenicol,3
Cefsulodin_Chlorhexidine,Cefsulodin,Chlorhexidine,2
Cefsulodin_Ciclopirox,Cefsulodin,Ciclopirox,3
Cefsulodin_Ciprofloxacin,Cefsulodin,Ciprofloxacin,3
Cefsulodin_Clarithromycin,Cefsulodin,Clarithromycin,4
Cefsulodin_Clindamycin,Cefsulodin,Clindamycin,2
Cefsulodin_Clofazimine,Cefsulodin,Clofazimine,12
Cefsulodin_Colistin,Cefsulodin,Colistin,6
Cefsulodin_Curcumin,Cefsulodin,Curcumin,12
Cefsulodin_Cycloserine D,Cefsulodin,Cycloserine D,3
Cefsulodin_Daptomycin,Cefsulodin,Daptomycin,2
Cefsulodin_Diclofenac,Cefsulodin,Diclofenac,12
Cefsulodin_Doxorubicin,Cefsulodin,Doxorubicin,1
Cefsulodin_Doxycycline,Cefsulodin,Doxycycline,3
Cefsulodin_EGCG,Cefsulodin,EGCG,5
Cefsulodin_Erythromycin,Cefsulodin,Erythromycin,2
Cefsulodin_Fosfomycin,Cefsulodin,Fosfomycin,13
Cefsulodin_Fusidic acid,Cefsulodin,Fusidic acid,4
Cefsulodin_Gentamicin,Cefsulodin,Gentamicin,12
Cefsulodin_Imipenem,Cefsulodin,Imipenem,5
Cefsulodin_Levofloxacin,Cefsulodin,Levofloxacin,4
Cefsulodin_Linezolid,Cefsulodin,Linezolid,2
Cefsulodin_Loperamide,Cefsulodin,Loperamide,5
Cefsulodin_Mecillinam,Cefsulodin,Mecillinam,4
Cefsulodin_Meropenem,Cefsulodin,Meropenem,13
Cefsulodin_Metformin,Cefsulodin,Metformin,11
Cefsulodin_Metronidazole,Cefsulodin,Metronidazole,12
Cefsulodin_Minocycline,Cefsulodin,Minocycline,8
Cefsulodin_Mitomycin C,Cefsulodin,Mitomycin C,10
