"compound","cal","cgi","cne","sce"
"GBR 12909 dihydrochloride",1.54,80.12,81.37,5.94
"Gelsemine",-1.5,-62.36,-7.03,-6.23
"Gemfibrozil",15.73,1.86,-3.23,0.69
"Gentamicine sulfate",7.73,-20.14,9.23,-10.58
"Gibberellic acid",-3.61,4.58,7.68,-3.62
"Ginkgolide A",0.9,-2.11,-11.49,-7.01
"Glafenine hydrochloride",5.35,-60.54,-23.54,-14.29
"Glibenclamide",4.98,-8.27,-3.99,8.23
"Gliclazide",0.32,-10.03,-9.37,-12.91
"Glimepiride",0,10.15,29.28,-2.55
"Glipizide",-3.1,3.67,-8.26,3.44
"Gliquidone",-0.57,48.27,61.14,-0.57
"Glutethimide, para-amino",4.09,-0.79,-11.95,-1.45
"Glycocholic acid",-1.45,24.03,-20.62,8.95
"Glycopyrrolate",3.03,-19.08,-21.77,-2.35
"Gossypol",-5.55,8.86,-18.42,11.57
"Gramine",5.71,18.44,-6.45,-2.78
"Graveoline",-13.49,-4.97,9.46,-1.51
"Griseofulvin",9.06,11.36,2.11,-0.86
"Guaifenesin",1.56,6,4.39,-12.09
"Guanabenz acetate",1.94,-3.74,-7.78,-5.56
"Guanadrel sulfate",-3.01,-7.39,-13.91,8.49
"Guanethidine sulfate",-4.99,-73.9,-20,-2.01
"Guanfacine hydrochloride",-13.85,-9.03,7.54,-0.17
"Halcinonide",-3.86,-18.66,8.01,-1.15
"Halofantrine hydrochloride",NA,100,NA,NA
"Haloperidol",6.5,2.03,-5.15,-1.54
"Harmaline hydrochloride dihydrate",-2.57,11.35,20.14,6.55
"Harmalol hydrochloride dihydrate",-3.01,16.45,10.6,7.78
"Harmane hydrochloride",0.59,-15.09,10.7,-5.38
"Harmine hydrochloride",-0.8,13.08,15.88,6.96
"Harmol hydrochloride monohydrate",0.74,7.48,10.65,-18.68
"Harpagoside",-2.37,-2.88,4.9,-2.37
"Hecogenin",19.62,30.44,-14.85,3.15
"Heliotrine",-5.93,1.13,-9.15,6.39
"Helveticoside",3.01,-0.44,-2.29,2.23
"Hemicholinium bromide",1.41,-27.04,-39.43,5.95
"Heptaminol hydrochloride",0.5,11.34,-13.69,-3.05
"Hesperetin",-0.01,-0.23,18,5.25
"Hesperidin",-5.04,13.18,-14.78,-1.9
"Hexamethonium dibromide dihydrate",-11.81,-5.33,1.25,-2.21
"Hexestrol",1.47,32.04,18.12,-8.21
"Hexetidine",-14.85,NA,27.09,97.29
"Hexylcaine hydrochloride",-1.42,-0.83,4.57,-1.39
"Hippeastrine hydrobromide",0.21,12.83,-11.31,-14.84
"Homatropine hydrobromide (R,S)",0.82,-18.07,-4.85,7.35
"Homochlorcyclizine dihydrochloride",5.63,34.36,18.63,1
"Homosalate",-3.12,-3.09,8.49,-3.11
"Hycanthone",-9.54,20.41,16.02,5.23
"Hydralazine hydrochloride",-5.64,2.23,40.78,8.9
"Hydrastine hydrochloride",-14.65,16.17,-2.83,-12.54
"Hydrastinine hydrochloride",3.05,15.73,-29.18,4.93
"Hydrochlorothiazide",-7.61,7.95,-19.69,-3.04
"Hydrocortisone base",13.79,5.44,-39.47,5.98
"Hydrocotarnine hydrobromide",-2.02,-5.17,-26,3.48
"Hydroflumethiazide",5.12,-0.07,12.64,1.8
"Hydroquinine hydrobromide hydrate",-0.06,22.56,9.53,2.62
"Hydroxytacrine maleate (R,S)",-4.4,-3.81,21.86,4.66
"Hydroxyzine dihydrochloride",2.13,-2.37,16.4,-0.77
"Hymecromone",3.49,-1.62,11.51,-11.89
"Hyoscyamine (L)",4.77,3.24,-12.5,-5.18
"Idazoxan hydrochloride",-0.68,4.15,-7.05,-4.94
"Idoxuridine",-1.71,-5.71,-2.86,-3.9
"Ifenprodil tartrate",-4.22,4.72,-55.74,-1.91
"Ifosfamide",1.03,-4.59,-10.05,0.41
"Imidurea",7.25,5.34,-6.01,7.26
"Imipenem",-4.3,3.98,-6.23,-2.41
"Imipramine hydrochloride",6.7,10.97,6.14,-11.5
"Indapamide",-4.3,4.51,8.95,-7.91
"Indomethacin",0.51,-6.41,-34.96,-4.73
"Indoprofen",4.32,4.56,-18.29,3.24
"Iobenguane sulfate",4.27,-13.03,19.68,3.19
"Iocetamic acid",1.31,-4.14,3.71,-2.94
"Iodipamide",0.93,-10.09,4.77,-2.94
"Iodixanol",-5.06,-13.93,-21.39,5.75
"Iohexol",9.15,-3.91,-22.39,5.32
"Iopamidol",-1.32,4.76,-8.69,-3.81
"Iopanoic acid",2.83,17.69,6.83,2.83
"Iopromide",10.8,3.77,-8,-0.61
"Ioversol",-1.91,-4.67,1.55,-0.18
"Ioxaglic acid",-8.43,0.17,-2.16,-8.43
"Ipratropium bromide",-3.7,-27.29,9.89,3.22
"Iproniazide phosphate",3.11,7.39,-1.61,-12
"Isocarboxazid",1.18,-5.09,18.78,-6.58
"Isoconazole",NA,-17.18,NA,NA
"Isocorydine (+)",3.94,8.87,-6.8,11.2
"Isoetharine mesylate salt",6.17,1.28,21.43,-10.97
"Isoflupredone acetate",5,-7.66,18.93,2.9
"Isometheptene mucate",0.94,-3.45,-31.87,0.94
"Isoniazid",-13.3,-19.88,11.54,-12.65
"Isopropamide iodide",1.63,-1.4,11.47,-8.75
"Isopyrin hydrochloride",-6.51,-10.85,12.4,0.24
"Isoquinoline, 6,7-dimethoxy-1-methyl-1,2,3,4-tetrahydro, hydrochloride",5.21,19.78,-2.47,5.37
"Isosorbide dinitrate",-1.85,-13.14,-2.9,-5.34
"Isotretinoin",3.92,-39.51,-12.96,-4.47
"Isoxicam",13.91,-7.29,-25.39,5.74
"Isoxsuprine hydrochloride",4.88,-7.99,-0.94,-11.51
"Isradipine",-9.15,2.42,17.3,-9.15
"Ivermectin",11.26,28.53,28.27,13.29
"Josamycin",-2.85,4.45,43.29,15.65
"Kaempferol",-3.4,10.2,12.07,-3.4
"Kanamycin A sulfate",8.05,-51.12,-54.53,-5.24
"Karakoline",-7.01,-4.68,-1.28,9.15
"Kawain",-47.75,6.6,-19.09,27.27
"Ketanserin tartrate hydrate",12.83,-3.87,-16.1,-3.06
"Ketoconazole",NA,-269.05,-3.7,NA
"Ketoprofen",-6.51,9.02,-9.44,10.89
"Ketorolac tromethamine",-8.56,-10.97,-9.41,4.57
"Ketotifen fumarate",-2.29,14.31,17.78,4.02
"Khellin",-12.29,-4.36,-27.43,8.49
"Kynurenine, 3-hydroxy (R,S)",6.12,7.2,-23.99,3.14
"L(-)-vesamicol hydrochloride",-2.28,-8.02,-3.47,-2.9
"Labetalol hydrochloride",0.74,0.18,0.94,-5.76
"Lactobionic acid",-0.51,37.18,-17.03,1.11
"Lanatoside C",-1.34,-7.57,4.77,0.53
"Lansoprazole",-51.24,6.43,-2.41,-51.17
"Lasalocid sodium salt",-8.21,15.76,20.06,-5.78
"Laudanosine (R,S)",14.74,10.29,0.31,-3.25
"Leflunomide",-6.96,-0.43,2.2,7.09
"Letrozole",0.39,-10.49,9.46,0.4
"Leucomisine",-7.6,-4.4,-18.51,-7.59
"Levamisole hydrochloride",12.17,-47.53,-4.23,9.77
"Levocabastine hydrochloride",-0.84,3.42,-3.75,-0.84
"Levodopa",-13.86,1.35,5.65,11.06
"Levonordefrin",-0.53,28.24,30.58,5.04
"Levopropoxyphene napsylate",-10.16,9.71,-15.01,-10.15
"LidocaÃ¯Â¿Â½ne hydrochloride",-0.73,-18.87,18.42,-9.09
"Lidoflazine",5.22,43.52,26.53,5.06
"Lincomycin hydrochloride",3.43,-16.02,-16.65,-12.36
"Liothyronine",-4.84,39.35,15.78,-5.32
"Lisinopril",-0.71,-9.57,-8.1,6.24
"Lisuride (S)(-)",-1.36,16.26,9.68,7.82
"Lithocholic acid",2.3,0.74,3.39,-10.41
"Lobelanidine hydrochloride",5.49,-1.37,-3.23,2.28
"Lobeline alpha (-) hydrochoride",3.17,8.51,7.88,3.61
"Lomefloxacin hydrochloride",-5.43,-3.29,14.09,4.09
"Loperamide hydrochloride",-2.71,24.81,49.18,-2.89
"Loracarbef",3.62,8.69,6.87,3.63
"Lorglumide sodium salt",-1.06,14.81,0.29,-8.53
"Lovastatin",-0.16,34.94,22.94,15.91
"Loxapine succinate",1.37,7.75,15.2,0.87
"Lumicolchicine gamma",-9.89,-14.9,8.86,5.82
"Luteolin",5.39,33.75,36.76,6.16
"Lycorine hydrochloride",4.77,1.87,-20.63,2.71
"Lymecycline",7.45,19.26,17.96,7.44
"Lynestrenol",52.94,12.05,18.96,-18.95
"Lysergol",0.81,3.73,8.69,0.02
"Mafenide hydrochloride",-7.95,-6.28,-9.38,-17.18
"Maprotiline hydrochloride",-10.77,22.55,52.95,1.79
"Mebendazole",9.47,-481.23,-90.64,-9.46
"Mebeverine hydrochloride",-5.56,1.65,10.77,-1.8
"Mebhydroline 1,5-naphtalenedisulfonate",3.29,14.27,17.03,5.18
"Mecamylamine hydrochloride",4.4,12.66,-10.34,4.41
"Meclocycline sulfosalicylate",3.22,-0.09,-3.93,3.69
"Meclofenamic acid sodium salt monohydrate",4.96,24.43,-19.01,12.84
"Meclofenoxate hydrochloride",-2.08,-16.13,17.26,-2.61
"Meclozine dihydrochloride",-20.74,93.37,56.6,39.94
"Medrysone",0.49,-14.04,9.78,-2.77
"Mefenamic acid",19.68,-11.46,0.59,1.43
"Mefexamide hydrochloride",-6.31,-4.61,-1.65,-5.33
"Mefloquine hydrochloride",13.04,92.3,82.75,-4.69
"Megestrol acetate",-8.84,8.9,-76.95,-3.9
"Meglumine",9.26,-26.96,-9.67,2.02
"Melatonin",3.31,-1.15,-16.42,1.78
"Memantine Hydrochloride",-1.47,-1.17,19.55,-1.47
"Menadione",NA,100,NA,NA
"Mepenzolate bromide",1.31,-19.46,16.11,4.87
"Mephenesin",-10.98,-2.49,9.13,-15.68
"Mephentermine hemisulfate",8.86,15.98,2.3,-4.86
"Mephenytoin",-2.82,-13.33,-0.19,-2.81
"Meprylcaine hydrochloride",-9.59,0.92,-40.76,-9.58
"Meptazinol hydrochloride",0.65,-2.52,-21.06,0.65
"Merbromin",NA,30.66,NA,NA
"Meropenem",-3.28,19.54,7.87,-3.26
"Mesalamine",1.5,-19.31,4.42,1.5
"Mesoridazine besylate",5.07,5.09,11.49,-0.88
"Metampicillin sodium salt",-5.37,3.82,26.15,-1.35
"Metanephrine hydrochloride DL",3.41,-10.13,-43.12,-28.73
"Metaproterenol sulfate, orciprenaline sulfate",2.16,-2.31,-19.23,-6.13
"Metaraminol bitartrate",15.08,-3.45,-36.89,-0.7
"Metergoline",10.22,77.37,35.05,9.02
"Metformin hydrochloride",1.63,-2.12,-0.88,9.57
"Methacholine chloride",-5.28,4.9,8.51,1.25
"Methacycline hydrochloride",8.28,52.82,-13.99,8.27
"Methantheline bromide",-2.97,4.27,-22.26,-2.96
"Methapyrilene hydrochloride",3.7,10.3,-18.33,-5.33
"Methazolamide",-1.12,1.92,-2.12,-7.74
"Methiazole",-2.36,-36.6,49.04,-2.35
"Methimazole",-3.75,-6.42,-17.57,-2.11
"Methionine sulfoximine (L)",6.53,10.32,-8.06,2.19
"Methiothepin maleate",-11.87,99.59,99.02,19.43
"Methocarbamol",-9.98,-6.91,-8.19,-7.19
"Methotrexate",13.47,-18.87,-4.85,14.02
"Methotrimeprazine maleat salt",-4.61,14.18,35.08,5.57
"Methoxamine hydrochloride",3.19,-6.41,-8.95,-1.88
"Methoxy-6-harmalan",-19.18,41.67,31.58,4.94
"Methoxy-8-psoralen",-10.77,-11.07,2.64,-8.33
"Methyl benzethonium chloride",34.3,NA,NA,NA
"Methylatropine nitrate",-1.15,10.46,17.14,-5.1
"Methyldopa (L,-)",-4.75,21.63,15.88,-4.75
"Methyldopate hydrochloride",-1.49,1.29,13.45,-1.5
"Methylergometrine maleate",9.72,11.12,-0.51,0.9
"Methylhydantoin-5-(D)",-6.67,-3.35,16.93,5.6
"Methylhydantoin-5-(L)",-1.69,-31.07,-17.91,2.59
"Methylprednisolone, 6-alpha",-2.03,-6.04,-17.5,-1.38
"Meticrane",2.45,7.91,11.52,-5.69
"Metixene hydrochloride",-2.93,99.33,81.36,-4.21
"Metoclopramide monohydrochloride",-5.58,11.72,25.13,8.5
"Metolazone",11.87,-16.21,-24.46,-12
"Metoprolol-(+,-) (+)-tartrate salt",-3.82,2.9,-3.96,4.11
"Metrizamide",10.09,-19.06,-7.86,-7.36
"Metronidazole",-4,-1.28,-10.6,-5.62
"Metyrapone",-3.72,-11.32,-26.26,-1.24
"Mevalonic-D, L acid lactone",3.23,-3.51,7.75,-3.39
"Mexiletine hydrochloride",-3.45,11.89,13.02,4
"Mianserine hydrochloride",-5.46,14.55,26.51,-6.27
"Miconazole",NA,NA,NA,NA
"Midecamycin",-3.22,-4.47,-9.82,-12.04
"Midodrine hydrochloride",-4.29,3.44,1.73,13.73
"Mifepristone",5.78,14.07,21.39,5.98
"Milrinone",0.32,-1.78,-6.53,0.32
"Mimosine",1.4,-7.21,17.06,-0.14
"Minaprine dihydrochloride",-0.01,-1.69,12.29,-14.16
"Minocycline hydrochloride",3.95,24.53,-22.52,-1.79
"Minoxidil",-7.92,15.94,18.21,-1.61
"Mitoxantrone dihydrochloride",9.32,10.01,-48.3,42.2
"Molindone hydrochloride",0.27,-2.3,9.89,0.27
"Molsidomine",-2.55,-17.6,3.18,1.13
"Mometasone furoate",10.14,34.11,-3.93,15.91
"Monensin sodium salt",2.86,17.14,-3.23,-5.58
"Monobenzone",-4.54,47.17,-75.83,7.56
"Monocrotaline",0.09,12.21,-6.26,-0.25
"Morantel tartrate",-0.59,2.76,-15.63,9.75
"Moricizine hydrochloride",2.26,15.02,33.61,2.27
"Moroxidine hydrochloride",-6.04,-3.16,-5.43,10.72
"Moxalactam disodium salt",-3.49,9.14,28.5,-9.74
"Moxisylyte hydrochoride",2.7,-7.32,-6.18,4.37
"Moxonidine",-5.28,-13.18,-30.23,-5.28
"Muramic acid, N-acetyl",5.29,3.43,-9.58,4.63
"Mycophenolic acid",-113.73,-259.68,NA,1.81
"Myosmine",-1.67,7.83,2.1,-3.21
"Myricetin",-13.47,12.18,38,-6.81
"N6-methyladenosine",-1.19,-16.1,-15.88,-8.36
"Nabumetone",12.16,100,85.4,-9.44
"N-Acetyl-DL-homocysteine Thiolactone",5.82,-2.05,-0.21,0.79
"N-Acetyl-L-leucine",-1.54,-12.62,-31.83,-1.31
"Nadide",-0.3,-14.59,1.65,4.08
"Nadolol",4.61,0.59,-8.51,-0.14
"Nafcillin sodium salt monohydrate",2.88,8.8,-28.13,-3.14
"Nafronyl oxalate",5.92,20.61,11.42,-3.99
"Naftifine hydrochloride",38.23,100,99.02,38.24
"Naftopidil dihydrochloride",2.47,64.66,28,2.46
"Nalbuphine hydrochloride",3.3,-18.67,-28.55,-6.85
"Nalidixic acid sodium salt hydrate",11.29,-12.86,-62.99,8.89
"Naloxone hydrochloride",5.04,-0.23,2.54,6.66
"Naltrexone hydrochloride dihydrate",2.13,6.91,-41.37,2.85
"Napelline",2.69,15.17,6.67,7.6
"Naphazoline hydrochloride",3.4,4.04,-5.17,0.58
"Naproxen",6.06,-9.85,-27.44,-15.04
"Naringenine",-7.89,-22.46,-2.96,2.45
"Naringin hydrate",4.13,-5.57,-5.45,4.54
"Natamycin",NA,18.87,43.19,NA
"Nefopam hydrochloride",-4.13,7.9,3.59,0.49
"Neomycin sulfate",0.14,-23.03,0.79,-3.73
"Neostigmine bromide",1.86,-9.69,-11.69,10.69
"Netilmicin sulfate",3.24,10.54,11.7,3.24
"Niacin",9.04,-7.62,-1.11,-0.99
"Nialamide",-0.94,-4.77,-29.91,-0.94
"Nicardipine hydrochloride",18.75,-8.76,14.51,-2.07
"Nicergoline",100,25.8,22.26,NA
"Niclosamide",1.67,-11.76,22.56,-107.8
"Nifedipine",-1.65,-4.5,-50.57,6.84
"Nifenazone",8.74,-40.35,12.22,13.26
"Niflumic acid",11.08,-17.29,-42.09,-1.09
"Nifuroxazide",5.7,-12.09,85.03,-1.46
"Nifurtimox",-3.45,-49.92,55.89,-3.46
"Nilutamide",-4.52,-11.52,-19.54,4.25
"Nimesulide",12.23,-4.55,-8.5,-5.09
"Nimodipine",1.86,18.55,15.46,-3.76
"Niridazole",4.82,-2.32,-25.62,1.36
"Nisoxetine hydrochloride",-5.68,17.4,20.02,1.15
"Nitrarine dihydrochloride",4.92,10,-12.7,-1.65
"Nitrendipine",3.7,23.48,-1.76,-0.75
"Nitrocaramiphen hydrochloride",1.32,-1.03,7.32,1.31
"Nitrofural",-3.96,4.62,8.42,1.56
"Nitrofurantoin",-16.97,11.22,NA,-7.81
"Nizatidine",4.42,4.75,0.6,0.77
"Nocodazole",8.57,38.78,NA,6.5
"Nomegestrol acetate",1.93,12.09,-6.17,1.92
"Nomifensine maleate",4.85,5.99,-0.7,-16.13
"Norcyclobenzaprine",1.95,33.11,38.09,3.17
"Norethindrone",2.01,-22.31,-16.2,-4.45
"Norethynodrel",8.45,-4.33,-13.49,14.59
"Norfloxacin",3.78,4.46,8.42,3.97
"Norgestrel-(-)-D",1.86,-1.23,-3.39,-6.31
"Nortriptyline hydrochloride",5.46,14.89,30.8,-1.15
"Noscapine",0.05,-18.08,-3.77,-13.48
"Novobiocin sodium salt",-2.03,24.02,-4.23,-0.24
"Nystatine",-31.18,29.39,68.38,NA
"Ofloxacin",-2,19.85,-24.89,-5.66
"Oleandomycin phosphate",-4.98,6.84,-5.56,10.8
"Omeprazole",-26.67,4.42,-38.14,25.93
"Ondansetron Hydrochloride",-6.77,-1.14,10.22,-6.76
"Ornidazole",1.44,-17.61,12.9,10.31
"Orphenadrine hydrochloride",7.64,14.88,5.04,-3.2
"Oxalamine citrate salt",6.05,-25.04,11.55,1.53
"Oxantel pamoate",7.34,-34.18,-4.38,1.35
"Oxaprozin",-4.5,18.27,-0.12,-4.49
"Oxethazaine",-6.08,75.8,36.32,-3.92
"Oxolinic acid",-5.71,-34.34,8.66,-15.81
"Oxprenolol hydrochloride",4.56,19.67,-13.93,4.56
"Oxybenzone",-3.43,69.69,5.3,-2.18
"Oxybutynin chloride",-2.23,17.05,18.68,1.38
"Oxymetazoline hydrochloride",-11.23,11.21,15.56,8.54
"Oxyphenbutazone",-2.64,-2.2,-32.93,-2.63
"Oxytetracycline dihydrate",4.15,25.03,19.61,0.66
"Ozagrel hydrochloride",-0.52,0.21,8.09,-0.52
"Paclitaxel",6.42,13.91,6.45,-11.36
"Palmatine chloride",8.86,-1.93,14.47,4.42
"Pancuronium bromide",-9.13,-8.43,12.79,-9.14
"Panthenol (D)",-2.89,-24.79,-11.55,1.26
"Pantothenic acid calcium salt monohydrate",15.77,-20.16,-4.82,0.79
"Papaverine hydrochloride",6.13,-4.18,13.87,-1.48
"Parbendazole",16.25,-54.65,15.83,16.26
"Pargyline hydrochloride",-18.3,7.33,-23.62,-16.87
"Paromomycin sulfate",5.73,-24.58,-8,4.25
"Paroxetine Hydrochloride",-3.96,100,85.96,13.87
"Parthenolide",-4.04,-78.89,-103.49,-8.51
"Pempidine tartrate",4.4,-7.22,-16.58,3.51
"Penbutolol sulfate",3.64,50.4,31.64,3.65
"Pentamidine isethionate",-17.93,82.12,24.9,-6.61
"Pentetic acid",-2.69,80.54,100,20.81
"Pentolinium bitartrate",-1.97,-10.14,-0.7,9.4
"Pentoxifylline",-0.61,16.3,-1.95,-9.51
"Pentylenetetrazole",10.89,-17.6,-1.21,3.2
"Pepstatin A",-16.94,-14.11,33.16,3.22
"Pergolide mesylate",3.21,2.53,-0.8,-1.07
"Perhexiline maleate",-11.09,61.97,87.71,48.6
"Perphenazine",5.81,84.64,72.52,27.9
"Phenacetin",-10.72,3.7,-8.48,0.73
"Phenazopyridine hydrochloride",-1.52,72.47,86.87,13.54
"Phenelzine sulfate",-8.41,42.11,19.92,-1.24
"Phenethicillin potassium salt",5.52,-2.57,-1.12,-2.24
"Phenformin hydrochloride",0.19,8.97,17.42,12.08
"Phenindione",-0.63,-21.64,10,-8.08
"Pheniramine maleate",-3.03,-3.32,10.17,1.75
"Phenoxybenzamine hydrochloride",-1.49,1.64,18.85,1.41
"Phensuximide",2.11,-0.08,2.25,2.12
"Phentolamine hydrochloride",4.12,14.02,32.31,-14.72
"Phenylpropanolamine hydrochloride",5.81,-28.09,12.2,7.64
"Phthalylsulfathiazole",-4.84,-28.14,17.22,-6.32
"Picotamide monohydrate",0.41,-5.62,-20.45,5.17
"Picrotoxinin",-0.64,-40.91,-25.75,6.38
"Pilocarpine nitrate",-2.25,13.38,-8.61,10.39
"Pimethixene maleate",-1.73,47.44,37.22,8.35
"Pimozide",-9.25,88.28,69.69,-0.05
"Pinacidil",1.95,-7.04,3.8,6.75
"Pindolol",5.25,15.2,1.85,6.28
"Pipemidic acid",-3.79,8.4,1.77,-0.3
"Pipenzolate bromide",0.32,-0.25,0,-1.38
"Piperacetazine",-0.92,1.74,31.14,-0.92
"Piperacillin sodium salt",-4.53,-13.12,-3.81,-7.08
"Piperidolate hydrochloride",-0.16,14.55,-13.38,-0.15
"Piperine",-7.23,51.52,56.56,-1.82
"Piperlongumine",-0.22,-4.03,-70.56,1.84
"Piracetam",-1.72,-9.7,6.35,-1.54
"Pirenperone",-0.34,3.6,-7.86,10.91
"Pirenzepine dihydrochloride",1.18,-20.48,-18.85,5.56
"Piretanide",1.87,-36.68,8.94,1.88
"Piribedil hydrochloride",-2.05,-1.31,3.33,-2.05
"Pirlindole mesylate",47.3,72.9,70.61,47.3
"Piromidic acid",-3.9,-3.95,10.35,4.3
"Piroxicam",12,-17.51,1.68,2.38
"Pivampicillin",19.79,49.09,39.25,19.79
"Pivmecillinam hydrochloride",6.06,18.23,-30.74,6.07
"Pizotifen malate",16.52,24.23,29.25,16.52
"Podophyllotoxin",2.96,-1.36,-12.96,1.09
"Practolol",-6.76,8.55,-2.42,-6.64
"Pralidoxime chloride",-3.06,-7.22,-10.62,4.16
"Pramoxine hydrochloride",2.35,88.26,81.9,27.98
"Praziquantel",-8.68,-42.19,26.27,11.09
"Prazosin hydrochloride",-3.36,17.75,7.44,-4.49
"Prednicarbate",0.93,-6.58,-6.47,0.93
"Prednisolone",7.21,-4.03,-48.14,-8.88
"Prednisone",0.23,-14.33,-27.7,-8.03
"Pregnenolone",-2.61,-7.64,7.35,5.73
"Prenylamine lactate",-30.65,30.45,28.11,2.02
"Pridinol methanesulfonate salt",3.11,-20.11,-9.91,0.96
"Prilocaine hydrochloride",-11.12,5.9,-10.35,-8.79
"Primaquine diphosphate",6.98,26.24,35.47,-16.27
"Primidone",4.68,-12.82,-14.2,-3.56
"Proadifen hydrochloride",0.72,38.67,35.26,-0.93
"Probenecid",4.17,-14.89,-10.54,-15.91
"Probucol",-6.85,-44.75,-20.49,-57.03
"Procainamide hydrochloride",3.5,-12.85,-5.18,-10.18
"Procaine hydrochloride",-8.13,-4.45,8,9.82
"Procarbazine hydrochloride",-5.09,-7.07,-11.4,-5.08
"Prochlorperazine dimaleate",-10.06,99.54,93.82,38.14
"Procyclidine hydrochloride",-5.12,6.32,-4.96,3.04
"Progesterone",-1.32,32.3,-18.57,-4.77
"Proglumide",-0.98,-4.55,8.65,4.24
"Proguanil hydrochloride",2.29,69.42,23.48,2.28
"Promazine hydrochloride",1.27,41.34,37.25,-5.95
"Promethazine hydrochloride",2.68,45.61,2.11,2.52
"Pronethalol hydrochloride",3.69,2.92,-15.83,3.69
"Propafenone hydrochloride",5.08,31.86,24.04,-7.05
"Propantheline bromide",5.58,20.49,17.24,-6.55
"Proparacaine hydrochloride",2.55,22.87,6.37,5.03
"Propidium iodide",-5.73,4.48,5.96,4.44
"Propofol",4.99,-37.77,-5.04,-2.59
"Propoxycaine hydrochloride",-1.52,11.41,15.15,-1.52
"Propranolol hydrochloride",-10.11,6.14,11.31,-1.8
"Propylthiouracil",-1.72,-11.83,-13.71,-2.73
"Proscillaridin A",5.44,-31.14,-7.34,5.44
"Protoveratrine A",-1.95,-21.83,-17.86,-0.46
"Protriptyline hydrochloride",-13.2,0.05,50.06,2.89
"Proxyphylline",-130.8,-2.03,14.85,61.59
"Pseudopelletierine hydrochloride",7.09,-0.49,6.89,8.98
"Puromycin dihydrochloride",12.93,2.66,22.86,0.07
"Pyrantel tartrate",-12.64,8.11,15.29,-7.45
"Pyrazinamide",2.68,-2.56,-22.89,9.84
"Pyridoxine hydrochloride",-10.77,-21.52,-1.29,4.52
"Pyrilamine maleate",5.25,-0.05,-2.56,0.03
"Pyrimethamine",-3.48,7.74,13.09,2.72
"Pyrithyldione",-0.68,19.09,15.71,-4.24
"Pyrvinium pamoate",85.84,-152.08,35.89,85.84
"Quercetine dihydrate",-7.98,18.67,71.3,-0.77
"Quinacrine dihydrochloride dihydrate",-10.1,-15.53,-7.62,-11.65
"Quinethazone",-2.47,-22.77,15.73,-2.46
"Quinic acid",2.57,-66.14,-3.01,2.58
"Quinidine hydrochloride monohydrate",3.19,-25.19,-8.47,-6.64
"Quipazine dimaleate salt",-4.8,-6.62,-9.14,-1.51
"R(-) Apomorphine hydrochloride hemihydrate",0.98,-5.89,-26.65,-4.51
"Racecadotril",-12.67,-35.49,19.63,0.87
"Raloxifene hydrochloride",0.99,45.16,43.13,10.72
"Ramipril",-8.43,9.34,3.49,-8.42
"Ranitidine hydrochloride",-0.28,10.18,26.1,1.33
"Rauwolscine hydrochloride",10.47,-30.41,-11.77,2.53
"Remoxipride Hydrochloride",-4.11,-0.42,11.1,-4.11
"Repaglinide",6.21,-7.19,6.73,6.22
"Rescinnamin",73.27,100,49.21,-60.05
"Reserpine",5.5,42.85,21.11,7.92
"Reserpinic acid hydrochloride",-2.98,1.97,-21.05,-2.99
"Resveratrol",8.04,-0.24,3.58,5.84
"Retinoic acid",4.99,-16.53,-13.76,6.51
"Retrorsine",6.52,-2.47,22.67,2.59
"Ribavirin",-0.23,2.24,-12.11,-0.24
"Riboflavine",-13.19,23.57,-26.06,-1.36
"Ribostamycin sulfate salt",0.11,-5.74,-16.74,-3.45
"Ricinine",0.78,4.85,-20.46,-5.38
"Rifabutin",5.93,25.65,5.04,5.94
"Rifampicin",-2.88,19.65,9.46,7.89
"Rilmenidine hemifumarate",-4.33,18.36,1.68,-4.34
"Riluzole hydrochloride",61.89,44.07,1.07,-131.65
"Rimexolone",-5.58,-9.82,-18.06,-5.58
"Risperidone",8.46,14.01,-1.69,8.46
"Ritodrine hydrochloride",-10.85,6.71,-5.02,-1.54
"Rolipram",0.57,-3.87,-31.41,9.86
"Rolitetracycline",-2.97,12.56,13.85,-2.32
"Ronidazole",2.07,7.26,-9.65,2.07
"Roxarsone",-3.96,-3.63,8.26,-3.96
"Roxithromycin",5.27,6.6,-10.25,-2.34
"S(-)Eticlopride hydrochloride",-4.76,42.96,33.26,7.5
"S(-)-terguride hydrogen maleate",-5.79,22.48,2.35,-5.12
"S-(+)-ibuprofen",-36.05,12.85,-63.34,2.14
"Salbutamol",4.67,3.1,-8.89,5.68
"Salmeterol",1.62,-8.69,22.01,-9.1
"Salsolinol hydrobromide",0.19,25.06,-1.05,3.14
"Sanguinarine",NA,61.9,-128.89,NA
"Saquinavir mesylate",-10.35,37.89,25.93,-10.35
"Scopolamine hydrochloride",0.76,-14.79,11.43,1.46
"Scopolamin-N-oxide hydrobromide",1.14,-6.85,-0.38,-7.48
"Scopoletin",-2.32,-3.07,-21.37,-2.33
"Scoulerine",-4.83,21.45,18.84,2.32
"Securinine",2.58,5.01,0.73,2.44
"Selegiline hydrochloride",-0.84,-42.35,-49.56,9.94
"Seneciphylline",2.24,-5.57,-20.07,-2.61
"Serotonin hydrochloride",-9.14,21.61,-18.29,-7.78
"Sertaconazole nitrate",NA,NA,NA,NA
"Sertraline",98.47,81.61,88.26,98.48
"Simvastatin",-3.16,47.24,56.53,29.99
