"compound","cal","cne","sce","spo"
"cyproterone acetate_CF",76.2633333333333,80.01,96.52,100.91
"cyproterone acetate_Cyp",94.8566666666667,97.7766666666667,100.91,100.36
"cyproterone acetate_DMSO",99.1733333333333,100.69,100.3,98.87
"cyproterone acetate_FL",123.29,101.683333333333,97.75,99.92
"cyproterone acetate_TB",97.5566666666667,93.25,99.31,102.67
"cyproterone_AmpB",99.5,2.37,100.52,93.69
"cyproterone_Ben",99.09,101.76,117.71,102.34
"cyproterone_CF",71.18,103.14,100.32,98.99
"cyproterone_Cyp",98.79,77.99,99.23,89.13
"cyproterone_DMSO",98.08,99.7,99.78,99.71
"cyproterone_FL",105.24,97.55,103.73,100.36
"cyproterone_TB",98.24,98.36,95.66,100.77
"cystamine dihydrochloride_AmpB",101.415,98.885,102.09,99.78
"cystamine dihydrochloride_Ben",99.725,106.975,99.81,100.25
"cystamine dihydrochloride_CF",100.01,99.25,103.14,102.56
"cystamine dihydrochloride_Cyp",98.76,99.18,103.59,100.01
"cystamine dihydrochloride_DMSO",99.045,99.735,100.52,100.44
"cystamine dihydrochloride_FL",100.27,99.57,95.64,102.43
"cystamine dihydrochloride_TB",103.555,103.845,94.69,101.69
"cysteamine hydrochloride_AmpB",98.67,106.51,97.28,100.46
"cysteamine hydrochloride_Ben",97.155,102.64,96.03,99.26
"cysteamine hydrochloride_CF",99.48,100.33,98.93,99.47
"cysteamine hydrochloride_Cyp",102.09,88.68,99.97,99.31
"cysteamine hydrochloride_DMSO",101.625,102.965,100.8,98.24
"cysteamine hydrochloride_FL",95.515,105.41,95.11,99.63
"cysteamine hydrochloride_TB",97.515,93.565,92.62,98.92
"cytarabine_AmpB",102.92,102.66,102.28,103.75
"cytarabine_Ben",102.38,100.54,103.29,104.28
"cytarabine_CF",102.56,103.95,100.24,104.62
"cytarabine_Cyp",102.56,102.34,98.99,104.02
"cytarabine_DMSO",106.1,91.43,100.17,104.61
"cytarabine_FL",99.75,109.55,102.32,100.21
"cytarabine_TB",103.02,105.33,105.67,97.17
"cytidine_AmpB",99.67,97.99,97.44,100.93
"cytidine_Ben",100.64,103.12,94.76,100.81
"cytidine_CF",99.11,99.21,93.89,100.31
"cytidine_Cyp",98.7,109.52,98.22,104.11
"cytidine_DMSO",100.43,98.2,100.81,98.53
"cytidine_FL",89.76,110.45,98.76,97.81
"cytidine_TB",102.88,105.6,103.11,102.94
"cytisine (-)_AmpB",100,96.54,101.89,98.48
"cytisine (-)_Ben",111.08,97.87,100.12,99.65
"cytisine (-)_CF",98.99,99.1,98.28,98.94
"cytisine (-)_Cyp",99.07,101.3,100.37,103.01
"cytisine (-)_DMSO",101.82,101.78,101,100.09
"cytisine (-)_FL",54.57,105.6,99.32,99.36
"cytisine (-)_TB",90.39,98.85,-1.8,98.72
"cytochalasin b_AmpB",100.72,108.42,111.59,103.21
"cytochalasin b_Ben",104.47,100.74,100.35,105.51
"cytochalasin b_CF",103.09,102.74,102.1,99.75
"cytochalasin b_Cyp",102.01,77.68,99.78,101.29
"cytochalasin b_DMSO",100.04,102.2,102.19,101.66
"cytochalasin b_FL",62.18,101.07,98.32,96.89
"cytochalasin b_TB",104.07,105.77,101.03,96.14
"cytochalasin d_AmpB",103.87,102.07,98.41,96.32
"cytochalasin d_Ben",103.07,100.46,95.33,96.35
"cytochalasin d_CF",99.12,101.46,95.92,98.86
"cytochalasin d_Cyp",99.79,99.5,99.49,94.72
"cytochalasin d_DMSO",101.42,93.14,96.4,97.09
"cytochalasin d_FL",106.18,106.27,95.79,95.14
"cytochalasin d_TB",101.26,101.38,-1.82,96.21
"cytochalasin e_AmpB",104.75,99.27,97.33,100.25
"cytochalasin e_Ben",104.54,96.75,103.68,96.26
"cytochalasin e_CF",99.82,99.93,105.91,98.75
"cytochalasin e_Cyp",100.05,111.35,101.85,97.01
"cytochalasin e_DMSO",104.29,105.77,101.3,98.08
"cytochalasin e_FL",81.28,112.6,94.09,94.49
"cytochalasin e_TB",99.85,105.07,99.25,96.88
"cytosine-1-beta-d-arabinofuranoside hydrochloride_AmpB",104.38,104.98,97.9,100.09
"cytosine-1-beta-d-arabinofuranoside hydrochloride_Ben",100.77,99.98,99.61,99.07
"cytosine-1-beta-d-arabinofuranoside hydrochloride_CF",100.5,102.51,98.47,99.93
"cytosine-1-beta-d-arabinofuranoside hydrochloride_Cyp",104,86.99,103.08,100.14
"cytosine-1-beta-d-arabinofuranoside hydrochloride_DMSO",102.2,103.38,102.39,101.65
"cytosine-1-beta-d-arabinofuranoside hydrochloride_FL",95.18,102.98,100.53,101.82
"cytosine-1-beta-d-arabinofuranoside hydrochloride_TB",103.55,99.72,106.45,100.26
"d-609 potassium_AmpB",98.835,101.295,104.41,99.92
"d-609 potassium_Ben",103.285,96.11,106.57,100.84
"d-609 potassium_CF",104.145,101.595,100.62,101.5
"d-609 potassium_Cyp",102.18,87.515,101.21,102.27
"d-609 potassium_DMSO",100,101.41,99.15,98.64
"d-609 potassium_FL",104.16,106.71,105.21,102.45
"d-609 potassium_TB",102.625,105.71,103.93,98.63
"d-cycloserine_AmpB",100.215,100.165,102.79,100.56
"d-cycloserine_Ben",107.685,103.94,102.06,99.49
"d-cycloserine_CF",97.245,100.075,104.86,102.78
"d-cycloserine_Cyp",99.785,91.73,100.42,98.35
"d-cycloserine_DMSO",102.975,103.41,96.48,100.98
"d-cycloserine_FL",95.26,105,99.89,100.29
"d-cycloserine_TB",99.41,110.92,101.21,98.84
"d-phenylalanine_AmpB",106.47,102.3,99.63,101.65
"d-phenylalanine_Ben",98.27,102.25,92.25,100.04
"d-phenylalanine_CF",100.27,99.22,100.39,101.65
"d-phenylalanine_Cyp",95.59,99.95,96.22,100.03
"d-phenylalanine_DMSO",97.47,99.74,100.86,98.19
"d-phenylalanine_FL",92.05,99.35,100.92,99.51
"d-phenylalanine_TB",99.76,79.95,101.77,99.31
"d-ribofuranosylbenzimidazole_AmpB",99.86,99.96,100.03,99.75
"d-ribofuranosylbenzimidazole_Ben",104.11,101.46,94.4,98.67
"d-ribofuranosylbenzimidazole_CF",101.88,98.25,100.03,97.01
"d-ribofuranosylbenzimidazole_Cyp",99.18,92.38,102.94,100.74
"d-ribofuranosylbenzimidazole_DMSO",105.55,106.76,97.33,101.08
"d-ribofuranosylbenzimidazole_FL",102.78,111.27,102.33,98.44
"d-ribofuranosylbenzimidazole_TB",102.3,107.74,97.93,98.85
"d-serine_AmpB",102.76,102.5,107.83,100.27
"d-serine_Ben",102.05,104.78,97.71,100.06
"d-serine_CF",103.52,101.99,98.84,100.72
"d-serine_Cyp",99.69,101.5,97.9,101.88
"d-serine_DMSO",99.62,100.2,102.2,99.91
"d-serine_FL",101.59,93.79,100.08,100.63
"d-serine_TB",101.56,102.94,104.37,104.14
"d(-)-2-amino-7-phosphonoheptanoic acid_AmpB",100.11,106.08,105.14,99.63
"d(-)-2-amino-7-phosphonoheptanoic acid_Ben",100.55,103.01,97.19,100.17
"d(-)-2-amino-7-phosphonoheptanoic acid_CF",99.92,97.37,95.99,95.69
"d(-)-2-amino-7-phosphonoheptanoic acid_Cyp",97.31,100.06,97.18,98
"d(-)-2-amino-7-phosphonoheptanoic acid_DMSO",95.15,95.21,98.13,98.51
"d(-)-2-amino-7-phosphonoheptanoic acid_FL",106.54,103.49,102.77,98.91
"d(-)-2-amino-7-phosphonoheptanoic acid_TB",97.53,97.3,94.36,98.58
"dacarbazine_AmpB",102.845,94.865,102.56,98.33
"dacarbazine_Ben",99.93,88.05,101.06,99.24
"dacarbazine_CF",99.445,100.08,100.98,101.89
"dacarbazine_Cyp",99.885,98.345,99.45,99.45
"dacarbazine_DMSO",101.97,101.845,99.44,99.75
"dacarbazine_FL",107.06,105.245,95.36,100.37
"dacarbazine_TB",102.18,98.095,101.15,99.89
"dactinomycin_AmpB",-1.32,2.37,90.17,-1.69
"dactinomycin_Ben",99.4,102.95,55.86,-2.38
"dactinomycin_CF",0.05,65.76,83.67,-2.34
"dactinomycin_Cyp",102.48,115.38,0.16,-1.04
"dactinomycin_DMSO",100.53,100.47,84.29,-3.02
"dactinomycin_FL",97.6,91.92,104.97,-3.28
"dactinomycin_TB",100.83,99.44,36.29,-2.29
"daidzein_AmpB",101.43,98.9766666666667,101.34,102.48
"daidzein_Ben",105.42,110.19,105.47,100.73
"daidzein_CF",99.38,111.153333333333,106.39,104.13
"daidzein_Cyp",103.016666666667,102,101.9,99.89
"daidzein_DMSO",100.833333333333,102.623333333333,102.08,100.17
"daidzein_FL",106.93,107.896666666667,100.53,101.09
"daidzein_TB",101.356666666667,107.653333333333,105.68,101.06
"daidzin_AmpB",103.55,107.68,108.28,99.87
"daidzin_Ben",101.17,101.78,101.18,102.69
"daidzin_CF",99.27,100.04,103.17,102.05
"daidzin_Cyp",100.48,84.32,99.4,101.12
"daidzin_DMSO",101.8,103.24,100.5,100.71
"daidzin_FL",97.02,105.32,94.33,98.54
"daidzin_TB",100.56,109.12,99.6,100.55
"danazol_AmpB",70.6133333333333,33.9366666666667,102.42,99.95
"danazol_Ben",92.3733333333333,97.0233333333333,99.02,97.84
"danazol_CF",40.7233333333333,96.8466666666667,100.25,94.4
"danazol_Cyp",95.7833333333333,85.37,95.63,96.71
"danazol_DMSO",95.5066666666667,96.9366666666667,98.9,90.97
"danazol_FL",107.59,99.71,94.26,76.67
"danazol_TB",95.68,92.1933333333333,93.37,103
"dantrolene sodium salt_AmpB",98.72,106.08,100.51,101.74
"dantrolene sodium salt_Ben",103.72,105.34,101.29,100.28
"dantrolene sodium salt_CF",102.21,97.96,101.37,101.25
"dantrolene sodium salt_Cyp",98.82,74.3,101.45,101.23
"dantrolene sodium salt_DMSO",100.61,100.46,100.82,102.02
"dantrolene sodium salt_FL",97.63,103.1,99.41,100.05
"dantrolene sodium salt_TB",103.56,99.02,100.05,100.54
"dantrolene sodium_AmpB",99.165,55.265,95.9,101.04
"dantrolene sodium_Ben",104.72,101.465,98.92,100.04
"dantrolene sodium_CF",99.28,98.545,100.01,102.37
"dantrolene sodium_Cyp",96.585,89.39,97.99,100.3
"dantrolene sodium_DMSO",100.06,102.53,104.06,99.9
"dantrolene sodium_FL",99.415,102.56,96.58,100.06
"dantrolene sodium_TB",100.365,102.91,100.59,99.33
"daphnetin_AmpB",99.92,103.605,100.25,99.5
"daphnetin_Ben",99.045,105.79,100.39,100.63
"daphnetin_CF",100.765,106.88,105.78,102.4
"daphnetin_Cyp",101.02,98.305,102.13,100.49
"daphnetin_DMSO",102.53,93.045,92.82,100
"daphnetin_FL",101.275,104.195,98.62,97.28
"daphnetin_TB",105.295,103.63,103.36,102.63
"dapsone_AmpB",103.035,104.31,100.75,99.73
"dapsone_Ben",97.335,93.96,100.27,98.09
"dapsone_CF",100.13,102.16,101.14,102.25
"dapsone_Cyp",101.96,105.275,96.19,99.57
"dapsone_DMSO",103.09,103.025,104.41,99.12
"dapsone_FL",103.245,97.78,101.21,102.42
"dapsone_TB",102.945,99.6,101.51,100.43
"datiscetin_AmpB",93.37,101.61,100,97.97
"datiscetin_Ben",99.46,101.01,99.13,97.13
"datiscetin_CF",96.99,93.93,100.28,98.13
"datiscetin_Cyp",92.38,97.26,98.17,96.24
"datiscetin_DMSO",96.67,98.03,95.11,97.2
"datiscetin_FL",111.99,115.2,95.52,99.04
"datiscetin_TB",99.75,94.34,100.79,97.14
"daunorubicin hydrochloride_AmpB",79.07,83.02,100.42,100.7
"daunorubicin hydrochloride_Ben",94.65,103.29,92.82,101.43
"daunorubicin hydrochloride_CF",0.19,109.43,47.87,100.25
"daunorubicin hydrochloride_Cyp",96.87,103.68,100.22,99.92
"daunorubicin hydrochloride_DMSO",92.74,92.71,98.61,99.7
"daunorubicin hydrochloride_FL",115.32,89.57,100.29,101.76
"daunorubicin hydrochloride_TB",99.47,99.75,101.33,101.23
"dbo-83_AmpB",103.15,98.41,94.2,100.56
"dbo-83_Ben",98.76,96.79,100.61,100.58
"dbo-83_CF",100.1,100.82,101.02,99.83
"dbo-83_Cyp",101.98,67.5,104.53,100.25
"dbo-83_DMSO",101.79,101.5,101.56,101.32
"dbo-83_FL",109.52,98.6,99.43,98.43
"dbo-83_TB",103.26,101.37,99.69,99.77
"dcebio_AmpB",97.28,109.21,99.75,101.68
"dcebio_Ben",99.05,102.02,102.18,99.09
"dcebio_CF",98.66,96.82,98.78,100.61
"dcebio_Cyp",97.21,54.69,99.64,100.55
"dcebio_DMSO",98.76,78.52,101.79,99.66
"dcebio_FL",81.79,101.54,103.52,97.67
"dcebio_TB",99.5,101.18,106.94,100.62
"deacetoxy-7-oxogedunin_AmpB",108.32,99.62,101.63,103.7
"deacetoxy-7-oxogedunin_Ben",103.18,78.02,99.6,100.03
"deacetoxy-7-oxogedunin_CF",103.29,105.46,88.52,99.95
"deacetoxy-7-oxogedunin_Cyp",98.08,95.34,95.8,100.55
"deacetoxy-7-oxogedunin_DMSO",101.15,107.06,104.47,100.42
"deacetoxy-7-oxogedunin_FL",98.18,107.08,101.21,99.84
"deacetoxy-7-oxogedunin_TB",100.77,104.03,104.7,100.8
"deacetylcolchicine, n-formyl-_AmpB",-4.23,-0.08,102.33,98.07
"deacetylcolchicine, n-formyl-_Ben",101.27,101.26,103.89,100.41
"deacetylcolchicine, n-formyl-_CF",11.27,57.88,102.71,101.12
"deacetylcolchicine, n-formyl-_Cyp",99.06,98.53,100.84,98.39
"deacetylcolchicine, n-formyl-_DMSO",99.29,100.69,98.88,100.35
"deacetylcolchicine, n-formyl-_FL",100.69,103.51,99.28,99.62
"deacetylcolchicine, n-formyl-_TB",102.1,97.53,97.46,104.13
"deacetylgedunin_AmpB",110.63,102.58,91.32,85.32
"deacetylgedunin_Ben",98.37,100.12,97.13,93.82
"deacetylgedunin_CF",103.09,106.27,2.9,18.47
"deacetylgedunin_Cyp",100.55,108.46,101.06,81.33
"deacetylgedunin_DMSO",102,103.56,100.64,97.21
"deacetylgedunin_FL",99.51,84.67,98.27,101.61
"deacetylgedunin_TB",102.34,104.02,100.03,98.57
"debrisoquin sulfate_AmpB",100.555,100.61,99.92,101.085
"debrisoquin sulfate_Ben",104.125,96.45,99.99,99.79
"debrisoquin sulfate_CF",98.86,102.27,98.93,100.26
"debrisoquin sulfate_Cyp",102.66,101.255,100.615,98.275
"debrisoquin sulfate_DMSO",102.575,102.6,99.165,101
"debrisoquin sulfate_FL",97.23,98.18,101.525,99.11
"debrisoquin sulfate_TB",99.945,100.475,98.61,99.785
"decahydrogambogic acid_AmpB",-1.06,2.75,92.86,101.79
"decahydrogambogic acid_Ben",97.12,99.36,102.86,94.28
"decahydrogambogic acid_CF",61.44,63.08,107.79,103.3
"decahydrogambogic acid_Cyp",99.54,77.83,101.91,99.94
"decahydrogambogic acid_DMSO",102.13,103.69,101.35,104.46
"decahydrogambogic acid_FL",91.85,83.76,100.48,98.45
"decahydrogambogic acid_TB",103.32,100.37,91.03,102.59
"decamethonium bromide_AmpB",100.65,106.47,97.84,99.86
"decamethonium bromide_Ben",99.49,100.415,99.67,98.45
"decamethonium bromide_CF",101,98.11,103.22,101.61
"decamethonium bromide_Cyp",97.335,100.455,99.16,100.88
"decamethonium bromide_DMSO",98.675,97.61,96.57,100.42
"decamethonium bromide_FL",98.295,92.555,94.71,99.73
"decamethonium bromide_TB",97.245,84.13,102.23,99.27
"decoyinine_AmpB",106.23,106.09,97.47,106.65
"decoyinine_Ben",102.91,101.14,97.46,102.36
"decoyinine_CF",99.45,100.79,95.43,99.36
"decoyinine_Cyp",99.51,90.62,101.32,102.4
"decoyinine_DMSO",97.96,100.08,99.97,102.17
"decoyinine_FL",84.75,100.03,99.08,103.18
"decoyinine_TB",101.4,104.18,100.06,101.55
"deferoxamine mesylate_AmpB",99.22,97.945,103.25,100.14
"deferoxamine mesylate_Ben",97.99,99.525,97.94,98.85
"deferoxamine mesylate_CF",98.455,97.78,100.63,99.53
"deferoxamine mesylate_Cyp",99.835,94.705,100.75,101.31
"deferoxamine mesylate_DMSO",100.92,100.315,100.66,100.44
"deferoxamine mesylate_FL",86.835,81.5,94.35,98.59
"deferoxamine mesylate_TB",99.92,104.41,103.34,97.02
"deguelin_AmpB",-0.85,-2.26,102.67,99.6
"deguelin_Ben",91.28,-0.49,101.54,99.31
"deguelin_CF",0.42,-0.88,81.08,99.2
"deguelin_Cyp",98.61,-0.19,98.89,99.36
"deguelin_DMSO",95.03,11.75,96.18,96.63
"deguelin_FL",141.46,-6.56,109.84,90.22
"deguelin_TB",96.01,0.07,102.58,98.94
"dehydro (11,12)ursolic acid lactone_AmpB",93.9,87.42,95.6,97.6
"dehydro (11,12)ursolic acid lactone_Ben",99.06,101.24,109.57,101.07
"dehydro (11,12)ursolic acid lactone_CF",12.44,116.84,57.63,97.37
"dehydro (11,12)ursolic acid lactone_Cyp",99.83,104.22,92.13,97.37
"dehydro (11,12)ursolic acid lactone_DMSO",93.25,93.69,96.19,104.13
"dehydro (11,12)ursolic acid lactone_FL",100.11,115.35,94.7,93.73
"dehydro (11,12)ursolic acid lactone_TB",104.71,99.8,86.34,98.74
"dehydroabietamide_AmpB",100.93,111.5,97.75,95.3
"dehydroabietamide_Ben",92.92,98.57,99.67,46.59
"dehydroabietamide_CF",90.17,97.54,86.34,35.54
"dehydroabietamide_Cyp",96.46,92.11,96.68,19.71
"dehydroabietamide_DMSO",95.41,95.5,96.28,68.36
"dehydroabietamide_FL",102.9,51.06,96.07,84.98
"dehydroabietamide_TB",92.83,95.05,95.96,91.69
"dehydrocholic acid_AmpB",102.11,98.135,101.06,103.5
"dehydrocholic acid_Ben",97.79,98.045,97.79,99.85
"dehydrocholic acid_CF",103.76,101.075,100.07,100.15
"dehydrocholic acid_Cyp",101.14,89.965,99.68,99.92
"dehydrocholic acid_DMSO",99.77,97.075,102.14,99.79
"dehydrocholic acid_FL",102.56,95.495,102.76,100.03
"dehydrocholic acid_TB",102.2,96.84,104.42,99.13
"dehydroisoandosterone 3-acetate_AmpB",97.44,96.19,103.56,100.28
"dehydroisoandosterone 3-acetate_Ben",101.23,100.57,100.69,101.11
"dehydroisoandosterone 3-acetate_CF",92.82,97,100.29,98.8
"dehydroisoandosterone 3-acetate_Cyp",96.88,106.44,102,100.83
"dehydroisoandosterone 3-acetate_DMSO",96.8,93.27,107.24,99.78
"dehydroisoandosterone 3-acetate_FL",128.03,100.03,103.17,104.56
"dehydroisoandosterone 3-acetate_TB",99.33,25.38,103.49,99.88
"dehydrokawain, 5,6-_AmpB",95.89,96.75,100,97.93
"dehydrokawain, 5,6-_Ben",95.32,72.62,100.81,99.5
"dehydrokawain, 5,6-_CF",95.24,95.72,89.17,94.32
"dehydrokawain, 5,6-_Cyp",96.74,106.49,101.83,99.38
"dehydrokawain, 5,6-_DMSO",101.5,99.73,98.62,98.05
"dehydrokawain, 5,6-_FL",103.15,118.33,103.83,61.02
"dehydrokawain, 5,6-_TB",94.75,92.31,101.4,98.36
"dehydrorotenone_AmpB",102.51,107.41,100.35,102.72
"dehydrorotenone_Ben",95.7,102.21,112.59,103.66
"dehydrorotenone_CF",106.08,113.36,101.38,100
"dehydrorotenone_Cyp",102.29,77.05,100.37,101.52
"dehydrorotenone_DMSO",100.13,79.87,102.52,102.48
"dehydrorotenone_FL",97.03,89.59,99.68,99.89
"dehydrorotenone_TB",101.09,97.84,101.73,101.6
"dehydrovariabilin_AmpB",89.77,86.73,103.15,101.31
"dehydrovariabilin_Ben",91.04,95.21,99.03,100
"dehydrovariabilin_CF",94.53,94.4,106.99,98.75
"dehydrovariabilin_Cyp",92.72,96.05,106.96,99.67
"dehydrovariabilin_DMSO",86.61,100.36,99.97,96.51
"dehydrovariabilin_FL",94.56,90.86,99.87,101.26
"dehydrovariabilin_TB",88.01,97.53,101.33,103.42
"delcorine_AmpB",98.695,99.18,99.39,99.49
"delcorine_Ben",99.88,98.1,99.62,100.35
"delcorine_CF",99.32,98.94,97.95,100.27
"delcorine_Cyp",99.845,93.845,99.99,101.1
"delcorine_DMSO",96.45,96.465,102.28,99.71
"delcorine_FL",96.72,104.535,104.19,98.14
"delcorine_TB",99.485,92.35,96.93,99.55
"delsoline_AmpB",96.2,103.17,94.43,100.23
"delsoline_Ben",104.8,104.61,94.55,100.95
"delsoline_CF",101.26,96.27,96.39,100.97
"delsoline_Cyp",96.61,105.1,99.27,102.8
"delsoline_DMSO",101.73,86.78,103.54,100.29
"delsoline_FL",101.2,104.31,97.41,100.37
"delsoline_TB",104.26,104.15,94.21,100.77
"deltaline_AmpB",100.015,96.36,104.475,99.67
"deltaline_Ben",100.135,79.225,101.285,100.495
"deltaline_CF",98.845,102.075,101.4,100.845
"deltaline_Cyp",101.875,94.305,99.935,100.465
"deltaline_DMSO",101.82,93.9,98.595,100.33
"deltaline_FL",95.38,105.03,95.525,102.165
"deltaline_TB",97.02,83.4,98.495,101.93
"demecarium bromide_AmpB",101.45,101.01,100.01,99.62
"demecarium bromide_Ben",99.49,98.31,76.99,103.28
"demecarium bromide_CF",1.89,108.84,26.53,98.33
"demecarium bromide_Cyp",99.01,103.51,-1.36,100.18
"demecarium bromide_DMSO",101.95,101.91,96.77,98.37
"demecarium bromide_FL",83.28,116.07,99.75,100.48
"demecarium bromide_TB",102.81,103.49,98.43,99.84
"demeclocycline hydrochloride_AmpB",99.5666666666667,100.233333333333,100,99.77
"demeclocycline hydrochloride_Ben",97.38,99.7933333333333,100.96,100.52
"demeclocycline hydrochloride_CF",98.7933333333333,99.3766666666667,101.58,102.29
"demeclocycline hydrochloride_Cyp",99.3533333333333,101.573333333333,100.54,98.29
"demeclocycline hydrochloride_DMSO",101.12,100.903333333333,99.38,100.2
"demeclocycline hydrochloride_FL",107.74,98.74,100.86,101.89
"demeclocycline hydrochloride_TB",100.26,90.01,106.49,99.46
"demissidine_AmpB",95.18,100.33,100.06,104.38
"demissidine_Ben",98,96.06,99.08,98.63
"demissidine_CF",100.02,116.1,98.07,100.1
"demissidine_Cyp",101.64,96.94,97.87,99.26
"demissidine_DMSO",104.66,106.14,101.02,99.55
"demissidine_FL",97.76,67.24,98.91,98.31
"demissidine_TB",97.13,96,99.94,101.04
"denatonium benzoate_AmpB",101.28,100.625,98.65,100.72
"denatonium benzoate_Ben",97.81,114.455,93.87,100.1
"denatonium benzoate_CF",100.555,98.815,99.6,99.5
"denatonium benzoate_Cyp",98.025,103.745,97.59,102.02
"denatonium benzoate_DMSO",99.72,106.23,101.05,100.52
"denatonium benzoate_FL",109.495,100.575,99.82,100.31
"denatonium benzoate_TB",99.57,99.11,94.9,101.02
"deoxyadenosine_AmpB",101.47,98.23,99.83,102.15
"deoxyadenosine_Ben",100.08,103.85,103.91,111.92
"deoxyadenosine_CF",100.57,106.16,106.57,99.32
"deoxyadenosine_Cyp",102.97,102.76,105.46,121
"deoxyadenosine_DMSO",96.01,100.98,104.12,99.62
"deoxyadenosine_FL",100.81,99.07,101.01,100.39
"deoxyadenosine_TB",103.76,103.94,100.81,103.09
"deoxyandirobin lactone_AmpB",99.5,102.45,94.03,100.76
"deoxyandirobin lactone_Ben",102.57,92.49,102.23,100.08
"deoxyandirobin lactone_CF",104.53,99.86,105.48,103.59
"deoxyandirobin lactone_Cyp",102.19,74.32,100.18,100.78
"deoxyandirobin lactone_DMSO",104.82,96.82,98.99,99.2
"deoxyandirobin lactone_FL",100.06,107.33,100.26,99.41
"deoxyandirobin lactone_TB",104.29,102.73,-3.14,96.19
"deoxycholic acid_AmpB",102.01,100.6,103.57,56.73
"deoxycholic acid_Ben",104.8,104.74,109.75,96.21
"deoxycholic acid_CF",95.67,103.57,107.14,98.41
"deoxycholic acid_Cyp",101.4,86.53,104.33,98.83
"deoxycholic acid_DMSO",96.37,98.31,106.4,99.48
"deoxycholic acid_FL",101.1,102.37,98.05,98.53
"deoxycholic acid_TB",101.09,103.65,108.41,99.06
"deoxycorticosterone_AmpB",94.2,102.36,99.3,97.87
"deoxycorticosterone_Ben",102.05,116.9,99.26,99.42
"deoxycorticosterone_CF",100.18,95.63,94.42,95.1
"deoxycorticosterone_Cyp",98.48,100.25,98.22,100.79
"deoxycorticosterone_DMSO",99.39,93.13,99.79,99.27
"deoxycorticosterone_FL",123.5,97.87,101.45,93.77
"deoxycorticosterone_TB",96.7,106.68,100.55,99.31
"deoxykhivorin_AmpB",21.26,1.17,99.23,99.77
"deoxykhivorin_Ben",98.96,101.26,93.41,99.32
"deoxykhivorin_CF",10.02,61.71,83.35,105.38
"deoxykhivorin_Cyp",97.55,108.1,99.34,100.77
"deoxykhivorin_DMSO",100.91,86.91,100.68,98.71
"deoxykhivorin_FL",102.54,102.49,97.98,101.03
"deoxykhivorin_TB",96.08,97.09,96.57,100.34
"deoxyphorbol 13-acetate, 12-_AmpB",98.35,100.91,104.45,100.7
"deoxyphorbol 13-acetate, 12-_Ben",99.46,120.39,103.78,101.59
"deoxyphorbol 13-acetate, 12-_CF",99.4,99.52,105.53,102.02
"deoxyphorbol 13-acetate, 12-_Cyp",97.68,106.62,100.37,99.7
"deoxyphorbol 13-acetate, 12-_DMSO",96.68,98.77,99.85,100.52
"deoxyphorbol 13-acetate, 12-_FL",90.27,98.16,110.82,101.62
"deoxyphorbol 13-acetate, 12-_TB",96.82,97.83,99.48,100.42
"deoxyphorbol 13-phenylacetate 20-acetate, 12-_AmpB",97.13,82.79,98.68,100.31
"deoxyphorbol 13-phenylacetate 20-acetate, 12-_Ben",101.93,106.91,104.28,101.34
"deoxyphorbol 13-phenylacetate 20-acetate, 12-_CF",66.31,97.74,108.6,103.35
"deoxyphorbol 13-phenylacetate 20-acetate, 12-_Cyp",97.93,100.62,100.12,99.1
"deoxyphorbol 13-phenylacetate 20-acetate, 12-_DMSO",100.05,102.21,104.98,103.06
"deoxyphorbol 13-phenylacetate 20-acetate, 12-_FL",61.92,99.47,99.72,102.16
"deoxyphorbol 13-phenylacetate 20-acetate, 12-_TB",100.7,99.64,100.92,102.27
"deoxysappanone b trimethyl ether_AmpB",93.72,96.81,76.45,-1.91
"deoxysappanone b trimethyl ether_Ben",94.22,92.53,99.45,102.5
"deoxysappanone b trimethyl ether_CF",95.36,94.03,106.65,100.03
"deoxysappanone b trimethyl ether_Cyp",94.82,77.55,97.37,97.47
"deoxysappanone b trimethyl ether_DMSO",83.64,85.32,97.97,101.59
"deoxysappanone b trimethyl ether_FL",95.53,93.28,103.76,100.08
"deoxysappanone b trimethyl ether_TB",81.84,78.13,96,104.2
"dephostatin_AmpB",96.48,78.69,107.95,101.43
"dephostatin_Ben",100.81,102.95,101.27,104.46
"dephostatin_CF",100.3,99.61,102.41,101.16
"dephostatin_Cyp",103.83,98.88,99.84,100.25
"dephostatin_DMSO",100.35,97.76,105.11,99.12
"dephostatin_FL",110.95,107.55,103,100.84
"dephostatin_TB",102.96,126.58,104.6,99.53
"deptropine citrate_AmpB",101.86,95.48,99.17,99.83
"deptropine citrate_Ben",106.18,104.75,102.73,98.9
"deptropine citrate_CF",74.47,101.14,101.33,100
"deptropine citrate_Cyp",100.84,106.33,100.61,100.43
"deptropine citrate_DMSO",100.66,99.77,100,100.37
"deptropine citrate_FL",91.59,93.34,98.73,102.72
"deptropine citrate_TB",106.51,81.5,101.83,101.7
"dequalinium dichloride_AmpB",-1.92,2.46,-0.95,-0.72
"dequalinium dichloride_Ben",-0.11,0.15,-1.42,-1.23
"dequalinium dichloride_CF",0.64,0.03,-1.19,-3.06
"dequalinium dichloride_Cyp",0.16,17,-1.12,-1.34
"dequalinium dichloride_DMSO",-6.01,1.74,-2.07,-0.84
"dequalinium dichloride_FL",-6.62,0.78,-1.68,-2.13
"dequalinium dichloride_TB",0.83,1.23,-2.71,-2.88
"deracoxib_AmpB",102.03,4.25,102.4,102.26
"deracoxib_Ben",97.93,97.38,104.62,100.05
