"compound","cid"
"Amitryptiline hydrochloride",11065
"AMLODIPINE BESYLATE",60496
"Ammonium pyrrolidinedithiocarbamate",517348
"AMN082",11698390
"Amodiaquin dihydrochloride dihydrate",64646
"AMODIAQUINE DIHYDROCHLORIDE",NA
"Amoxapine",2170
"AMOXAPINE",2170
"Amoxicillin",33613
"AMOXICILLIN",33613
"Amperozide hydrochloride",73334
"Amphotericin B",5280965
"AMPHOTERICIN B",5280965
"AMPICILLIN SODIUM",23663979
"Ampicillin trihydrate",23565
"AMPROLIUM",73341
"Amprolium hydrochloride",8732
"Ampyrone",2151
"Amrinone",3698
"AMRINONE",3698
"AMSACRINE",2179
"Amsacrine hydrochloride",148673
"AMYGDALIN",656516
"Amyleine hydrochloride",10766
"ANABASAMINE HYDROCHLORIDE",438950
"Anabasine",2181
"Anabasine HCl",167266
"ANABASINE HYDROCHLORIDE",167266
"ANAGRELIDE HYDROCHLORIDE",135413494
"Ancitabine hydrochloride",25050
"ANCITABINE HYDROCHLORIDE",25050
"Andrographolide",5318517
"Andrographolide, dehydro-",NA
"ANDROSTA-1,4-DIEN-3,17-DIONE",13472
"Androsterone",5879
"ANDROSTERONE",5879
"ANETHOLE",637563
"ANGOLENSIN (R)",821428
"ANHYDROGLUCOSE",2724705
"Aniracetam",2196
"ANISINDIONE",2197
"ANISODAMINE",183088
"Anisomycin",253602
"ANISOMYCIN",253602
"Antazoline hydrochloride",17275
"ANTAZOLINE PHOSPHATE",158798
"ANTHRALIN",2202
"ANTHRAQUINONE",6780
"Antibiotic A-23187",11957499
"Antimycin A",14957
"ANTIMYCIN A (A1 shown)",5702199
"Antimycin A1",12550
"Antipyrine",2206
"ANTIPYRINE",2206
"Antipyrine, 4-hydroxy",98889
"Antozoline hydrochloride",11957448
"APHYLLIC ACID",6710683
"Apigenin",5280443
"APIGENIN DIMETHYL ETHER",5281601
"Apigenin-7-O-glucoside",5280704
"APIIN",5280746
"APIOLE",10659
"APOMORPHINE HYDROCHLORIDE",9410
"Apomorphine hydrochloride hemihydrate",107882
"APOTOXICAROL",6150640
"Apramycin",3081545
"APRAMYCIN",3081545
"ARABITOL(D)",827
"Arbutin",440936
"ARBUTIN",440936
"Arcaine sulfate",119020
"ARCAINE SULFATE",119020
"Arecaidine propargyl ester hydrobromide",189406
"Arecoline HBr",9301
"Arecoline hydrobromide",9301
"ARECOLINE HYDROBROMIDE",9301
"ARIPIPRAZOLE",60795
"ARISTOLOCHIC ACID",2236
"Aristolochic acid A",2236
"ARL 67156 trisodium salt",11957464
"ARSANILIC ACID",7389
"ARSENIC TRIOXIDE",NA
"Artemisinin",68827
"ARTEMISININ",68827
"ARTENIMOL",11358077
"Artesunate",6917864
"ARTHONIOIC ACID",6710684
"Articaine hydrochloride",32169
"ASARININ (-)",101612
"Asarinin, (-)-",NA
"ASARYLALDEHYDE",20525
"Ascorbic acid",54670067
"ASCORBIC ACID",54670067
"ASCORBYL PALMITATE",54680660
"Asiatic acid",119034
"ASIATIC ACID",119034
"Asiaticoside",11954171
"ASPARTAME",134601
"Aspartic acid, N-acetyl (R,S)",97508
"ASPIRIN",2244
"Astaxanthin",5281224
"Astemizole",2247
"ASTEMIZOLE",2247
"ASTRAGALOSIDE IV",13943297
"ATENOLOL",2249
"ATOMOXETINE HYDROCHLORIDE",54840
"ATORVASTATIN CALCIUM",60822
"Atovaquone",74989
"ATOVAQUONE",74989
"ATPA",2253
"ATPO",4615193
"Atractyloside potassium salt",12299879
"Atracurium besylate",47320
"ATRANORIN",68066
"ATRAZINE",2256
"Atropine methyl bromide",17882
"Atropine methyl nitrate",5860
"Atropine sulfate",60196398
"ATROPINE SULFATE",60196398
"Atropine sulfate monohydrate",656678
"Aucubin",91458
"AURANOFIN",24199313
"Auraptene",1550607
"AURAPTENE",1550607
"AURIN TRICARBOXYLIC ACID",2259
"Aurintricarboxylic acid",2259
"Aurothioglucose",454937
"AUROTHIOGLUCOSE",454937
"Australine HCl",24721273
"Austricin",6713966
"Austricine hydrate",25102721
"Avermectin B1",NA
"AVOBENZONE",51040
"AVOCADANOFURAN",6857795
"AVOCADENOFURAN",6857792
"AVOCADYNE",3015189
"AVOCADYNE ACETATE",3952079
"AZACITIDINE",9444
"Azacyclonol",15723
"Azacytidine-5",6420049
"AZADIRACHTIN",5281303
"Azaguanine-8",135403646
"Azaperone",15443
"AZAPERONE",15443
"Azapropazone",26098
"AZASERINE",460129
"Azathioprine",2265
"AZATHIOPRINE",2265
"Azathymine, 6",70269
"Azelaic acid",2266
"AZELAIC ACID",2266
"AZELASTINE HYDROCHLORIDE",54360
"AZINPHOS METHYL",2268
"AZITHROMYCIN",447043
"AZLOCILLIN SODIUM",23685176
"Azlocillin sodium salt",23685176
"AZOBENZENE",2272
"Azomycin",10701
"Aztreonam",5742832
"Bacampicillin hydrochloride",441398
"BACAMPICILLIN HYDROCHLORIDE",441398
"Baccatin III",65366
"BACCATIN III",65366
"Bacitracin",NA
"BACITRACIN",NA
"BACLOFEN",2284
"Baclofen (R,S)",2284
"BAEOMYCESIC ACID",5321461
"Baicalein",5281605
"BAICALEIN",5281605
"Balsalazide Sodium",135413496
"Bambuterol hydrochloride",54765
"BAMBUTEROL HYDROCHLORIDE",54765
"BATYL ALCOHOL",3681
"Bavachinin A",10337211
"Bay 11-7082",5353431
"Bay 11-7085",5353432
"Beclomethasone",20469
"Beclomethasone dipropionate",21700
"BECLOMETHASONE DIPROPIONATE",21700
"BEKANAMYCIN SULFATE",636396
"Bemegride",2310
"BENAZEPRIL HYDROCHLORIDE",5362123
"Benazoline oxalate",11957476
"Bendroflumethiazide",2315
"BENDROFLUMETHIAZIDE",2315
"Benfluorex hydrochloride",198015
"BENFLUOREX HYDROCHLORIDE",198015
"BENFLURALIN",2319
"Benfotiamine",3032771
"Benoxathian hydrochloride",10386130
"Benoxinate hydrochloride",6420040
"Benperidol",16363
"Benserazide hydrochloride",26964
"BENSERAZIDE HYDROCHLORIDE",26964
"BENTAZON",2328
"BENURESTAT",38000
"BENZALKONIUM CHLORIDE",NA
"Benzamide",2331
"Benzamidine hydrochloride",80289
"Benzamil hydrochloride",5702295
"Benzathine benzylpenicillin",15232
"Benzbromarone",2333
"BENZBROMARONE",2333
"Benzethonium chloride",8478
"BENZETHONIUM CHLORIDE",8478
"BENZO[a]PYRENE",2336
"Benzocaine",2337
"BENZOCAINE",2337
"BENZOIC ACID",243
"Benzonatate",7699
"BENZOXYQUINE",6855
"BENZOYL PEROXIDE",7187
"BENZOYLPAS",10718
"Benzthiazide",2343
"BENZTHIAZIDE",2343
"Benztropine mesylate",238053
"Benzydamine hydrochloride",65464
"BENZYDAMINE HYDROCHLORIDE",65464
"BENZYL BENZOATE",2345
"BENZYL ISOTHIOCYANATE",2346
"Benzylpenicillin sodium",23668834
"Bephenium hydroxynaphthoate",54678490
"BEPHENIUM HYDROXYNAPTHOATE",NA
"Bepridil hydrochloride",50088
"BEPRIDIL HYDROCHLORIDE",50088
"Berbamine 2HCl",124081055
"BERBAMINE HYDROCHLORIDE",56845155
"Berberine chloride",12456
"BERBERINE CHLORIDE",12456
"Berberine HCl",12456
"Bergapten",2355
"BERGAPTEN",2355
"BERGAPTOL",5280371
"Bergenin",66065
"BERGENIN",66065
"Bergenin monohydrate",201412
"Bestatin hydrochloride",11957481
"beta- Belladonnine dichloroethylate",6419906
"beta-AMYRIN",73145
"beta-CAROTENE",5280489
"beta-CARYOPHYLLENE ALCOHOL",61125
"beta-Chloro-L-alanine hydrochloride",11957493
"beta-DIHYDROGEDUNOL",40469671
"Beta-Escin",16211024
"beta-ESCIN",16211024
"beta-Estradiol",5757
"BETAHISTINE HYDROCHLORIDE",68643
"Betahistine mesylate",198334
"Betaine aldehyde chloride",2735510
"Betaine hydrochloride",11545
"BETAINE HYDROCHLORIDE",11545
"beta-Lapachone",3885
"Betamethasone",9782
"BETAMETHASONE 17,21-DIPROPIONATE",21800
"BETAMETHASONE ACETATE",443967
"BETAMETHASONE VALERATE",16533
"BETAMETHAZONE SODIUM PHOSPHATE",98042566
"BETAMIPRON",71651
"BETA-PROPIOLACTONE",2365
"Beta-sistosterol",222284
"beta-SITOSTEROL",222284
"Betaxolol hydrochloride",107952
"Betazole hydrochloride",67412
"Bethanechol chloride",11548
"BETHANECHOL CHLORIDE",11548
"Betonicine",164642
"Betulin",72326
"BETULIN",72326
"Betulinic acid",64971
"BETULINIC ACID",64971
"Bezafibrate",39042
"BEZAFIBRATE",39042
"BF-170 hydrochloride",16219029
"B-HT 933 dihydrochloride",169743
"BIA 2-093",179344
"Bicuculline (+)",10237
"BICUCULLINE (+)",10237
"BICUCULLINE(-) METHIODIDE",45006118
"Bicuculline, (+)-",NA
"BIFONAZOLE",2378
"BILIRUBIN",5280352
"Bilobalide",73581
"BIO",448949
"Biochanin A",5280373
"BIOCHANIN A",5280373
"Biotin",171548
"BIOTIN",171548
"BIPERIDEN",2381
"Biperiden hydrochloride",92151
"BISABOLOL",1549992
"Bisacodyl",2391
"BISACODYL",2391
"BISANHYDRORUTILANTINONE",120369
"BISMUTH SUBSALICYLATE",16682734
"Bisoprolol fumarate",6917733
"BISOPROLOL FUMARATE",6917733
"Bisoprolol hemifumarate salt",5281064
"BISSALICYL FUMARATE",16667734
"BITHIONATE SODIUM",2407
"BIXIN",5281226
"BLASTICIDIN S",170012
"BLEOMYCIN (bleomycin B2 shown)",5702257
"BMY 7378 dihydrochloride",210172
"Boldine",10154
"BOLDINE",10154
"BORNEOL",64685
"BOVINOCIDIN (3-nitropropionic acid)",1678
"BP 897",3038495
"Brassinin",3035211
"Brefeldin A",5287620
"Brefeldin A from Penicillium brefeldianum",11957469
"Bretylium tosylate",6100
"Brinzolamide",68844
"BRL 15572",3654103
"BRL 37344 sodium",2436
"BRL 50481",2921148
"BRL 52537 hydrochloride",11315337
"BRL 54443 maleate",11957480
"BROMHEXINE HYDROCHLORIDE",5702220
"BROMINDIONE",14369
"BROMO-3-HYDROXY-4-(SUCCIN-2-YL)-CARYOLANE gamma-LACTONE",23847180
"Bromoacetyl alprenolol menthane",11957482
"Bromoacetylcholine bromide",11957478
"Bromocriptine mesylate",31100
"BROMOCRIPTINE MESYLATE",31100
"Bromocryptine mesylate",31100
"Bromoenol lactone",5940264
"Bromolaudanosine, (±)-6'-",NA
"Bromopride",2446
"BROMOPRIDE",2446
"Bromperidol",2448
"BROMPERIDOL",2448
"Brompheniramine maleate",5281067
"BROMPHENIRAMINE MALEATE",5281067
"BROXYQUINOLINE",2453
"BRUCINE",442021
"Brucine n-oxide",11122452
"BTCP hydrochloride",11957484
"BTO-1",9548007
"BU224 hydrochloride",11957470
"BU99006",6603748
"BUCETIN",14130
"BUCLADESINE",9687
"Bucladesine sodium salt",23663967
"Budesonide",5281004
"BUDESONIDE",5281004
"Bufalin",9547215
"Bufexamac",2466
"BUFEXAMAC",2466
"Buflomedil hydrochloride",6420013
"Bulleyaconitine A",24721310
"Bumetanide",2471
"BUMETANIDE",2471
"BUPIVACAINE HYDROCHLORIDE",64737
"Bupivacaine hydrochloride",64737
"BUPROPION",444
"Bupropion hydrochloride",62884
"Buspirone hydrochloride",36431
"BUSPIRONE HYDROCHLORIDE",36431
"BUSSEIN",54721972
"BUSULFAN",2478
"Butacaine",2480
"BUTACAINE",2480
"Butamben",2482
"BUTAMBEN",2482
"Butein",5281222
"Butirosin disulfate salt",6419880
"Butoconazole nitrate",47471
"BUTYL PARABEN",7184
"Butylparaben",7184
"BW 284c51",11957453
"BWB70C",5353454
"C2 Phytoceramide",10451108
"C6 Ceramide",5702613
"CACODYLIC ACID",2513
"CADAVERINE TARTRATE",NA
"CADIN-4-EN-10-OL",519662
"Cafestol",108052
"CAFESTOL",108052
"Cafestol acetate",2517
"CAFESTOL ACETATE",2517
"Caffeic acid",689043
"Caffeic Acid",689043
"CAFFEIC ACID",689043
"Caffeic acid phenethyl ester",5281787
"Caffeine",2519
"CAFFEINE",2519
"Calciferol",5280793
"Calcimycin",40486
"Calmidazolium chloride",644274
"Calycanthine",5392245
"CAMPHOR (1R)",159055
"Camptothecin",24360
"CAMPTOTHECIN",24360
"Camptothecine (S,+)",24360
"CAMYLOFINE DIHYDROCHLORIDE",23724817
"Canavanine sulfate monohydrate (L,+)",6419943
"CANDESARTAN CILEXTIL",2540
"Canrenoic acid potassium salt",23671691
"CANRENOIC ACID, POTASSIUM SALT",23682215
"CANRENONE",13789
"Cantharidic Acid",2544
"Cantharidin",5944
"CANTHARIDIN",5944
"CAPE",5281787
"CAPOBENIC ACID",30627
"Capreomycin sulfate",NA
"CAPREOMYCIN SULFATE",NA
"Capsaicin",1548943
"CAPSAICIN",1548943
"CAPSANTHIN",5281228
"Capsazepine",2733484
"Captopril",44093
"CAPTOPRIL",44093
"CARAPIN",46878983
"CARAPIN-8(9)-ENE",6708728
"Carbachol",5831
"CARBACHOL",5831
"CARBADOX",135511839
"Carbamazepine",2554
"CARBAMAZEPINE",2554
"Carbarsone",8480
"CARBENICILLIN DISODIUM",20933
"Carbenoxolone disodium salt",636402
"CARBENOXOLONE SODIUM",636402
"Carbetapentane citrate",90010
"CARBETAPENTANE CITRATE",90010
"CARBIDOPA",34359
"Carbimazole",31072
"CARBIMAZOLE",31072
"CARBINOXAMINE MALEATE",5282409
"Carbinoxamine maleate salt",5282409
"Carboplatin",426756
"CARBOPLATIN",426756
"Carcinine",2574
"Carisoprodol",2576
"CARISOPRODOL",2576
"Carminic acid",10255083
"CARMINIC ACID",10255083
"CARMOFUR",2577
"Carmustine",2578
"CARMUSTINE",2578
"CARNITINE (dl) HYDROCHLORIDE",5970
"Carnitine Cl, (±)-",NA
"Carnosic acid",65126
"CARNOSIC ACID",65126
"CARNOSINE",439224
"CARPROFEN",2581
"Carteolol hydrochloride",40127
"Carvedilol",2585
"CARVEDILOL",2585
"CARYLOPHYLLENE OXIDE",6708694
"CARYOPHYLLENE [t(-)]",6708700
"Caryophyllene oxide",1742210
"Castanospermine",54445
"Catalpol",91520
"Catechin hydrate, (+)-",NA
"CATECHIN PENTAACETATE",5315742
"CATECHIN TETRAMETHYLETHER",182659
"Catechin-(+,-) hydrate",9064
"Catharanthine",5458190
"Catharanthine base",5458190
"CB 1954",89105
"CB34",6603782
"CBIQ",11401613
"CCG-2046",263681
"CEDRELONE",21596358
"CEDROL",65575
"CEDRYL ACETATE",13918856
"Cefaclor",51039
"CEFACLOR",51039
"Cefadroxil",47965
"CEFADROXIL",47965
"Cefalonium",21743
"CEFAMANDOLE NAFATE",23665731
"CEFAMANDOLE SODIUM",23672568
"Cefamandole sodium salt",23672568
"Cefazolin sodium",23675322
"CEFAZOLIN SODIUM",23675322
"Cefazolin sodium salt",23675322
"CEFDINIR",6915944
"CEFDITORIN PIVOXIL",6437877
"Cefepime hydrochloride",9571075
"Cefixime",5362065
"Cefmetazole sodium",23666711
"CEFMETAZOLE SODIUM",23666711
"Cefmetazole sodium salt",23666711
"CEFONICID SODIUM",43593
"Cefoperazone dihydrate",6420003
"CEFOPERAZONE SODIUM",23663974
"Ceforanide",43507
"Cefotaxime sodium",23672566
"CEFOTAXIME SODIUM",23672566
"Cefotaxime sodium salt",10695961
"Cefotetan",53025
"Cefotiam hydrochloride",47896
"CEFOXITIN SODIUM",23667300
"Cefoxitin sodium salt",23667300
"CEFPODOXIME PROXETIL",6526396
"CEFPROZIL",5281006
"CEFSULODIN SODIUM",656644
"Cefsulodin sodium salt",656644
"Cefsulodin sodium salt hydrate",656644
"CEFTAZIDIME",5481173
"Ceftazidime pentahydrate",6536864
"CEFTIBUTEN",5282242
"Ceftriaxone sodium",23709629
"CEFTRIAXONE SODIUM TRIHYDRATE",23679441
"CEFUROXIME AXETIL",6321416
"CEFUROXIME SODIUM",23670318
"Cefuroxime sodium salt",23670318
"CELECOXIB",2662
"CELLOBIOSE (D[+])",441014
"Centrophenoxine hydrochloride",19379
"CEPHALEXIN",27447
"Cephalexin hydrate",62921
"Cephalexin monohydrate",62921
"Cephalosporanic acid, 7-amino",441328
"CEPHALOSPORIN C SODIUM",23680388
"Cephalosporin C zinc salt",11957494
"CEPHALOTAXINE",65305
"Cephalothin sodium",23675321
"CEPHALOTHIN SODIUM",23675321
"Cephalothin sodium salt",23675321
"Cephapirin sodium",23675312
"CEPHAPIRIN SODIUM",23675312
"Cepharanthine",10206
"CEPHARANTHINE",10206
"Cephradine",38103
"CEPHRADINE",38103
"Cerulenin",5282054
"Cetirizine dihydrochloride",55182
"CETIRIZINE HYDROCHLORIDE",55182
"CETRIMONIUM BROMIDE",5974
"CETYLPYRIDINIUM CHLORIDE",31239
"Cevadine",5380394
"CEVADINE",5380394
"CGP 20712A methanesulfonate",10008573
"CGP 57380",11644425
"CGP-13501",3519541
"CGP-74514A hydrochloride",11957495
"CGP-7930",5024764
"CGS-12066A maleate",6438352
"CGS-15943",2690
"CGS-21680 hydrochloride",10256643
"Chaconine, a -",NA
"Chaetomellic acid A",3037595
"CHAULMOOGRIC ACID",72853
"CHAULMOOGRIC ACID, ETHYL ESTER",2700
"Chelerythrine chloride",72311
"Chelerythrine Cl",NA
"Chelidamic acid",8743
"Chelidonine, (+)-",NA
"Chenodiol",10133
"CHENODIOL",10133
"Chicago sky blue 6B",17460
"Chlorambucil",2708
"CHLORAMBUCIL",2708
"Chloramphenicol",5959
"CHLORAMPHENICOL",5959
"CHLORAMPHENICOL HEMISUCCINATE",656580
"CHLORAMPHENICOL PALMITATE",443382
"CHLORANIL",8371
"Chlorcyclizine hydrochloride",62413
"CHLORCYCLIZINE HYDROCHLORIDE",62413
"CHLORDANE",5993
"Chlorhexidine",9552079
"CHLORHEXIDINE",9552079
"CHLORMADINONE ACETATE",9324
"Chlormezanone",2717
"CHLORMEZANONE",2717
"CHLOROCRESOL",1732
"Chloroethylclonidine dihydrochloride",11957477
"Chlorogenic acid",1794427
"CHLOROGENIC ACID",1794427
"CHLOROGUANIDE HYDROCHLORIDE",9570076
"Chloro-IB-MECA",NA
"CHLOROPHYLL",16667503
"CHLOROPHYLLIDE Cu COMPLEX Na SALT",16717692
"Chloropyramine hydrochloride",80311
"Chloroquine diphosphate",64927
"CHLOROQUINE DIPHOSPHATE",64927
"Chlorothiazide",2720
"CHLOROTHIAZIDE",2720
"Chlorotrianisene",11289
"CHLOROTRIANISENE",11289
"CHLOROXINE",2722
"CHLOROXYLENOL",2723
"CHLORPHENIRAMINE (S) MALEATE",16667681
"Chlorpheniramine maleate",5281068
"Chlorphensin carbamate",2724
"CHLORPROMAZINE",2726
"Chlorpromazine hydrochloride",6240
"Chlorpropamide",2727
"CHLORPROPAMIDE",2727
"CHLORPROPHAM",2728
"Chlorprothixene hydrochloride",5282478
"CHLORPROTHIXENE HYDROCHLORIDE",5282478
"Chlortetracycline hydrochloride",54682468
"CHLORTETRACYCLINE HYDROCHLORIDE",54682468
"Chlorthalidone",2732
"CHLORTHALIDONE",2732
"Chlorzoxazone",2733
"CHLORZOXAZONE",2733
"CHOL-11-ENIC ACID",6708687
"Cholecalciferol",5280795
"CHOLECALCIFEROL",5280795
"CHOLEST-5-EN-3-ONE",9908107
"CHOLESTAN-3beta,5alpha,6beta-TRIOL",91498
"CHOLESTANE",6857534
"CHOLESTEROL",5997
"CHOLESTERYL ACETATE",2723897
"CHOLIC ACID",221493
"CHOLIC ACID, METHYL ESTER",10960835
"Choline bromide",74724
"CHOLINE CHLORIDE",6209
"CHROMOCARB",2741
"Chromomycin A3",656673
"CHRYSANTHEMIC ACID",2743
"CHRYSANTHEMIC ACID, ETHYL ESTER",7334
"CHRYSANTHEMYL ALCOHOL",110685
"CHRYSAROBIN",NA
"Chrysene-1,4-quinone",180933
"Chrysin",5281607
"CHRYSIN",5281607
"CHRYSIN DIMETHYL ETHER",88881
"Chrysine",5281607
"Chrysoeriol",5280666
"CHRYSOPHANOL",10208
"CHUKRASIN METHYL ETHER",6857763
"CI-976",122327
"Cibenzoline succinate",57952
"Ciclopirox ethanolamine",38911
"CICLOPIROX OLAMINE",38911
"Cilnidipine",5282138
"Cilostamide",2753
"Cilostazol",2754
"CILOSTAZOL",2754
"Cimetidine",2756
"CIMETIDINE",2756
"CINCHONIDINE",101744
"Cinchonidine, (-)-",NA
"Cinchonine",90454
"CINCHONINE",90454
"Cinchonine, (+)-",NA
"CINEOLE",2758
"CINNAMIC ACID",444539
"CINNARAZINE",5353532
"Cinnarizine",1547484
"Cinobufagin",11969542
"Cinoxacin",2762
"CINOXACIN",2762
"Ciprofibrate",2763
"CIPROFLOXACIN",2764
"Ciprofloxacin hydrochloride",62999
"Ciproxifan hydrochloride",16078963
"Cirazoline hydrochloride",11957512
"cis(+/-)-8-OH-PBZI hydrobromide",NA
"cis-(Z)-Flupenthixol dihydrochloride",5282483
"cis-4-Aminocrotonic acid",6603697
"Cisapride",6917698
"cis-Azetidine-2,4-dicarboxylic acid",2733517
"Cisplatin",NA
"CISPLATIN",NA
"CITALOPRAM",2771
"Citalopram Hydrobromide",77995
"Citalopram hydrobromide",77995
"CITICOLINE",13804
"Citicoline sodium",36605
"Citrinin",54680783
"CITRININ",54680783
"CITROPTEN",2775
"CITRULLINE",9750
"CK2 Inhibitor 2",5326976
"CL 316,243",5312115
"CLARITHROMYCIN",84029
"CLAVULANATE LITHIUM",23714647
"Clebopride maleate",6420010
"CLEMASTINE",26987
"Clemastine fumarate",5281069
"Clemizole hydrochloride",5309446
"Clenbuterol hydrochloride",5702273
"Clidinium bromide",19004
"CLIDINIUM BROMIDE",19004
"Clindamycin hydrochloride",16051951
"CLINDAMYCIN HYDROCHLORIDE",16051951
"Clioquinol",2788
"CLIOQUINOL",2788
"Clobetasol propionate",32798
"CLOBETASOL PROPIONATE",32798
"Clocortolone pivalate",5282493
"Clodronic acid",25419
"Clofazimine",2794
"CLOFAZIMINE",2794
"Clofibrate",2796
"CLOFIBRATE",2796
"Clofibric acid",2797
"Clofilium tosylate",175533
"CLOFOCTOL",2799
"CLOMIPHENE CITRATE",3033832
"Clomiphene citrate (Z,E)",NA
"Clomipramine hydrochloride",68539
"CLOMIPRAMINE HYDROCHLORIDE",68539
"CLONAZEPAM",2802
"Clonidine hydrochloride",20179
"CLONIDINE HYDROCHLORIDE",20179
"Clonixin Lysinate",NA
"Clopamide",12492
"CLOPAMIDE",12492
"Cloperastine hydrochloride",161104
"CLOPIDOGREL SULFATE",115366
"CLOPIDOL",18087
"Clorgyline hydrochloride",28767
"Clorsulon",43231
"CLORSULON",43231
"Clotrimazole",2812
"CLOTRIMAZOLE",2812
"CLOVANEDIOL DIACETATE",4457488
"CLOXACILLIN SODIUM",23675743
"Cloxacillin sodium salt",23675320
"CLOXYQUIN",2817
"Clozapine",135398737
"CLOZAPINE",135398737
"CNQX disodium",2821
"CNS-1102",60839
"COENZYME B12",6474320
"Colchicine",6167
"COLCHICINE",6167
"COLFORSIN",47936
"COLISTIMETHATE SODIUM",216258
"Colistin sulfate",NA
"COLISTIN SULFATE",NA
"Condelphine",441720
"Conessine",441082
"CONESSINE",441082
"CONIFERYL ALCOHOL",1549095
"CONVALLATOXIN",441852
"Convolamine hydrochloride",6419899
"Convolvamine HCl",25137774
"CORALYNE CHLORIDE",23306
"Coralyne chloride hydrate",6419900
"Cortexolone",440707
"Corticosterone",5753
"Cortisone",222786
"CORTISONE",222786
"Cortisone 21-acetate",5745
"CORTISONE ACETATE",5745
"Corydaline",101301
"Corynanthine",92766
"CORYNANTHINE",92766
"Corynanthine hydrochloride",198500
"COSMOSIIN",5280704
"COTININE",854019
"Cotinine (-)",854019
"Cotinine, (-)-",NA
"Cotininecarboxylic acid, trans-4-",NA
"COUMARIN",323
"Coumermycin A1",54675768
"COUMOPHOS",2871
"CP55940",104895
"CPCCOEt",6278000
"CPNQ",3953303
"CR 2249",3074827
"CR 2945",23704140
"CREATININE",588
"CRESOL",NA
"Cromolyn disodium salt",27503
"CROMOLYN SODIUM",27503
"Crotamiton",688020
"CROTAMITON",688020
"CRUSTECDYSONE",5459840
"Cryptotanshinone",160254
"CRYPTOTANSHINONE",160254
"CULMORIN",368926
"Curcumin",969516
"CURCUMIN",969516
"CV-3988",107681
"CX 546",2890
"Cyanocobalamin",5311498
"CYCLIZINE",6726
"Cyclizine hydrochloride",6420019
"Cyclobenzaprine hydrochloride",22576
"CYCLOBENZAPRINE HYDROCHLORIDE",22576
"CYCLOCREATINE",2896
"Cycloheximide",6197
"CYCLOHEXIMIDE",6197
"CYCLOLEUCINE",2901
"Cyclopamine",442972
"Cyclopenthiazide",2904
"Cyclopentolate hydrochloride",22162
"CYCLOPENTOLATE HYDROCHLORIDE",22162
"CYCLOPHOSPHAMIDE HYDRATE",22420
"Cyclophosphamide monohydrate",22420
"Cyclopiazonic acid",NA
"CYCLOSERINE",6234
"Cycloserine, L-",NA
"Cyclosporin A",5284373
"CYCLOSPORINE",5284373
"Cyclothiazide",2910
"CYCLOTHIAZIDE",2910
"CYCLOVERATRYLENE",273730
"CYMARIN",441853
"Cyproheptadine hydrochloride",13770
"CYPROHEPTADINE HYDROCHLORIDE",13770
"CYPROTERONE",5284537
"Cyproterone acetate",9880
"CYPROTERONE ACETATE",9880
"Cystamine dihydrochloride",5941
"CYSTAMINE DIHYDROCHLORIDE",5941
"Cysteamine hydrochloride",9082
"CYSTEAMINE HYDROCHLORIDE",9082
"CYTARABINE",6253
"CYTIDINE",6175
"CYTISINE",10235
"Cytisine (-)",10235
"Cytisine, (-)-",NA
"Cytochalasin B",5311281
"Cytochalasin D",5458428
"Cytochalasin E",5458385
"Cytosine-1-beta-D-arabinofuranoside hydrochloride",6252
"D(-)-2-Amino-7-phosphonoheptanoic acid",1617430
"d,l-threo-3-HYDROXYASPARTIC ACID",5425
"D-609 potassium",4234241
"Dacarbazine",135398738
"DACARBAZINE",135398738
"DACTINOMYCIN",457193
"Daidzein",5281708
"DAIDZEIN",5281708
"Daidzin",107971
"DALBERGIONE, 4-METHOXY-4'-HYDROXY-",3950721
"Danazol",28417
"DANAZOL",28417
"DANTHRON",2950
"Dantrolene sodium",6604100
"DANTROLENE SODIUM",6604100
"Dantrolene sodium salt",6604100
"DAPH",1697
"Daphnetin",5280569
"DAPHNETIN",5280569
"Dapsone",2955
"DAPSONE",2955
"DARIFENACIN HYDROBROMIDE",444030
"Datiscetin",5281610
"DAUNORUBICIN",30323
"Daunorubicin HCl",62770
"Daunorubicin hydrochloride",62770
"DBO-83",9926237
"DCEBIO",656765
"D-cycloserine",6234
"D-Cycloserine",6234
"DEACETOXY-7-OXOGEDUNIN",6708525
"Deacetylcolchicine, N-formyl-",NA
"DEACETYLGEDUNIN",3034112
"Debrisoquin sulfate",11391
"DECAHYDROGAMBOGIC ACID",5149276
"Decamethonium bromide",10921
"DECAMETHONIUM BROMIDE",10921
"Decamethonium dibromide",10921
"DECOQUINATE",29112
"Decoyinine",121578
"Deferoxamine mesylate",62881
"DEFEROXAMINE MESYLATE",62881
"Deguelin",107935
"DEGUELIN(-)",107935
"DEHYDRO (11,12)URSOLIC ACID LACTONE",6708656
"DEHYDROABIETAMIDE",3983547
"Dehydrocholic acid",6674
"DEHYDROCHOLIC ACID",6674
"Dehydroisoandosterone 3-acetate",14709
"Dehydrokawain, 5,6-",NA
"DEHYDROROTENONE",99190
"DEHYDROVARIABILIN",624785
"Delcorine",441724
"Delsoline",441727
"Deltaline",441728
"Demecarium bromide",5965
"Demeclocycline hydrochloride",54686764
"DEMECLOCYCLINE HYDROCHLORIDE",54686764
"Demethylepipodophyllotoxin, 4'-",NA
"DEMETHYLNOBILETIN",358832
"Demissidine",101379
"Denatonium benzoate",19518
"DENATONIUM BENZOATE",19518
"DEOXYADENOSINE",13730
"DEOXYANDIROBIN LACTONE",6708582
"DEOXYCHOLIC ACID",222528
